mergeCommitID, isConflicting, existsCommonSlice, totalCommonSlices, conflictingFilesNumber, conflictsNumber, numberOfCommitsArithAverage, numberOfCommitsGeoAverage, numberOfAuthorsArithAverage, numberOfAuthorsGeoAverage, delayIntegrationArithAverage, delayIntegrationGeoAverage, deltaIntegration, minimumLifeTimeArithAverage, minimumLifeTimeGeoAverage, numberOfChangedFilesArithAverage, numberOfChangedFilesGeoAverage, numberOfChangedLinesArithAverage, numberOfChangedLinesGeoAverage, contributionConclusionDelay
12700d626804e518bfc6073522d4e66e7041d40f,1,1,1,1,1,15.0,5.39,1.0,1.0,1.0,1.0,0,2.0,1.73,28.5,16.12,435.0,249.98,1
c9558e4d5116a900476aaa743f384e8f315da74e,1,1,3,1,1,30.0,28.28,5.5,5.29,4.5,2.83,7,9.0,6.71,134.5,134.49,2013.5,2013.34,8
ad14ecb41bb692f153d1891281c193c46597e4fc,0,0,0,0,0,7.5,7.48,3.5,3.16,3.5,2.45,5,5.5,5.48,5.0,4.9,67.0,48.71,5
9a6d827b6d966741c7470b926c703b087b2ca41a,0,0,0,0,0,4.5,4.47,1.5,1.41,1.0,1.0,0,4.0,3.87,4.0,4.0,27.0,26.32,0
eea7e19ecf422eae310acc7756b8df2da7241b8d,0,0,0,0,0,36.0,16.49,4.0,3.46,2.5,2.0,3,4.0,2.65,86.0,25.92,2003.0,289.28,4
50fd9ae9b06de9d51ac4facf104f8e917057019b,0,1,3,0,0,15.0,14.87,3.5,3.46,1.0,1.0,0,6.0,6.0,26.0,26.0,613.0,613.0,0
3009ed2d839791d6342cfe055a5f7ac40427c3b2,0,1,8,0,0,21.5,21.45,2.0,2.0,1.0,1.0,0,27.0,27.0,26.5,26.5,831.5,830.25,0
f68a15c04e23396030c23d6a7ab89e2565e885de,0,1,1,0,0,16.5,16.31,3.0,2.83,2.5,2.0,3,14.5,11.75,24.5,24.45,688.0,680.98,4
06295fb9e9d1999274f36c68881670a834a3c278,0,1,6,0,0,27.0,25.79,3.0,2.83,2.5,2.0,3,14.5,11.75,37.0,35.33,1126.5,1073.81,4
13e8d1f5a5bc95a3cd6a0bd9fdbfa8a55ce7da9a,0,1,1,0,0,16.5,16.43,2.5,2.0,2.5,2.0,3,14.5,11.75,26.0,26.0,694.5,688.45,4
521873b6566e0ee8fd7db39c369252bcd541cc2f,0,0,0,0,0,3.0,2.24,1.5,1.41,1.0,1.0,0,1.5,1.41,10.0,4.36,223.0,82.95,1
83fea92353ada81b7a428ce6b28fca18df584bbb,0,0,0,0,0,2.0,1.73,1.5,1.41,1.0,1.0,0,1.0,1.0,2.5,2.0,18.5,18.33,1
1795b2715283b3d4fbd81c8b01336ac9a433fd98,0,0,0,0,0,2.5,2.0,1.0,1.0,1.5,1.41,1,1.0,1.0,11.0,7.55,221.5,74.77,2
1317ce9db05c6ee7dc8c994715b8b7219f482cd3,0,0,0,0,0,1.5,1.41,1.0,1.0,1.0,1.0,0,1.0,1.0,3.5,3.46,17.0,16.52,0
93193c9fbad6cd86ea0ae41e322c64758f560bd6,0,0,0,0,0,9.5,4.24,1.0,1.0,1.0,1.0,0,12.0,4.8,14.5,8.83,399.5,101.08,0
2d384c9851813159e0f8984ec046c15563361c03,0,0,0,0,0,40.0,12.49,1.5,1.41,1.0,1.0,0,9.5,4.24,23.0,6.71,973.5,62.37,1
9280049a84142d3d3a80d07638a54fb9a90fb48c,0,0,0,0,0,23.5,6.78,1.0,1.0,1.0,1.0,0,7.0,3.61,19.5,6.16,688.0,122.54,0
20fe9e4cc58090f9b4b6eee88955ffac5de115be,1,1,2,2,6,22.0,16.09,3.0,2.24,2.0,1.73,2,1.5,1.41,103.0,77.36,2350.5,2010.61,2
0b8357a26142be6e670a7d4780b4b5e2e6dabb24,0,0,0,0,0,18.5,6.0,1.5,1.41,1.0,1.0,0,1.0,1.0,17.5,5.83,567.5,88.86,0
4533d35fe75439936f0fae00f267765cba57fbf2,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0,1.0,1.0,1.0,4.5,3.74,0
7e27b6deef3066baad659d1ee35e73027f94ca83,0,1,2,0,0,4.5,4.47,2.0,2.0,1.0,1.0,0,3.5,3.46,5.0,5.0,44.0,44.0,1
cd69ea14874c605e40e870acdafb571eb958e522,0,0,0,0,0,2.0,1.73,1.5,1.41,3.0,2.83,2,1.0,1.0,3.0,2.24,28.0,22.98,2
4cdcbdac19918154391b20062eed706d973fcac4,0,1,2,0,0,3.5,3.46,2.0,2.0,2.0,1.73,2,2.0,1.73,5.5,5.48,50.0,49.64,3
f3d03c00b25b0a5a79cad0b91d3387fb6818496c,0,1,1,0,0,2.0,2.0,1.5,1.41,2.0,1.73,2,1.5,1.41,3.5,3.16,29.0,24.82,2
af6048945917077e259d3004cae33edc8f31977c,0,1,1,0,0,1.5,1.41,1.0,1.0,1.0,1.0,0,1.0,1.0,3.0,2.24,23.0,9.38,0
b6e61eba7a6283cae9b31c990464297b89944477,1,1,2,1,2,45.0,43.63,3.5,3.16,2.0,1.73,2,77.5,77.49,22.0,20.07,623.0,609.92,3
f26420c3801b724f4a9fb5ab5f1248f4b375045c,0,0,0,0,0,8.5,6.48,2.5,2.45,1.0,1.0,0,1.0,1.0,2.5,2.0,81.0,30.59,0
bec59aba438d0244dba9d65f98d9aa6893dfc5db,0,0,0,0,0,3.5,3.46,2.5,2.45,1.0,1.0,0,1.0,1.0,1.5,1.41,9.0,7.48,1
c86902967dc28185fbb721b913b3be2be2828f5a,0,0,0,0,0,6.0,4.47,1.5,1.41,1.0,1.0,0,1.0,1.0,2.5,2.0,79.0,24.82,1
