mergeCommitID, isConflicting, existsCommonSlice, totalCommonSlices, conflictingFilesNumber, conflictsNumber, numberOfCommitsArithAverage, numberOfCommitsGeoAverage, numberOfAuthorsArithAverage, numberOfAuthorsGeoAverage, delayIntegrationArithAverage, delayIntegrationGeoAverage, deltaIntegration, minimumLifeTimeArithAverage, minimumLifeTimeGeoAverage, numberOfChangedFilesArithAverage, numberOfChangedFilesGeoAverage, numberOfChangedLinesArithAverage, numberOfChangedLinesGeoAverage, contributionConclusionDelay
5272232873c0f53944dadec6329998f122fc5242,0,0,0,0,0,8.5,7.21,1.5,1.41,1.0,1.0,0,8.0,5.29,5.0,4.58,244.5,181.79,0
4d4aec06f1ef9df2b68938a14e26115d38a596af,1,1,1,1,2,29.0,27.57,2.5,2.45,2.0,1.73,2,13.0,11.53,8.5,8.49,356.5,317.31,3
9d6e2b61c3088363f0f33f89c8e0ef016738ac52,1,1,2,2,2,49.5,45.91,2.5,2.45,3.0,3.0,0,16.5,16.49,16.0,14.39,786.0,714.75,0
ab7dbeb85649b7bd9d8cf1cc99a51a6dde200f70,1,1,1,2,2,44.5,35.75,2.5,2.0,1.0,1.0,0,12.0,10.91,16.5,14.14,655.5,463.52,0
25b644b225e911468b6438a4d6607d7e007e1ecd,0,1,2,0,0,33.5,20.49,2.0,2.0,1.0,1.0,0,8.5,4.0,12.5,9.17,556.5,191.54,1
2a8ea60a7fe07fdeaab7bb754e86e36270cb88b2,1,1,1,2,3,27.0,26.08,3.0,2.24,1.0,1.0,0,10.5,10.49,21.0,20.62,388.5,315.64,0
b68dea9d45c226b1f7be0323e30e954f82898bf8,0,0,0,0,0,17.5,17.49,3.0,2.24,1.5,1.41,1,9.0,8.77,10.0,9.8,213.5,207.2,2
3c7e5401058f60fccb6d38e4357e1e5e06f3a3e2,0,0,0,0,0,12.0,11.31,3.0,2.83,2.0,1.73,2,6.0,5.2,16.0,13.86,181.0,153.44,2
bba885f7c40104cfcb0af4310044284b63055957,0,0,0,0,0,6.0,4.47,1.5,1.41,1.0,1.0,0,4.0,2.65,5.0,4.0,120.0,118.15,1
fdc47a7527261e88ea892026baece59f868f8a94,0,1,1,0,0,13.5,12.73,2.0,1.73,2.5,2.45,1,2.5,2.0,24.5,18.11,1000.0,511.98,1
40c722a4710a4d8b61535cc4dfc1c4c8e0d15966,0,0,0,0,0,7.0,6.32,1.5,1.41,1.0,1.0,0,1.0,1.0,21.5,12.49,910.5,231.8,0
6dd3cda78381fd2e9b3a2ef995cb962b2f7b205b,1,0,0,1,2,7.5,7.48,1.5,1.41,1.5,1.41,1,7.5,6.63,4.5,3.74,100.0,92.5,2
7c80a370eaa732c5c1646d06d7a516395a166486,0,0,0,0,0,26.0,17.75,3.5,2.45,1.5,1.41,1,9.0,8.94,16.0,7.75,333.5,193.67,1
b831c781416c6eb3c0a8907d39fa3ee6635ae13c,0,0,0,0,0,13.5,9.59,3.5,2.45,1.0,1.0,0,1.0,1.0,11.5,7.75,200.0,147.56,1
c8aba9b3b88f0b448d9dfacb7653fda81e3bbbed,0,0,0,0,0,9.5,4.24,1.5,1.41,1.0,1.0,0,1.0,1.0,9.0,5.66,159.0,100.76,0
