mergeCommitID, isConflicting, existsCommonSlice, totalCommonSlices, conflictingFilesNumber, conflictsNumber, numberOfCommitsArithAverage, numberOfCommitsGeoAverage, numberOfAuthorsArithAverage, numberOfAuthorsGeoAverage, delayIntegrationArithAverage, delayIntegrationGeoAverage, deltaIntegration, minimumLifeTimeArithAverage, minimumLifeTimeGeoAverage, numberOfChangedFilesArithAverage, numberOfChangedFilesGeoAverage, numberOfChangedLinesArithAverage, numberOfChangedLinesGeoAverage, contributionConclusionDelay
8bf2cb69e2351848ee61e177c2b42276ba0e5a97,0,0,0,0,0,48.0,9.75,10.5,4.47,67.5,11.58,133,54.5,10.39,104.5,20.35,6850.0,596.26,134
0b7ae06b6b2d32fac895b81506bbfb2cf64ccb38,0,0,0,0,0,8.5,4.0,3.0,2.24,7.0,3.61,12,8.0,3.87,6.0,5.92,248.0,204.02,13
eb4b2ac437d3d481485083b715e9a11683737ff1,0,0,0,0,0,6.5,6.32,2.0,1.73,9.5,8.83,7,2.5,2.0,2.5,2.0,193.5,122.85,7
a771c6276211a16de83c2bf02dd64ca351b9cfbe,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0,1.0,1.0,1.0,21.0,21.0,0
104009d44e9db58d1a4ff86873643fbce61d1a3a,0,0,0,0,0,4.0,3.46,2.0,1.73,1.0,1.0,0,16.5,5.66,3.0,3.0,21.5,21.35,1
f7ac6a3bed92a988b1eba9481c2ffc0ae78a5b70,0,0,0,0,0,2.5,2.0,2.0,1.73,1.0,1.0,0,16.5,5.66,1.5,1.41,12.0,6.63,1
f893c88c5d5fcea96a5b8a89466f2e8a1861c2fb,0,0,0,0,0,13.0,5.0,5.5,3.16,1.0,1.0,0,16.5,5.66,12.5,4.9,1001.5,199.15,1
d653e78d5e5349f04f4b121aece007a0f4cc8723,0,0,0,0,0,24.5,6.93,5.5,3.16,18.0,11.31,28,23.0,6.71,91.5,13.49,5767.5,151.87,28
c78705d5d9cdb6ffe5b35715b5072f7c82583e3d,0,0,0,0,0,1.5,1.41,1.5,1.41,1.0,1.0,0,1.0,1.0,1.0,1.0,2.0,2.0,0
3a03a053d2300be8aae5f8590bef728bc167ebaa,0,1,1,0,0,3.0,2.24,1.5,1.41,1.5,1.41,1,1.0,1.0,7.0,3.61,629.5,61.38,1
d3c1273a41a2add933c7a2b9e961f8d783aa430a,1,1,2,3,4,8.5,8.12,3.0,2.24,6.5,3.46,11,19.5,18.0,89.0,40.99,4751.0,1255.9,12
0df205f52e386a3b302555e1e854201fe8a976f3,0,0,0,0,0,1.5,1.41,1.5,1.41,19.0,18.76,6,1.0,1.0,1.5,1.41,4.5,4.47,6
806d70ee918d1159feaedb2201189ea072af4874,0,0,0,0,0,2.0,1.73,1.5,1.41,1.0,1.0,0,1.0,1.0,4.5,2.83,110.0,74.42,1
e81d22930286597f9101b74790d26a584a1600a7,0,0,0,0,0,3.0,2.24,2.0,1.73,2.0,1.73,2,1.5,1.41,2.5,2.45,8.5,8.37,2
014c8171a305b2b55a700535d599de8b43e09dd4,0,0,0,0,0,6.0,5.2,2.0,1.73,18.5,6.0,35,18.5,6.0,10.0,9.17,111.5,79.18,36
2585e8f68071051d6b41f1b42e71dc6b0a1c1c9f,0,0,0,0,0,2.0,1.73,1.0,1.0,8.5,8.49,1,1.0,1.0,2.5,2.0,38.5,12.25,1
4306ac26a5f5a7b983d6bed2a0d5845eb9f7ecfb,0,0,0,0,0,3.0,2.24,2.0,1.73,3.0,2.24,4,3.0,2.24,3.0,2.24,339.5,36.8,5
71ea46be3afd2fa197a6c621b4afc68a44a3cdd8,0,0,0,0,0,1.5,1.41,1.0,1.0,4.5,4.47,1,1.0,1.0,2.0,1.73,337.5,81.55,1
13b463f1d387c54388b879618bb1e4b3f0dc391f,0,0,0,0,0,7.0,4.9,2.5,2.0,1.0,1.0,0,5.0,5.0,9.5,6.93,153.5,153.14,0
0106528687fbac9381de7eac78937bb55ca3b022,0,0,0,0,0,5.5,4.9,2.0,1.73,1.0,1.0,0,4.5,4.47,8.5,8.12,71.5,71.36,1
507717f8f6940826fee5a541b3ff8e1a5d178ddc,0,0,0,0,0,3.0,2.24,1.5,1.41,2.5,2.0,3,2.0,1.73,4.5,4.47,22.5,22.23,3
323c4d2260a259c95ac80312aea1cd522cef3463,0,0,0,0,0,2.0,2.0,2.0,2.0,1.0,1.0,0,5.0,3.0,2.5,2.45,32.5,25.22,0
ae480ef52a8d8e7accc0ab69847d0b5caa0653f5,0,0,0,0,0,46.5,9.59,2.5,2.0,5.0,3.0,8,4.5,2.83,36.0,11.83,1086.5,335.2,9
bf6b6b837fca62c6bc2ba08a376aaf2cf6ebe2b8,1,1,4,2,5,33.5,32.86,2.0,1.73,1.5,1.41,1,4.0,3.46,27.0,25.08,700.0,675.93,2
cdddb5f54f09aac9bc6f7651e5daf44c0958a6c7,0,0,0,0,0,13.0,6.93,2.0,1.73,1.0,1.0,0,1.5,1.41,18.5,12.65,259.0,169.31,0
8d74a61cfbce02171ddf08b5bbe4862fc80c3a7d,0,0,0,0,0,8.0,7.75,2.0,1.73,1.0,1.0,0,4.5,2.83,16.5,15.56,267.5,267.5,0
82bb27916dd43c463cb984e73e4106c147687949,0,1,2,0,0,26.0,22.52,2.0,1.73,1.0,1.0,0,6.5,6.48,14.0,13.67,548.5,435.47,0
ddf83e12dabe16742d541819a7892a3e0f6ab53f,0,1,1,0,0,6.0,5.2,1.5,1.41,3.0,2.24,4,1.5,1.41,10.0,4.36,225.0,187.08,5
8ccd27539efcd1be647fde5536a5a90729d537a7,1,1,2,1,1,18.5,6.0,1.0,1.0,1.0,1.0,0,2.5,2.0,15.0,14.87,555.0,453.46,1
793a6926220538c0132810b4e81cd01ca470ba93,1,1,4,1,1,15.5,15.43,1.5,1.41,1.0,1.0,0,1.0,1.0,16.5,16.49,418.5,417.39,1
24a8365814d4108049973ec5dc3f5f9d75e9d8bc,0,1,1,0,0,2.5,2.0,1.0,1.0,1.0,1.0,0,1.0,1.0,5.0,3.0,119.5,57.97,1
aac508fe9a2a17e3d9ebd027f9d6bb742028fe36,0,1,1,0,0,15.0,5.39,2.5,2.0,1.0,1.0,0,4.5,2.83,12.5,10.0,366.5,266.59,0
dad856a660324da4d5128d1c9c97aa823e5db9fa,0,0,0,0,0,13.0,8.31,2.5,2.0,1.0,1.0,0,6.5,6.48,9.5,6.93,299.5,191.23,1
d13288752e03e6e56eeedb9c4c223207f59b363a,0,0,0,0,0,9.5,4.24,2.5,2.0,1.0,1.0,0,3.5,2.45,6.0,4.47,166.0,110.36,1
5aef56475b27508a4e2c4bf8fe54ae22c137b5e8,0,0,0,0,0,2.0,2.0,1.5,1.41,1.0,1.0,0,1.0,1.0,2.0,2.0,76.0,72.44,0
976d01f5fd33657b3eb641e3a4c7ae5ebe1f8b03,0,0,0,0,0,5.5,3.16,1.5,1.41,1.0,1.0,0,3.0,2.24,4.5,3.74,124.0,31.24,0
cdbde7d6c68b767c2297aa7955e9639eff036147,1,0,0,2,2,36.5,16.61,3.0,2.24,3.0,2.24,4,4.0,2.65,33.0,11.31,1071.0,259.85,5
3c8ad95667fc08ee79fd3544c9404aa05e1974c5,1,0,0,1,1,45.0,9.43,3.5,2.45,4.0,2.65,6,10.0,4.36,43.5,9.27,1530.5,399.28,7
77b53fe5e3bed342369419c5ccdf385f85f7d409,1,0,0,1,1,18.0,9.95,2.5,2.45,1.0,1.0,0,2.0,2.0,9.5,7.75,409.5,222.93,0
7a62bd12414ee907950c35dc16bdc46c3ea71006,0,0,0,0,0,5.5,4.24,1.5,1.41,1.0,1.0,0,1.0,1.0,4.5,4.24,158.0,153.11,0
bf4a7b6c9facd8f3b9b6da398ab5886afc32c72f,0,1,1,0,0,4.0,3.87,1.5,1.41,1.0,1.0,0,1.0,1.0,3.5,3.46,59.5,59.03,1
91fdbb0711b23effc41a21e6baca46ac987cc69e,0,0,0,0,0,2.0,1.73,1.5,1.41,1.0,1.0,0,1.0,1.0,2.5,2.45,33.5,27.24,1
358e93eb372fc2979a34c06a14a03c2c2f6f1d9c,0,1,1,0,0,5.5,4.24,1.5,1.41,1.0,1.0,0,1.0,1.0,4.0,3.46,208.0,138.7,0
fe85014e5bf80571a6b326ee41489fd0d1ad806c,0,0,0,0,0,3.5,3.16,2.0,2.0,1.0,1.0,0,1.0,1.0,2.5,2.0,177.5,45.76,0
d4fc8235f1514c0a8feb5ab17e7bfbb6b1d997c9,0,1,1,0,0,4.0,3.87,2.0,2.0,1.0,1.0,0,1.0,1.0,3.5,3.46,31.0,29.66,0
9af4aae8f0b560d23bd0b033f64c2a90f971bc79,0,0,0,0,0,13.0,6.93,2.0,2.0,1.0,1.0,0,5.0,5.0,24.0,9.59,524.5,160.0,0
e3bd7ce152e45644e5c0d1d1a47fbf95431a8597,0,0,0,0,0,9.5,5.83,1.0,1.0,1.0,1.0,0,4.0,4.0,21.0,10.82,476.5,361.44,0
7001ebb4833e6128fb8e63126aa945250f9d6964,0,1,1,0,0,24.5,21.63,4.0,3.46,1.0,1.0,0,6.5,3.46,32.0,21.17,2054.0,1688.2,1
b08af50b8cf6454489255ce8e017b34b8bd7f367,0,1,1,0,0,7.5,5.1,2.5,2.0,1.0,1.0,0,1.0,1.0,21.0,8.94,1471.0,132.73,1
1f56676e9e588867af4ba408b8c2168d08823614,0,0,0,0,0,6.0,4.47,2.5,2.0,1.0,1.0,0,1.0,1.0,20.0,8.72,1468.0,405.1,0
1893136503dd8efa625d4c9abe14b9841d66fd7a,1,0,0,1,1,4.5,3.74,2.0,1.73,1.0,1.0,0,1.0,1.0,19.5,10.39,1439.5,160.72,0
5c8c7b334dc477f5454c6b1bb77a23030c5a9a9d,0,0,0,0,0,3.0,2.24,1.0,1.0,1.0,1.0,0,1.5,1.41,18.0,5.92,1435.0,107.07,1
d3e1ab109d3c66e01f86940f15b08fb32fc38601,0,0,0,0,0,5.0,5.0,2.0,1.73,1.0,1.0,0,1.0,1.0,4.5,4.24,45.0,43.37,0
60f2433bb74f5a2ecd2a1ea10a5f03d469979111,1,1,1,1,1,33.0,22.65,3.5,2.45,2.5,2.0,3,5.5,5.48,56.5,28.98,2142.5,777.36,4
d5fa153536522d4644f7fcbd2f07d63f6c8e079a,0,0,0,0,0,4.0,3.46,1.5,1.41,1.0,1.0,0,1.0,1.0,8.5,7.21,92.0,57.27,0
febdd690983a24a866789d9ec7ef1aa223f3782e,0,0,0,0,0,2.5,2.0,1.0,1.0,1.0,1.0,0,1.0,1.0,7.0,5.74,96.5,79.64,0
da348831dd9cfa585e50bfcc94c9972facfc4f1f,0,0,0,0,0,5.5,4.24,1.0,1.0,1.0,1.0,0,1.0,1.0,6.0,5.92,86.5,74.18,0
672be6a468c8311d7fcfd0615543287cee55567f,1,1,1,1,1,13.0,12.37,3.0,2.24,1.0,1.0,0,1.0,1.0,33.5,19.13,1741.0,508.78,0
642de62c3aec76454a1c3ae496d36339f6064078,1,0,0,1,1,45.0,20.62,3.5,2.45,2.0,1.73,2,6.0,5.2,48.0,26.53,4039.5,743.43,2
f2a461159c3d0b44221f28de4f117389a8ca661e,0,1,1,0,0,42.0,25.98,5.0,4.9,1.0,1.0,0,6.0,5.66,42.0,23.22,3919.0,716.21,1
94e12fc968446f6f87acba3bdd2dbff6875ed31d,0,0,0,0,0,2.0,1.73,2.0,1.73,2.0,1.73,2,1.0,1.0,4.0,2.65,17.5,0.0,2
c03860713d2c82f6f4e206ea5ed750c96889fa20,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0,1.0,2.0,1.73,31.0,7.81,0
251ff21c2a085e1f957b98b9b5c7b5f627f0e2ee,0,0,0,0,0,17.0,8.0,1.5,1.41,2.5,2.0,3,3.5,2.45,27.5,7.35,1150.0,67.79,4
57ffbef4bc20452ff11b2ac933790c6a16c724cc,0,1,3,0,0,4.0,2.65,1.0,1.0,1.0,1.0,0,1.0,1.0,7.0,6.32,121.0,112.32,0
eda66bf9bd42e3405af8bbbee193bb814f41d69b,0,0,0,0,0,23.5,6.78,4.0,2.65,1.0,1.0,0,4.5,2.83,22.5,6.63,1500.5,164.1,0
c79f1990f316a64c04df10f74d48c40f64bb17ae,0,0,0,0,0,24.5,13.42,4.0,2.65,1.0,1.0,0,5.5,4.9,28.5,23.92,1576.5,694.05,1
f94566029fb7b85b73047d7565e7cb778da293c4,0,0,0,0,0,5.0,3.0,2.0,1.73,1.0,1.0,0,4.5,2.83,7.5,5.1,361.0,102.98,1
f61e22c0d20196de24ca2142ad04727d6e36489e,0,1,1,0,0,54.0,22.69,4.5,3.74,1.0,1.0,0,9.0,8.94,45.0,29.48,1953.0,1483.68,1
13287837ea4f1bad1ec4d9be5200ea7bc5f940ba,0,0,0,0,0,4.5,2.83,1.0,1.0,1.0,1.0,0,2.0,1.73,8.0,3.87,157.5,46.43,0
da7de7115a828a27caa3b775164cf6a8c2d37705,0,0,0,0,0,54.0,29.85,5.0,3.0,1.0,1.0,0,5.5,5.29,41.5,28.14,3638.0,3118.8,0
e9c87a76f7ad74041a52d6a48bf81e4732c7897a,1,1,1,1,1,29.0,20.0,3.0,2.24,2.0,1.73,2,2.0,1.73,28.0,15.97,490.0,377.83,2
c107a0e17a98d00aa639f84b590765814dcb5514,0,1,1,0,0,11.0,4.58,2.0,1.73,1.0,1.0,0,1.0,1.0,9.0,4.12,134.5,23.11,0
13592c0d8b73fb440208b713524a40ff1e429bfd,0,0,0,0,0,15.5,7.62,2.5,2.0,1.0,1.0,0,1.0,1.0,17.5,5.83,246.5,54.06,1
0d05ba3701e36760d7097386195b8560605dfe9e,0,1,1,0,0,10.5,6.16,2.0,1.73,1.0,1.0,0,1.0,1.0,11.0,10.58,147.0,136.72,0
66000c43b4f8b59399102fa032d0668895748b23,0,1,1,0,0,9.0,8.06,2.0,1.73,1.0,1.0,0,1.0,1.0,7.5,7.48,100.5,75.35,0
69b691134047b740204bc41c331dcdd1daa5c08a,0,0,0,0,0,4.0,2.65,2.0,1.73,1.0,1.0,0,1.0,1.0,8.0,3.87,97.5,19.65,0
b32621a52139510af2e4e10182bd09424573be7f,0,0,0,0,0,2.5,2.0,1.5,1.41,1.0,1.0,0,1.0,1.0,3.5,2.45,52.0,20.0,0
b83d2934a444a3a893309017c1710274db33f907,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0,1.0,1.5,1.41,36.5,18.44,0
83d9984277387e8278be8f327238faa744b7112f,0,1,1,0,0,24.5,9.7,4.0,2.65,1.0,1.0,0,3.5,3.16,23.0,12.96,2331.0,570.93,0
a26e666984581046de7943959f58ce9c4f49816b,0,0,0,0,0,22.5,6.63,4.0,2.65,1.0,1.0,0,3.0,2.24,20.5,8.83,2287.0,213.64,0
e3a41c8dd44d74d0478b2d739be900bcdf444c4f,0,0,0,0,0,4.0,2.65,1.0,1.0,1.0,1.0,0,1.0,1.0,3.0,2.24,89.5,13.34,0
eaacab938593d916c3330cd1a8ccfc28646cf051,0,0,0,0,0,3.0,2.83,1.5,1.41,1.0,1.0,0,1.0,1.0,2.5,2.45,83.0,25.46,0
5eb81bd2007867693afcdf2542bd1d0dae12dfbf,0,1,1,0,0,27.5,10.3,3.0,2.24,1.0,1.0,0,2.5,2.0,25.5,12.0,317.0,275.96,0
c2bb6549a6072925517d76e081aa18eaa3e4dd2b,0,1,1,0,0,29.5,22.14,4.0,3.46,1.0,1.0,0,3.5,3.46,32.0,17.18,2400.5,698.92,0
13779be6489e7f7fbdf8c2ef923b5b0c613d3a3a,0,1,1,0,0,11.5,6.48,4.0,3.46,1.0,1.0,0,2.5,2.45,16.0,7.75,2210.0,281.49,0
693532d0afbf66cca6f7dbad0f5ff17d01d6cee6,0,1,1,0,0,22.5,16.31,3.0,2.24,1.0,1.0,0,3.5,3.46,29.5,26.23,2339.5,1232.53,0
075680fda9504c3e7bbe5a9766455fe0a759a7b1,0,0,0,0,0,6.0,5.2,2.5,2.0,1.0,1.0,0,1.5,1.41,8.5,8.49,37.0,36.33,1
