mergeCommitID, isConflicting, existsCommonSlice, totalCommonSlices, conflictingFilesNumber, conflictsNumber, numberOfCommitsArithAverage, numberOfCommitsGeoAverage, numberOfAuthorsArithAverage, numberOfAuthorsGeoAverage, delayIntegrationArithAverage, delayIntegrationGeoAverage, deltaIntegration, minimumLifeTimeArithAverage, minimumLifeTimeGeoAverage, numberOfChangedFilesArithAverage, numberOfChangedFilesGeoAverage, numberOfChangedLinesArithAverage, numberOfChangedLinesGeoAverage, contributionConclusionDelay
43dfc51b69fddf851e506e809f45b29c665561a8,0,1,1,0,0,1.5,1.41,1.0,1.0,1.0,1.0,0,1.0,1.0,5.5,5.48,40.5,40.42,0
1c0d6c63d201ee8b11b14059404179a77ed1fd68,0,0,0,0,0,3.5,3.16,1.0,1.0,1.0,1.0,0,1.0,1.0,18.0,11.31,514.0,181.2,0
e7c5e310e0093c92157952d7eb33cd4394d503fe,0,1,2,0,0,6.5,6.0,2.0,1.73,9.0,9.0,0,10.0,6.0,19.0,18.03,778.0,719.49,0
07621d7f54e7d475399daf60289a050e5ee7ad2a,1,1,1,1,1,9.0,6.71,1.0,1.0,12.0,4.8,22,110.0,66.0,13.0,12.96,513.5,497.93,22
13b5a65a12a95ef0ce24256125ccab30a096e17c,1,0,0,4,5,117.0,45.0,8.5,4.0,101.0,28.14,194,99.0,14.04,233.0,70.75,10679.0,1952.44,194
2b2fe37fb7994982b8a0dae15e2a2053b2ecbe32,0,0,0,0,0,6.0,5.2,2.5,2.45,1.0,1.0,0,56.5,10.58,24.0,13.27,1588.0,399.22,0
1cf5d172ad6d11d52087d6f3e7d6970d2f7ca2b9,1,1,1,20,29,78.0,70.68,8.5,7.21,79.0,24.82,150,94.0,56.67,238.5,217.21,8545.5,7365.21,150
ab4f928a4f9bd19d36dcae57f81f9667bb163059,0,0,0,0,0,2.5,2.45,2.0,1.73,17.5,5.83,33,17.0,5.74,5.0,4.0,38.5,22.14,33
9657de3b318c09d749b471d605d6c3aa8bd7cb73,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0,1.0,1.0,1.0,2.0,2.0,0
44cb44f800593e9b981ec8de15afc5231a5420a8,0,0,0,0,0,1.5,1.41,1.0,1.0,1.0,1.0,0,1.0,1.0,9.0,5.66,201.0,95.25,0
