mergeCommitID, isConflicting, existsCommonSlice, totalCommonSlices, conflictingFilesNumber, conflictsNumber, numberOfCommitsArithAverage, numberOfCommitsGeoAverage, numberOfAuthorsArithAverage, numberOfAuthorsGeoAverage, delayIntegrationArithAverage, delayIntegrationGeoAverage, deltaIntegration, minimumLifeTimeArithAverage, minimumLifeTimeGeoAverage, numberOfChangedFilesArithAverage, numberOfChangedFilesGeoAverage, numberOfChangedLinesArithAverage, numberOfChangedLinesGeoAverage, contributionConclusionDelay
ecf5a97da904c3261e5055ca5bd1df4661a14250,0,1,1,0,0,8.5,4.0,3.0,2.24,14.0,5.2,26,34.5,8.25,16.5,14.7,345.0,293.71,27
23299f5fb29941f2d3e384839a6f26494c5649f1,0,0,0,0,0,1.5,1.41,1.5,1.41,3.0,2.24,4,1.0,1.0,1.5,1.41,8.5,8.49,4
80549455938ef32a043e986529c50b6245154b81,0,0,0,0,0,3.5,3.16,1.5,1.41,8.5,8.12,5,19.0,6.08,9.5,7.75,249.5,172.25,5
1448f155d8d700fc7e31a8b599935b692a348743,0,0,0,0,0,5.0,3.0,2.5,2.0,7.5,6.0,9,3.5,2.45,4.5,3.74,79.5,74.22,9
d9f9e582a63a634e960e2d5daaf23167192a67f7,0,0,0,0,0,6.0,3.32,2.5,2.0,2.5,2.0,3,49.0,9.85,5.5,4.9,1114.5,256.85,3
f7c580031243818bc53ef80517e62b0ceed215a4,0,0,0,0,0,9.5,4.24,3.0,2.24,2.5,2.0,3,60.0,10.91,7.5,3.74,1128.0,94.91,4
5ee7c35289771fd4cfb972330eec0f2b1a47391f,0,0,0,0,0,8.0,6.93,2.0,1.73,7.5,3.74,13,98.0,96.33,6.5,6.0,1164.5,562.74,14
4a92862c86dc1d4cb531b129ce391b63ed1688a7,1,0,0,1,1,63.0,11.18,10.0,4.36,58.5,10.77,115,59.0,10.82,62.0,11.09,1963.5,125.27,116
0541b3a31fc4b4127f40702c3b03da944dbfc835,0,0,0,0,0,1.5,1.41,1.0,1.0,1.5,1.41,1,1.0,1.0,2.5,2.45,41.0,39.5,1
48afe27bbae0f90fbb41ac2fd10fb321f9238686,0,0,0,0,0,2.5,2.45,2.0,2.0,1.0,1.0,0,1.5,1.41,1.5,1.41,13.0,11.53,1
