mergeCommitID, isConflicting, existsCommonSlice, totalCommonSlices, conflictingFilesNumber, conflictsNumber, numberOfCommitsArithAverage, numberOfCommitsGeoAverage, numberOfAuthorsArithAverage, numberOfAuthorsGeoAverage, delayIntegrationArithAverage, delayIntegrationGeoAverage, deltaIntegration, minimumLifeTimeArithAverage, minimumLifeTimeGeoAverage, numberOfChangedFilesArithAverage, numberOfChangedFilesGeoAverage, numberOfChangedLinesArithAverage, numberOfChangedLinesGeoAverage, contributionConclusionDelay
69b60cf17b1b8d84990f81344d112e77d28e2089,0,0,0,0,0,17.0,9.64,2.0,1.73,1.0,1.0,0,9.0,8.77,34.5,19.44,2817.0,1034.93,1
0e8ebfbf41b2a58ba2438c8297214b1a82daffae,1,0,0,1,1,37.5,8.6,3.0,2.24,10.0,4.36,18,18.5,6.0,61.0,21.73,3885.5,2121.04,18
7337afc146e8327e6e4a9e23a34962af55f20862,0,0,0,0,0,2.5,2.0,1.0,1.0,1.0,1.0,0,1.0,1.0,6.0,3.32,93.0,50.65,0
e19cebb86ab393cc3de3682c68b724f5308ecb5e,1,0,0,1,1,3.0,2.24,1.5,1.41,1.0,1.0,0,2.0,1.73,3.5,3.16,103.0,34.64,0
9fbaf5c305e3d6d463144ac767716cc19e8c5481,0,0,0,0,0,6.0,5.66,1.5,1.41,2.0,1.73,2,2.0,1.73,16.5,11.83,2214.5,919.67,3
c8585c5bd4e174b3e4f7cc0a610965d321aef791,0,0,0,0,0,23.5,11.49,2.5,2.0,1.0,1.0,0,21.0,17.89,37.0,8.54,981.5,252.37,1
f66bcef80388ecea2c6b7a6cab9314c25dd41269,0,0,0,0,0,8.0,3.87,1.5,1.41,1.0,1.0,0,6.0,3.32,22.0,11.09,658.0,168.72,0
972c40a4d8abd17ab2417265ff1f8a16c0ee9d62,0,0,0,0,0,8.5,6.48,1.5,1.41,1.0,1.0,0,5.5,3.16,22.0,11.09,710.5,405.39,0
999651c780a0fcc5a3928c0b47b952f57e161784,0,1,1,0,0,18.0,16.97,2.0,1.73,1.0,1.0,0,20.0,17.32,38.5,38.34,856.0,772.38,1
0d8a985991169bb79812a231582c94c4909e877d,0,0,0,0,0,45.0,9.43,3.0,2.24,15.0,5.39,28,27.0,7.28,78.0,12.45,3192.5,211.3,29
d9dd011163b7571000673cdcd8141541e2d77db7,1,0,0,1,1,4.0,4.0,1.5,1.41,2.0,1.73,2,3.5,2.45,11.0,9.22,144.5,105.73,3
e68c851c186902c9efc669b9144501f83213467f,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0,1.0,4.0,4.0,300.0,153.09,1
f5aeb5e4a347c7888b2d5aa7df6c70009b62ed16,0,0,0,0,0,4.5,3.74,1.0,1.0,1.0,1.0,0,2.0,1.73,15.0,14.97,165.5,161.65,1
a001d3d8b04bb5548f708d3132a59442cc1bbb0d,1,1,2,2,2,7.5,6.63,1.5,1.41,1.0,1.0,0,3.5,2.45,16.5,16.43,656.5,326.59,0
5a82b5623346deab6dc74c384d325372979d491a,1,1,1,1,1,8.5,8.37,2.5,2.0,1.0,1.0,0,5.0,5.0,25.5,24.04,1021.0,1013.44,1
ffaa55abd97ea56c1164039a7ffa89187cda5fc3,0,0,0,0,0,4.5,4.24,2.0,2.0,1.0,1.0,0,3.0,2.83,17.5,17.44,448.5,437.09,1
e128f4e12f86008715388c83a8fc0eb971a38159,0,0,0,0,0,2.5,2.0,1.0,1.0,1.0,1.0,0,1.0,1.0,9.5,9.49,174.0,166.96,1
7b9ba2be6e1ae47fbfb1cb6ce31a9d13c8a958ac,0,0,0,0,0,9.0,4.12,1.0,1.0,1.0,1.0,0,2.0,1.73,23.0,21.91,395.0,388.93,0
214ae79867f7b98bf3a8aca825215256c368ec17,1,1,2,1,1,25.0,19.21,2.5,2.0,7.0,3.61,12,19.5,17.55,59.0,57.77,2258.0,2212.3,13
f024e04478e9d7c8e4f50fb69de9353822b63115,0,0,0,0,0,8.5,7.21,1.5,1.41,4.0,2.65,6,8.0,7.42,21.5,20.49,502.0,283.92,7
6cabbff0750fbdd437b388a0c5281cab25bbff5b,0,0,0,0,0,18.5,11.49,2.5,2.0,1.5,1.41,1,20.0,19.08,31.0,24.49,968.0,919.36,1
7446d11aa1c830f538dbea079d6c0fb7b7740960,0,1,1,0,0,6.0,5.92,1.5,1.41,1.0,1.0,0,2.0,2.0,18.0,17.55,443.0,386.21,0
1784e1cda6e7ee39f6c2d445e02e8a813ee7225f,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0,1.0,1.0,1.0,3.5,3.16,0
e74e229070169c6db7330a421de4dda0033ef678,0,0,0,0,0,16.5,5.66,2.5,2.0,4.0,2.65,6,5.5,3.16,29.0,10.58,615.5,233.47,7
a6b9b8f022876cf034cf38bb69c840462e144c88,0,1,1,0,0,7.0,4.9,2.0,1.73,1.0,1.0,0,5.5,3.16,12.0,4.8,352.0,130.29,1
13c76b3ee22fe2d3cbe22dbc163dfc1a69174b27,0,0,0,0,0,26.0,15.33,2.0,1.73,1.0,1.0,0,21.5,18.17,48.5,36.0,2030.0,1353.41,0
af6f683053a95e8b2b4584c32af194e15e3ca8f6,0,1,1,0,0,7.0,5.74,1.0,1.0,2.5,2.0,3,3.0,2.24,16.0,15.87,229.0,227.16,4
53eeca90ad5bf6ea83746956370ef770598fb2fc,0,0,0,0,0,10.0,8.0,1.0,1.0,4.5,4.47,1,10.0,4.36,26.0,16.61,1406.0,320.43,1
8bb0000e59d8b2154cb951b556ce3b33ae9c2b03,1,1,1,2,2,22.0,20.07,2.5,2.0,7.0,3.61,12,11.0,9.8,46.5,46.5,6855.0,5393.48,13
4bf6f855976614a564a0add5e2d9788bfdb3bf4b,0,0,0,0,0,17.0,12.04,1.5,1.41,1.0,1.0,0,15.0,14.97,27.0,19.18,5605.0,1512.75,1
3bb1a16fdbed082e7208c3f04c81c1e6a115b4fd,0,0,0,0,0,7.0,6.32,1.5,1.41,1.0,1.0,0,13.0,12.96,14.0,12.12,5371.5,1778.57,1
e495d3e46e3734a8580c21d6e29179096f80e70f,0,0,0,0,0,3.0,2.83,1.5,1.41,9.5,8.83,7,3.0,2.24,5.5,5.48,4638.0,797.05,7
5adc2a5327710d1c2930a246b9fa78f2bdbfe885,0,1,2,0,0,10.5,6.16,2.5,2.0,1.0,1.0,0,5.5,4.9,114.0,50.91,1436.5,1332.55,0
00a0c95e0136ff0e3fdc5e0219d878145e404f56,0,0,0,0,0,6.5,3.46,1.5,1.41,1.0,1.0,0,4.0,2.65,105.0,50.61,926.0,469.76,0
aaf5797672876502cbdc1240bdbe611a3746e1c3,1,0,0,1,1,8.0,8.0,2.5,2.0,2.5,2.45,1,4.5,4.47,108.5,62.77,1841.5,1837.08,1
f14a337bc9447e12f7020422410168b39a6cf0d7,1,0,0,1,1,21.0,8.94,2.5,2.0,1.0,1.0,0,9.0,6.71,43.5,22.05,1951.0,1940.09,1
c424049e839b71158098c3abc42773033262166f,0,1,2,0,0,4.0,3.46,1.0,1.0,1.0,1.0,0,2.5,2.0,106.0,56.0,975.0,640.62,0
0fbfcc2c4337a72234f9fcd11452cb7fc5b85745,1,1,3,2,2,26.5,14.0,2.5,2.0,1.5,1.41,1,8.0,5.29,133.5,119.0,1924.0,1908.21,1
411b7010f2b69c33ed20ab1c07c6d62b1cc7584a,1,0,0,1,1,28.5,7.48,3.0,2.24,7.5,3.74,13,7.5,3.74,44.5,25.46,1153.0,487.22,14
9d0b0eefdec921dc45fa3926a2b9cbc04ca99019,0,0,0,0,0,8.5,6.48,1.0,1.0,1.0,1.0,0,4.5,2.83,16.5,9.49,604.0,300.4,1
27b4d3bfc86f4e082f0007700b53ebe4e328dd9f,1,1,1,1,1,7.0,6.93,1.5,1.41,1.0,1.0,0,4.0,3.46,19.0,18.76,534.0,494.73,1
3ad3ee1f39df3c0e9663eb1ad418a6b2839dfc85,0,0,0,0,0,7.0,4.9,2.0,1.73,2.0,1.73,2,4.5,2.83,15.0,12.0,222.5,157.16,3
6d2c37115c4d17aa413eeef89f2a7d968a541d4d,0,0,0,0,0,17.5,9.8,2.0,1.73,1.5,1.41,1,7.5,7.48,33.5,22.85,750.0,548.05,2
2c0863e8e316a27091f0dbe91acbae559e8b2159,0,0,0,0,0,23.0,12.96,2.5,2.0,1.5,1.41,1,15.0,14.97,57.0,29.12,2752.0,2069.52,2
898999f7f244a8eac5f95cf1c4fab51fe3455111,0,0,0,0,0,5.5,4.9,1.0,1.0,1.0,1.0,0,4.5,2.83,32.0,18.65,1140.0,496.91,1
107b0bfae9cde9cfc2c683c98e2e5143cff1e421,0,0,0,0,0,9.0,5.66,2.5,2.0,1.0,1.0,0,6.0,5.92,38.5,37.76,1404.0,1402.72,1
2aa20cdfb7d9261837409ba3c279e5b2e2f2b4a6,0,0,0,0,0,6.5,6.48,1.0,1.0,1.0,1.0,0,2.5,2.0,14.5,13.42,667.5,626.07,1
ed7200b7f4f4150e240219c94eaf962b76533698,0,0,0,0,0,4.0,3.87,1.5,1.41,2.5,2.45,1,1.0,1.0,14.5,13.42,343.5,330.81,1
c3f51e1dbbcdd2dec3450413134a86a3d79b5187,0,0,0,0,0,6.5,5.48,1.5,1.41,1.0,1.0,0,3.0,3.0,16.0,14.83,412.0,410.91,0
a851acb81c1125b87c186024005b007b347a7af6,0,0,0,0,0,7.0,4.9,1.0,1.0,1.0,1.0,0,4.5,4.24,14.5,14.49,539.0,524.78,0
982097c0483abf17ebf5c1332c8e2d566ff9e6f6,0,0,0,0,0,39.0,12.33,2.0,1.73,1.0,1.0,0,40.0,15.2,58.0,27.62,5577.0,1628.3,1
31eb820bdda122b613a4e8b56bff76e799b75dba,1,1,1,3,3,33.5,21.73,2.0,1.73,1.0,1.0,0,40.5,17.55,48.0,46.21,5007.5,2393.38,0
66d0f5b3ce54b1d957bf170fe247a2151071e31e,0,0,0,0,0,3.5,3.16,1.5,1.41,1.0,1.0,0,3.0,2.83,17.5,15.3,304.5,235.11,0
509b12b4d3dd36d51ec65771a7b41c1ffefe97e9,0,0,0,0,0,29.0,10.58,1.0,1.0,1.5,1.41,1,39.5,15.1,31.5,13.42,4691.0,571.97,2
ca76414193239e654c7a33f72396d4a9d332c5a7,0,0,0,0,0,1.5,1.41,1.0,1.0,1.0,1.0,0,1.0,1.0,6.0,4.47,171.0,100.98,0
0f13265eafb7c56da03962b3dffb624f939ad87a,1,1,1,2,22,109.5,32.71,4.5,2.83,41.0,9.0,80,70.0,20.27,169.5,73.99,17724.5,7315.26,81
c89456522f036ae35f9cd35a73e944d0412abb9d,1,1,2,6,7,30.5,21.63,2.5,2.0,1.0,1.0,0,39.0,23.66,55.5,55.44,5349.0,3664.04,0
e9911fa8244419282463fb1252530f7119a492d8,0,0,0,0,0,13.5,8.49,2.0,2.0,1.0,1.0,0,6.5,6.48,28.0,21.45,1777.0,1323.3,1
72981ff070a12542ef493845eb895d3b1a874343,1,1,1,6,20,39.0,38.79,4.0,2.65,1.0,1.0,0,51.0,48.08,68.5,66.48,7735.0,7713.52,0
27d9e092b4ec591a2849cd12ee7a1a8e9c689670,0,0,0,0,0,25.5,7.07,2.5,2.0,1.0,1.0,0,21.0,6.4,66.0,16.12,2248.0,911.31,1
4a4bdab9997db1d2bde51264af67eaf3c6d3ae6b,0,0,0,0,0,26.0,16.61,3.5,3.46,1.0,1.0,0,32.0,31.22,61.0,38.88,3382.0,3381.52,0
4833cfa0b4e0a0624f80ece5e82673207c0d005c,1,0,0,4,8,22.5,16.31,2.5,2.0,1.0,1.0,0,31.5,19.8,38.0,35.33,4190.5,1253.91,0
a98bd705e48d4919ad726cdf163d882869edbbfb,0,0,0,0,0,1.5,1.41,1.0,1.0,2.5,2.0,3,2.0,1.73,10.5,6.16,85.0,46.73,4
dbdab4c4a7870cbc35ba777cda43d5740d17ac23,1,1,1,1,1,15.5,13.56,1.5,1.41,1.5,1.41,1,27.0,15.65,38.0,37.35,3907.5,2792.23,2
