mergeCommitID, isConflicting, existsCommonSlice, totalCommonSlices, conflictingFilesNumber, conflictsNumber, numberOfCommitsArithAverage, numberOfCommitsGeoAverage, numberOfAuthorsArithAverage, numberOfAuthorsGeoAverage, delayIntegrationArithAverage, delayIntegrationGeoAverage, deltaIntegration, minimumLifeTimeArithAverage, minimumLifeTimeGeoAverage, numberOfChangedFilesArithAverage, numberOfChangedFilesGeoAverage, numberOfChangedLinesArithAverage, numberOfChangedLinesGeoAverage, contributionConclusionDelay
532290b05cc95898f3e9ce602db1b732d9c74ce9,0,0,0,0,0,5.5,3.16,3.5,2.45,1.0,1.0,0,1.0,1.0,31.0,29.34,293.5,203.49,1
9bbf10a6df19f72dffad33e35646b79a65cd1489,0,0,0,0,0,4.5,2.83,3.0,2.24,1.0,1.0,0,1.0,1.0,10.5,6.16,252.5,121.22,1
1c4f9f52e2647b78997b5e49aaab2619a33b7c31,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0,1.0,1.5,1.41,59.5,10.86,1
bcafa5f226d8c63912c5bf1eff79d211bb2738b9,0,0,0,0,0,12.5,4.9,9.0,4.12,10.5,9.49,9,1.5,1.41,43.5,20.25,721.5,393.88,9
d4a9b3726ba1d5fd876349c4310f57649cdb0147,0,0,0,0,0,9.0,4.12,6.5,3.46,4.5,2.83,7,6.0,3.32,28.0,14.42,274.0,102.76,7
88a9a045b9d994a0b3bdd80eb06d283f51ec2542,0,1,1,0,0,3.5,2.45,3.0,2.24,3.5,2.45,5,3.5,2.45,4.5,4.47,47.0,40.99,6
37cd5d4fdf17bfed38f84c71be5c2532b4c5daba,0,0,0,0,0,1.5,1.41,1.5,1.41,1.0,1.0,0,1.0,1.0,1.0,1.0,3.0,2.83,0
567cd8206245461bd7a2fd5f0d1e30846fb695d9,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0,1.0,1.5,1.41,32.5,15.62,1
a2ed5e0a2b42969c3b725d890baf97a320202209,0,0,0,0,0,7.5,3.74,4.0,2.65,1.0,1.0,0,95.0,13.75,41.5,9.06,755.0,227.21,1
7aa6f73a174e54e94604144311909374a8c3f20c,0,0,0,0,0,6.5,3.46,4.0,2.65,1.0,1.0,0,95.0,13.75,41.0,17.66,737.5,170.59,1
5947acc3df520b05242f55ac313e9ffdcc439b6b,0,0,0,0,0,113.0,15.0,16.0,5.57,95.0,13.75,188,80.5,12.65,327.0,101.03,37408.5,6215.66,189
e64e6d850ce655d432c19f5fbc168d97cb8d938b,0,0,0,0,0,2.5,2.0,2.5,2.0,2.5,2.0,3,2.5,2.0,14.5,10.95,181.5,116.11,3
364e6c1a1b33763cadf262386087666fd1bc76cb,0,0,0,0,0,1.5,1.41,1.5,1.41,52.5,10.2,103,1.0,1.0,5.0,4.9,39.0,34.06,104
c790403b9de838e01bdfe5551deb87c1e55495a7,0,0,0,0,0,39.5,8.83,11.5,4.69,4.0,2.65,6,58.5,10.77,125.0,15.78,2635.5,102.65,7
558b8f11719943b0f41f56b90d6f85852e95b683,0,0,0,0,0,1.5,1.41,1.5,1.41,36.0,8.43,70,3.5,2.45,35.0,11.66,1254.5,254.08,71
2bb1cdc21b9e598df5e33f31f88ce75ddc07c282,0,0,0,0,0,11.5,4.69,6.5,3.46,3.5,2.45,5,58.5,10.77,36.0,11.83,794.5,201.59,6
e85062278782df38ccf9c3ccad9b628a088ef4b1,0,0,0,0,0,2.0,1.73,1.5,1.41,7.0,3.61,12,4.0,2.65,19.0,10.25,278.5,261.61,13
66a93ad6777ad69df6094f577d4af5bd52ee96c4,0,0,0,0,0,35.0,8.31,11.0,4.58,5.5,5.29,3,56.5,10.58,82.5,12.81,1107.5,162.59,3
08dc66f9a5e2c00bf303a96fd984e0ba9cc705af,0,1,1,0,0,24.5,6.93,8.5,4.0,19.5,6.16,37,56.5,10.58,67.5,11.58,843.5,147.52,38
e12ec3595010f2dd33875f3b6485ab3a9822a39f,0,0,0,0,0,25.0,7.0,7.5,3.74,8.0,3.87,14,56.5,10.58,69.5,11.75,862.5,101.56,15
1d6455a868c957e65f75e3895d8ba1a0f646ec13,0,0,0,0,0,8.0,3.87,4.5,2.83,1.0,1.0,0,56.0,10.54,17.0,5.74,455.5,60.23,1
942435187f769cab5b9c5ba5294d591bdb3ae709,0,0,0,0,0,7.0,3.61,4.5,2.83,1.0,1.0,0,56.0,10.54,16.5,10.77,453.5,111.81,0
a569ea2fe0aa73458a76d833cf533aaf9e9d9e2b,0,1,1,0,0,20.5,6.32,7.0,3.61,4.5,2.83,7,55.5,10.49,66.0,16.12,787.0,184.78,7
0dcdb62e6a673e014a6768998071f2184642ab42,0,0,0,0,0,4.0,2.65,3.0,2.24,8.0,3.87,14,55.5,10.49,12.0,11.62,430.5,323.97,15
b98ec077459366ef28b3b4a3b9283a87f5ec17ea,0,0,0,0,0,133.5,16.31,18.0,5.92,55.5,10.49,109,68.0,11.62,334.5,57.62,36008.0,3009.67,110
4160eab17ca889919cc514cd425f8c2360e602c2,0,0,0,0,0,12.0,4.8,5.5,3.16,1.5,1.41,1,6.5,3.46,50.0,9.95,313.5,35.36,2
a5ccff015609ab28169b5bc7d9bf33e75ea4f276,0,0,0,0,0,24.0,6.86,8.0,3.87,2.0,2.0,0,10.5,4.47,69.0,16.49,591.0,84.0,0
b387a1873f04c20e36743ba52d96a8b29ec574a0,0,1,1,0,0,12.5,4.9,5.0,3.0,9.0,4.12,16,9.0,4.12,49.0,33.24,315.0,278.07,17
7de4a1161dec2e77c689646401a3556ac18bd637,0,0,0,0,0,23.5,6.78,8.0,3.87,1.0,1.0,0,17.5,5.83,82.5,59.16,29430.0,2085.7,0
