mergeCommitID, isConflicting, existsCommonSlice, totalCommonSlices, conflictingFilesNumber, conflictsNumber, numberOfCommitsArithAverage, numberOfCommitsGeoAverage, numberOfAuthorsArithAverage, numberOfAuthorsGeoAverage, delayIntegrationArithAverage, delayIntegrationGeoAverage, deltaIntegration, minimumLifeTimeArithAverage, minimumLifeTimeGeoAverage, numberOfChangedFilesArithAverage, numberOfChangedFilesGeoAverage, numberOfChangedLinesArithAverage, numberOfChangedLinesGeoAverage, contributionConclusionDelay
7df041cee081b2b1736acbd6977d6375ebfac09d,0,0,0,0,0,16.5,14.7,3.0,2.24,51.0,32.86,78,92.5,82.16,18.5,16.43,991.5,898.85,78
91b581b765b50c976a2cdff3c815b36b1aef034b,0,0,0,0,0,1.0,1.0,1.0,1.0,4.5,3.74,5,1.0,1.0,2.0,1.73,4.0,3.46,5
f04219ceda56f144188e0bbbdda70b5624b3ce5f,0,1,1,0,0,1.5,1.41,1.5,1.41,8.0,6.93,8,1.0,1.0,9.5,5.83,101.5,34.38,8
d0896c92be982ee2f547d8a3a038615bf00445f2,0,0,0,0,0,1.0,1.0,1.0,1.0,2.0,1.73,2,1.0,1.0,1.5,1.41,5.0,4.0,3
2baad6388583219d7582978c3968047191806154,0,0,0,0,0,1.0,1.0,1.0,1.0,2.5,2.0,3,1.0,1.0,2.5,2.0,22.0,11.09,4
48aa419cb07189cb7fc7547e84ffaa2d0702c577,0,0,0,0,0,3.0,2.24,1.0,1.0,4.5,4.24,3,1.0,1.0,4.0,2.65,49.0,23.49,3
bb89d91eb0b03949e3c7bfa25b9431a026588913,0,0,0,0,0,1.5,1.41,1.5,1.41,4.0,3.87,2,1.5,1.41,2.5,2.45,14.5,14.49,2
4bfab548eb436385cdc7ae843f77de2d97006af1,0,0,0,0,0,1.5,1.41,1.5,1.41,2.0,2.0,0,1.0,1.0,2.5,2.45,208.0,75.02,0
77a971208ca92ebf68a011ec6939cdd4fbac40b7,0,0,0,0,0,1.5,1.41,1.5,1.41,2.0,1.73,2,2.0,1.73,3.5,2.45,38.5,20.64,3
e9af7f26d5a29f0530f6a6820a2a2c8628680201,0,0,0,0,0,2.0,1.73,1.5,1.41,1.5,1.41,1,2.5,2.0,3.0,2.83,29.5,19.08,2
