mergeCommitID, isConflicting, existsCommonSlice, totalCommonSlices, conflictingFilesNumber, conflictsNumber, numberOfCommitsArithAverage, numberOfCommitsGeoAverage, numberOfAuthorsArithAverage, numberOfAuthorsGeoAverage, delayIntegrationArithAverage, delayIntegrationGeoAverage, deltaIntegration, minimumLifeTimeArithAverage, minimumLifeTimeGeoAverage, numberOfChangedFilesArithAverage, numberOfChangedFilesGeoAverage, numberOfChangedLinesArithAverage, numberOfChangedLinesGeoAverage, contributionConclusionDelay
f50eafa56058cc694eb9324c950dd02e097f25e5,0,0,0,0,0,4.5,3.74,1.5,1.41,1.0,1.0,0,1.0,1.0,5.5,5.48,315.0,204.02,0
09c044291447ed64e624787240398cf6926d435e,0,0,0,0,0,14.5,5.29,1.5,1.41,2.5,2.0,3,117.0,15.26,4.5,2.83,669.5,89.43,4
d77a42cd54fec3499e398ac03f6acf8687b79b52,1,1,3,4,21,43.0,39.5,2.5,2.45,22.0,6.56,42,116.5,90.39,69.0,41.67,1524.5,1510.86,43
12e7d819f0bbda7cea0fa63bd6f030ba6d9e3ae1,0,1,4,0,0,8.0,3.87,1.0,1.0,6.0,3.32,10,6.0,3.32,50.0,46.65,408.5,355.91,11
b9744c36f0a2afd3474f4ee13681f3a927cdab55,1,0,0,1,2,6.5,3.46,1.0,1.0,6.0,3.32,10,4.0,2.65,17.0,15.91,303.5,200.89,11
d5c8d974bf329b58f1b1467fee0a00aebed9bd91,0,1,1,0,0,57.0,33.66,7.0,3.61,3.0,2.24,4,144.5,137.15,42.0,15.59,1370.5,1342.73,5
b13cf1705ed4e52c9ad727d7ed7e10bece211c30,0,1,1,0,0,289.5,53.57,3.0,2.24,189.0,189.0,0,1.5,1.41,158.5,30.69,11035.0,3434.25,0
08b67f3c8635850d2a9782d354bfea67f4044123,1,1,1,1,2,14.0,14.0,1.5,1.41,1.0,1.0,0,1.5,1.41,6.0,5.2,2234.5,1564.41,1
c58b62c78ecab2d10b3a0bc9d2feddf399bd70df,0,0,0,0,0,12.5,10.68,1.0,1.0,1.0,1.0,0,4.0,2.65,6.5,6.32,929.0,226.36,0
40927b01b85a55afc716fb9196de4053ba7355f0,0,0,0,0,0,6.0,5.66,1.5,1.41,1.0,1.0,0,3.5,3.46,5.0,4.0,808.0,441.06,1
81523627c136c50803ca4d0cca6c184522af1664,0,0,0,0,0,12.5,4.9,1.5,1.41,2.5,2.0,3,4.5,2.83,9.0,4.12,378.5,267.78,3
58d5fc5c1d4722cceb6c46a4d82a385de1a3e30f,0,0,0,0,0,5.0,4.58,1.0,1.0,1.0,1.0,0,2.0,1.73,5.0,4.0,749.5,144.19,0
a03c07382bbee00a6d058c3511a50720a42bf32b,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0,1.0,1.0,1.0,2.0,2.0,0
6eefd635892a11bb53315db248c756ca59873568,0,0,0,0,0,1.5,1.41,1.0,1.0,1.0,1.0,0,1.0,1.0,2.0,1.73,39.0,26.08,0
152e3845ba1426c09dc7e20abfa107a6144e396c,0,0,0,0,0,22.0,6.56,1.5,1.41,1.0,1.0,0,5.0,3.0,8.0,5.29,960.5,213.37,0
a0b46792916ca315b29653192f3b2484e5c88d52,1,1,2,2,2,22.0,18.44,1.5,1.41,3.0,2.24,4,4.0,4.0,11.0,10.25,967.0,405.22,4
6a64936f1c8f9c7bbcbd8660f77e2722b274c582,1,1,1,8,11,100.0,66.14,2.5,2.45,1.0,1.0,0,24.5,13.42,59.0,35.67,2895.0,2489.29,1
ca16548096f9dd6a8391db090211631612c6a4cd,0,1,1,0,0,80.5,34.99,1.5,1.41,1.5,1.41,1,24.0,15.87,45.0,22.45,2178.5,2061.78,1
abbb9a56786496abb49da4c97fcafc559e6a6666,0,0,0,0,0,23.0,22.65,1.0,1.0,2.0,1.73,2,3.5,3.46,19.5,18.97,487.5,472.12,3
91cc70adfc16ed3a2abecefb3164c829ea9f4622,1,1,1,1,1,11.5,9.49,1.0,1.0,1.0,1.0,0,1.5,1.41,8.0,6.93,157.5,83.57,0
77977600da9ca5afd11cab9f4d5267420ca3a3e6,0,0,0,0,0,1.5,1.41,1.0,1.0,1.0,1.0,0,1.0,1.0,1.5,1.41,7.0,7.0,0
c08a21063ba692c274bc90225c1a71000cb529d1,0,0,0,0,0,9.5,5.83,1.0,1.0,1.0,1.0,0,1.5,1.41,6.5,3.46,149.0,45.13,0
996a088710b92290002e0aa169ecd7ba90802b45,0,0,0,0,0,8.0,6.24,1.0,1.0,1.0,1.0,0,1.0,1.0,6.0,4.47,141.0,78.69,1
4e057642892d5bb5a909fed1ad3b2fd1c6a20f04,0,1,1,0,0,5.0,4.9,1.5,1.41,1.0,1.0,0,1.0,1.0,6.5,5.48,97.5,46.86,0
3db41a11716871d52bae737d5973a965b46d6389,0,1,1,0,0,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0,1.0,4.0,3.46,28.0,14.42,0
eb174fe4797f4a323bc989918b9e7db8b6c59bb3,0,0,0,0,0,16.0,7.75,1.0,1.0,2.0,1.73,2,16.5,5.66,9.5,5.83,556.5,287.47,3
e78801231dc25092267a401e35f9dfaa02676158,0,1,1,0,0,10.0,4.36,1.0,1.0,1.0,1.0,0,16.5,5.66,8.0,3.87,332.5,36.41,0
a113c2cff05ffd1a27c6031d85f3e3f76e3cbfc0,0,0,0,0,0,6.5,3.46,1.0,1.0,1.0,1.0,0,16.0,5.57,7.0,3.61,321.0,79.5,0
6e1783fd4a81d55d61e89dc80a2ec304d20ed0bc,0,1,1,0,0,16.5,15.56,1.0,1.0,1.0,1.0,0,37.0,36.33,31.5,25.5,662.5,661.8,1
d40a22aac9bdbeee763c047813864b86b939955e,0,0,0,0,0,7.5,6.63,1.0,1.0,1.0,1.0,0,22.0,6.56,18.0,5.92,243.0,146.33,0
8c88fa79c978950a823128a40d795926cf86c99a,0,1,2,0,0,23.5,19.24,1.5,1.41,11.5,4.69,21,15.0,13.27,20.5,19.08,685.5,683.41,22
1d9efd837ce87d76dd797b58c16d987056b9a693,0,1,2,0,0,23.5,19.24,1.5,1.41,11.5,4.69,21,21.5,21.49,31.5,31.3,588.0,568.28,22
35a930cc123eba7d9d2421894c8210329f36edff,0,1,1,0,0,3.5,3.46,2.0,2.0,1.0,1.0,0,1.0,1.0,4.5,4.47,67.0,50.53,0
95597e0ac72069d5e05d849b5065ac4e730ddc55,0,0,0,0,0,1.5,1.41,1.5,1.41,1.0,1.0,0,1.0,1.0,2.5,2.0,11.5,11.22,0
8123a6d76b03c327c8b5feb2e30da631a74d0b5a,1,1,4,4,6,22.0,17.75,1.5,1.41,3.0,2.24,4,10.5,8.94,39.0,38.79,526.0,518.42,5
b9a481317107371fbf788af1ade8c029368ae589,0,1,2,0,0,6.5,6.0,1.0,1.0,1.0,1.0,0,4.5,2.83,14.0,13.96,338.0,166.76,0
80d3cdc1a60057e14edcb8b2b4d698e146e5148a,1,1,4,2,9,19.0,14.73,1.5,1.41,3.0,2.24,4,4.0,3.87,24.5,22.58,601.0,600.25,5
d96a723f2a7354e8b7f2f0b23f4524da167bacef,1,1,2,1,2,14.5,10.95,1.5,1.41,3.0,2.24,4,3.0,2.24,19.0,19.0,285.5,211.75,5
