mergeCommitID, isConflicting, existsCommonSlice, totalCommonSlices, conflictingFilesNumber, conflictsNumber, numberOfCommitsArithAverage, numberOfCommitsGeoAverage, numberOfAuthorsArithAverage, numberOfAuthorsGeoAverage, delayIntegrationArithAverage, delayIntegrationGeoAverage, deltaIntegration, minimumLifeTimeArithAverage, minimumLifeTimeGeoAverage, numberOfChangedFilesArithAverage, numberOfChangedFilesGeoAverage, numberOfChangedLinesArithAverage, numberOfChangedLinesGeoAverage, contributionConclusionDelay
281f07244ba23084bb7caed040098518a5dad9b4,1,0,0,1,1,5.0,4.9,2.5,2.0,7.0,3.61,12,1.5,1.41,38.0,20.49,223.5,174.62,13
57d784f1e454af5500b608b7a3fd1452ecbb9e6a,0,1,3,0,0,24.5,6.93,18.0,5.92,1.0,1.0,0,1.5,1.41,54.5,34.12,1488.0,517.8,0
2fd0473aa16603ca85e9e71dfbf4f32420f68327,0,1,2,0,0,29.5,10.68,18.5,8.37,1.0,1.0,0,1.0,1.0,66.5,19.75,1861.0,265.25,1
acd33101c50ba0cf09c1c41616f919d37760f3f7,0,1,1,0,0,13.0,5.0,9.0,4.12,1.0,1.0,0,1.0,1.0,25.5,12.0,331.0,110.53,1
41c697fd8190ffef517404b4a4fdef805517166d,0,0,0,0,0,20.0,19.6,9.0,6.71,1.0,1.0,0,1.0,1.0,37.5,25.5,1522.5,1486.42,0
e70b84b1dc39ccc2e98bc2e93c8a10d067a9a271,0,0,0,0,0,4.5,2.83,3.0,2.24,1.0,1.0,0,1.0,1.0,17.0,15.49,367.5,256.17,0
1a5a54eb4b93fd16d9a0d158919b1936abe39227,0,0,0,0,0,7.0,4.9,2.5,2.45,1.0,1.0,0,1.0,1.0,7.0,6.32,596.0,103.18,0
d2c20936f35f140ea4d8600cfac1d452c33acdd2,0,0,0,0,0,2.5,2.45,1.5,1.41,1.0,1.0,0,1.0,1.0,1.5,1.41,14.0,9.8,0
aec2458d81c5d1d66dd4e997793693acf6add4f3,0,0,0,0,0,4.0,2.65,2.0,1.73,1.0,1.0,0,1.0,1.0,4.5,2.83,601.5,168.21,0
4a6d3bac868f0698fc976265c7936efcadca7cdb,0,0,0,0,0,3.5,3.16,3.5,3.16,1.0,1.0,0,1.0,1.0,7.5,6.63,618.5,575.93,0
1a12fd14d438380e24421e9c8a8894cc705aba51,0,0,0,0,0,5.0,3.0,4.0,2.65,1.0,1.0,0,1.0,1.0,29.5,14.83,877.5,731.62,0
