mergeCommitID, isConflicting, existsCommonSlice, totalCommonSlices, conflictingFilesNumber, conflictsNumber, numberOfCommitsArithAverage, numberOfCommitsGeoAverage, numberOfAuthorsArithAverage, numberOfAuthorsGeoAverage, delayIntegrationArithAverage, delayIntegrationGeoAverage, deltaIntegration, minimumLifeTimeArithAverage, minimumLifeTimeGeoAverage, numberOfChangedFilesArithAverage, numberOfChangedFilesGeoAverage, numberOfChangedLinesArithAverage, numberOfChangedLinesGeoAverage, contributionConclusionDelay
15372c45281f9147418395421e467db1b2954d75,0,0,0,0,0,3.0,2.83,1.5,1.41,7.0,3.61,12,1.5,1.41,2.5,2.0,17.5,8.12,13
7ee79816ffc0f2433df412e87024061e794736e3,0,1,1,0,0,13.0,5.0,2.0,1.73,23.0,9.38,42,1.0,1.0,419.5,28.95,31963.0,357.56,42
284f1acd28abab4005f6388d095e9cd1cc2f52a0,1,1,1,1,1,2.5,2.0,1.0,1.0,1.0,1.0,0,1.0,1.0,16.0,11.62,121.0,111.5,1
20c73690f9c960ed40ca5269f5153e4fc4ac118a,0,0,0,0,0,2.5,2.45,1.0,1.0,1.0,1.0,0,1.0,1.0,30.0,27.91,600.0,589.83,1
098bb13f543c47e652442e65c1402eb563ba99b8,0,0,0,0,0,2.0,2.0,1.0,1.0,1.0,1.0,0,1.0,1.0,313.0,35.33,25888.5,394.11,0
e4c6e00b782270f1153955898e2485d5d3871baa,0,0,0,0,0,26.5,7.21,1.5,1.41,1.5,1.41,1,1.5,1.41,493.5,31.4,22058.5,420.06,2
f3033ac8efb0f22b7e1d2c9425b9b0c27c5b9edb,0,0,0,0,0,1.5,1.41,1.0,1.0,1.0,1.0,0,1.0,1.0,2.5,2.45,20.5,20.2,0
e262afeeb2eeb479a8c76850644db3572220cccc,0,0,0,0,0,2.0,1.73,1.0,1.0,1.0,1.0,0,1.0,1.0,2.5,2.0,20.5,10.68,0
623e90144ef032ca9026293b8581d759a6749b92,0,0,0,0,0,2.5,2.0,1.0,1.0,1.0,1.0,0,1.0,1.0,3.0,2.24,18.5,8.37,0
2afd3354cb37f4a2021827ce43e5a4f696713a04,0,0,0,0,0,6.0,3.32,3.5,2.45,111.5,105.0,75,31.0,7.81,10.0,4.36,44.5,13.19,75
fd03aed89740b4afe0d2ae67f37b706d0de921c5,0,0,0,0,0,2.5,2.0,2.5,2.0,14.5,10.0,21,7.5,3.74,2.0,1.73,5.5,4.9,21
478896185b0feb41ac328742f3527531c35f2cad,0,1,1,0,0,3.0,3.0,2.0,1.73,5.0,4.9,2,4.5,2.83,4.5,4.24,24.0,17.89,2
aa50252c19b28969e3bc217e70bed6a2f16d3a78,0,0,0,0,0,1.0,1.0,1.0,1.0,4.5,2.83,7,1.0,1.0,1.5,1.41,4.0,3.46,7
41a870e17ae5e574d65c512affa441c70ad411f2,0,1,1,0,0,7.5,3.74,1.5,1.41,28.0,26.15,20,4.5,2.83,33.5,30.66,1257.0,595.48,20
e36ec5e981e24cf84bbad049d5ac6ecdf0e2c92b,0,1,1,0,0,5.5,5.48,1.0,1.0,4.0,2.65,6,4.5,2.83,6.5,6.0,55.5,55.39,7
690efcf9364da291d62e9b83e192907c4e815fa4,0,0,0,0,0,3.5,2.45,1.0,1.0,1.0,1.0,0,14.5,5.29,4.0,3.46,37.5,36.74,0
2c876c3f03bcad10afd19f7a361ea18aadb773c2,0,0,0,0,0,3.5,3.16,1.0,1.0,1.0,1.0,0,14.5,5.29,3.0,3.0,32.0,29.24,0
2772ec18227b04b3cb618748a2900a7b93b84d94,0,1,1,0,0,7.5,6.0,1.5,1.41,2.0,1.73,2,6.0,5.92,5.0,4.9,86.0,69.25,3
8287d5f07b353de28b36faaacd93c904939aeae2,0,0,0,0,0,3.5,3.16,1.5,1.41,10.0,10.0,0,12.5,4.9,2.0,2.0,9.0,8.06,0
0c6a707f1fe7e48db2d77aeea82fdfbace2abcf7,0,1,1,0,0,3.5,3.46,1.5,1.41,12.5,4.9,23,12.5,4.9,3.0,2.83,11.5,11.4,24
db61693a5f04b6a1ac7b55aa4df5ac733ef38be3,0,0,0,0,0,2.5,2.0,1.5,1.41,2.0,1.73,2,2.0,1.73,1.0,1.0,9.0,8.49,3
88b5ceddad8a57de03e429efae67b6e20eac6508,0,0,0,0,0,1.5,1.41,1.0,1.0,1.0,1.0,0,2.0,1.73,1.0,1.0,6.0,6.0,0
