mergeCommitID, isConflicting, existsCommonSlice, totalCommonSlices, conflictingFilesNumber, conflictsNumber, numberOfCommitsArithAverage, numberOfCommitsGeoAverage, numberOfAuthorsArithAverage, numberOfAuthorsGeoAverage, delayIntegrationArithAverage, delayIntegrationGeoAverage, deltaIntegration, minimumLifeTimeArithAverage, minimumLifeTimeGeoAverage, numberOfChangedFilesArithAverage, numberOfChangedFilesGeoAverage, numberOfChangedLinesArithAverage, numberOfChangedLinesGeoAverage, contributionConclusionDelay
ecd80b63c3d4dd3e77190b23ac6a7de1d58cf17e,0,0,0,0,0,93.0,23.43,12.0,4.8,12.0,4.8,22,31.0,10.95,1.5,1.41,7197.5,574.94,23
f421c22819bdd9b197ba02a3e3404a4a859023d4,0,0,0,0,0,2.0,2.0,1.5,1.41,3.0,2.24,4,1.0,1.0,1.0,1.0,39.5,15.1,5
96ea700636d1e0584ad0fbf9eb96122ba49c4af4,0,0,0,0,0,2.0,2.0,1.5,1.41,3.0,2.24,4,1.0,1.0,1.0,1.0,39.5,15.1,5
8f88b9c0cc98233a78385553da36f290aaeb9619,0,1,1,0,0,6.0,4.47,2.5,2.0,1.0,1.0,0,6.0,6.0,7.5,5.1,1125.0,67.05,0
3b6beb87e4c885192c1bd7353cd747db0038b908,0,1,1,0,0,6.0,4.47,2.5,2.0,1.0,1.0,0,6.0,6.0,7.5,5.1,1125.0,67.05,0
45f59afa04f4fda62075c9a112090e516f3f221a,0,0,0,0,0,2.5,2.0,1.0,1.0,1.0,1.0,0,1.5,1.41,3.5,2.45,60.5,24.08,1
1247180628ec45435d5f5909f05cb19aa2f82e22,1,0,0,1,1,5.0,4.58,2.0,1.73,1.0,1.0,0,2.0,1.73,4.0,2.65,36.5,18.44,1
82514733caadd899c8bcde51ab4b1b68d6c715bf,1,0,0,1,1,18.5,10.1,3.0,2.24,2.0,1.73,2,2.5,2.0,14.0,5.2,926.0,241.33,3
5be77c53e2f5530d3931cbd2eaa817ddfcd7399a,0,1,1,0,0,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0,1.0,3.0,3.0,11.5,11.4,0
776429a33d8605e876e934ec7043dd257d9f8429,0,1,1,0,0,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0,1.0,3.0,3.0,11.5,11.4,0
b271aff43c330ab22a7c48a7b4fcb4b4a028ca1c,0,0,0,0,0,2.0,1.73,1.0,1.0,1.0,1.0,0,1.0,1.0,3.0,2.24,8.0,3.87,1
e49bea6cc8243c702af788cbb84f02c1c8604df6,0,0,0,0,0,2.5,2.45,1.0,1.0,1.0,1.0,0,1.0,1.0,3.5,3.16,10.0,8.66,1
f71066c3c9f0dfbf449e90e9695ac7d6a880078a,0,0,0,0,0,3.0,2.24,1.0,1.0,1.0,1.0,0,1.5,1.41,1.0,1.0,4.0,3.46,0
68fa9df0bab74968bd4df90279a7019a4b6a9a4c,0,0,0,0,0,3.0,2.83,1.0,1.0,1.0,1.0,0,1.5,1.41,6.5,3.46,100.0,34.12,0
93bbe0bbc840efa66a150f403fe035408da4e77b,0,0,0,0,0,6.0,5.2,1.5,1.41,1.0,1.0,0,2.0,2.0,4.0,2.65,129.5,38.96,0
38346564da7b0cbe9ec88edda58f7d3de8381fa2,0,0,0,0,0,7.0,7.0,2.5,2.0,1.0,1.0,0,1.0,1.0,9.5,8.37,720.0,529.39,1
4fb3ce59323f0c0c1f03d964da155586f133b7fb,0,0,0,0,0,7.0,7.0,2.5,2.0,1.0,1.0,0,1.0,1.0,10.0,8.66,721.0,529.83,1
f1c02e3b49b48f31dbdf4747b38b5f472392d392,0,0,0,0,0,7.0,4.9,3.0,2.24,1.5,1.41,1,1.5,1.41,10.0,4.36,1159.0,117.78,2
1a08ca5b5c26b182a2fba5157dac767aeca99660,0,0,0,0,0,2.5,2.0,2.0,1.73,1.0,1.0,0,1.0,1.0,3.0,3.0,515.5,135.03,1
b3fabb07d8abe6ce48e2600a7827713c539fa3c0,0,0,0,0,0,2.5,2.0,2.0,1.73,1.0,1.0,0,1.0,1.0,3.0,3.0,515.5,135.03,1
835bda167b0b0ee82704bde1484233badf9a0e5e,0,0,0,0,0,1.5,1.41,1.0,1.0,1.0,1.0,0,1.0,1.0,1.5,1.41,9.0,5.66,0
