mergeCommitID, isConflicting, existsCommonSlice, totalCommonSlices, conflictingFilesNumber, conflictsNumber, numberOfCommitsArithAverage, numberOfCommitsGeoAverage, numberOfAuthorsArithAverage, numberOfAuthorsGeoAverage, delayIntegrationArithAverage, delayIntegrationGeoAverage, deltaIntegration, minimumLifeTimeArithAverage, minimumLifeTimeGeoAverage, numberOfChangedFilesArithAverage, numberOfChangedFilesGeoAverage, numberOfChangedLinesArithAverage, numberOfChangedLinesGeoAverage, contributionConclusionDelay
8c6393ff03fa69df9ed38d7579b014ff981f1328,1,1,1,1,1,27.5,15.81,4.5,2.83,1.0,1.0,0,30.0,30.0,22.5,14.14,535.5,346.25,0
1b320fbb75d9c75e5f47c74a2ac87a62891be355,0,0,0,0,0,2.0,1.73,2.0,1.73,1.0,1.0,0,1.0,1.0,4.0,3.46,19.0,17.66,1
be5ab24c9bb1f0e1c2249b03abc5d1653841adb7,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0,1.0,1.0,1.0,6.0,5.92,0
817a783a1b4aefa0eb2511da926c587769da3331,0,0,0,0,0,1.5,1.41,1.0,1.0,1.0,1.0,0,1.0,1.0,3.0,2.24,16.5,16.12,0
901397c4f8edadb20a28b1827ab12a619e10ccea,0,0,0,0,0,2.0,1.73,1.5,1.41,1.0,1.0,0,1.0,1.0,1.5,1.41,28.0,10.39,1
905c9f03164235764159aa71421486e19d1a54b3,0,0,0,0,0,2.0,1.73,1.0,1.0,1.0,1.0,0,1.0,1.0,3.0,2.24,20.0,15.2,0
8ddc2ae4fb5539209d2ec498ae34d8d40938bdb9,0,1,1,0,0,6.5,4.69,1.5,1.41,2.5,2.0,3,3.0,2.24,7.5,5.1,88.0,62.45,4
ffdf46d2f5807a30b2227d416788bcdfeaaa7492,0,0,0,0,0,2.0,1.73,2.0,1.73,1.0,1.0,0,1.0,1.0,5.5,3.16,59.5,29.8,0
66047a5230d7f0a34c537d3c68c44131ca18cfbc,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0,1.0,5.0,3.0,55.5,38.99,1
8213c4d76007044a5d973ad8deea9891029eaf91,0,0,0,0,0,1.5,1.41,1.0,1.0,1.5,1.41,1,1.0,1.0,1.5,1.41,6.0,6.0,1
0443e637c4d6c1c733e3f5cf16b7420fef91ad15,0,0,0,0,0,2.5,2.0,1.5,1.41,1.0,1.0,0,2.0,1.73,3.0,2.83,39.0,23.66,0
d80e3d13580c030453fb4699b87f0440998110ef,0,0,0,0,0,1.5,1.41,1.5,1.41,1.0,1.0,0,1.0,1.0,1.0,1.0,7.0,6.93,0
edb3361229df8a4bd0f06177824d07035f198db1,0,0,0,0,0,2.5,2.0,1.0,1.0,1.0,1.0,0,1.0,1.0,4.0,2.65,52.5,24.37,0
1934df1ca0949de53d8bb3d8f6561eb60fd3b08d,0,0,0,0,0,5.0,3.0,2.0,1.73,1.0,1.0,0,4.5,2.83,5.0,4.0,70.5,16.67,0
55674b1fbf7d621ca2e7bd2f7bb3a251a781872a,0,0,0,0,0,16.0,5.57,3.5,2.45,1.0,1.0,0,37.0,8.54,19.5,10.39,645.5,128.9,0
10c16dd9a11446778c00338bfecd2443cce0a968,0,0,0,0,0,15.5,5.48,3.5,2.45,1.0,1.0,0,37.0,8.54,19.5,10.39,642.0,87.57,0
d14815ec654ff79f10cee90edab7556bff620538,0,0,0,0,0,1.5,1.41,1.5,1.41,1.0,1.0,0,1.0,1.0,5.5,4.24,51.0,19.8,0
44c5f2fe78e36a1570cb209a5d6620d8a02b1bb3,0,0,0,0,0,1.5,1.41,1.5,1.41,1.0,1.0,0,1.0,1.0,4.5,2.83,20.0,14.28,1
e603e9e23cdf4617baf54c305502290d5d2c3a95,0,0,0,0,0,9.5,6.93,2.5,2.0,2.5,2.0,3,2.0,1.73,4.5,4.47,46.5,46.04,4
a93fd3723fab71537a4cbf62317e17baa4d0b3fa,0,0,0,0,0,2.5,2.45,1.5,1.41,1.0,1.0,0,1.0,1.0,1.5,1.41,11.5,11.49,0
b6f234b3fa4967038308fc3acc0b7977db8e7893,1,0,0,1,1,12.0,7.94,3.5,2.45,1.0,1.0,0,2.5,2.0,16.0,15.72,509.0,508.92,0
88ea4434c5c4a8cba17d86829bfb784daaa59f27,0,1,1,0,0,11.0,10.95,2.5,2.0,1.0,1.0,0,3.5,3.46,11.0,9.22,330.0,289.17,0
6569c287da8934f712585ea09194d482f0ad6335,0,1,1,0,0,7.5,6.63,2.5,2.0,2.0,1.73,2,1.5,1.41,8.5,5.48,159.5,159.48,2
65e19b4272ccc603c3d752beb01c627256d02679,0,0,0,0,0,7.0,5.74,4.0,2.65,1.0,1.0,0,1.0,1.0,4.5,4.24,34.5,19.44,1
3157f8e6cebd916e93f1374bfd54b74a07ada1ed,0,0,0,0,0,19.5,10.39,3.5,2.45,1.0,1.0,0,1.0,1.0,10.0,8.0,183.5,133.87,0
1be1bee9ae0c925435590c1158e88f6f655ec1dd,0,0,0,0,0,8.0,6.93,1.5,1.41,1.0,1.0,0,1.0,1.0,6.5,6.32,111.0,100.08,0
4482b81be3a03a306b902768c64ffdf1adfb02cb,0,0,0,0,0,3.5,3.46,1.0,1.0,1.0,1.0,0,1.0,1.0,1.0,1.0,15.5,13.56,0
ef79d08f938acf59d115378315f415bc0eec50d9,1,0,0,1,2,5.0,4.9,2.0,1.73,1.0,1.0,0,1.0,1.0,7.5,6.63,179.5,179.38,1
a5e1210cc838b7052194624061867acf089947ce,0,0,0,0,0,1.5,1.41,1.5,1.41,1.0,1.0,0,1.0,1.0,2.0,1.73,93.0,53.6,1
7bf38a73c0a6bf6f0dfb9aae34cf1a5ea7c7fcfe,0,1,2,0,0,8.0,7.94,2.0,1.73,1.0,1.0,0,2.0,1.73,11.5,10.95,370.0,321.0,1
49467315b5aabdd32aa8cee42ab98ddc7d6dfe2a,0,0,0,0,0,3.0,2.83,1.0,1.0,1.0,1.0,0,1.5,1.41,5.5,3.16,353.0,52.99,0
14397bc922e4a06b517ba0da155c0a786c256285,0,1,1,0,0,1.5,1.41,1.0,1.0,1.0,1.0,0,1.0,1.0,4.5,2.83,218.5,50.85,0
17e0839ff3a494852c9a3f1c43773b12b7da3479,0,1,1,0,0,38.0,25.69,3.5,2.45,1.5,1.41,1,7.0,6.93,19.0,13.86,492.5,279.51,2
