mergeCommitID, isConflicting, existsCommonSlice, totalCommonSlices, conflictingFilesNumber, conflictsNumber, numberOfCommitsArithAverage, numberOfCommitsGeoAverage, numberOfAuthorsArithAverage, numberOfAuthorsGeoAverage, delayIntegrationArithAverage, delayIntegrationGeoAverage, deltaIntegration, minimumLifeTimeArithAverage, minimumLifeTimeGeoAverage, numberOfChangedFilesArithAverage, numberOfChangedFilesGeoAverage, numberOfChangedLinesArithAverage, numberOfChangedLinesGeoAverage, contributionConclusionDelay
728d49b2be24c2b5c31f02045560786668bb0079,0,0,0,0,0,160.5,17.89,4.5,2.83,84.5,33.67,155,128.5,16.0,192.5,19.6,13977.5,3529.65,155
fa6bb48d8673bccfb4f07f2ebb99d293b6deefd8,0,0,0,0,0,11.5,4.69,1.5,1.41,64.0,15.87,124,61.0,11.0,36.0,8.43,551.5,279.38,124
00b9b79b0b3658d0de04d2240511357d9e1a7438,0,1,1,0,0,26.0,23.07,4.0,3.87,1.5,1.41,1,58.5,49.92,13.0,12.96,623.5,622.85,2
df275adb00edf4bba63381584e876664da65d6e5,0,0,0,0,0,10.5,10.2,4.0,3.87,4.0,2.65,6,26.0,25.98,15.5,15.1,521.0,515.72,6
2a58d74c6ed0f7614cb675edfc1aaa611ac0f75d,0,0,0,0,0,22.5,14.14,3.0,2.83,8.0,3.87,14,50.0,31.29,16.0,14.83,549.5,548.54,15
0ecced626547bf8cef2e7948f57035b5198582c5,1,1,1,2,2,39.0,38.17,2.0,1.73,27.5,15.81,45,49.0,47.97,46.5,18.87,1260.5,567.55,45
4176ec6525fe1707d8c2ea4a803a379747007454,0,0,0,0,0,1.5,1.41,1.5,1.41,1.0,1.0,0,1.0,1.0,1.5,1.41,135.0,81.0,0
c4919716ccf59eb7200e00fc016f87dc5adf9941,0,1,1,0,0,3.5,3.46,1.0,1.0,1.0,1.0,0,1.5,1.41,12.5,11.22,167.5,151.47,1
513b173bbe7eb407ba08f9cb271aab5bb12d6625,1,0,0,1,1,7.5,3.74,1.0,1.0,1.0,1.0,0,4.0,2.65,17.0,9.64,497.5,180.76,0
3f6a7e420aa47c48f61a957959458639fde203c1,1,0,0,1,1,57.0,14.97,2.0,1.73,12.0,4.8,22,15.0,5.39,75.0,26.93,1671.5,920.05,23
573bd7f366dea3187ed1ede27ba704c4358eb24d,0,1,1,0,0,11.0,6.32,2.0,1.73,1.0,1.0,0,18.5,17.94,21.5,12.49,253.5,225.66,1
bbca4f3f73a51bf0560e3a69614b2f731f18db96,1,1,1,1,1,45.5,9.49,2.0,1.73,16.5,15.17,13,9.5,4.24,64.0,22.27,1418.0,610.18,13
7548bb509398c0955b3b65a83be2cb7f718d2d86,0,0,0,0,0,16.0,7.75,1.5,1.41,1.0,1.0,0,21.5,12.49,4.0,4.0,81.0,60.37,0
d87e8bd08f2a9a97ce5bde6a6da4e5c9f37386d7,0,0,0,0,0,3.5,2.45,1.5,1.41,2.5,2.0,3,2.5,2.0,9.5,7.75,70.5,55.48,4
d48c966c422c7c41afa24cfed3a6beda75d25963,0,0,0,0,0,16.5,10.77,1.5,1.41,2.5,2.0,3,18.0,5.92,7.0,6.32,83.5,65.73,4
3c45d0e1735d1c5d35d752b0ac821b8e7a63c553,1,1,1,1,1,15.0,7.48,1.0,1.0,1.0,1.0,0,18.0,5.92,4.5,4.47,108.5,105.21,0
d77ae75215fe8e4900ba1861eceb7f52bb88d9a8,1,0,0,1,1,17.5,15.3,1.5,1.41,1.0,1.0,0,17.5,5.83,23.0,9.38,462.0,318.15,1
3dfa4a71dc757216b879abd08420e3b5be819226,1,1,1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0,1.0,5.0,5.0,119.5,119.5,0
4b51d94aa86b9ac5903b0e2cbd05a8499eba8ee7,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0,1.0,4.0,3.87,20.0,20.0,0
816134cfe0bbbf60bc06f7c4fdc09347773f8307,0,0,0,0,0,13.0,5.0,1.0,1.0,1.0,1.0,0,17.5,5.83,3.5,3.16,73.5,50.4,0
8676008fd6e7fc372b94cc83bc4f94395a6bc89c,0,0,0,0,0,12.5,4.9,1.0,1.0,1.0,1.0,0,17.5,5.83,2.0,2.0,71.0,43.65,0
e161c2eb8870c5bc061d1f725f154c7c51aa54c6,0,0,0,0,0,12.0,4.8,1.0,1.0,1.0,1.0,0,17.5,5.83,1.5,1.41,64.0,11.27,0
ef19ee1a23092d9d1d2473d3bd2f182155fdb94c,0,0,0,0,0,12.0,6.63,1.5,1.41,1.0,1.0,0,17.5,5.83,7.0,4.9,234.0,208.1,0
12aa22f71533da430e552e32e3a038a4ff6baa6c,0,0,0,0,0,7.5,3.74,2.0,1.73,1.0,1.0,0,1.0,1.0,20.5,18.65,264.0,252.52,0
eab3a9031e34d5ccf8a7609b3c4544584823ef83,0,0,0,0,0,18.0,17.75,2.0,1.73,1.0,1.0,0,17.5,5.83,16.5,9.49,168.0,162.92,0
b5f531f0ba9968bf8b95aad661b6f376eb9eb170,1,0,0,1,1,7.0,3.61,1.5,1.41,1.0,1.0,0,1.0,1.0,15.5,7.62,104.5,64.14,1
4e957b44079f6014f862d7612d5b729eba0645f4,0,0,0,0,0,2.5,2.0,1.0,1.0,1.0,1.0,0,1.0,1.0,3.5,3.16,24.5,20.45,0
6a03b789ea060d661cf74bd1109370e4444f84c6,0,1,1,0,0,4.0,3.46,1.5,1.41,1.0,1.0,0,6.5,3.46,7.5,6.63,290.0,63.33,1
d65873e7f7af67722e13369f8beafeb1e3ae71b1,0,0,0,0,0,15.0,14.46,2.0,1.73,1.0,1.0,0,22.0,19.6,11.0,4.58,367.5,188.46,0
bf0920b05fdb6a29b4e37e46ef059c6c60e5e1b2,0,1,1,0,0,31.5,17.03,1.5,1.41,1.0,1.0,0,11.5,11.49,34.5,25.26,633.5,630.6,0
dc67e970b787e5562b38a395f630b44b9c19b212,1,1,2,1,1,3.0,2.24,1.0,1.0,1.0,1.0,0,1.0,1.0,5.5,5.29,50.0,49.36,0
ab930d5a648bdb0ef591795998a1446d8ff2ac9d,1,1,4,2,3,7.5,6.0,1.0,1.0,1.0,1.0,0,1.0,1.0,13.5,13.27,84.0,73.86,1
24bdbf10f0046a9aa8a0641a24f73aa80229e73b,0,0,0,0,0,2.5,2.0,1.0,1.0,1.0,1.0,0,1.0,1.0,5.0,5.0,31.5,29.7,0
68910bc4be3584856dee2bde7c4f565e374baf0c,0,0,0,0,0,2.0,1.73,1.0,1.0,2.5,2.0,3,1.5,1.41,5.0,3.0,32.5,13.64,4
f1ca11d69984c4f9a56077bf19445fd938fb893b,0,1,1,0,0,2.5,2.0,1.0,1.0,1.5,1.41,1,1.0,1.0,7.5,7.48,34.5,33.88,2
65e124a16f8a46610e5c390d5395119a5bd5543e,0,0,0,0,0,5.0,4.0,1.0,1.0,2.5,2.0,3,7.5,3.74,2.5,2.0,29.5,22.98,4
6042a44886150613442fca7c58b041b284e3cf3f,0,0,0,0,0,6.0,5.92,1.5,1.41,1.5,1.41,1,7.0,4.9,10.5,4.47,80.5,73.65,2
88b41b1c769beaaaaae996227eedaf9177d9e77c,0,0,0,0,0,2.0,1.73,1.5,1.41,1.0,1.0,0,1.5,1.41,10.0,6.0,56.5,20.88,0
4328bd05e2d7ac6c57aa880f63d479dfd083d60e,1,0,0,1,1,9.5,8.83,1.5,1.41,1.0,1.0,0,17.0,16.25,34.5,8.25,3474.5,575.54,0
4131a812fd8cb7c4e3a1e7d6835613b3908c293b,1,1,5,6,8,27.0,12.37,2.0,1.73,1.0,1.0,0,35.5,32.4,76.5,70.16,6402.0,6313.3,0
6884fdc711f985c84fbb0ad7df000155924edf18,0,0,0,0,0,19.5,6.16,2.0,1.73,1.0,1.0,0,20.0,6.24,46.0,9.54,2641.0,496.03,0
9dad7f2bfd0c4ce38d96c1c9615a5aa0a060183f,1,1,1,5,6,37.0,26.32,2.5,2.45,12.0,4.8,22,22.0,13.96,116.0,95.39,6675.5,4375.57,23
d5151c23122d9b2ab090d71a002296b7fec2176a,1,1,1,3,5,31.0,30.41,2.0,1.73,14.5,5.29,27,17.0,15.91,95.0,82.56,5858.5,5406.08,28
da907bb8e8549b30b6055fe60510a893a7eef5d8,1,1,2,11,24,17.5,12.25,1.5,1.41,15.5,14.49,11,7.0,3.61,103.5,96.07,4044.5,3537.02,11
b954a2ccd8430e08563a9355074f413405803051,1,0,0,4,6,13.0,6.93,1.5,1.41,1.0,1.0,0,5.0,3.0,71.5,55.96,2923.0,1762.3,0
d24fc5d57060878da7bcde5840e4ba326354d59c,1,1,1,7,11,6.5,4.69,1.5,1.41,1.0,1.0,0,7.0,6.93,59.0,54.74,2285.5,2026.65,0
f18f18109eded4d3df3045d30ad1cfee4f0f3ce8,0,1,1,0,0,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0,1.0,6.5,6.32,97.0,63.87,0
f1fb686f69eee847f7b8c0721a4e621456d4d812,0,0,0,0,0,1.5,1.41,1.0,1.0,3.0,2.24,4,3.5,2.45,11.5,4.69,101.0,28.14,5
cba5277c2b04cbe534f9baa29e0e0be61d97e2c0,0,0,0,0,0,47.5,9.7,2.5,2.0,49.5,9.9,97,70.0,11.79,159.5,17.83,7505.0,300.04,98
aaabf554d9743ae34b769a07d1799c51387a814c,0,0,0,0,0,2.5,2.0,1.5,1.41,1.0,1.0,0,15.0,5.39,7.0,6.93,28.5,28.14,0
f226817be0d0c6585bc4a9a233e1a17d45094805,0,0,0,0,0,1.5,1.41,1.5,1.41,1.0,1.0,0,15.0,5.39,3.0,2.24,12.0,6.63,0
29471bafa2564fb84f92238ea88203204ffc0f98,0,1,1,0,0,2.5,2.0,1.5,1.41,15.0,5.39,28,1.5,1.41,15.5,11.4,519.5,149.58,29
0f25535ea7183766dbcbf63a459fa6372890bd5f,1,0,0,1,1,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0,1.0,6.0,5.66,97.5,94.87,0
9ddb8dc48ef571c405f1c1271665e696a690d048,1,0,0,1,1,4.0,2.65,1.0,1.0,3.5,2.45,5,3.0,2.24,31.5,18.49,815.0,812.07,5
8dfc95f075304f3cf8e37fdeaaad612e6cc8025a,0,0,0,0,0,1.5,1.41,1.0,1.0,1.0,1.0,0,1.0,1.0,16.5,5.66,505.5,157.0,0
0c9fff35476585a60930d419e8f2b4c80d21e620,0,1,3,0,0,1.5,1.41,1.0,1.0,1.0,1.0,0,1.0,1.0,8.5,7.75,45.0,39.8,0
0ad96f532a991ead1dc1c46d3a9a1320a0db0811,1,0,0,1,6,12.0,4.8,2.0,1.73,15.0,5.39,28,26.0,7.14,29.0,7.55,1221.0,765.79,29
ea48e12e87fb3bf0323957cb590fb85cc03b1829,1,0,0,2,2,30.5,16.73,5.0,3.0,1.0,1.0,0,356.5,149.8,92.5,43.75,40711.5,3263.32,0
d229d6527b712674b89ea07dc6b9ebf3cb0fdb3e,0,0,0,0,0,4.5,2.83,1.5,1.41,1.0,1.0,0,20.0,6.24,9.0,4.12,382.0,47.78,0
dd97aec027fb9e28c8161fc884429c6019a5ef43,1,1,1,3,6,9.5,9.17,2.0,2.0,18.0,5.92,34,25.0,20.71,32.0,28.27,1138.5,1074.09,35
39e333a607a04b0c209c5af860c2895949791003,1,0,0,1,1,19.5,10.39,4.5,2.83,5.0,3.0,8,316.5,43.47,78.0,30.0,39482.5,1432.62,9
1ebb449dcdf76b3fa7db9442d7d3d801f488c34f,1,0,0,4,4,9.0,4.12,2.0,1.73,1.5,1.41,1,4.5,2.83,74.0,62.89,32931.0,3968.54,1
6331c8754b613eaca3ddb4437b289292c0315bd7,1,1,5,8,18,9.0,5.66,2.0,1.73,16.5,5.66,31,32.5,21.35,113.0,113.0,33785.0,11306.27,32
97589bbb086c5590ce8865342479d3dae3ae3a6e,1,1,1,6,6,4.5,4.47,1.0,1.0,1.0,1.0,0,1.0,1.0,16.0,15.97,631.5,602.4,0
79ef1804f373245ec2c8f31a69d114370b3f77f4,0,1,1,0,0,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0,1.0,3.0,2.24,9.0,7.48,0
8130bd99fac6eb248c7351c2ee60459296dc40eb,0,1,1,0,0,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0,1.0,3.0,2.24,9.0,7.48,0
11b158b4774f9ed5d87881bcd303cf7730720caf,1,1,12,1,3,9.5,4.24,3.5,2.45,1.0,1.0,0,11.5,4.69,110.5,109.54,4362.0,3954.0,0
68117f418d15421ea718b4287f4ce46d7194858e,1,1,7,4,7,8.5,4.0,3.0,2.24,10.5,4.47,19,1.5,1.41,74.5,71.33,3102.0,3046.91,20
