mergeCommitID, isConflicting, existsCommonSlice, totalCommonSlices, conflictingFilesNumber, conflictsNumber, numberOfCommitsArithAverage, numberOfCommitsGeoAverage, numberOfAuthorsArithAverage, numberOfAuthorsGeoAverage, delayIntegrationArithAverage, delayIntegrationGeoAverage, deltaIntegration, minimumLifeTimeArithAverage, minimumLifeTimeGeoAverage, numberOfChangedFilesArithAverage, numberOfChangedFilesGeoAverage, numberOfChangedLinesArithAverage, numberOfChangedLinesGeoAverage, contributionConclusionDelay
effb1b7f4170bb7244c4dfffcbe6134fe00e2bc4,1,1,1,1,2,89.0,85.98,11.5,9.49,39.5,12.41,75,1339.5,1247.25,240.5,137.24,79708.0,30644.0,75
a2c7c09f7cdee569d5b8709c96aded33e398726b,0,0,0,0,0,1.5,1.41,1.5,1.41,1.0,1.0,0,1.0,1.0,3.0,2.24,139.0,33.11,0
cb87f02642d0097ebc067ca1f9371dde274a41e3,1,0,0,2,2,748.0,38.67,42.0,9.11,548.0,33.09,1094,912.0,42.7,688.5,52.44,724204.5,2947.95,1095
15b104f4ff4614aa78c01180b6a9b89dd5a1400f,1,1,2,2,6,1583.0,79.55,56.5,10.58,912.5,60.38,1821,1411.5,53.12,818.0,80.8,1328579.0,10048.41,1821
38efb6c957a48b6d2a242de7608ec95f9db2bb60,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0,1.0,18.5,16.91,2346.5,1045.93,0
aa1fb6dbb8c2e71b8ce8c231ae1272a2dfebd75a,0,0,0,0,0,516.5,32.12,31.0,7.81,782.5,55.91,1561,428.5,29.26,476.5,30.85,544913.0,1476.36,1561
00a51bff99bccedffee33cdc4a402825d7ffe99e,0,0,0,0,0,1.5,1.41,1.0,1.0,3.5,2.45,5,2.0,1.73,8.5,4.0,737.5,54.28,6
38640e0253e8984974d275f2c232eb057ba86c84,1,0,0,1,1,5.5,4.24,2.5,2.0,8.5,4.0,15,3.5,2.45,80.5,77.29,793.0,640.18,15
f0b2ed9bb6c1e153231b8088eabe6e3edcee9420,0,1,3,0,0,2.5,2.45,2.0,1.73,1.5,1.41,1,1.5,1.41,27.5,19.39,625.0,402.67,2
647a3a7d3951b1bf7ab7034796e44f1cd2541347,0,0,0,0,0,1.0,1.0,1.0,1.0,1.5,1.41,1,1.0,1.0,4.0,3.87,73.5,57.72,1
4b91dc42289d1200b89533722e20f48054be745b,0,0,0,0,0,2.5,2.0,2.0,1.73,1.0,1.0,0,49.0,9.85,3.5,3.16,139.5,40.47,0
87918595da1e1fad2ddd7aa62f9fc537dff657ff,0,0,0,0,0,37.5,12.08,7.0,3.61,46.0,9.54,90,51.5,24.12,141.0,16.76,57327.5,2086.97,91
