mergeCommitID, isConflicting, existsCommonSlice, totalCommonSlices, conflictingFilesNumber, conflictsNumber, numberOfCommitsArithAverage, numberOfCommitsGeoAverage, numberOfAuthorsArithAverage, numberOfAuthorsGeoAverage, delayIntegrationArithAverage, delayIntegrationGeoAverage, deltaIntegration, minimumLifeTimeArithAverage, minimumLifeTimeGeoAverage, numberOfChangedFilesArithAverage, numberOfChangedFilesGeoAverage, numberOfChangedLinesArithAverage, numberOfChangedLinesGeoAverage, contributionConclusionDelay
8080dbc6b225db87004e88d3d0a7e39f238f0353,0,1,1,0,0,18.5,18.17,1.0,1.0,1.0,1.0,0,8.5,4.0,37.0,36.33,614.0,577.33,0
f8e0a0d4676724c16fd7a54a2c95f19ec95fccb6,1,0,0,1,1,8.5,4.0,1.0,1.0,1.0,1.0,0,8.5,4.0,22.5,6.63,403.5,56.67,0
dde93f96e87297fad5131b8fc2d9bf61adff0ce9,0,1,1,0,0,8.0,3.87,1.0,1.0,1.0,1.0,0,8.5,4.0,23.0,9.38,403.5,56.67,0
89e04063a3f7ec962c00e21fbec7022d8583c2e5,1,0,0,2,2,7.0,6.71,1.0,1.0,1.5,1.41,1,15.0,14.97,11.5,11.4,119.0,110.16,2
45801b50add02cb1f7c000760691d7912dca6938,1,0,0,1,3,1.5,1.41,1.0,1.0,1.0,1.0,0,1.0,1.0,3.5,3.16,82.5,82.46,0
f66eb1a9f3fb23af63c5025091a78fca328412df,0,0,0,0,0,7.0,3.61,1.0,1.0,2.0,2.0,0,2.0,1.73,51.5,14.21,1006.5,376.32,0
6aae838ebcb777cf9e6dc1b3a87e20a8515de3f8,0,0,0,0,0,5.5,3.16,1.0,1.0,1.0,1.0,0,1.0,1.0,50.5,10.0,965.0,62.1,0
8513d77eeb69879b35078ea8b9563294f8ff355c,0,0,0,0,0,10.5,8.94,1.5,1.41,5.0,3.0,8,34.5,11.58,15.5,14.07,623.0,314.14,8
eb0eea5ea741d0ab319a81c6bda6e0bded557487,0,0,0,0,0,19.0,8.49,2.0,1.73,34.0,8.19,66,105.5,14.49,17.0,14.42,761.0,318.81,67
a0ab15054760712342915cd27f1cc81c59bd88ec,1,0,0,1,1,13.5,12.33,1.5,1.41,1.0,1.0,0,89.5,32.22,12.0,12.0,693.0,527.02,0
e3754c914516b216f5cd3fe9e446acf26460a1bc,0,0,0,0,0,5.0,4.0,1.5,1.41,1.0,1.0,0,84.0,12.92,3.5,2.45,33.0,11.31,0
a9b79703ebdc399910c7826d28b5cc1471f6172c,1,1,1,1,1,63.5,24.7,3.5,2.45,83.0,12.85,164,146.0,17.06,39.0,20.78,1483.0,403.68,165
13fb2f79c8112cf70802ad153e22aa9de7d34c5d,0,0,0,0,0,41.0,9.0,2.5,2.0,37.0,8.54,72,93.5,13.64,18.5,6.0,418.0,76.18,73
bfa1e84da7d1f45f11b7b43d2f87c56cbf622dbc,0,0,0,0,0,3.5,3.46,1.5,1.41,1.0,1.0,0,1.0,1.0,3.5,3.46,41.0,40.0,0
cc5b826e07351913c20e287a85d063163aaa92d4,1,1,1,2,5,36.0,14.39,2.0,1.73,86.0,49.96,140,185.5,85.73,34.0,16.0,1328.0,434.23,140
3d0a27f13724eb7bd73bc3f14f3bc62452fc28fa,1,0,0,2,2,28.5,20.78,2.0,1.73,1.0,1.0,0,200.5,189.5,31.0,20.78,1116.5,526.62,0
