mergeCommitID, isConflicting, existsCommonSlice, totalCommonSlices, conflictingFilesNumber, conflictsNumber, numberOfCommitsArithAverage, numberOfCommitsGeoAverage, numberOfAuthorsArithAverage, numberOfAuthorsGeoAverage, delayIntegrationArithAverage, delayIntegrationGeoAverage, deltaIntegration, minimumLifeTimeArithAverage, minimumLifeTimeGeoAverage, numberOfChangedFilesArithAverage, numberOfChangedFilesGeoAverage, numberOfChangedLinesArithAverage, numberOfChangedLinesGeoAverage, contributionConclusionDelay
fb4bafb2968af8718a9a92669d5223cad074b37f,0,0,0,0,0,5.0,4.58,2.5,2.0,1.0,1.0,0,2.5,2.0,2.5,2.45,7.0,6.71,1
42ab3b9968d1606dbe614ca7623277eaf7781cec,0,0,0,0,0,1.5,1.41,1.5,1.41,1.0,1.0,0,1.0,1.0,1.0,1.0,2.5,2.45,1
ee6040ffd61ca620afcd6e5ff84c1925020ae00d,1,0,0,1,1,3.5,3.16,1.0,1.0,1.5,1.41,1,7.0,4.9,4.5,3.74,44.0,20.37,1
eca09dd7d66ff8e1548c49f75dce376d8fcbfaa3,0,0,0,0,0,10.0,7.14,3.0,2.24,4.0,2.65,6,6.0,5.92,13.5,11.83,90.5,90.19,6
7f369507d23a667b3c6c3a8a878e35a2f0b3d794,0,0,0,0,0,5.5,4.9,2.5,2.0,3.0,2.24,4,2.0,2.0,9.0,5.66,44.5,28.11,5
3490644a4d861c4aead4580a092558aa5359d85f,0,0,0,0,0,2.0,1.73,1.5,1.41,2.5,2.0,3,33.5,8.12,7.5,3.74,38.0,31.67,3
906c05ec4edbf4d6cec79d8423026190e34f6a72,0,0,0,0,0,3.0,2.83,1.5,1.41,1.0,1.0,0,1.0,1.0,2.0,2.0,9.5,9.49,1
ce4e993fe7c84268257efe7af522ed2b868d3463,0,0,0,0,0,11.5,6.48,2.5,2.0,2.5,2.0,3,2.0,1.73,26.5,17.94,405.0,245.64,3
20b849d9ce46e44e83ad46cf504f8cb712627d2d,0,0,0,0,0,4.5,2.83,2.0,1.73,1.0,1.0,0,13.5,5.1,6.5,4.69,73.5,37.01,0
aca8adf6e8c4f764da99c34e837e9f5934078aa1,0,0,0,0,0,8.5,8.12,2.0,2.0,1.0,1.0,0,14.5,8.83,11.5,11.49,152.0,151.26,0
1c623b1c8a6caaa3399e1a1e30640eec34554ba5,0,0,0,0,0,2.0,1.73,1.0,1.0,13.5,5.1,25,1.0,1.0,5.5,5.29,61.5,60.42,26
6feb2e853ae130657637553ea24b937511eab50f,0,0,0,0,0,3.0,2.24,1.5,1.41,1.0,1.0,0,2.0,1.73,2.5,2.0,47.0,46.9,0
04d79f65a54d947147f96ba287921090b25edb55,0,0,0,0,0,2.5,2.45,2.0,2.0,15.5,7.62,27,14.0,5.2,12.0,4.8,233.5,136.43,27
3d8aeb6a52d24335daa6311e2d22d615e32a3952,0,0,0,0,0,9.0,5.66,3.0,2.24,1.5,1.41,1,34.0,8.19,2.5,2.0,87.0,75.63,1
ae0538e1ad3a759b7d51f5706f1e196834c1720b,0,1,1,0,0,11.5,8.72,4.5,2.83,6.5,3.46,11,78.5,17.61,8.5,4.0,105.0,89.44,12
2b7066cd8b7569125af1122b30bd33dbc5218fe4,0,0,0,0,0,8.5,6.48,4.0,3.46,10.0,9.17,8,100.0,87.73,7.5,3.74,61.5,39.06,8
7048a37eb654ad61f2c69ae19ddc83a230298952,0,0,0,0,0,154.5,24.78,19.5,6.16,74.5,12.17,147,77.0,12.37,148.0,24.25,9376.5,335.38,148
1d07125e7db56fb6511bf7c3c2d0a941a8251408,0,1,1,0,0,10.5,8.25,4.0,2.65,20.0,15.2,26,18.0,5.92,11.0,10.95,81.0,80.7,26
021564d3db329f8c24366744cc9de001f5386b2b,0,0,0,0,0,6.0,4.47,3.0,2.83,2.0,1.73,2,41.5,40.82,4.5,2.83,25.5,22.76,3
c33520dbdf29281b231bb88d763e197d74a5ca18,0,1,1,0,0,3.0,2.83,2.0,2.0,1.0,1.0,0,22.0,18.44,1.0,1.0,14.0,7.21,0
23805abffe37b8f9859c0b121797f27dbbd0b57b,0,1,1,0,0,18.0,5.92,5.0,3.0,5.5,3.16,9,12.5,4.9,20.0,6.24,329.0,128.19,10
58f7e60dbaa0faff70e85deb3df1fd3fda7273ac,0,0,0,0,0,2.5,2.45,2.0,2.0,1.5,1.41,1,16.5,5.66,1.0,1.0,1.5,1.41,2
613351378f0db9ea33e5c86d6c93fb46f420efc7,0,0,0,0,0,16.5,5.66,4.5,2.83,3.0,2.24,4,9.5,4.24,20.0,6.24,316.0,25.12,5
caf2215f5bb6d38014767a93d703cbbd8bfcdc52,0,1,1,0,0,20.5,6.32,5.5,3.16,18.0,11.31,28,26.5,7.21,23.5,6.78,348.0,37.26,28
b80f60ed333441bf7e1dedbacaa2f546c2b454c8,0,0,0,0,0,27.0,7.28,7.0,3.61,25.0,7.0,48,25.0,7.0,28.0,7.42,533.5,121.42,49
fc72d9e84c908b5eebc0d488e09b75adc77a11b0,0,0,0,0,0,5.0,3.0,2.0,1.73,1.0,1.0,0,5.5,3.16,2.5,2.0,13.5,7.07,0
d4492138b2d0bc45409229de4109b9e8dc7df16c,1,0,0,1,1,2.5,2.45,2.0,2.0,1.0,1.0,0,6.5,5.48,1.0,1.0,1.0,1.0,0
dad7aba973a90ae93ce53807c298339387c0a264,0,0,0,0,0,4.0,2.65,3.5,2.45,5.5,3.16,9,3.5,2.45,4.5,2.83,30.0,7.68,10
3cf44587a745d68be19f1278fdcd805464edce09,0,0,0,0,0,4.0,2.65,3.5,2.45,2.0,1.73,2,3.5,2.45,4.5,2.83,30.0,7.68,3
7e9d1dbf84f3cbe6d5fbdc565bf4f38aab733a82,0,0,0,0,0,4.5,2.83,2.5,2.0,15.0,5.39,28,7.0,3.61,4.5,4.47,33.5,28.57,29
9eeb482190a1995f131ce9a542f5ebb6a6b860de,0,0,0,0,0,1.5,1.41,1.5,1.41,1.5,1.41,1,1.5,1.41,1.0,1.0,5.0,4.0,1
135241a56c3e488dc54867172fa0b7caa59d0f10,0,0,0,0,0,2.0,1.73,1.5,1.41,16.5,12.73,21,2.5,2.0,5.5,4.9,179.5,171.03,21
30d3296a42b3a03b62e7eefd2826a29c560c4a62,0,0,0,0,0,3.5,3.16,2.0,1.73,3.5,3.46,1,2.5,2.0,4.0,3.87,127.5,70.1,1
de1fa448a21eeb7d159312d6658aab6e151ff847,0,0,0,0,0,1.5,1.41,1.5,1.41,1.0,1.0,0,1.0,1.0,2.0,1.73,9.0,5.66,0
9baeaf4f735fb212b461e13c0dee8f64857ce05e,0,0,0,0,0,1.0,1.0,1.0,1.0,2.5,2.0,3,1.0,1.0,2.0,1.73,9.5,6.93,3
5985daf67732f26d2080f9d9fc830afbd45ada5a,0,0,0,0,0,35.5,8.37,5.5,3.16,54.0,14.56,104,36.0,8.43,70.5,11.83,1886.0,86.83,104
4c1b56b54f7e27b1b87436a3b838f1e4780aa5d4,0,0,0,0,0,2.0,1.73,1.5,1.41,6.0,3.32,10,17.0,5.74,6.0,4.47,25.5,24.66,11
84522a999a01aa1638f22d17bf20d7731b2cb6ff,0,0,0,0,0,30.0,10.77,5.5,3.16,17.0,5.74,32,17.5,5.83,62.0,15.62,1794.0,260.41,33
3f324d4e6f5dc3e695d5b5284abfb7c41442334d,0,1,1,0,0,21.5,6.48,4.5,2.83,22.0,20.49,16,8.5,4.0,50.0,19.6,1503.5,498.37,16
6efcd04de17e6ecf68b069af8567a426f32428e5,0,1,1,0,0,4.0,2.65,2.0,1.73,3.0,2.83,2,3.0,2.24,16.0,11.62,292.5,89.41,2
e2bad46d0011dccd11eb3755e6c71690fe506ea4,0,1,1,0,0,3.0,2.24,2.5,2.0,13.0,12.85,4,3.0,2.24,9.0,8.94,127.0,94.36,4
8bd066afbce9455b5e244b31a25c52eaed186883,0,0,0,0,0,1.5,1.41,1.0,1.0,3.0,2.24,4,1.0,1.0,3.5,2.45,98.5,69.8,4
0528dbf8e84daaf619cf64ed2a26c9883264a76e,0,0,0,0,0,2.5,2.45,1.5,1.41,2.5,2.45,1,34.5,22.09,12.5,6.78,316.0,213.46,1
121192d21a94451787e32c2f9eee244fc83d452c,0,1,1,0,0,16.0,7.75,7.0,4.9,3.5,2.45,5,5.0,4.0,34.0,11.49,2186.0,596.65,6
4a621c34e6ce0a285324e1ff96dd3abd94381883,0,0,0,0,0,12.5,4.9,5.5,3.16,2.5,2.0,3,3.0,2.24,30.0,13.08,2127.0,792.12,3
86b8eff4c7e353de8eadb6dacc9a70cad62ffe99,0,0,0,0,0,3.0,2.24,1.0,1.0,60.0,15.36,116,1.5,1.41,3.5,3.16,146.5,97.32,116
4615505fcde63d8cefcc8e8f80049fe71ce71421,0,0,0,0,0,4.5,2.83,1.5,1.41,5.5,4.24,7,6.5,3.46,18.0,5.92,1392.0,129.1,7
76734b3aefed4984099a90011705fc37f86d3633,0,1,1,0,0,3.5,2.45,2.0,1.73,1.5,1.41,1,1.5,1.41,3.0,2.83,103.0,101.04,2
e25de318bd9ad0aa1b84fd4c2bb096fbc5f34aa6,0,1,2,0,0,2.0,1.73,1.5,1.41,6.0,3.32,10,12.5,4.9,5.5,5.48,63.5,60.43,11
570fec5a9f6b0ff05e971b0259e46060b12f8469,0,0,0,0,0,1.5,1.41,1.0,1.0,6.0,5.92,2,9.0,4.12,3.5,2.45,42.5,12.88,2
85a021ef05bc8c0a723151878486f0c64a0a9be2,0,1,1,0,0,7.0,5.74,1.5,1.41,1.0,1.0,0,15.0,13.75,11.5,9.49,1725.5,472.66,1
b6e1a336d40804978102462f1001af20ff8bcf61,0,0,0,0,0,4.5,3.74,2.5,2.0,1.0,1.0,0,10.5,4.47,12.0,6.63,183.5,183.48,1
702edef3a09f438e23a8a622bce49ad3420b9762,0,0,0,0,0,3.0,3.0,1.5,1.41,2.5,2.0,3,10.5,6.16,11.0,6.32,90.5,41.35,3
4d895ae3bc4175b717b1e1fa8574ea8a6da14ddf,0,0,0,0,0,1.0,1.0,1.0,1.0,3.0,3.0,0,1.0,1.0,1.5,1.41,35.0,33.23,0
e3f5b48d260a9624421129b6af12ae33e7683b73,0,0,0,0,0,1.5,1.41,1.5,1.41,1.0,1.0,0,1.5,1.41,3.0,2.24,13.0,10.95,0
6bb2143282503f8375b72bbb1be376d8a94b5426,0,1,1,0,0,6.5,5.48,1.5,1.41,1.5,1.41,1,12.0,11.83,13.5,10.49,522.5,139.62,2
53040b3be92eaa80bce8342a420e6eeff46d74bb,0,1,1,0,0,4.5,3.74,3.0,2.24,7.5,3.74,13,42.0,9.11,8.5,7.75,156.5,74.74,14
48475b7eba6a6c8237c7a827ed0e4f71d77182d1,0,0,0,0,0,13.0,5.0,3.5,2.45,12.5,4.9,23,5.0,3.0,15.5,5.48,1079.0,65.67,23
52c90811a6b2f598ea61f96ec1f1fd7b5ab49e91,0,0,0,0,0,4.0,3.87,2.5,2.0,33.5,28.57,35,2.0,1.73,9.5,8.37,370.0,363.7,35
8dbe9ceb018a57fb6ac3a77136e6057e4c1700dd,0,0,0,0,0,3.5,3.16,2.0,1.73,2.0,1.73,2,6.5,3.46,6.0,5.92,367.0,207.07,3
43d1d8f0a5f78c27a782c609fb5b6f0ccfa7b51a,0,0,0,0,0,2.0,1.73,1.0,1.0,6.0,3.32,10,1.0,1.0,2.5,2.45,335.0,57.66,10
be33f345a1a9371a52c646119a8dfdcf905fecb6,0,0,0,0,0,1.5,1.41,1.5,1.41,1.0,1.0,0,1.0,1.0,1.5,1.41,17.0,12.04,0
dc190b53394ee58f4ad70499eb19a1cceefabe98,0,0,0,0,0,1.5,1.41,1.5,1.41,1.0,1.0,0,5.5,3.16,1.5,1.41,9.5,8.37,1
7741d43d17773a8d81e2f087af007983ec9f07ed,0,0,0,0,0,3.5,2.45,2.5,2.0,7.0,6.32,6,36.0,8.43,14.5,7.35,424.5,108.12,6
92cb010cc655e68357227dcb3c1fc51295d18c14,0,0,0,0,0,3.5,2.45,3.0,2.24,4.0,2.65,6,5.5,3.16,28.5,12.73,310.0,65.51,7
