mergeCommitID, isConflicting, existsCommonSlice, totalCommonSlices, conflictingFilesNumber, conflictsNumber, numberOfCommitsArithAverage, numberOfCommitsGeoAverage, numberOfAuthorsArithAverage, numberOfAuthorsGeoAverage, delayIntegrationArithAverage, delayIntegrationGeoAverage, deltaIntegration, minimumLifeTimeArithAverage, minimumLifeTimeGeoAverage, numberOfChangedFilesArithAverage, numberOfChangedFilesGeoAverage, numberOfChangedLinesArithAverage, numberOfChangedLinesGeoAverage, contributionConclusionDelay
3ad4b91e0b481e02053505510a34e11aeca8b568,0,0,0,0,0,8.5,4.0,1.5,1.41,1.0,1.0,0,1.5,1.41,1.0,1.0,9.5,5.83,0
e8a4d85910b3ab26e9323c3fb2990f2886c3073f,0,0,0,0,0,7.5,3.74,1.5,1.41,1.0,1.0,0,1.5,1.41,1.0,1.0,8.5,5.48,0
960988beb14fa67f92bbcaee309202abfaa3afc9,0,0,0,0,0,7.5,3.74,1.5,1.41,1.0,1.0,0,1.5,1.41,1.0,1.0,8.5,5.48,0
34a60583a55f434396a4a2d8d568d319f9b887f8,0,0,0,0,0,6.5,3.46,1.5,1.41,1.0,1.0,0,1.5,1.41,1.0,1.0,7.5,5.1,0
553f020f8005e14761c8401ec3aa34946783e18a,0,0,0,0,0,5.5,3.16,1.5,1.41,1.0,1.0,0,1.5,1.41,1.0,1.0,6.5,4.69,0
66da62bce0e10683ffe7c37e93c1d8abb3c97016,0,0,0,0,0,6.5,3.46,1.5,1.41,1.0,1.0,0,1.5,1.41,1.0,1.0,26.5,10.1,1
5e83f454aada748c1bb5d5fd6f4562ca566efe1d,0,0,0,0,0,5.5,3.16,1.5,1.41,1.0,1.0,0,1.5,1.41,1.0,1.0,25.5,9.9,1
e47a4fd0ddfc26d6a1ff60bd13b1ccd938a84d70,0,0,0,0,0,3.5,2.45,1.5,1.41,1.0,1.0,0,1.5,1.41,1.0,1.0,10.5,7.35,1
8c387e902e67b3a2230569c901eeb165b3cd9334,0,0,0,0,0,3.5,2.45,1.5,1.41,1.5,1.41,1,1.5,1.41,1.0,1.0,23.0,9.38,2
6abd496ef084cd84fc93870f8ca8c46057b21cfc,0,0,0,0,0,7.0,6.32,2.0,2.0,15.5,14.83,9,54.0,42.74,6.5,3.46,450.5,277.99,9
4c75e863932ed6f892659a96ecaa6bc4df312047,0,0,0,0,0,1.5,1.41,1.5,1.41,10.5,4.47,19,11.0,4.58,1.0,1.0,48.0,13.71,20
3a97f987906cd9bc37577dda1275f268c121b540,0,1,1,0,0,14.0,8.66,3.5,2.45,10.5,4.47,19,30.0,24.72,9.0,8.77,374.0,297.23,20
602c081650751925c75139319cf21140401a00e5,0,1,1,0,0,12.0,10.39,3.5,3.16,4.0,2.65,6,30.0,28.28,7.0,6.32,102.0,93.4,7
88d9af282fee15d82f5593f099da0cf5c85c0634,0,0,0,0,0,5.5,3.16,2.5,2.0,1.0,1.0,0,14.0,5.2,1.0,1.0,23.5,11.49,0
f3748e0a36e84a11c3c1229afa9b0df39b71b27c,1,0,0,1,1,13.5,8.49,4.0,3.46,12.0,4.8,22,15.0,7.48,7.5,3.74,88.5,50.75,23
