mergeCommitID, isConflicting, existsCommonSlice, totalCommonSlices, conflictingFilesNumber, conflictsNumber, numberOfCommitsArithAverage, numberOfCommitsGeoAverage, numberOfAuthorsArithAverage, numberOfAuthorsGeoAverage, delayIntegrationArithAverage, delayIntegrationGeoAverage, deltaIntegration, minimumLifeTimeArithAverage, minimumLifeTimeGeoAverage, numberOfChangedFilesArithAverage, numberOfChangedFilesGeoAverage, numberOfChangedLinesArithAverage, numberOfChangedLinesGeoAverage, contributionConclusionDelay
bef8ff92ff032ed08b05f385ddf10d112988f3e2,0,0,0,0,0,4.0,3.87,2.5,2.45,1.0,1.0,0,2.0,1.73,7.5,6.63,370.0,351.35,1
d9deadd22a3bf6ddd84952cc25e113e8341b9773,0,0,0,0,0,2.0,1.73,1.5,1.41,2.0,1.73,2,1.5,1.41,2.0,2.0,127.0,124.9,3
0ffcfbd4e9e5bb24b97eb970fbe087e01443837e,0,0,0,0,0,18.5,17.94,4.0,2.65,1.0,1.0,0,13.0,13.0,29.0,10.58,3377.0,1733.7,0
ab34a369a4dcd1cd9be0980677be7aafc3c998e8,0,0,0,0,0,8.0,6.24,1.5,1.41,1.0,1.0,0,8.0,7.42,3.0,2.83,92.5,91.36,0
f6cae652d9802333e85bf158181a3703b2d79f80,0,0,0,0,0,49.5,13.93,3.0,2.24,4.0,3.87,2,19.5,6.16,28.5,10.49,2053.0,654.14,2
a3a6e49829bd30f5b2f4212a320243573ac21e00,1,1,1,2,2,62.0,35.26,4.0,2.65,6.5,5.48,7,19.5,6.16,94.0,33.05,6789.0,972.4,7
2dd447c8742ef0521bd905e9962c7ff01b93dc36,0,0,0,0,0,50.5,28.77,4.0,2.65,1.5,1.41,1,20.0,10.54,29.0,14.7,2011.5,947.25,1
571461dc115b7e1ba8ff0b522545ea8794201fef,0,0,0,0,0,80.5,40.62,4.0,2.65,5.5,3.16,9,19.0,6.08,98.5,33.85,7245.5,2939.35,10
816b62d8f3778b73fc4660d3fc874baff7f0776b,0,0,0,0,0,39.5,28.35,4.0,2.65,2.5,2.0,3,20.0,12.0,24.0,14.66,1581.5,1461.82,3
92a818782ae17da06f794c69fc99a1d0e382fe18,0,0,0,0,0,38.5,8.72,4.0,2.65,3.0,2.24,4,18.5,6.0,84.5,18.28,5835.0,664.84,5
d99cbb6bacf184cf91f2fb9f1fedeae2b2c82ce9,0,1,1,0,0,32.0,7.94,4.0,2.65,2.5,2.0,3,18.5,6.0,20.5,10.68,1073.5,307.55,4
e3f058ce90184e83d3f0717fdf86da3d26faae2e,0,0,0,0,0,19.5,16.43,1.5,1.41,1.0,1.0,0,23.0,23.0,9.0,7.48,660.5,514.25,0
0267a66525427f23a607e3ee88901a0b81f45014,0,0,0,0,0,25.0,24.49,3.5,2.45,1.0,1.0,0,29.0,28.37,18.5,15.23,925.0,853.33,1
365b1ec08ecbd03a0c209e00ba96e57f7870a321,0,1,1,0,0,13.0,12.0,2.5,2.0,1.0,1.0,0,28.5,27.75,14.0,12.12,632.0,619.52,0
847634c2d35986789cf790e42286c4cf829958a1,0,0,0,0,0,81.0,28.02,5.0,3.0,9.5,4.24,17,19.5,11.83,100.5,24.37,6890.5,1648.09,18
fdbb5606a286feb198a00b1cb93053cc0e4ab1cc,0,0,0,0,0,127.0,15.91,5.5,3.16,18.0,5.92,34,34.5,8.25,144.5,23.96,9473.5,687.79,35
dd68f14c7cbd96d9aff46ee8e4c678400a73b235,0,0,0,0,0,41.0,29.95,3.0,2.24,16.5,5.66,31,9.5,9.49,82.5,51.44,5551.0,2748.14,32
79a252d8a9f988d56f844c91f41bef264597b192,0,0,0,0,0,88.5,13.27,5.0,3.0,5.5,3.16,9,34.0,8.19,104.0,14.39,6684.0,231.21,9
f33940eae9ac1687c4c0d43cfcbe1d512a9c6957,1,1,1,1,1,97.5,36.28,5.5,3.16,8.5,4.0,15,36.5,20.05,114.0,39.33,7163.5,2647.02,15
253415de2f8c491cf69ee0e202bb3bcd5b0d86e5,0,0,0,0,0,1.5,1.41,1.0,1.0,1.0,1.0,0,1.0,1.0,1.0,1.0,11.0,9.8,1
a1b27af4a553f03a6344f2d6d67ed9121d245559,0,0,0,0,0,36.0,25.9,2.0,1.73,3.5,2.45,5,10.5,9.49,75.0,33.7,5432.5,2350.86,5
520f1c945832c6e1ee6c7471aee584716a5cd6b5,1,0,0,2,3,33.0,13.75,2.0,1.73,1.0,1.0,0,3.5,3.16,75.5,27.02,5587.0,2113.05,1
5e9b4dca224e886795c90ce600165a43f414efca,0,0,0,0,0,29.0,14.7,1.5,1.41,1.0,1.0,0,2.5,2.0,71.0,48.34,5162.0,2872.41,1
d180f2c2a6d2e482645a667f1d71003cabb850fa,0,0,0,0,0,20.0,13.23,1.5,1.41,1.0,1.0,0,3.0,2.83,8.5,6.48,316.0,142.59,0
b22c18e31f388f88597c05211bed1f6fb7c1f856,0,0,0,0,0,20.5,16.25,1.5,1.41,1.0,1.0,0,2.5,2.0,8.5,7.21,313.5,135.93,0
10986382632bfbabe2dadb3e34d6d30cb26ef580,0,0,0,0,0,17.0,8.0,1.5,1.41,1.0,1.0,0,2.5,2.0,7.0,3.61,299.0,34.53,0
8e66a779e8aa1bffe9bf5c62b3a4b50087232049,0,0,0,0,0,10.5,9.49,1.5,1.41,1.0,1.0,0,1.5,1.41,4.5,4.24,133.0,74.76,0
48a8283bcfb4d469e5e24477a6250cb2a3bc2530,0,0,0,0,0,7.0,3.61,1.5,1.41,1.0,1.0,0,1.0,1.0,3.0,2.24,121.5,21.95,1
88ff590a30dcb419871acb5ccc319820ccafbde5,1,0,0,1,1,6.5,4.69,1.5,1.41,1.0,1.0,0,1.5,1.41,4.0,3.46,113.0,72.11,1
fce8d92f3e38c59211205728077c856b66f831d3,1,0,0,1,1,27.0,26.83,2.0,1.73,1.0,1.0,0,5.5,5.29,15.0,14.97,601.0,600.63,1
522a013e35ee489972ade0d2c857cc7177f0f643,1,1,1,1,1,42.5,27.39,3.0,2.24,1.5,1.41,1,10.5,9.49,28.0,19.6,1505.5,1150.94,2
d14d45a5e3d9d0d428923c7488aa9977d665715a,0,0,0,0,0,5.0,4.0,1.5,1.41,1.0,1.0,0,2.0,1.73,5.5,4.9,190.5,88.87,0
82d77c16137fe42d921a57069b77f522a97beb72,0,0,0,0,0,21.5,15.87,2.0,1.73,1.0,1.0,0,4.5,4.24,17.5,14.7,1063.0,796.46,0
0e3bf9d0936466249fd9e1c3a19409ef3d63c01a,0,0,0,0,0,17.5,9.8,2.0,1.73,1.0,1.0,0,3.0,2.24,14.0,9.8,883.5,515.52,0
b4c1e19d1043d266723552865f6e7b7bf193d55e,0,0,0,0,0,29.5,14.83,2.5,2.0,1.0,1.0,0,5.0,5.0,18.0,8.25,964.5,445.4,0
6af581c149cf87100068e4499e4cb5df14f13a0b,0,0,0,0,0,12.0,11.96,2.0,2.0,1.0,1.0,0,3.5,3.16,11.0,8.49,741.5,637.62,0
5a0aeedae2211140f5932e86d26d94090b403519,0,0,0,0,0,21.0,6.4,2.5,2.0,3.0,2.24,4,3.0,2.24,15.5,14.49,728.5,685.53,5
88e52bae6a7b44b4fee178b3c9fa9bde0d945e99,0,0,0,0,0,6.0,3.32,2.0,1.73,1.0,1.0,0,1.5,1.41,4.5,3.74,77.0,53.89,0
7812844ba0093995442e9f00022f7e728576ea28,0,0,0,0,0,19.0,15.49,2.5,2.0,1.0,1.0,0,2.0,1.73,10.5,9.49,230.0,203.6,0
4b94a4e2cb6967411771c1c6449f8a956b92e023,0,0,0,0,0,4.0,3.46,1.5,1.41,1.0,1.0,0,1.0,1.0,3.5,2.45,60.5,31.75,0
1808f5c00b7f39fabf37b60da0f32e3bba4ae319,0,0,0,0,0,6.0,3.32,1.5,1.41,1.0,1.0,0,2.0,1.73,3.5,2.45,89.5,39.12,0
88fa278aecbd601947760c7f70df0447fb8f51b3,0,0,0,0,0,13.5,5.1,2.0,1.73,1.0,1.0,0,2.0,1.73,7.5,3.74,164.0,101.27,0
021ce1c114f21eaa0ac13b72167c6cd244259af2,0,0,0,0,0,12.5,8.12,2.0,1.73,1.0,1.0,0,3.0,3.0,7.0,4.9,146.5,134.31,0
6d749c0238f6d1b5196371a93215f634bea83868,0,0,0,0,0,10.5,8.25,2.0,2.0,2.0,1.73,2,1.5,1.41,6.0,5.2,102.5,86.17,3
b63b6534a1979dc45a955600fe8a9c34af457273,0,0,0,0,0,25.5,9.9,3.5,2.45,3.5,3.46,1,24.0,6.86,23.5,11.49,505.5,122.23,1
b509491dc5f7b9939b46c9dc7e3495c725bd0bc3,0,0,0,0,0,26.0,12.12,3.5,2.45,3.5,3.46,1,24.0,6.86,24.5,14.83,518.0,199.6,1
d47c584faebf2107dba9cd2619fc534313d3c15b,0,0,0,0,0,18.0,11.31,3.0,2.24,1.0,1.0,0,27.5,19.39,14.0,5.2,270.0,79.6,1
4a72a242b1a21913a281b3e3d309f59df58e3f11,0,0,0,0,0,33.5,11.4,3.5,2.45,6.5,3.46,11,24.0,6.86,32.0,7.94,758.5,102.81,12
81c314122e8abcdf73fe4af85eea4e61da7a798a,0,0,0,0,0,65.5,16.06,4.5,2.83,9.5,4.24,17,39.0,8.77,59.0,15.23,3445.0,351.7,18
4fc415123eed7ff6d1fc76c975836aa9ecfc99af,0,0,0,0,0,30.5,10.86,3.5,2.45,6.0,3.32,10,27.5,19.39,30.5,7.75,746.0,54.59,11
29415639d48481a93046fe6f3755e127b71146d1,0,0,0,0,0,62.5,15.68,4.5,2.83,8.5,4.0,15,40.0,15.2,57.5,10.68,3435.0,185.27,16
5efcf70e2c91c0ee9649b71ec3aa615e4812c28d,0,0,0,0,0,16.5,5.66,3.0,2.24,3.0,2.24,4,24.0,6.86,20.0,17.32,490.0,168.82,5
b0d800ce5f54c8c3f29a91acaa2a2310479597bb,0,0,0,0,0,16.5,10.77,2.5,2.0,4.5,2.83,7,24.0,6.86,18.5,12.65,493.0,169.35,8
ae61ed055e5b1a125c5472ae308a5ea8697fed48,0,0,0,0,0,12.0,10.39,2.5,2.0,2.0,1.73,2,24.0,6.86,12.0,7.94,446.0,423.46,3
072ba3096d079c4f03ddad58f242d5c1e04d09eb,0,0,0,0,0,85.0,18.33,5.0,3.0,23.5,6.78,45,141.0,16.76,69.0,16.49,3916.0,654.01,46
28721f840c3ca78d2899e89035c9147afb073eb0,0,1,1,0,0,8.0,5.29,2.5,2.0,3.0,2.24,4,2.5,2.0,10.5,7.35,279.5,190.53,4
0822f2fbf1a1beda3c888ded212ce2756301c283,0,0,0,0,0,9.0,5.66,2.5,2.0,2.5,2.0,3,6.5,6.0,13.0,5.0,265.0,72.11,4
6b2e68e20f5e57d99a301c030705c9aaf36bfca5,0,1,1,0,0,6.5,6.0,3.0,3.0,3.5,3.46,1,4.5,4.47,12.5,11.66,259.0,170.46,1
