mergeCommitID, isConflicting, existsCommonSlice, totalCommonSlices, conflictingFilesNumber, conflictsNumber, numberOfCommitsArithAverage, numberOfCommitsGeoAverage, numberOfAuthorsArithAverage, numberOfAuthorsGeoAverage, delayIntegrationArithAverage, delayIntegrationGeoAverage, deltaIntegration, minimumLifeTimeArithAverage, minimumLifeTimeGeoAverage, numberOfChangedFilesArithAverage, numberOfChangedFilesGeoAverage, numberOfChangedLinesArithAverage, numberOfChangedLinesGeoAverage, contributionConclusionDelay
a0688c1ab41496f96f90fa31cdd83c292901634c,0,0,0,0,0,22.0,17.75,1.5,1.41,2.0,1.73,2,4.0,3.87,34.0,28.2,1812.5,1735.55,3
a612d63342b4d9525ad5677c5b7943c29630edd4,0,0,0,0,0,24.5,9.7,3.5,2.45,46.0,44.67,22,12.0,4.8,33.5,22.85,399.0,246.18,22
d7f40a6a004c0ca416ccedb2f5d3f14d6a7bdf13,0,0,0,0,0,7.0,5.74,1.5,1.41,50.0,49.99,2,3.0,2.24,12.0,7.94,198.5,191.7,2
27604f9247490650467f7fba70e67a622814155b,1,0,0,1,1,2.5,2.0,1.0,1.0,1.0,1.0,0,1.0,1.0,9.5,9.49,60.0,54.54,0
72d3bd25ff2de006c61c90ba7f0da0739f5e4689,0,0,0,0,0,28.5,21.68,2.0,1.73,1.0,1.0,0,15.5,15.43,28.0,20.57,1219.5,386.9,0
1fccba8678134472970a84482028fb1b91c85e4f,0,0,0,0,0,7.5,7.48,1.0,1.0,1.0,1.0,0,1.5,1.41,16.5,16.43,204.0,170.51,0
21dd7b8f629d627b81aa5b2c5430942bfd82a3d1,0,0,0,0,0,3.0,2.24,1.0,1.0,1.0,1.0,0,1.0,1.0,3.5,3.46,56.0,44.5,1
6dac3c714f605811ed6ccc1092e2323fac34e67c,0,0,0,0,0,3.0,2.24,1.5,1.41,1.0,1.0,0,6.5,3.46,8.5,4.0,62.0,21.91,0
bd54cb173f223adc5e94d9ab6c43c27ab10d0dce,0,0,0,0,0,6.5,3.46,1.5,1.41,1.0,1.0,0,1.5,1.41,5.5,4.24,103.0,66.09,0
a1b5a162b9d64591ee6d5450be13f665658242fa,0,0,0,0,0,6.0,3.32,1.5,1.41,1.0,1.0,0,1.5,1.41,5.0,3.0,92.5,23.37,0
2bac27bf13655451afcf6b0c9a97f530e9ff40a3,0,0,0,0,0,1.5,1.41,1.0,1.0,1.0,1.0,0,1.0,1.0,1.5,1.41,2.0,2.0,0
8043eef19d7cd3711dde854c6fce54de50a3df0c,0,1,1,0,0,34.5,17.89,2.0,1.73,1.5,1.41,1,8.5,4.0,86.0,31.56,7616.0,1636.95,2
4a137fe17e6e7ce184c6a7b9931f058d9e6067db,1,1,1,4,4,31.0,30.94,2.0,1.73,1.0,1.0,0,17.5,17.32,85.5,49.8,7527.0,3866.52,1
cc5da2bf475371f38a93374ffe142c749ed9a24b,0,0,0,0,0,27.5,27.13,3.0,2.24,2.0,1.73,2,12.5,10.68,20.5,20.0,718.5,627.21,2
96aed888014f38138adce12d7feeb7714d56b63d,0,0,0,0,0,35.5,11.75,5.0,3.0,7.5,3.74,13,7.5,3.74,94.5,23.62,7422.5,926.09,14
2311191b964e15fdfcabfe7fa51cd599226a88cd,0,1,1,0,0,11.5,8.72,1.5,1.41,1.0,1.0,0,7.0,3.61,77.5,32.19,6957.5,857.14,0
9eb9aedeedd8e2f50bf65a341b3d632444b7f94f,0,0,0,0,0,8.5,4.0,1.0,1.0,1.0,1.0,0,6.5,3.46,74.0,12.12,6887.5,165.97,0
91e5fc2d329cbddc79bdb5cbeabd43ad31d21759,0,0,0,0,0,9.0,8.94,2.5,2.45,1.0,1.0,0,5.5,5.48,10.5,10.2,177.0,139.46,0
080ea37c46bf0490a3c34a670a46946127121631,0,0,0,0,0,8.0,6.24,2.5,2.0,1.5,1.41,1,1.0,1.0,8.5,7.21,73.0,64.06,1
60fcb4a0e98502c9f721660efce3446fcc5123bf,0,0,0,0,0,2.5,2.45,1.5,1.41,6.5,3.46,11,1.0,1.0,1.0,1.0,39.5,25.1,12
14b7f4686378f806b29acaecf688924f230b2bd2,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0,1.0,1.0,1.0,3.5,3.16,0
e88f7eb6d2a8335a13097c63d84a62a16d60dae8,0,0,0,0,0,3.0,2.24,1.0,1.0,1.0,1.0,0,4.5,2.83,2.5,2.0,48.0,19.18,0
1a866422f02953021471c7421c094c4c2eaf374a,0,0,0,0,0,14.0,9.8,3.0,2.24,4.5,2.83,7,4.5,2.83,18.5,11.49,296.5,214.69,8
a4ce7cc05ea9861cab1d20408eb35964cde81555,0,1,2,0,0,23.0,21.91,2.5,2.0,2.0,1.73,2,51.0,25.79,40.5,40.35,890.0,794.04,3
