mergeCommitID, isConflicting, existsCommonSlice, totalCommonSlices, conflictingFilesNumber, conflictsNumber, numberOfCommitsArithAverage, numberOfCommitsGeoAverage, numberOfAuthorsArithAverage, numberOfAuthorsGeoAverage, delayIntegrationArithAverage, delayIntegrationGeoAverage, deltaIntegration, minimumLifeTimeArithAverage, minimumLifeTimeGeoAverage, numberOfChangedFilesArithAverage, numberOfChangedFilesGeoAverage, numberOfChangedLinesArithAverage, numberOfChangedLinesGeoAverage, contributionConclusionDelay
0c47a459c98116f2656978292b471a206c3f7e94,1,0,0,1,1,31.0,31.0,1.5,1.41,1.0,1.0,0,68.5,41.5,11.5,9.49,38135.0,6400.73,1
f003752ec078efb7785b5b985ff2158b73f22223,1,0,0,1,1,295.0,114.2,2.0,1.73,47.0,9.64,92,63.0,51.7,33.5,21.73,3027.0,1839.43,93
c76ee3df287a7c0e89cdd879bac46a971ee07ea3,1,1,2,1,1,33.0,22.65,2.0,1.73,1.0,1.0,0,4.0,2.65,12.5,12.49,385.0,383.98,0
3407473ba652a126e50698ca6e27fe6b4c7a3556,1,0,0,2,3,36.5,30.85,1.5,1.41,2.5,2.0,3,4.5,3.74,8.0,6.93,283.0,251.37,4
03f51a6153c91c528af7a0b25fca7a40a31b4b52,0,0,0,0,0,28.5,12.73,1.5,1.41,1.0,1.0,0,3.5,2.45,9.0,5.66,264.0,131.36,1
0e5e9d0b3b0b6a5f014b831b7940baeded8244e2,0,1,1,0,0,86.5,63.72,1.5,1.41,1.0,1.0,0,12.5,10.68,18.5,12.65,988.0,689.12,0
108f48771dd087ec142f3e5b4c3e1e0df5e3893e,0,0,0,0,0,9.5,8.37,1.5,1.41,1.0,1.0,0,3.0,2.24,4.0,3.46,141.5,129.29,0
46ae9f3b5eb86dc02843d74d9906d075ffe5ba70,0,1,1,0,0,3.5,3.16,1.0,1.0,1.0,1.0,0,1.0,1.0,3.0,2.83,11.0,10.25,0
502dfc39df7e164929d5fdbb00a4017b3775a5eb,0,1,1,0,0,27.5,27.5,1.5,1.41,3.5,2.45,5,3.5,3.16,10.5,9.49,373.5,323.03,5
b577816bb5a5bf36b05b2287115effcae2df8677,0,0,0,0,0,31.5,18.49,1.5,1.41,1.0,1.0,0,4.0,2.65,8.0,8.0,449.5,427.95,1
31e26c95838d567f9bbae7787660d55b73ce8b01,0,0,0,0,0,29.0,21.0,2.0,2.0,1.0,1.0,0,4.5,3.74,4.5,4.47,294.0,245.34,0
4820980dd77cc12d31e0adb502aa098058f3450b,0,0,0,0,0,16.0,7.75,1.5,1.41,1.0,1.0,0,3.5,2.45,2.5,2.0,95.0,13.75,0
f80d1ecfd49f2f5fa42a29fa8f8f954beab7f3e1,0,0,0,0,0,47.5,44.54,2.0,1.73,2.0,1.73,2,7.5,6.63,9.5,9.38,347.0,330.41,3
7b03bb4c8a77d51e694c1993fdbdd1c67f8d71d8,1,0,0,1,1,27.5,24.98,2.5,2.45,1.0,1.0,0,7.0,5.74,7.0,5.74,182.5,167.91,0
48ffb42951ee6a5eac3ce65fb6f8adebc236fc8d,0,0,0,0,0,4.5,3.74,1.5,1.41,4.0,2.65,6,6.5,3.46,2.0,1.73,31.5,13.42,7
4244acb20a7fdf1adda04ef003f8696383960b82,1,0,0,1,2,26.0,15.33,2.0,1.73,1.0,1.0,0,7.5,3.74,9.5,6.93,242.0,125.36,0
62b29c7840849efd474312c0f7187f8fc8076cda,1,1,1,2,2,25.0,17.35,2.0,1.73,1.5,1.41,1,8.0,6.93,10.5,8.94,239.5,131.0,2
2f9e80cb488a2cf6397c960803bb61488e5338de,0,0,0,0,0,74.5,12.17,2.0,1.73,6.5,3.46,11,24.5,6.93,14.5,5.29,841.5,70.99,12
16c7e628dfdc7fdcacab7f4c74c8068e643c9e94,1,1,1,2,2,6.5,6.0,1.5,1.41,2.0,1.73,2,2.0,1.73,4.5,4.24,97.5,66.29,3
eff1ea33ed0161f1e507c912300afc70b05fceda,0,0,0,0,0,22.0,9.17,2.0,2.0,9.5,4.24,17,15.0,12.0,10.5,4.47,313.0,55.72,18
7bbb6f995f664e9eb3c2576e72e7c74a4f47fde4,0,0,0,0,0,2.5,2.0,1.0,1.0,1.0,1.0,0,1.0,1.0,2.0,1.73,20.5,8.83,0
c89a2bd4e796df99f8f7b9e2b7e211d2f1963227,0,0,0,0,0,13.0,5.0,2.0,1.73,6.5,6.48,1,5.5,3.16,4.0,2.65,84.0,28.55,1
3c1b5301979f85d9bfbeeca34b13f840dbe8e627,1,1,1,1,2,18.0,9.95,2.0,1.73,1.0,1.0,0,8.0,7.94,6.5,4.69,128.0,96.58,0
6c15cb08361453f564b2cd80e00208e0a073777c,0,0,0,0,0,3.5,3.16,1.5,1.41,1.0,1.0,0,1.0,1.0,1.5,1.41,11.5,4.69,0
ea92d1a3e0199ce2e8ef978091e4b17e77ead5ae,0,0,0,0,0,11.5,11.4,2.5,2.45,1.5,1.41,1,31.5,15.36,8.5,8.37,186.5,156.46,2
3d1a9ac07c52658770f7a5c4ba77ed22bb69cc61,0,0,0,0,0,49.5,16.97,3.0,2.83,1.0,1.0,0,67.0,66.39,36.0,16.49,488.0,134.84,1
d46eb5886e785ae966d5d86a3a889f8ae5b72b69,0,0,0,0,0,2.0,2.0,1.0,1.0,1.0,1.0,0,1.0,1.0,3.5,3.16,56.5,53.03,0
a6451ed76eb5fb8c5e50243ef563199cba94f7b2,0,0,0,0,0,46.5,22.85,3.0,2.83,1.5,1.41,1,60.5,60.03,32.5,11.22,440.5,245.87,2
c67a26093af2cc975ca77a0f692e0edb061f8725,0,0,0,0,0,11.0,8.49,2.0,1.73,16.5,16.12,7,12.5,11.22,6.5,5.48,58.0,57.69,7
fadb3fa8102930c174ac1550c93406ec99935b7f,0,0,0,0,0,4.5,3.74,1.0,1.0,4.5,4.24,3,1.0,1.0,4.0,4.0,23.0,22.98,3
968e49e19b7ddde881fb044adc9cf5b206ec8ecf,0,0,0,0,0,4.5,2.83,1.0,1.0,1.0,1.0,0,3.5,2.45,5.5,3.16,106.0,28.84,0
0c6e6484e472fe9219a64642e2471e93ccd9255e,0,0,0,0,0,24.5,16.06,2.0,1.73,1.0,1.0,0,6.0,5.92,15.5,14.49,254.5,249.64,0
b6893088217bed1339845b451b5c10cb3e431b80,0,0,0,0,0,10.5,8.25,1.5,1.41,1.0,1.0,0,2.5,2.0,3.5,3.46,54.5,31.46,0
5688c08b744b7596c9ecb6037731cab841842f96,0,0,0,0,0,3.5,3.46,1.5,1.41,1.0,1.0,0,2.5,2.0,2.5,2.45,12.0,11.83,0
b4f87645742d0278954585d417c7d3fea76ca814,1,0,0,1,1,11.5,10.95,1.5,1.41,2.5,2.0,3,3.0,2.24,6.5,6.32,71.0,66.82,4
4022aaff073969b86fed28c04238a85dd21203e1,0,0,0,0,0,17.0,10.95,2.0,2.0,1.0,1.0,0,2.0,2.0,6.5,5.48,243.5,152.91,0
4fd4087936368e8f201305c5e4983fd85163bb01,1,0,0,1,1,13.0,12.85,1.5,1.41,1.5,1.41,1,1.5,1.41,5.0,4.0,210.0,204.9,2
c1cd7c629658a0f7af4b916155f34f8bb7a4df5a,0,0,0,0,0,5.0,4.58,1.0,1.0,2.0,2.0,0,1.0,1.0,4.0,3.46,128.0,123.94,0
c9ee76adffc9dee1798e77de73a773a87bd34852,0,0,0,0,0,6.5,3.46,1.0,1.0,1.0,1.0,0,1.0,1.0,2.5,2.0,105.5,14.49,0
6e4e193bc14f382d157c48dae4b781716b5f82d3,0,0,0,0,0,14.5,11.75,1.5,1.41,1.0,1.0,0,18.0,11.31,11.0,8.49,190.0,152.74,1
0bf74013e0fa0d4e743e48826c613d5eabc20265,0,1,1,0,0,15.5,14.83,2.0,2.0,9.0,9.0,0,22.0,22.0,15.0,14.7,267.5,265.13,0
5cbe3da7e0ee81f48fc9fd483a64dde382a71b88,0,1,1,0,0,12.5,12.0,1.5,1.41,10.0,4.36,18,9.0,6.71,14.5,14.07,380.0,348.71,18
71324e7de767ea61634d919e9e5bdad220038063,0,1,1,0,0,12.0,11.62,1.5,1.41,8.0,6.93,8,4.0,3.87,14.0,13.67,378.5,347.72,8
d9c710bef898e7f528e08da01c0d19f254b8698c,0,0,0,0,0,17.5,17.44,2.0,2.0,2.5,2.0,3,8.0,7.75,4.0,2.65,29616.5,1899.87,4
c32bc14acfeb9d700496e8a9ee29e82b790431f4,0,0,0,0,0,23.5,15.68,1.5,1.41,1.0,1.0,0,4.5,2.83,2.0,1.73,152.0,73.59,1
6ba2ec93a5eee1ec25d081a5d15d3eb10163c4dd,0,0,0,0,0,8.0,8.0,1.5,1.41,1.0,1.0,0,5.5,3.16,7.0,4.9,56.5,56.12,1
bcf8ca335bb80105dee38a005f069f2e2b7e6c16,0,1,1,0,0,43.5,18.22,2.0,1.73,1.0,1.0,0,11.0,10.82,25.0,9.8,756.5,239.76,0
8b43a3eb6345919591ab5c35b1f8c7cf0b308635,0,0,0,0,0,40.0,15.2,2.0,1.73,5.5,5.48,1,5.5,4.9,23.5,6.78,670.5,131.39,1
07052f2ce37a97a36194904f7345a7d8481d2fa9,0,1,1,0,0,19.5,11.83,2.0,1.73,1.0,1.0,0,3.0,2.24,14.5,5.29,322.0,111.71,0
eb0c51b53c84c37d6307bdfb37e7b9024154fcff,0,0,0,0,0,17.0,5.74,2.0,1.73,1.0,1.0,0,3.0,2.24,14.0,5.2,312.0,35.27,1
8b38272fae84d29f7b2d5c892964cecebbe855f0,0,1,1,0,0,16.0,7.75,2.0,1.73,1.0,1.0,0,3.0,2.24,13.5,8.49,311.0,141.39,1
d4ad1d0c58ecb232491579d140d90b0f7c8b8468,0,0,0,0,0,14.5,5.29,2.0,1.73,1.0,1.0,0,3.0,2.24,12.0,6.63,294.0,204.73,1
1d568db421d56b9a2911bea33af5d01125dcc401,0,0,0,0,0,13.5,10.49,1.5,1.41,1.0,1.0,0,3.0,2.24,11.0,6.32,252.5,198.15,1
974de11b3010853ff576bd6c15608dd8dfcaf52d,0,0,0,0,0,31.0,10.95,1.5,1.41,1.0,1.0,0,4.0,2.65,11.5,4.69,12987.5,509.56,0
dd1d726f29064f44435a0b6d8091a7cbfdb58eab,0,0,0,0,0,1.5,1.41,1.0,1.0,3.0,2.83,2,2.0,1.73,2.0,2.0,42.5,37.76,2
597a3d1b72c4c2e1209f73d394e011bffbf93def,0,0,0,0,0,1.5,1.41,1.5,1.41,2.0,1.73,2,1.5,1.41,1.5,1.41,6.0,6.0,3
a170d0b4160b668f75a16ccd1984fa7f9c7f88ae,0,1,1,0,0,109.5,41.09,1.5,1.41,6.5,3.46,11,38.0,36.92,51.0,22.02,2498.5,428.39,12
d77a700bc8e78e483dd04616e8c55aeea294b41f,1,1,1,1,1,67.5,31.87,1.5,1.41,1.0,1.0,0,3.0,2.24,37.0,18.57,1063.0,238.06,0
5e1a45f67340c5da7c4355264e06ef9e603c78b4,0,0,0,0,0,51.5,10.1,1.5,1.41,1.0,1.0,0,3.0,2.24,31.0,7.81,915.5,60.48,0
20bb5424b93aaa2817a7fbb1a131a55a9cdc8237,0,0,0,0,0,52.5,20.1,1.5,1.41,1.0,1.0,0,4.5,4.47,32.5,15.62,928.0,222.22,0
a8ecacdbc5fd77f85c1bed852869e188e185134c,0,1,1,0,0,40.0,25.28,1.5,1.41,1.0,1.0,0,7.5,6.0,20.0,16.0,515.5,318.29,0
7a1e0bbaa5afc0a042d64916309f0a98aac1da4c,0,0,0,0,0,1.5,1.41,1.0,1.0,1.0,1.0,0,1.0,1.0,1.0,1.0,14.5,11.75,0
f86ff62e8215b8e01e6140b5adc2581af5ab21ce,1,1,1,1,1,23.0,21.91,1.5,1.41,1.0,1.0,0,10.0,9.54,13.0,12.85,310.0,291.31,1
1fa58d53be78d7d05b96d6fdbee2921dde8e32b7,0,1,1,0,0,13.0,5.0,1.5,1.41,2.0,1.73,2,6.0,3.32,10.0,6.0,211.0,57.55,3
9257f9c328efaaa8791613f58959535077ecea04,0,0,0,0,0,12.0,4.8,1.5,1.41,3.0,2.24,4,6.0,3.32,9.5,4.24,207.0,28.71,5
1897d61e893d4e71fbdcf82363b14e2224dcced8,0,0,0,0,0,11.0,4.58,1.5,1.41,3.0,2.24,4,6.0,3.32,9.0,4.12,206.0,40.4,5
5f04c862594cfabb061ac73338fd469cddd591e6,0,1,1,0,0,10.0,9.95,1.0,1.0,6.0,6.0,0,3.0,2.24,8.5,7.75,204.0,203.52,0
4a167edf326d87efee567fb0e64dee170fb2cb51,0,0,0,0,0,6.0,5.2,1.0,1.0,1.5,1.41,1,2.0,1.73,3.5,3.46,109.5,29.33,1
a1f2e46cb6fc6a05705831e681515385d38e2d3b,0,0,0,0,0,5.5,4.24,1.0,1.0,3.0,2.24,4,1.0,1.0,4.5,4.24,22.0,12.65,5
645f2bb475e11f03a7eb8f932751c7ad8d5b462d,1,1,1,1,1,72.5,68.23,2.0,2.0,1.0,1.0,0,22.0,21.98,17.0,17.0,1058.5,1047.16,1
ab062da2d76adaba3b3541d339c78ad1d123d1f4,0,1,2,0,0,33.0,32.98,1.5,1.41,1.0,1.0,0,16.0,15.97,5.5,5.29,298.5,280.35,0
2d846de21f079d282ec35c85d7c8aa5164a29775,0,1,1,0,0,17.5,13.19,2.0,2.0,1.0,1.0,0,5.0,4.58,9.5,9.17,431.5,390.07,0
3354811297a506ceb335bfdb852326bdd19b12db,0,1,1,0,0,9.0,5.66,1.5,1.41,1.0,1.0,0,1.0,1.0,7.5,5.1,252.0,62.99,1
0bd5cf19b080f397a1b46c86225bc0d5f59a66db,0,0,0,0,0,26.0,7.14,1.5,1.41,1.0,1.0,0,9.0,4.12,12.0,6.63,607.0,85.14,0
912ae3fd8cdd5e6d4298472ce639c43c5a5b6f14,0,0,0,0,0,31.0,25.92,1.5,1.41,1.0,1.0,0,13.0,12.65,15.5,14.49,666.5,391.36,0
55598022f537ee93e54d1b80e992f49527a4529f,0,1,1,0,0,6.0,5.2,1.0,1.0,1.0,1.0,0,1.5,1.41,4.5,4.24,35.5,31.43,0
0f860c4f56e2b9dd1b156600ca34821efbd2eaca,0,1,1,0,0,15.0,7.48,1.5,1.41,1.5,1.41,1,5.5,3.16,11.0,7.55,158.0,75.12,2
54b255ed36bf1ee8ae9f37c0bfc05044c6f75e57,1,1,1,2,3,55.5,26.98,1.5,1.41,4.5,2.83,7,4.5,2.83,39.0,20.78,521.0,308.29,7
462fa6004ef3e5808236c199f22ace440130a24b,0,0,0,0,0,4.5,4.24,1.0,1.0,1.0,1.0,0,1.0,1.0,4.0,3.87,38.5,29.7,0
75f96538b022ed98d7a281873a0073c21df63193,0,0,0,0,0,29.5,16.43,2.0,2.0,1.0,1.0,0,4.5,4.47,31.5,15.36,289.5,136.12,0
639cebcac69ec898bad54ce654b8cf726e7d1899,0,0,0,0,0,4.5,2.83,1.0,1.0,1.0,1.0,0,1.0,1.0,6.5,6.32,52.0,31.98,0
0674041fc06e9d6f18a1bf45b626c6155e758916,0,0,0,0,0,7.0,6.32,1.5,1.41,1.0,1.0,0,1.0,1.0,4.0,3.46,55.5,53.57,0
4c299425ac0c70806ece44a4e8cf79590f9b2304,0,1,1,0,0,8.5,8.49,1.5,1.41,1.0,1.0,0,1.0,1.0,7.0,4.9,71.0,64.35,1
5f463ea2b038bc25e0c4a5669816fba348417c1a,0,1,1,0,0,6.5,6.32,1.5,1.41,1.0,1.0,0,1.0,1.0,9.5,9.49,63.5,62.05,0
