mergeCommitID, isConflicting, existsCommonSlice, totalCommonSlices, conflictingFilesNumber, conflictsNumber, numberOfCommitsArithAverage, numberOfCommitsGeoAverage, numberOfAuthorsArithAverage, numberOfAuthorsGeoAverage, delayIntegrationArithAverage, delayIntegrationGeoAverage, deltaIntegration, minimumLifeTimeArithAverage, minimumLifeTimeGeoAverage, numberOfChangedFilesArithAverage, numberOfChangedFilesGeoAverage, numberOfChangedLinesArithAverage, numberOfChangedLinesGeoAverage, contributionConclusionDelay
bf951841e0cd9fe78275ae3aeff394de7c3f644d,0,0,0,0,0,8.5,5.48,5.0,4.0,27.5,26.94,11,143.0,122.96,9.5,7.75,4681.0,1257.25,11
af262dbd80e5f46d81386eb3df4f5beb1a673f55,0,0,0,0,0,3.0,2.83,2.0,1.73,5.0,5.0,0,106.0,14.53,6.0,5.92,4347.5,588.39,0
9b694a15f7b06a0a3e45a513eea144a0259801af,0,0,0,0,0,6.5,3.46,4.0,2.65,106.0,14.53,210,77.5,12.41,5.5,5.29,273.5,139.08,211
518937044d294352a705b28d77bc475c401ebd2a,0,0,0,0,0,5.5,3.16,3.0,2.24,77.5,12.41,153,39.0,8.77,3.5,2.45,254.5,31.84,154
c6f639c5f4cf0ba8cf442459237a41ec7a37eb16,0,0,0,0,0,3.5,3.16,1.5,1.41,26.5,15.49,43,1.0,1.0,3.0,2.24,247.5,54.17,43
bb5da697b5b32d98f6550301b2d64e53a3def2a9,0,0,0,0,0,1.5,1.41,1.0,1.0,1.0,1.0,0,1.0,1.0,8.0,5.29,284.5,181.0,0
ed3283246ece4cf4ac7494012003a5c996c00288,0,0,0,0,0,5.5,3.16,3.0,2.24,12.5,4.9,23,6.5,3.46,18.0,17.75,503.5,503.5,24
61b916fd0c36c4864c0672f4bb5977eb3e7a56c4,0,0,0,0,0,2.0,1.73,1.5,1.41,1.0,1.0,0,4.0,2.65,5.0,4.58,29.0,17.66,0
d8a0183fc01502cf4f2488c105128209b8fa9d83,0,0,0,0,0,2.5,2.0,1.5,1.41,3.0,2.83,2,1.0,1.0,1.0,1.0,2.5,2.45,2
415d477d172ea5fcad86d1c4ba0aab77216f2522,0,0,0,0,0,1.5,1.41,1.5,1.41,1.0,1.0,0,1.0,1.0,1.0,1.0,1.5,1.41,0
edb203b3530c8eadeca8fce08258c8f1d0fbf297,0,0,0,0,0,1.5,1.41,1.5,1.41,1.0,1.0,0,1.0,1.0,3.0,3.0,31.0,30.98,0
504e5082b49343a313c4ca4cfaaa02f7b240fd9c,0,0,0,0,0,16.5,5.66,4.5,2.83,1.5,1.41,1,23.5,6.78,38.0,14.8,867.5,327.02,2
9a66eeeaab7abfaa745931da3d65580886e8075d,0,0,0,0,0,4.5,2.83,1.5,1.41,2.0,1.73,2,1.5,1.41,22.5,16.31,495.0,124.84,2
3dda5ee8c0fd1d96da727ce0ee5307cfa865f809,0,0,0,0,0,3.0,2.24,2.0,1.73,1.0,1.0,0,2.0,1.73,2.5,2.0,20.0,10.54,0
8c947c42c1222c32ba7cae20b396d2fa1846d6ec,0,0,0,0,0,1.5,1.41,1.5,1.41,1.5,1.41,1,1.0,1.0,2.0,2.0,11.5,11.4,2
8c641abbe6180f97cdf20bfffdb8e8cd664344a9,0,0,0,0,0,1.5,1.41,1.0,1.0,1.0,1.0,0,3.0,2.24,3.5,3.46,22.0,20.49,0
d3c870cfb723995a740eaaddd04c60635b49b87b,0,0,0,0,0,4.5,4.24,3.5,3.46,5.0,3.0,8,8.0,7.42,9.0,9.0,103.5,95.67,9
529f553af6036d8858e37b0a58a82e65ed7c306d,0,0,0,0,0,2.0,1.73,1.5,1.41,2.0,1.73,2,2.0,1.73,3.5,2.45,44.5,13.19,3
b09b12e1b7135e4e97bf9534314b3c00da12ef7b,0,0,0,0,0,2.5,2.45,1.5,1.41,2.0,1.73,2,1.0,1.0,18.5,11.49,44.5,36.47,2
17ce6a9707dff55aac856990cb23eae69cbcbe15,0,0,0,0,0,5.5,4.24,1.0,1.0,1.0,1.0,0,1.0,1.0,9.0,6.71,110.5,106.21,0
1c3d2329dc69c6fc4c6b03f4bc020cd39a1e54ee,0,0,0,0,0,3.0,2.24,1.0,1.0,1.0,1.0,0,3.5,2.45,6.0,3.32,234.5,52.71,0
6a5d2752c5c5845b345acc671415cd28751921be,0,0,0,0,0,1.5,1.41,1.0,1.0,1.0,1.0,0,1.0,1.0,1.5,1.41,6.5,5.48,0
43fdd939d405f6aef802603b619137e66e4ed58f,0,0,0,0,0,3.5,3.16,1.5,1.41,2.0,1.73,2,1.0,1.0,6.5,6.32,144.0,139.43,3
703eb67015a3b1b1a092e808aed749168be4d4ea,0,0,0,0,0,3.5,2.45,1.5,1.41,1.5,1.41,1,2.0,1.73,6.5,6.0,213.0,139.46,2
4a0b71fb34e463356cd815e8e0e832ae6505844b,0,0,0,0,0,4.0,2.65,2.5,2.0,16.5,5.66,31,59.5,10.86,25.5,9.9,9823.5,1047.42,32
9454ad0f5b7243fa97b2d006afb8f22aeccfc796,0,0,0,0,0,6.5,3.46,3.0,2.24,60.0,18.73,114,55.0,10.44,26.5,7.21,9826.5,198.25,114
36cb2b630f4b0531d81cb9cee62487f568925861,0,0,0,0,0,1.5,1.41,1.5,1.41,1.0,1.0,0,19.0,6.08,1.5,1.41,21.0,8.94,0
26ac4b70917e670b8a3d8578445fc34e340c4903,0,0,0,0,0,2.5,2.0,1.0,1.0,32.5,32.19,9,1.0,1.0,3.0,2.24,14.0,7.21,9
5ac9d09e7cb53c0c748df08df153372aa2cc4acc,0,1,1,0,0,2.0,1.73,1.0,1.0,1.0,1.0,0,1.0,1.0,9.5,7.75,247.0,133.21,1
65e311b3986eb8959cfc15e1971067ed7baaa990,0,0,0,0,0,17.0,15.0,4.0,3.87,9.0,6.71,12,151.5,104.7,27.5,14.28,729.5,196.63,12
7ea1fac491d067ac59a76d1b6bb8fe694eb0af67,0,0,0,0,0,7.0,3.61,2.5,2.0,29.5,27.57,21,58.5,10.77,10.0,4.36,171.0,54.74,21
4ca1c2eedcd7e29b6b44dc195328bf62ceed4654,1,0,0,1,1,81.0,30.59,16.5,10.77,128.5,47.24,239,141.0,59.14,130.0,16.09,11927.5,534.9,239
376477471f196c70a37622028bc1862f03a9f27a,0,1,2,0,0,10.5,9.49,4.0,3.87,6.0,3.32,10,64.5,34.5,30.0,23.22,1190.0,975.18,10
ed09369f6269c61e9dcab8023ccc7d1fd91b00de,0,1,1,0,0,1.5,1.41,1.0,1.0,1.0,1.0,0,1.0,1.0,5.5,4.24,32.0,15.49,1
183ecbdf9d41b3dbd3e75a87b656eb6f56eb93fe,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0,1.0,14.0,8.66,381.0,221.5,1
223d81af3a9c060e122af68536f7191f5ea1ad95,1,1,1,1,1,53.0,17.58,9.5,5.83,24.0,6.86,46,86.5,85.1,110.5,38.7,9784.5,2865.49,46
c343925c808e9b120d80a4fdf7e19723b4aefcdc,1,0,0,1,1,1.5,1.41,1.0,1.0,1.0,1.0,0,1.0,1.0,2.5,2.45,11.5,7.75,0
1ef125bd2feed820916f467fcb4eefa94fe7bae8,0,0,0,0,0,2.0,1.73,1.0,1.0,1.0,1.0,0,7.5,3.74,4.5,2.83,25.0,7.0,0
fd0a4964ac284cdb502634e6963feb945709aa6f,0,0,0,0,0,2.5,2.0,1.5,1.41,37.0,36.78,8,1.0,1.0,3.0,2.83,23.0,22.98,8
537f765f90fc5cc7fd32f3d3692395c26b0e8703,1,1,4,4,11,14.0,11.49,4.5,3.74,28.5,7.48,55,20.0,6.24,51.5,31.81,4892.0,2363.81,55
269fc3d68b598e4f99322389f262ecfe71ecb988,0,1,2,0,0,8.0,5.29,1.5,1.41,4.5,2.83,7,1.0,1.0,10.0,8.0,125.0,70.82,8
