mergeCommitID, isConflicting, existsCommonSlice, totalCommonSlices, conflictingFilesNumber, conflictsNumber, numberOfCommitsArithAverage, numberOfCommitsGeoAverage, numberOfAuthorsArithAverage, numberOfAuthorsGeoAverage, delayIntegrationArithAverage, delayIntegrationGeoAverage, deltaIntegration, minimumLifeTimeArithAverage, minimumLifeTimeGeoAverage, numberOfChangedFilesArithAverage, numberOfChangedFilesGeoAverage, numberOfChangedLinesArithAverage, numberOfChangedLinesGeoAverage, contributionConclusionDelay
02ddbed52199ef61f0fe78fd3f17577c1d29b094,0,0,0,0,0,19.5,11.83,1.5,1.41,19.5,19.34,5,30.5,30.4,45.5,16.25,522.5,514.25,5
000d0571d7dbc14402be8eccda88513d86d19dc7,0,0,0,0,0,6.0,5.2,2.0,1.73,11.5,4.69,21,49.0,45.96,7.0,5.74,318.5,298.35,21
899779fd7252fe21ad02c2eba421570e45ef9627,0,0,0,0,0,5.5,4.9,1.0,1.0,1.0,1.0,0,1.0,1.0,4.0,3.46,58.0,52.8,0
d2d9c219c3a14002826d66c42af05c2137a7ef38,0,0,0,0,0,4.5,2.83,1.0,1.0,6.5,3.46,11,1.0,1.0,8.5,4.0,86.5,18.49,12
4e213ebfb05a130bdd95baf5fad08790a51bbedf,0,0,0,0,0,5.0,4.58,1.0,1.0,1.0,1.0,0,4.5,2.83,8.5,4.0,87.5,26.15,0
1eddc7f0a7b8e9ac7997e7dea61cf6588a2437df,0,0,0,0,0,11.0,10.82,1.0,1.0,1.0,1.0,0,2.0,1.73,48.5,48.5,543.5,538.64,0
203fdc0d694b6705c332ca1798417aa9479d3213,0,0,0,0,0,7.0,6.32,1.5,1.41,1.0,1.0,0,10.5,4.47,13.5,10.49,153.5,73.97,0
5972b8d510a677470c7a4aa06faf649060148d62,0,0,0,0,0,200.5,20.0,1.0,1.0,10.5,4.47,19,12.5,4.9,369.0,27.15,5657.5,150.42,20
17f1975b081e8b02ebe96ad5c0957ad93e06b44a,0,0,0,0,0,9.5,5.83,1.0,1.0,1.0,1.0,0,11.5,4.69,31.5,11.05,648.5,194.96,1
f5839dbfb1d3e9652537b8373ad39a9c7b96a5e6,0,0,0,0,0,178.5,18.87,1.0,1.0,12.0,6.63,20,8.5,4.0,359.5,37.87,4741.5,532.53,20
0b1614f785c031857e40b6b2c1f432dfcef20571,1,0,0,26,26,180.0,103.88,1.5,1.41,1.0,1.0,0,207.5,207.12,223.0,133.0,27040.0,6052.13,1
d5f9cd3e908b7cc952ae7a0b07dfc967fe05ced2,1,0,0,26,26,163.0,98.33,1.5,1.41,1.0,1.0,0,207.5,207.12,239.5,135.48,26697.0,5742.88,1
8dfcf906ecfb2edba3bd500767bece602e9d7aad,1,0,0,207,207,146.0,120.11,1.5,1.41,1.0,1.0,0,207.0,206.65,480.5,417.13,26384.5,16172.98,0
1987f9e29b1eb4b72721344e31d1659e47115c60,0,0,0,0,0,5.5,4.9,1.0,1.0,10.0,9.95,2,8.0,3.87,4.0,3.87,28.0,27.98,2
34ed1a5b7bb08210a68eada2fa80dcf173819b49,0,0,0,0,0,29.5,10.68,1.5,1.41,35.0,19.6,58,25.0,7.0,359.5,37.87,23725.0,653.43,58
48da5528a31fca0774501d5aac505c6137a85f4b,0,0,0,0,0,5.0,3.0,1.0,1.0,3.0,2.24,4,1.0,1.0,341.5,26.12,23267.5,215.72,5
5212ab9cba6f10b9631e970f54c0b2ad57dac5ab,0,0,0,0,0,1.0,1.0,1.0,1.0,1.5,1.41,1,1.0,1.0,9.5,5.83,18.5,10.1,2
d62171dab2d218804b8cc8d03ae611c92d920d36,0,0,0,0,0,42.0,9.11,2.5,2.0,1.0,1.0,0,69.5,11.75,590.0,59.42,46176.0,744.36,0
59ae60a266b1800ba452cd548f8f4ce80b5b7834,1,1,2,18,18,45.5,27.17,2.5,2.0,3.0,2.24,4,68.5,23.07,603.5,187.91,46299.0,4824.02,5
1d8fcd0b218d7fd5d07563e3714d9c8c3ad0a20c,1,0,0,2,2,42.5,18.0,2.5,2.0,6.5,3.46,11,61.0,11.0,590.0,76.65,46189.0,1719.03,12
3dfdf661fb9051cff08189cc539d44e69ab2119a,0,0,0,0,0,40.0,12.49,2.5,2.45,11.5,4.69,21,52.0,24.25,589.5,68.56,46115.5,1136.24,22
ec74cc84db62a6c8359232d8954d85927b13d2f0,0,0,0,0,0,2.0,1.73,1.0,1.0,1.0,1.0,0,1.0,1.0,1.5,1.41,13.0,6.93,0
b5c5818ac72104c4add90e860c5d8cad815953ed,0,1,1,0,0,34.0,8.19,1.0,1.0,30.5,30.46,3,14.5,5.29,588.0,48.46,46093.5,1006.94,3
e93f5b8d80d4d9c2c8a48f6e2c83cfac9ef4c6f6,0,0,0,0,0,1.5,1.41,1.0,1.0,3.0,3.0,0,1.5,1.41,10.5,7.35,25.5,23.24,0
0656deb7d7a4a458601edb7dd042eb53678558b8,0,0,0,0,0,2.5,2.45,1.5,1.41,1.0,1.0,0,1.0,1.0,3.5,2.45,89.5,75.22,0
e78d1fcb68c094ea7b573364477fc0a9963e4d0c,0,0,0,0,0,2.0,1.73,1.0,1.0,1.0,1.0,0,1.0,1.0,2.0,1.73,77.5,48.44,1
ff1698af34242e5e38995400ea595012f94bdf20,0,0,0,0,0,3.0,2.83,1.5,1.41,1.0,1.0,0,1.0,1.0,4.0,3.46,26.5,18.97,0
47505bbf49c7c45a8888cd61c9f73788aec5eae1,0,0,0,0,0,5.0,4.0,1.0,1.0,1.0,1.0,0,1.0,1.0,5.0,4.0,181.0,140.59,0
ef31a8c2a8e29dcdfa17ad516e7bf5edc3f7d4c9,0,0,0,0,0,6.5,3.46,1.0,1.0,1.0,1.0,0,1.0,1.0,5.0,3.0,211.0,116.38,0
9549e81fe85571ca04c4a8d1fa9c4c43a9f57cce,0,0,0,0,0,1.5,1.41,1.0,1.0,53.5,10.3,105,1.0,1.0,11.5,8.72,40.0,24.0,106
5e8944432e0855e447e57679b99e7d50e79f2aae,0,0,0,0,0,3.5,2.45,1.0,1.0,1.0,1.0,0,1.0,1.0,14.0,13.08,71.0,70.99,0
a3c940a06a5ed27689c2ddea5f24d0929bb3fe4f,0,0,0,0,0,6.5,6.0,1.0,1.0,1.0,1.0,0,1.0,1.0,15.0,10.2,2851.0,282.19,0
498e2b372d343a5fab30fcbbe86671cfddcc4e1a,0,0,0,0,0,1.5,1.41,1.0,1.0,22.5,6.63,43,1.0,1.0,2.0,1.73,7.0,6.93,44
21ccf960e45c0250750a2e9d29d9705671c219b3,0,0,0,0,0,1.5,1.41,1.0,1.0,1.0,1.0,0,1.0,1.0,1.5,1.41,13.0,11.53,0
9cf8ce5fe7b6d3a2b5e8770d999cbaa3e9834859,0,0,0,0,0,16.5,7.87,1.0,1.0,1.0,1.0,0,77.5,12.41,42.0,19.87,13858.0,5963.98,1
b5b49a560bbbf8f86e171f2b9a6f00f9977e6f2c,1,1,2,1,1,19.0,18.03,1.0,1.0,1.0,1.0,0,77.0,12.37,59.5,57.45,1027.0,978.78,1
90831048998c877f43c9a8ec2efcbfde11e49ba4,1,1,4,1,1,37.0,34.64,2.5,2.0,73.5,12.08,145,76.5,31.97,67.0,66.52,1016.0,963.62,146
af6ed22024a1ed48bf3fb3fce39a3eaacdb88e99,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0,1.0,2.5,2.0,13.5,7.07,1
81d0fc69aa8c450bd9877269955952bfe22b6eb3,0,0,0,0,0,1.5,1.41,1.0,1.0,1.0,1.0,0,1.0,1.0,3.0,2.24,32.5,32.19,0
7cdb7f4766516d85e05028538f330318332e9496,0,0,0,0,0,10.5,7.35,3.0,2.24,1.5,1.41,1,23.5,6.78,17.0,9.64,767.5,564.04,2
a4884c80d99a35bb2f8770b718942b1b595779aa,0,0,0,0,0,10.0,4.36,3.5,2.45,22.5,6.63,43,23.5,6.78,18.5,16.91,662.0,632.63,44
0c9a431f29fb1cc1e310fefdd4993a628dc03aa1,0,0,0,0,0,9.0,4.12,3.0,2.24,22.5,6.63,43,23.5,6.78,13.0,5.0,428.5,41.35,44
ac565621eb96b803b7d0084c3e9201e1532f7a7e,0,0,0,0,0,5.5,4.9,2.5,2.0,3.0,2.24,4,23.5,6.78,9.5,8.37,406.5,363.23,5
ab2ace4d8a84d18c76f014be8d4dbba271fb9aea,0,0,0,0,0,4.0,3.87,2.5,2.0,13.5,7.07,23,22.5,6.63,4.0,3.87,308.5,306.78,23
2c70c2ff15c9eaf28d9bed037ea73d318e3c74ea,0,0,0,0,0,3.5,2.45,2.5,2.0,22.5,6.63,43,21.0,6.4,4.0,2.65,144.5,102.85,44
797ad1222e760438316853ccd8558640239d319b,0,0,0,0,0,3.0,2.83,2.0,2.0,1.0,1.0,0,1.0,1.0,3.0,2.24,226.5,42.38,0
a8adae59697281b000378ea1bd17a03e63454de7,1,1,5,2,7,25.0,21.93,3.5,2.45,17.5,5.83,33,105.0,28.71,91.0,48.5,2041.0,866.36,34
b1e7889c0d3188d44bb687c373c5efff05425bd0,0,1,1,0,0,8.0,6.24,2.5,2.0,19.5,6.16,37,104.5,24.86,73.0,58.25,1654.5,1607.51,38
fcb21c9a91996ffed8e3e3986aaab0d408c7e7b6,0,0,0,0,0,3.0,3.0,1.5,1.41,1.0,1.0,0,104.0,81.18,13.0,8.31,607.5,69.6,0
69bbdcba4b5f97e2b58402414883e7c4a0f0c011,1,1,1,2,2,45.0,13.27,4.5,2.83,20.0,6.24,38,15.0,5.39,143.0,29.14,5901.0,217.24,39
71192379280f1d83f3dd6678860791e1680a201d,0,0,0,0,0,1.5,1.41,1.0,1.0,1.0,1.0,0,85.0,13.0,12.0,4.8,614.5,147.64,0
c139f128d8cefe11e9abe6fb22d0319e034f80f4,1,0,0,10,10,171.5,18.49,10.0,4.36,86.0,22.52,166,133.5,16.31,306.0,116.39,37600.5,9465.83,166
b9fee6136d57d844f5141ab6af61e99000a0b87e,0,0,0,0,0,10.0,8.0,1.5,1.41,1.0,1.0,0,2.0,1.73,23.0,6.71,302.0,122.59,0
149afbb984cb46257d2b3e1c4cf4c8ee84fd316e,1,1,2,1,1,17.5,16.61,3.0,2.83,1.0,1.0,0,15.5,14.49,38.5,37.76,1461.5,1127.84,1
1793761ce3d8ebc87852e580fd3510c94cc628e0,0,0,0,0,0,19.5,15.75,4.5,3.74,7.5,3.74,13,15.5,12.96,127.5,22.49,4391.5,1708.57,14
03d7aa5a948409ceecd301d5108eb443fb596893,0,1,1,0,0,4.0,2.65,2.5,2.0,6.0,3.32,10,4.5,2.83,32.0,31.75,166.5,165.58,10
96aaeceea0828300dff2f08d3fd6ed3da3f3015a,0,0,0,0,0,3.0,2.83,2.0,2.0,1.0,1.0,0,4.5,4.24,18.0,5.92,95.5,80.42,0
60384e9cccd138c5d5c0bdbcc3ee124278bf3771,0,0,0,0,0,5.5,3.16,1.5,1.41,1.0,1.0,0,56.5,10.58,108.5,14.7,3956.5,251.48,1
dc94725572f584b1cc9649f0675d6bada2a02fb3,0,0,0,0,0,7.0,6.71,2.0,2.0,2.0,2.0,0,57.0,20.98,108.5,14.7,3984.5,711.28,0
a397cd7ea2d92d04d9e0b6e13e5ce428229fd629,0,0,0,0,0,5.0,4.9,2.0,1.73,8.0,3.87,14,8.5,6.48,12.5,4.9,77.5,76.32,14
60267d191bd3e184179571cf2af253d01fa6764d,0,1,4,0,0,2.0,2.0,1.5,1.41,1.0,1.0,0,1.0,1.0,11.5,11.4,42.5,42.47,0
