mergeCommitID, isConflicting, existsCommonSlice, totalCommonSlices, conflictingFilesNumber, conflictsNumber, numberOfCommitsArithAverage, numberOfCommitsGeoAverage, numberOfAuthorsArithAverage, numberOfAuthorsGeoAverage, delayIntegrationArithAverage, delayIntegrationGeoAverage, deltaIntegration, minimumLifeTimeArithAverage, minimumLifeTimeGeoAverage, numberOfChangedFilesArithAverage, numberOfChangedFilesGeoAverage, numberOfChangedLinesArithAverage, numberOfChangedLinesGeoAverage, contributionConclusionDelay
4f234e245a88f6934e2a5a0841c63e3309c2ffd5,0,0,0,0,0,4.0,2.65,1.0,1.0,1.0,1.0,0,1.5,1.41,3.5,2.45,59.0,40.4,0
bccd7215a4763098d79c1a848c2035d14bae4528,1,1,1,1,1,1.5,1.41,1.0,1.0,1.0,1.0,0,2.0,1.73,3.0,2.24,69.0,11.7,1
e016eeeb2e411e094e13f382c04cceaf28572e43,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0,1.0,2.5,2.0,93.5,84.75,1
722624201d6e5fdee280581d75b3b20a33912fd3,1,1,4,7,13,62.0,61.6,1.0,1.0,15.0,5.39,28,185.0,104.0,108.0,101.46,13405.5,7770.75,28
2d88e8f4981d665506a94d714ec4a21ad085e057,0,1,2,0,0,22.5,11.22,1.0,1.0,1.0,1.0,0,16.5,5.66,36.5,25.1,1133.5,612.91,0
1048c0db4c7661714f7ee204e8aa2d4f8395476e,0,0,0,0,0,6.0,4.47,1.0,1.0,1.0,1.0,0,8.5,4.0,15.0,11.18,440.5,274.52,0
e1928097b5d7f4ce72a3fb4022a7289d8c71ce88,0,1,1,0,0,6.5,6.0,1.0,1.0,2.5,2.0,3,13.0,12.96,15.0,11.18,399.5,104.83,4
ecdc2438a337894cfbe48131bbb6931be199f6cf,1,1,1,1,1,30.0,7.68,1.0,1.0,1.0,1.0,0,168.5,18.33,70.5,11.83,12131.0,311.5,0
090a1d685340b2bd5d4daa572904f625b48f654a,1,1,1,3,3,29.5,12.96,1.0,1.0,1.5,1.41,1,169.0,25.92,72.5,28.88,12135.5,660.72,2
a8174897ef3e5929b19bc2ce961036770ef2891e,0,0,0,0,0,27.0,7.28,1.0,1.0,1.0,1.0,0,166.0,18.19,68.5,11.66,12117.5,311.33,0
ae9b224b09d4976a9a33b09d0bcd674410a89646,0,0,0,0,0,26.5,7.21,1.0,1.0,1.0,1.0,0,166.0,18.19,68.5,11.66,12120.5,492.25,0
c84109ffc6efe6f7f9bf2f7a03960ec59f8df411,0,1,1,0,0,27.0,12.37,1.0,1.0,1.0,1.0,0,166.0,18.19,69.0,16.49,12129.5,823.69,0
4b33980f035c6b8edec819f6ef681df19cd90f9c,1,0,0,2,2,26.5,12.25,1.0,1.0,3.5,3.46,1,164.0,18.08,71.5,28.67,12148.0,1255.0,1
3205c339ed42ebf4b7ad4f19105abc12b5df0415,0,1,1,0,0,26.0,13.86,1.0,1.0,1.0,1.0,0,164.0,25.53,71.0,23.49,12123.5,660.4,0
52d148ed647fee4265f79b938a77141ffce42ad9,1,1,2,2,9,27.5,22.72,1.0,1.0,1.0,1.0,0,166.0,53.92,74.0,47.19,12223.0,2439.92,0
82259464d93d02e38085bb060403454147447d70,1,1,3,6,21,69.0,63.5,1.5,1.41,13.0,12.96,2,181.0,125.94,104.0,101.42,13646.0,8650.23,2
65a04c5095435e0d90a12beb68e7d7e6bc2ee450,1,1,3,2,9,39.0,38.99,1.0,1.0,26.0,10.0,48,132.5,109.57,84.5,73.61,12652.0,5997.79,48
263c2cf25cf9c3136e661b6d13deb3564480f3d6,1,1,1,2,9,31.5,31.3,1.0,1.0,1.0,1.0,0,119.5,93.43,85.0,68.0,14768.0,11755.34,0
7fa63abd717f27c3dac501fdbdb23ace955c1f08,0,0,0,0,0,17.5,8.12,1.0,1.0,1.0,1.0,0,74.0,12.12,70.0,20.27,11781.5,811.78,1
a5fa6b67451fb3e53ddd989bd59568550ca0d897,1,1,2,1,1,17.5,14.0,1.0,1.0,2.0,1.73,2,78.0,36.37,74.5,38.96,11769.0,1156.9,3
653f1122344ea5b600345aadc51350b66ffb9b03,1,0,0,2,23,18.0,14.25,1.0,1.0,29.5,10.68,55,67.0,65.92,35.0,21.0,1430.5,707.13,55
4f2de77b41af99fbe96297d402b5c879cab1a953,1,1,4,2,7,9.5,6.93,1.0,1.0,1.0,1.0,0,54.0,54.0,41.0,39.5,1945.5,1892.62,0
1f80ce7a97228889b4615de38994b3459815459c,0,0,0,0,0,4.5,2.83,1.0,1.0,30.0,18.0,48,16.5,5.66,19.0,15.49,794.5,487.31,48
d0b3bd3fbc5e1f640e0f2fcaaf28029aefc34653,1,0,0,1,2,11.5,10.95,1.0,1.0,3.5,2.45,5,43.0,41.57,30.5,20.59,1281.5,632.56,6
f74a170bc4bdd1bcf645758630e52ae1e1f15eec,1,1,2,4,24,164.0,40.19,1.0,1.0,40.0,8.89,78,39.5,8.83,143.0,40.99,15279.0,2272.87,78
b09814bd07baf753ce72e2d0a46f86a5e0a927be,0,1,2,0,0,22.0,9.17,1.0,1.0,12.0,4.8,22,12.5,8.12,40.0,39.55,2911.5,2520.42,23
c3364471ea168c39734d2a73ddb57bf3dadc8a61,0,0,0,0,0,10.5,4.47,1.0,1.0,1.0,1.0,0,1.0,1.0,10.0,4.36,266.0,82.14,0
6f8631e5d5cd7755b60e8c145b80de60f7f2bc2e,1,1,5,3,3,36.5,30.85,1.0,1.0,1.0,1.0,0,17.5,5.83,48.0,36.65,891.0,471.53,1
2761f15b1603a1c91e1987be0a7c6e029661effa,1,1,4,5,8,39.5,36.33,1.0,1.0,4.0,2.65,6,17.0,13.75,46.5,33.26,1180.5,1084.42,7
4e3bf42330c82a233e60b30d33eaa396e2209cb1,1,1,4,7,12,47.5,47.05,1.0,1.0,7.5,3.74,13,13.0,13.0,61.0,57.63,2319.0,2219.5,13
9c6cb2482af004a624d0c3491e2f14973e5b6f75,1,0,0,1,1,5.0,3.0,1.0,1.0,1.0,1.0,0,1.5,1.41,13.5,5.1,458.0,67.49,0
ae36a491318a176b5c576a1ed72dcec1efc4823b,1,1,2,2,2,194.0,27.78,1.0,1.0,2.5,2.45,1,173.0,45.17,380.5,61.48,33589.5,2402.08,1
8325d853a3c9ced7d359227b470e6af772f80a26,0,0,0,0,0,3.0,2.24,1.0,1.0,1.0,1.0,0,1.0,1.0,5.5,5.48,24.0,23.66,1
480192d87a111c9b04d4a86eddbe38000fa20f7d,1,1,12,7,11,85.0,59.19,1.0,1.0,1.0,1.0,0,143.5,16.91,557.5,224.04,186137.5,15252.94,0
39e159c0904f963fe2a396c3d71b9a452a3d9db7,1,1,1,1,2,69.5,28.25,1.0,1.0,1.0,1.0,0,137.0,16.52,538.0,80.12,185751.0,3166.99,1
221bc48131deb8dc02f80da007f3216d576c7d99,1,1,4,2,7,72.0,41.27,1.0,1.0,6.5,3.46,11,139.5,68.54,543.0,130.84,185899.0,11155.27,12
929f5264fda89c54979a3f7d4f1d610629acbeef,0,0,0,0,0,2.5,2.0,1.0,1.0,2.0,1.73,2,3.5,2.45,4.5,2.83,104.5,28.64,3
d788bdd0c5261ed72c29b0b485c0e4ba7ea6e9aa,0,0,0,0,0,54.5,10.39,1.0,1.0,3.0,2.24,4,128.5,16.0,757.5,38.91,143393.5,535.52,4
8f14735073d9d0609e18be973c8c90d3c066b06f,1,1,2,1,6,54.0,14.56,1.0,1.0,1.0,1.0,0,126.0,15.84,760.0,95.31,143434.0,5108.49,0
f9781ba1aa291a35a116010626cd9efe00f529b0,1,1,1,1,10,56.0,28.84,1.0,1.0,4.0,4.0,0,135.5,99.94,802.0,365.25,144585.0,26616.41,0
4f0b56c3dc6a25b95cbfa4521437be783dc946b5,0,1,2,0,0,43.5,9.27,1.0,1.0,4.5,4.47,1,87.5,13.19,742.0,76.94,143041.5,1512.81,1
817a0869379f34be81cabc0aa50317973d2b4403,1,0,0,1,8,42.0,12.81,1.0,1.0,1.0,1.0,0,86.5,13.11,741.0,66.61,143014.0,4505.88,0
b62a549bab8de368fcce988133270289535476b2,1,1,3,3,14,42.5,18.0,1.5,1.41,9.5,7.75,11,81.0,28.02,745.5,133.22,143030.5,5453.4,11
a70487a16fc284e1fae79e45dd1753a8968ebedb,0,0,0,0,0,40.0,12.49,1.0,1.0,1.5,1.41,1,79.0,12.53,740.0,38.46,142958.0,1069.41,2
6ca4e56e30ba60cf5351aa92eddc2a0e70c548ab,1,1,1,1,2,42.5,26.15,1.0,1.0,12.5,10.68,13,73.5,48.19,747.0,148.95,142992.5,6656.1,13
0af0d04e803747f66c36013e980dd914c07a56e9,1,1,1,1,1,37.5,14.7,1.0,1.0,1.0,1.0,0,58.0,10.72,741.0,66.61,142904.5,2390.77,0
1a26d2b0215200aad6817ad99678644e687a9614,1,0,0,1,4,32.0,11.14,1.0,1.0,2.5,2.0,3,55.0,10.44,737.0,66.43,142503.0,3540.95,4
909673d6ff555efd32ad3bdbdb80022c6519a2da,0,0,0,0,0,28.0,14.42,1.0,1.0,10.5,8.94,11,50.5,10.0,674.0,96.89,140489.5,7568.23,11
6945b9f2566a059a67a47e46952206f1cb1897d3,1,1,1,1,1,15.0,5.39,1.0,1.0,3.5,3.46,1,43.0,9.22,92.0,13.53,16956.5,260.43,1
45b834a2c9dea8cae9eb808f7f34bb814b233a7a,1,1,3,1,2,17.5,14.0,1.0,1.0,1.0,1.0,0,42.5,9.17,99.0,52.39,26210.0,25053.12,1
710734d81a89153c41c654e6bc9194583d4e4c8c,0,0,0,0,0,13.5,5.1,1.0,1.0,1.0,1.0,0,42.5,9.17,92.0,13.53,16955.5,260.42,0
0724c962bad0530b0d9dfb86e4d5cff9e601c5ca,1,1,11,13,43,59.5,46.99,1.5,1.41,1.0,1.0,0,107.5,104.9,159.5,152.57,18727.5,12381.55,1
c1d903ca8cb1d2c8c06a89987edcfe9401e7875c,0,0,0,0,0,5.5,4.24,1.0,1.0,2.0,1.73,2,43.0,9.22,6.0,5.2,136.5,84.12,3
e93ae0baad39971ef832fa3995c97129e5becb1a,0,1,1,0,0,54.0,10.34,2.5,2.0,1.0,1.0,0,35.0,8.31,522.0,32.3,74765.0,546.86,0
8bb18e4ba34fc5b262e19e119719a818850256bc,1,1,3,1,1,54.0,20.4,2.0,1.73,5.0,3.0,8,71.5,70.4,526.0,96.89,74881.0,5965.46,9
76d19715e049b2a43bbe4a4c0061f62921a0c873,0,0,0,0,0,10.0,4.36,1.0,1.0,4.0,2.65,6,4.5,2.83,99.0,14.04,16241.0,569.84,7
75761f9200a155173468e5ca8393e39a33eda1f4,0,0,0,0,0,99.0,14.04,1.0,1.0,17.0,5.74,32,119.5,15.43,560.0,33.45,304721.5,1352.15,33
422eabadfbac341e4f9a27611055af9da37d2c2c,0,1,2,0,0,62.5,24.49,1.5,1.41,3.0,3.0,0,110.0,57.13,536.0,65.36,273163.5,2956.51,0
7c56922d0c9c66e54c914996a2fd0a17ba667ec3,0,0,0,0,0,1.5,1.41,1.0,1.0,2.0,1.73,2,1.0,1.0,11.5,4.69,275.0,57.13,3
5f8b29fca2dbb5bfe05c6c4b3f385d96786c773b,1,0,0,8,12,63.0,39.6,1.0,1.0,1.5,1.41,1,103.5,61.16,552.0,164.24,273468.5,22007.87,2
1015a4e2d261957f79ad34eaaba2e435842ed35d,1,1,3,27,39,50.5,27.28,1.0,1.0,1.0,1.0,0,92.5,57.45,3696.0,3661.61,489223.5,486307.8,1
72e61a530d807d6a873169b37df7f21f7fe218d8,1,1,3,5,18,33.0,21.54,1.0,1.0,1.0,1.0,0,73.5,23.92,2077.5,249.2,269598.5,26147.73,0
3d603a9d0b29276021e3f170a6ab27b6b28b212d,1,1,16,77,81,98.0,70.57,2.5,2.0,17.5,5.83,33,194.5,172.68,2194.0,1615.06,295887.0,213069.39,34
82b8f33a544736dbfdd4b854b887f68357bb41bd,0,1,1,0,0,45.5,20.74,1.5,1.41,1.0,1.0,0,151.5,76.95,74.0,53.62,13785.0,1305.95,0
af281194551edc3abbb4efcc9c097e3643fe2672,1,0,0,1,1,41.0,32.5,2.0,2.0,21.0,12.33,34,124.5,84.43,68.5,44.0,9022.0,2666.33,34
b4f585bdd7e7cc2902ed20e1841285efc6e64f70,0,0,0,0,0,4.0,3.87,1.0,1.0,2.5,2.0,3,28.5,7.48,6.5,6.32,189.5,187.64,4
70e0b0bbc36895b848b19876a7039c2d7b804d13,1,1,3,6,13,73.5,72.43,2.0,2.0,41.5,9.06,81,107.0,104.04,787.5,445.32,127614.5,64016.2,82
46ac315027f06d250683cd081cd7dff9d175d87b,1,0,0,1,1,2.0,1.73,1.5,1.41,1.0,1.0,0,1.0,1.0,3.0,2.83,6.5,6.0,0
e0d243c51ffe4c3e2eb68e2795f71f7142f174c2,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0,1.0,2.0,2.0,4.5,4.47,0
461e92cf52ff047944d49a736f4eeb7fbbc60b2e,1,0,0,2,8,19.0,10.25,1.0,1.0,1.0,1.0,0,70.5,11.83,621.5,501.94,94925.0,51427.52,0
ce5dc840f33ef45a9a45cb30f084e5f1108347f6,1,1,7,13,16,93.0,82.46,3.5,3.16,58.0,10.72,114,74.0,41.89,944.5,451.67,196750.0,70108.88,115
b489b7b15174032db725a821147b4f042c535f54,1,1,1,74,76,21.5,21.45,1.5,1.41,20.5,6.32,39,74.0,70.96,761.0,706.42,170037.0,169827.7,40
d363df108896e09f6c8d00bc88854561744694c2,1,0,0,2,2,11.5,8.72,1.5,1.41,3.0,2.24,4,88.5,81.07,117.0,114.3,66337.0,19052.87,5
b219062ebf57f6e74bef4073ace46a6fa57932ec,0,0,0,0,0,1.0,1.0,1.0,1.0,2.5,2.0,3,1.0,1.0,3.0,2.83,30.0,28.62,4
66512c9fa93a1193ae41ec7aacb2adcfac14e402,0,0,0,0,0,7.0,6.71,1.0,1.0,2.0,1.73,2,46.0,16.34,343.0,93.54,64562.5,3715.5,3
5526a684f63b343badeedc04f6f518f37c4813c0,0,1,1,0,0,4.5,4.47,1.5,1.41,2.0,1.73,2,81.5,81.38,354.5,79.37,59459.5,4674.1,3
b0c79f465eff22c0d591a32ce84d5f0ce2c620da,0,1,2,0,0,26.0,10.0,1.5,1.41,18.0,14.25,22,34.0,31.42,53.0,28.0,2307.5,898.22,22
ec9b90b42a7b913cf8b10b15bc9753ada6814837,1,1,2,1,1,51.0,10.05,3.0,2.24,41.5,17.78,75,43.5,9.27,205.5,60.15,16189.5,1321.19,75
7fdf441d2c6c39afbf6ddfe210580c31cae79ffd,1,1,1,1,1,3.5,3.46,1.5,1.41,1.0,1.0,0,1.5,1.41,24.0,22.25,622.0,597.46,1
4f701e65de672f5e64f404f27acba48db106e953,1,1,3,2,3,7.0,6.71,1.5,1.41,2.0,1.73,2,6.5,6.32,14.5,14.49,336.0,273.63,3
9dbb1877fc58fb698b8eefbfb670c4994515e767,0,0,0,0,0,1.0,1.0,1.0,1.0,1.5,1.41,1,1.0,1.0,4.0,3.87,112.0,63.87,2
08f6df1f04b46433b41241da3dc0fb83b803c787,0,0,0,0,0,5.0,3.0,1.0,1.0,1.0,1.0,0,1.5,1.41,11.0,9.22,213.0,212.6,1
08c7bf600c1428966b8db33e33e92f561430a5c0,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0,1.0,1.0,1.0,30.0,14.97,0
74b19b7d6061486dadf9e125e61c1b6f6858835e,0,0,0,0,0,71.5,11.92,2.5,2.0,7.0,3.61,12,48.5,9.8,448.5,42.31,256145.0,1012.21,13
6434b0b88a41a0ee8a25c907cb27a5802ba94871,0,0,0,0,0,4.0,2.65,1.5,1.41,7.5,3.74,13,4.0,2.65,9.5,5.83,78.5,56.5,14
e4f1538f626ed4acb9219aeda3be997e25782746,1,0,0,1,1,8.0,3.87,1.0,1.0,1.0,1.0,0,2.5,2.0,30.5,7.75,5544.0,148.9,0
dd82e18d30c999f3caac30f48b4793beb07a7ffa,0,1,1,0,0,3.5,3.46,1.0,1.0,1.0,1.0,0,1.0,1.0,12.5,10.0,193.0,100.12,1
9e2cc9806914b3a2fabd5601a0216432c84be94b,0,1,4,0,0,9.0,4.12,2.0,1.73,1.0,1.0,0,5.0,3.0,161.5,39.87,5369.0,537.77,1
eb0a48667db74c1aaef5f524388d03539f2c7809,1,0,0,2,2,4.5,4.47,1.5,1.41,2.0,1.73,2,1.5,1.41,98.5,45.23,4486.5,2011.11,3
eb5d07415d0cd416bc94a17a1732f976f3a0a93f,1,0,0,1,1,6.0,4.47,1.5,1.41,3.0,2.24,4,1.0,1.0,67.0,38.26,444.0,435.39,5
8d1e4475bde190dbf153688232b6ccb4d435934e,1,1,1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0,1.0,6.5,4.69,175.0,113.74,0
7b88b69315fc4949369b3640b79c883d77e7b5a2,1,0,0,1,1,7.5,7.48,1.5,1.41,1.0,1.0,0,3.0,2.24,10.0,8.66,269.5,265.1,0
2459ddc199a62bde8f61979a5d07f098c27e5a4f,0,0,0,0,0,6.0,5.66,1.0,1.0,2.5,2.0,3,15.0,7.48,7.5,6.0,214.5,196.72,3
52a56731fbb10a063a5158958064a1126dba30c2,0,0,0,0,0,1.0,1.0,1.0,1.0,1.5,1.41,1,1.0,1.0,2.0,1.73,14.5,5.29,2
5c9f2ef58bdfb76cd2e3ff705c28a16b7f25d2cb,0,0,0,0,0,65.0,16.0,2.5,2.0,2.5,2.0,3,45.0,9.43,123.0,15.65,8447.5,4939.99,4
ab141561c5868b8ddddfcb86e93bfd0e119f8ade,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0,1.0,1.5,1.41,6.0,4.47,1
516f38f980e973f24cd920759b39fb7a8dd8c4cd,0,1,1,0,0,52.0,14.28,2.0,1.73,35.5,18.17,61,30.0,7.68,108.5,14.7,6404.5,160.04,61
1d90d2c7a82ca028f2dcae481df7b80d35edd60a,0,0,0,0,0,8.0,3.87,1.0,1.0,1.0,1.0,0,1.5,1.41,6.5,3.46,102.5,14.28,0
9a3d7c4f4904d8fc393d7cef896fa026a1aace35,0,0,0,0,0,1.5,1.41,1.5,1.41,1.0,1.0,0,1.0,1.0,1.5,1.41,8.5,6.48,1
32f810fe3ecac46e05ebdb4bd111cfab2cf01176,0,0,0,0,0,6.0,5.92,1.0,1.0,5.5,3.16,9,4.5,2.83,53.0,28.0,5098.0,1227.56,10
6fb5924a8447a6030f46caf122f5b7df0e2c05a4,0,1,1,0,0,12.0,4.8,2.0,1.73,1.0,1.0,0,29.5,7.62,61.0,11.0,215.5,29.29,1
9455d3aba6fdb7a63ad0a8ca7d3334f8015322f6,0,0,0,0,0,3.5,3.46,1.5,1.41,2.5,2.0,3,27.0,7.28,4.0,3.87,23.0,22.65,4
5573855c6f7af1b76f2c2424277d21d5547559b7,0,1,1,0,0,48.0,9.75,1.5,1.41,27.0,7.28,52,31.0,7.81,420.0,28.97,17506.5,187.11,52
6f63305bf969c2202f79c89afff09778a033394c,0,0,0,0,0,2.0,1.73,1.0,1.0,1.5,1.41,1,1.5,1.41,3.5,3.16,144.5,99.8,2
118915101b19901f04061bedabd4ce798f2c78b7,0,1,1,0,0,1.5,1.41,1.0,1.0,1.0,1.0,0,1.0,1.0,2.0,1.73,99.0,63.44,0
c54914b680e7ed8348731ab926494a7830614caf,0,1,1,0,0,3.0,2.24,1.5,1.41,1.0,1.0,0,2.5,2.0,4.0,4.0,134.5,80.83,1
758ae5c299a34e547bc2266a2a288109f949d1a9,0,0,0,0,0,17.5,8.12,1.0,1.0,18.0,17.75,6,10.0,4.36,302.5,34.73,81279.0,2244.62,6
213f3e3dd7b848f253230aeea0e308761b61f005,0,0,0,0,0,7.5,5.1,1.0,1.0,3.0,3.0,0,4.0,2.65,97.5,13.93,24686.0,314.23,0
abe92da73c6d343205bdbf893080d6951425791a,0,0,0,0,0,3.0,2.24,1.0,1.0,1.5,1.41,1,1.0,1.0,783.5,39.57,102288.5,639.65,2
c78a67ddcc79b1e54ea35e83c9ac60bf519043c7,0,0,0,0,0,3.5,2.45,1.0,1.0,1.0,1.0,0,3.5,2.45,88.0,13.23,24357.5,312.13,1
8871aeb3fbc1acc1b27a26049f225478865ab47c,0,0,0,0,0,5.0,4.58,1.5,1.41,1.0,1.0,0,5.5,5.29,786.0,79.2,102388.5,4679.71,0
a8fb090f5a1a2e6f871e40d8535c7604da2e39c8,0,1,2,0,0,4.0,3.46,1.0,1.0,2.0,1.73,2,1.5,1.41,6.0,5.2,108.5,107.89,3
e30d52fa421955547a9dcc20a77a7c2eda9fbabc,0,0,0,0,0,2.0,1.73,1.0,1.0,1.5,1.41,1,1.0,1.0,4.5,4.24,103.5,50.22,2
97b4913bcb78426e57ff6ec66ba0e6d0e4b4bfb9,0,0,0,0,0,4.0,2.65,1.0,1.0,1.0,1.0,0,3.0,2.24,5.0,4.0,26.5,21.49,0
051d20803de80b9f9edbe20f7ffbbb52cd6830cb,0,1,3,0,0,6.5,6.0,1.0,1.0,3.0,2.24,4,1.5,1.41,22.5,15.3,421.5,170.45,4
8c3a8c1243748a2ecc2b932022711f555edd46f4,0,0,0,0,0,1.5,1.41,1.0,1.0,2.0,1.73,2,1.0,1.0,4.0,3.87,119.5,100.6,3
4d6949674e6aea5836bc0c87ca86b2155ed0b6a8,0,0,0,0,0,9.0,4.12,1.0,1.0,2.0,1.73,2,1.0,1.0,19.0,6.08,340.0,36.82,3
84f7b0c8aec5941f1e58f889c2b592fdf8655a89,0,1,1,0,0,7.5,7.07,1.5,1.41,1.0,1.0,0,7.5,3.74,17.0,13.75,211.5,122.38,1
c99814148135d01f14879adb0160fbee13fc5beb,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0,1.0,1.0,1.0,4.0,3.46,0
af7f416b91ccd57a59c8054a617783a78bde472e,0,0,0,0,0,9.0,8.06,1.0,1.0,1.0,1.0,0,7.0,3.61,14.0,10.72,407.0,150.88,0
092e253f37cb7bf8c4f300f052ab9cd37a99b822,0,0,0,0,0,44.0,9.33,1.5,1.41,1.0,1.0,0,21.5,6.48,649.5,36.03,94393.0,1064.27,0
b8cc9ba97778d214a90d69edb854d27befcf702e,1,1,1,2,4,26.5,12.25,1.0,1.0,1.0,1.0,0,9.0,8.77,156.5,35.16,9780.5,698.86,0
8815cece32f13ff8539bbde7572011ceb7678336,1,1,9,19,45,45.0,41.67,1.5,1.41,1.0,1.0,0,24.0,16.94,783.0,602.57,103226.0,59445.49,0
e427b71858fa366df8e567f8608ba042c17eb79e,1,0,0,1,1,11.0,4.58,1.0,1.0,2.0,1.73,2,2.5,2.0,134.0,23.07,8782.0,621.23,3
88cac7ab444aa8f3f82b49ec0028200eced48daf,1,1,2,1,1,4.5,2.83,1.0,1.0,5.0,4.58,4,2.0,1.73,17.0,9.64,131.5,72.81,4
