mergeCommitID, isConflicting, existsCommonSlice, totalCommonSlices, conflictingFilesNumber, conflictsNumber, numberOfCommitsArithAverage, numberOfCommitsGeoAverage, numberOfAuthorsArithAverage, numberOfAuthorsGeoAverage, delayIntegrationArithAverage, delayIntegrationGeoAverage, deltaIntegration, minimumLifeTimeArithAverage, minimumLifeTimeGeoAverage, numberOfChangedFilesArithAverage, numberOfChangedFilesGeoAverage, numberOfChangedLinesArithAverage, numberOfChangedLinesGeoAverage, contributionConclusionDelay
ce586e3b8fc77b21dbadde406954accfa01803dc,0,1,1,0,0,1.5,1.41,1.0,1.0,2.0,2.0,0,1.0,1.0,3.5,2.45,21.5,12.49,0
9c92d9c2626231a001130645fcaeddfbfc5a3bfd,0,0,0,0,0,2.5,2.45,1.0,1.0,1.0,1.0,0,1.0,1.0,1.5,1.41,10.0,9.8,1
f5642f0de05640cf603e881668cdb45948c859aa,0,0,0,0,0,2.5,2.45,1.5,1.41,1.0,1.0,0,1.0,1.0,2.0,2.0,45.5,22.58,0
f66ecfdad8d0458d6456f31dbfc728251086ab0d,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0,1.0,1.5,1.41,6.0,5.66,0
b414dbc8301bea91712e90a80e44bb0777225e8e,1,0,0,1,1,3.5,3.46,1.0,1.0,1.0,1.0,0,1.0,1.0,4.0,2.65,89.5,79.3,0
b8b012df10223a381b4d2e18ee17c0b3b37412ad,0,1,1,0,0,13.0,5.0,1.0,1.0,5.0,3.0,8,1.0,1.0,117.0,15.26,12896.0,227.11,9
1359ef0ee0ea5b8d9049aa99eb9c966171392780,0,0,0,0,0,1.0,1.0,1.0,1.0,28.5,18.71,43,1.0,1.0,1.0,1.0,1.0,1.0,43
c21d7df70595983de40cb141e8e9c5ec5e15d632,0,0,0,0,0,27.5,7.35,6.0,3.32,69.5,11.75,137,91.0,13.45,17.0,5.74,270.5,65.3,138
47097fab75af5753c3bd9b6b0035776529402cbe,0,1,1,0,0,58.0,18.41,6.0,4.47,84.5,12.96,167,96.5,48.37,39.0,17.2,1243.5,384.69,168
f927223d7bf8303923fa7a7a9d6e54f84f87d2f8,0,0,0,0,0,24.5,6.93,5.0,3.0,62.0,11.09,122,87.5,13.19,15.5,5.48,236.0,116.92,123
a5e5ad2aaf4e1302cba86295f55d240ee61ece74,0,1,1,0,0,20.0,19.77,5.5,5.48,52.0,10.15,102,112.0,103.42,13.0,12.37,108.0,101.46,103
60ac92ec544185cac366314808759ef155ec112c,0,0,0,0,0,3.0,2.24,2.5,2.0,22.5,6.63,43,22.5,6.63,2.0,1.73,5.0,4.0,44
ab7a8bdd8398f2878b4d0e20303cf0a9976cd9fd,0,0,0,0,0,1.5,1.41,1.5,1.41,33.0,32.02,16,2.0,1.73,1.5,1.41,3.0,2.83,16
17e01ffcd608caee74699e1a6114d038f9ac9514,0,0,0,0,0,10.0,9.95,3.0,2.24,2.5,2.0,3,59.5,59.45,4.5,4.24,71.0,70.14,3
80ed663a7e07f75e3ce470e7219f18a0271abb78,0,0,0,0,0,1.0,1.0,1.0,1.0,50.0,49.99,2,1.0,1.0,1.5,1.41,4.5,2.83,2
