mergeCommitID, isConflicting, existsCommonSlice, totalCommonSlices, conflictingFilesNumber, conflictsNumber, numberOfCommitsArithAverage, numberOfCommitsGeoAverage, numberOfAuthorsArithAverage, numberOfAuthorsGeoAverage, delayIntegrationArithAverage, delayIntegrationGeoAverage, deltaIntegration, minimumLifeTimeArithAverage, minimumLifeTimeGeoAverage, numberOfChangedFilesArithAverage, numberOfChangedFilesGeoAverage, numberOfChangedLinesArithAverage, numberOfChangedLinesGeoAverage, contributionConclusionDelay
add6462b500d9d98c20ca8df257d6e9b844d1527,0,0,0,0,0,5.0,3.0,1.5,1.41,1.5,1.41,1,2.5,2.0,5.0,4.0,111.0,20.98,2
16d6a20150ae226efb97d1601c00ea9f06c6949c,0,0,0,0,0,1.5,1.41,1.5,1.41,6.5,4.69,9,1.0,1.0,1.0,1.0,2.0,2.0,9
6830267ab5e3ca607243c18565b657fa41f376e9,0,1,1,0,0,5.0,4.58,1.5,1.41,1.0,1.0,0,1.5,1.41,4.5,3.74,70.5,61.48,0
99c13ae13d2536da83d5e37077cdbce278384306,0,0,0,0,0,1.5,1.41,1.5,1.41,1.0,1.0,0,1.5,1.41,1.0,1.0,8.5,7.21,0
aed8111bd5b692350ab8f2c24b53d0d8464128c9,0,0,0,0,0,2.5,2.0,1.0,1.0,1.0,1.0,0,1.0,1.0,1.5,1.41,21.0,19.42,0
e0f06338f8560c342259a474935b7ded3717e385,0,0,0,0,0,1.5,1.41,1.0,1.0,1.0,1.0,0,1.0,1.0,1.5,1.41,25.0,21.93,0
0927a1160b515c3db42030400f1c2cb50923c998,0,1,1,0,0,21.0,20.4,2.0,2.0,7.0,4.9,10,12.0,10.39,45.0,29.48,2897.0,724.28,10
497e69c7f4fd255c70022b8d530b31236ab6499f,1,0,0,1,1,19.5,14.07,1.5,1.41,3.5,2.45,5,2.5,2.0,7.5,6.63,275.5,210.7,6
2cf9f273a03d5ad38a32897be6c95fd6299cca5e,0,0,0,0,0,1.5,1.41,1.5,1.41,1.0,1.0,0,1.0,1.0,5.5,4.9,135.0,87.27,0
457db3f2153014a45d95d312d91df290f6d06793,0,0,0,0,0,2.5,2.0,2.0,1.73,1.0,1.0,0,5.5,3.16,5.5,4.9,41.5,40.4,0
13ef7f618bf74d9e8da74523ee5b0bcad499d2c5,0,0,0,0,0,1.5,1.41,1.0,1.0,1.5,1.41,1,1.0,1.0,3.5,2.45,24.0,11.62,1
fe242ac6d1698844fda27be997d963b5948d36d2,0,0,0,0,0,29.5,10.68,2.5,2.45,13.5,5.1,25,14.5,5.29,32.5,8.0,3894.0,124.79,26
f24b21f8bfa0cbd3af9b764481bc94a15183f2b1,0,0,0,0,0,4.0,3.46,2.0,2.0,7.5,3.74,13,1.0,1.0,9.5,9.38,109.5,105.45,14
756f7ee7eb99197ad1f250c41df740b5600a70ed,0,0,0,0,0,4.5,3.74,1.5,1.41,1.0,1.0,0,1.0,1.0,8.5,7.75,88.5,78.17,1
d5f6ad20a9507f3c2cde8ce0ec7db40e2a75af0a,0,0,0,0,0,2.5,2.45,1.0,1.0,1.0,1.0,0,1.0,1.0,4.5,4.24,61.0,52.54,0
e466cd28b44c69c46557a744041f7a838aeb0de5,0,0,0,0,0,15.0,13.27,3.0,2.24,1.0,1.0,0,2.0,2.0,19.5,10.39,375.5,339.94,0
2b6f57446830a3bcaff44c7c66e5e6f8a07508f2,0,1,1,0,0,3.5,3.16,1.5,1.41,1.0,1.0,0,1.0,1.0,13.5,11.83,176.5,127.07,0
5969f34edfbdc88b152aa170a6122ecd4ef22c68,0,0,0,0,0,1.5,1.41,1.0,1.0,1.0,1.0,0,1.0,1.0,4.0,3.46,26.5,14.0,0
cfb146b705d5bcc2067af0562bd76e00158e5364,0,1,1,0,0,5.0,4.0,1.5,1.41,1.0,1.0,0,1.0,1.0,4.0,3.46,85.5,51.17,0
6e6b427432a445824fe81c64714d7920294c6262,0,0,0,0,0,1.5,1.41,1.5,1.41,21.0,6.4,40,1.0,1.0,1.5,1.41,32.0,27.11,41
647d912e4c41b228c1d3f4d2dd0ff1bda0411db8,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0,1.0,1.5,1.41,49.0,37.11,0
232856cab94ee0e4c24117954d9513f7d81e037f,0,1,1,0,0,2.0,2.0,1.0,1.0,1.0,1.0,0,1.0,1.0,5.0,5.0,29.5,29.5,0
110f5ea5d70573a58688e1a15bcb28aad3299f07,0,1,1,0,0,4.0,2.65,1.5,1.41,4.0,2.65,6,3.5,2.45,13.0,8.31,474.5,244.76,7
9f75c30084749917afa0d78be87271608cecbfe1,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0,1.0,2.0,1.73,34.5,16.12,0
e2bdc967f07911153ecf2fbd2bfc8e0847fba580,1,1,1,2,2,6.5,5.48,2.0,2.0,1.0,1.0,0,6.0,6.0,24.0,17.89,588.5,312.78,0
ca350f820d8e7d79ecc22f74f011671ae77e7f5b,1,0,0,1,1,8.0,6.93,1.0,1.0,8.5,8.12,5,12.5,12.0,14.5,11.75,463.5,158.66,5
2e0be80b1984663e35caedf2f56c349a5c06cf4c,1,0,0,1,2,5.0,4.58,1.5,1.41,1.0,1.0,0,1.5,1.41,15.0,14.87,496.0,495.42,0
6b4ece47c7bb286469be965c035b045dfdc92d6b,0,0,0,0,0,2.5,2.0,1.0,1.0,10.0,4.36,18,11.5,4.69,3.5,2.45,14.0,9.8,19
f8860f55b9685e37a605e58052248c72fba5b223,0,0,0,0,0,2.0,2.0,1.5,1.41,15.5,15.1,7,2.5,2.0,2.5,2.0,44.5,42.4,7
a2e51ce094e23607155e2aaa8f5e541221946aaf,0,0,0,0,0,9.0,4.12,2.5,2.0,25.0,7.0,48,17.5,5.83,7.0,3.61,248.0,38.46,49
6b35af841f41d432986c88b9497b532ed42e1e08,0,0,0,0,0,6.5,3.46,1.5,1.41,17.5,5.83,33,66.0,11.45,5.0,4.0,172.5,165.25,34
4de12f1fd6ba1b308efc2fc28c4c774e277c7d7e,0,0,0,0,0,4.0,2.65,1.0,1.0,65.0,11.36,128,55.0,10.44,4.0,3.87,82.0,74.62,129
ed8127e2cb020d8d0d9ef4bc4fec3e446b76fdc5,0,0,0,0,0,2.0,1.73,1.5,1.41,22.0,6.56,42,6.5,3.46,3.5,2.45,47.5,36.41,43
59d573d7a0c79ce05572b9cd52f38249e09242a2,0,0,0,0,0,1.5,1.41,1.5,1.41,1.0,1.0,0,5.5,3.16,1.5,1.41,12.0,9.75,1
70aef2dd3ab5ba0b35f0d6cb51cd0fd778fc7366,0,0,0,0,0,1.5,1.41,1.5,1.41,4.5,2.83,7,2.0,1.73,1.5,1.41,7.0,4.9,7
2b74664c0f7ec10a7c2427053a9c581df000e312,0,0,0,0,0,3.0,2.24,2.0,1.73,1.0,1.0,0,1.0,1.0,3.5,3.46,86.0,51.33,1
b9b3a05e8b4817934be51549e53cb797def13e8e,0,0,0,0,0,4.5,4.47,1.5,1.41,1.0,1.0,0,1.0,1.0,7.0,7.0,241.5,241.31,0
