mergeCommitID, isConflicting, existsCommonSlice, totalCommonSlices, conflictingFilesNumber, conflictsNumber, numberOfCommitsArithAverage, numberOfCommitsGeoAverage, numberOfAuthorsArithAverage, numberOfAuthorsGeoAverage, delayIntegrationArithAverage, delayIntegrationGeoAverage, deltaIntegration, minimumLifeTimeArithAverage, minimumLifeTimeGeoAverage, numberOfChangedFilesArithAverage, numberOfChangedFilesGeoAverage, numberOfChangedLinesArithAverage, numberOfChangedLinesGeoAverage, contributionConclusionDelay
5c44c3d88124581f2b3add62e07d8184af4bbd17,0,0,0,0,0,1.5,1.41,1.0,1.0,1.5,1.41,1,1.0,1.0,3.0,2.83,190.0,47.37,1
62063d17cd6c94d4388be5185421549ad3cb8963,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0,1.0,1.0,1.0,1.5,1.41,0
ee23eb4c45ccb20182427f864a825cda7b8b6619,0,0,0,0,0,2.0,2.0,1.0,1.0,4.0,2.65,6,1.0,1.0,4.0,3.46,24.0,23.92,7
a14c733407297c9f7e9c1656a2edf4b64b8562ee,0,0,0,0,0,1.0,1.0,1.0,1.0,4.5,2.83,7,1.0,1.0,10.0,4.36,205.5,28.6,8
f2ade20667ea9cec8a74ddd5931c6022c65ef23f,0,0,0,0,0,2.0,2.0,1.0,1.0,1.0,1.0,0,1.0,1.0,10.0,8.0,134.5,101.28,1
72673a86d55785854c60eb85733405defa51b9c1,0,0,0,0,0,1.5,1.41,1.0,1.0,1.0,1.0,0,1.0,1.0,1.0,1.0,13.0,6.93,0
e9e61396393cdb50ab19d46a195724bd0d6926aa,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0,1.0,5.0,3.0,706.5,182.58,1
405fe1335a5cc291f8084ddd39715bf36b7da49c,0,0,0,0,0,1.5,1.41,1.5,1.41,9.0,8.94,2,1.0,1.0,1.0,1.0,3.0,2.83,2
6fb842c519bbc9ff20b1979b335e1f8428acdb73,0,0,0,0,0,6.5,6.48,3.5,3.46,3.0,2.24,4,9.5,9.38,13.0,9.38,4039.5,3221.2,5
902228b41221d2a0e5ae378e41cec393affed521,0,0,0,0,0,129.0,16.03,9.0,4.12,2.0,1.73,2,63.5,11.22,91.5,13.49,25962.5,558.13,3
882acba76622e5104f0e79f38c274cc791952d96,0,0,0,0,0,1.5,1.41,1.5,1.41,3.0,2.24,4,1.0,1.0,5.5,5.29,140.5,140.46,4
ca98a447aefb89f6ca86b3003e0580c0e1c39ecb,0,0,0,0,0,3.0,2.24,1.0,1.0,1.5,1.41,1,4.5,2.83,7.5,3.74,373.0,66.63,2
344875f90f79ad208d128a024b80e6fada84fee1,0,0,0,0,0,3.0,3.0,2.0,2.0,2.0,1.73,2,8.5,4.0,2.5,2.0,99.0,53.96,2
