mergeCommitID, isConflicting, existsCommonSlice, totalCommonSlices, conflictingFilesNumber, conflictsNumber, numberOfCommitsArithAverage, numberOfCommitsGeoAverage, numberOfAuthorsArithAverage, numberOfAuthorsGeoAverage, delayIntegrationArithAverage, delayIntegrationGeoAverage, deltaIntegration, minimumLifeTimeArithAverage, minimumLifeTimeGeoAverage, numberOfChangedFilesArithAverage, numberOfChangedFilesGeoAverage, numberOfChangedLinesArithAverage, numberOfChangedLinesGeoAverage, contributionConclusionDelay
ef659f3065987b92d77eb91a2fefce2f3ed720a3,1,0,0,4,4,218.0,65.27,11.5,9.49,5.5,3.16,9,918.5,889.88,76.0,31.86,13648.5,1813.37,9
ddb127af1148c79d4bfe7209e502cdbef7029452,0,0,0,0,0,3.5,2.45,2.0,1.73,279.0,23.6,556,573.5,33.85,3.0,2.24,39.0,38.68,557
64f05b97b71b99b52fbd1d0a0fa31373100e1618,0,0,0,0,0,11.0,7.55,4.5,2.83,577.0,95.75,1138,523.5,32.34,8.0,6.93,145.5,81.55,1138
fe3ce3ef1da4fe0c4ceb0374369adbe1bb9447b0,1,0,0,1,1,3.0,2.24,1.5,1.41,2.5,2.0,3,4.0,2.65,6.0,5.92,137.5,118.64,4
8a9179d4e69e56c5978f0f5a47ef2c8005de174a,0,0,0,0,0,1.0,1.0,1.0,1.0,1.5,1.41,1,1.0,1.0,1.5,1.41,2.0,1.73,2
bfaf114cc951eef03216c1c49d9b05f93b137160,0,0,0,0,0,4.0,2.65,2.5,2.0,1.0,1.0,0,17.5,5.83,2.0,1.73,58.0,15.1,1
e06848f35c4aa899782aed647a6c2b6662e591c0,0,0,0,0,0,1.0,1.0,1.0,1.0,1.5,1.41,1,1.0,1.0,1.5,1.41,9.0,8.06,2
eed79881700935c528b09eaf1d17da97739543d7,1,1,1,2,33,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0,1.0,2.5,2.45,183.5,180.42,0
ffbb049317a528f55e496b9c92caf572cc6ba1bd,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0,1.0,2.5,2.0,14.0,7.21,0
387a28c59e02f6265bdb7c7c0e2c3e3b47db7b9c,0,0,0,0,0,2.0,1.73,1.0,1.0,1.0,1.0,0,1.5,1.41,10.5,8.94,568.5,120.88,0
6a31b77ef0e25f2ce11af8573915e796ff26fbd5,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0,1.0,2.5,2.0,53.5,47.56,0
66ca3dda89badfb196ded8b83439587efa68126e,0,0,0,0,0,2.0,1.73,1.0,1.0,1.0,1.0,0,1.0,1.0,3.0,2.83,13.0,12.65,0
28f7878df9668d068e4a6cdbd87c4f89710b38c7,0,0,0,0,0,1.5,1.41,1.0,1.0,1.0,1.0,0,1.0,1.0,2.0,2.0,9.0,8.94,1
2df09f21e9842864a92be003a55b62086af03976,0,0,0,0,0,12.5,4.9,1.0,1.0,2.0,1.73,2,7.5,3.74,9.0,7.48,671.0,188.43,3
ea0240166b7c313b13600bea0ef5f000caa8dcec,0,0,0,0,0,9.5,4.24,1.0,1.0,1.0,1.0,0,7.0,3.61,8.0,3.87,591.0,0.0,0
4878c8c3f78306cf446f198f5d666e2d80a9b48d,0,1,1,0,0,6.5,5.48,1.0,1.0,1.0,1.0,0,7.0,3.61,10.0,9.54,554.0,246.78,0
014dac1f6c554c155932a6e40fdd036afea10969,0,0,0,0,0,4.0,2.65,1.0,1.0,1.0,1.0,0,6.0,3.32,5.5,3.16,307.5,55.23,0
d58068c2bfef611407b0460443eb8b2a910e3ca3,0,0,0,0,0,4.0,3.46,1.0,1.0,1.0,1.0,0,6.0,3.32,16.0,14.83,933.5,875.65,0
5e59854b7980ec868eaa41e16324f2b8080fc9c1,0,0,0,0,0,2.5,2.0,1.0,1.0,1.0,1.0,0,5.5,3.16,5.5,3.16,297.5,34.44,1
55567d2e1d599b09ddef6791d4b5486ddbffe7d1,1,1,1,1,1,9.0,6.71,1.0,1.0,2.5,2.0,3,8.0,7.75,17.0,15.49,456.5,435.61,4
f6e1675fbb51d65a3826d8725f9ebc3824ff278b,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0,1.0,2.5,2.0,32.5,30.0,0
bad58e3b842d7ffa6a66ddaeef50e6fff83d568b,0,0,0,0,0,8.0,7.42,2.0,1.73,1.0,1.0,0,11.5,11.22,8.5,5.48,354.5,111.53,0
f361414cc36bb1232ad7270f0b9df104990c5237,0,0,0,0,0,2.5,2.0,2.0,1.73,10.5,8.25,13,3.0,2.24,3.5,3.16,29.0,26.83,13
b1f9a18e5745405af7e36571c9d96c7983469ae6,0,0,0,0,0,2.0,1.73,1.0,1.0,1.0,1.0,0,1.0,1.0,6.5,4.69,222.0,204.24,1
890d8aa61c0d86db086e485368c4e26149a2830b,1,1,1,1,1,3.5,2.45,1.5,1.41,11.0,4.58,20,11.0,4.58,7.0,6.93,152.5,152.48,21
