mergeCommitID, isConflicting, existsCommonSlice, totalCommonSlices, conflictingFilesNumber, conflictsNumber, numberOfCommitsArithAverage, numberOfCommitsGeoAverage, numberOfAuthorsArithAverage, numberOfAuthorsGeoAverage, delayIntegrationArithAverage, delayIntegrationGeoAverage, deltaIntegration, minimumLifeTimeArithAverage, minimumLifeTimeGeoAverage, numberOfChangedFilesArithAverage, numberOfChangedFilesGeoAverage, numberOfChangedLinesArithAverage, numberOfChangedLinesGeoAverage, contributionConclusionDelay
1a72148610487e25c74be05a6e73264c920ac96b,1,0,0,1,1,5.0,4.0,3.5,3.16,114.5,15.1,227,147.0,122.67,8.5,6.48,123.5,60.79,228
fc14e71fecec290c2ed9de7b1c51162e78da9192,0,0,0,0,0,2.0,2.0,1.5,1.41,1.0,1.0,0,1.0,1.0,4.0,2.65,75.5,29.5,0
8a4970cff230ea63afc43fb9294199b6e09a66f1,0,0,0,0,0,6.5,3.46,3.5,2.45,5.5,3.16,9,24.0,6.86,10.0,4.36,271.0,76.43,9
20ff32da89d71f767d0eeefd1f86c39c0c2dedc6,0,0,0,0,0,2.5,2.45,1.0,1.0,2.0,2.0,0,1.0,1.0,2.5,2.45,9.0,8.06,0
daa8c2c6b2838a939726703dfcadd310940ae938,0,1,1,0,0,5.5,3.16,2.5,2.0,8.5,4.0,15,9.0,4.12,3.5,3.46,52.0,48.0,16
64b0fd93090da086186316eda27996c0a3c749e1,0,0,0,0,0,5.0,3.0,2.0,1.73,11.0,9.22,12,6.0,3.32,4.0,2.65,37.5,36.28,12
58c52d3e9b2a46da642918a60a7ae850c801d93f,0,0,0,0,0,9.0,5.66,3.0,2.24,1.0,1.0,0,20.0,6.24,6.0,4.47,64.0,24.8,0
255ad9f932fc30fad72a41a172167fb4810eb67e,0,0,0,0,0,8.0,3.87,3.0,2.24,2.0,1.73,2,18.5,6.0,5.5,3.16,62.5,15.68,3
5e1193966a2120dffeb6a2b9d7a597355610ca72,1,1,1,2,2,9.5,9.49,4.0,4.0,1.0,1.0,0,20.0,20.0,7.0,7.0,104.5,104.4,0
09ed217b9122c280422c51801de73174db6693e9,1,0,0,4,4,18.5,14.49,3.0,3.0,18.0,5.92,34,61.0,54.7,39.0,28.14,994.0,356.16,35
27277e4c8d000031a814167c26b26fb1bca44bd2,0,0,0,0,0,3.0,2.24,1.0,1.0,2.0,1.73,2,12.0,4.8,4.5,2.83,35.5,18.17,2
3dcc687f3fb56ef8555163b82aaea423c52ecdb3,0,0,0,0,0,2.5,2.0,1.5,1.41,1.0,1.0,0,17.5,5.83,6.0,3.32,32.0,11.14,0
369d0802d9648754f6e2db59e4836919c4969b1b,0,0,0,0,0,2.0,1.73,1.5,1.41,12.5,4.9,23,5.5,3.16,6.0,3.32,32.0,11.14,24
c9efab5ea364bb7e0f7806fd67da6ec3d4f23536,1,0,0,3,3,3.5,3.46,1.5,1.41,1.0,1.0,0,9.0,8.49,27.0,23.66,534.5,473.22,0
88cdacdf0c1cccce2def19ad27c34d6bfa5943db,1,1,1,3,6,21.0,19.42,4.0,3.46,24.5,6.93,47,92.5,90.2,38.0,24.56,1501.5,533.56,48
0be71a197a38bde76790a1e6730e35aa0e270af7,1,1,1,1,1,6.5,6.32,2.0,1.73,1.0,1.0,0,3.5,3.16,29.5,10.68,1074.0,487.47,0
65e55d80d9817f3e85d0178c35b0c272b8a844da,0,0,0,0,0,2.0,1.73,2.0,1.73,1.0,1.0,0,4.0,2.65,1.0,1.0,6.0,4.47,1
9323c8aa8a15653f66d6418f0e9e6effc93ea695,0,0,0,0,0,2.0,2.0,1.5,1.41,5.0,4.0,6,2.0,1.73,2.5,2.45,38.5,37.95,6
52c8570ca91e476d9c9f7f854108c0ebe36e7005,0,0,0,0,0,4.0,2.65,1.0,1.0,1.0,1.0,0,1.0,1.0,8.0,3.87,110.5,79.74,0
3bd3e87c449b44983f34bd806345d1d1ad3d27e3,0,0,0,0,0,14.0,5.2,2.5,2.0,2.0,1.73,2,59.5,10.86,10.5,4.47,308.0,140.67,2
af67d4b838aaf1a27f35e6daba79862634fa39ae,1,1,2,6,7,8.5,5.48,1.5,1.41,34.5,8.25,67,35.0,11.66,18.0,17.97,363.0,319.12,68
ef048fa3e74727375979bcb91be9832bb12b25eb,0,0,0,0,0,2.0,1.73,1.0,1.0,2.0,2.0,0,1.0,1.0,9.0,4.12,99.5,41.35,0
