mergeCommitID, isConflicting, existsCommonSlice, totalCommonSlices, conflictingFilesNumber, conflictsNumber, numberOfCommitsArithAverage, numberOfCommitsGeoAverage, numberOfAuthorsArithAverage, numberOfAuthorsGeoAverage, delayIntegrationArithAverage, delayIntegrationGeoAverage, deltaIntegration, minimumLifeTimeArithAverage, minimumLifeTimeGeoAverage, numberOfChangedFilesArithAverage, numberOfChangedFilesGeoAverage, numberOfChangedLinesArithAverage, numberOfChangedLinesGeoAverage, contributionConclusionDelay
bb2683d66a8c244c8f10cef6884092b888d21eb1,1,0,0,1,1,1.0,1.0,1.0,1.0,4.0,2.65,6,1.0,1.0,3.0,2.83,102.5,48.12,7
b9260e2b4efe46c34d6dc3e71848e7b64cac793c,1,0,0,1,2,3.0,2.24,1.0,1.0,86.5,13.11,171,57.5,10.68,14.5,7.35,798.0,159.0,172
4d30a033489e11130d5a6fd1cac353dbd39a9454,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0,1.0,1.0,1.0,7.0,6.32,1
81ddb8b7bf954316a452a0f918d5ff1c1a066498,0,0,0,0,0,1.0,1.0,1.0,1.0,2.0,1.73,2,1.0,1.0,4.0,2.65,18.5,11.49,3
2cc19da787d70e565bead05520bd2a23d8d38ad2,0,0,0,0,0,2.0,1.73,1.0,1.0,1.0,1.0,0,1.0,1.0,3.0,3.0,36.0,29.93,1
16324eda829bb488c614f6cfe3ad83991c1e485c,0,0,0,0,0,1.0,1.0,1.0,1.0,2.0,1.73,2,1.0,1.0,1.5,1.41,21.0,10.82,3
eb210a675e5736568fbbca30bf4e925bfe5b9358,0,0,0,0,0,6.0,4.47,1.0,1.0,2.0,1.73,2,3.0,2.83,35.0,31.13,1878.5,1294.25,3
bd1a63ddcd824d7afac239230dc47954e6359368,0,0,0,0,0,1.5,1.41,1.5,1.41,1.0,1.0,0,1.0,1.0,3.0,2.24,208.5,40.64,0
ee48d6918c8c8c90116ce07c406abbef14af74e4,0,0,0,0,0,7.0,4.9,1.0,1.0,1.5,1.41,1,1.5,1.41,8.0,6.24,1597.0,203.35,2
5d12e186b03b66ccb81c32b6b3fc610f6558dbe5,0,0,0,0,0,4.0,3.46,1.0,1.0,1.5,1.41,1,1.0,1.0,5.0,4.58,118.5,110.62,2
331dfec1d993d3109f38a235efa4aeb6a186de49,0,0,0,0,0,16.5,5.66,1.0,1.0,3.0,2.24,4,3.0,2.24,269.5,23.19,11591.5,304.49,5
f0346207f30402acea6c854fe12e65025825e177,1,0,0,1,1,18.0,9.95,1.0,1.0,1.0,1.0,0,21.0,21.0,113.5,29.87,6349.0,675.15,0
15b82ff241fbf71693ebfdbc9b656488c09b0964,0,0,0,0,0,7.0,3.61,1.0,1.0,21.0,21.0,0,17.0,5.74,36.0,8.43,885.5,200.51,0
beddd0b8f66e408980764cd06c994e827cd3895b,0,0,0,0,0,6.0,3.32,1.0,1.0,3.5,2.45,5,14.0,5.2,36.0,8.43,896.0,295.13,6
eac7d8b09aec5a4a8a9359479adfa7c62f232b4d,0,0,0,0,0,5.5,3.16,1.0,1.0,1.0,1.0,0,14.0,5.2,36.0,8.43,871.5,41.74,0
c6c95c12cf58884f0d49df479bd679be59c46164,0,0,0,0,0,5.0,3.0,1.0,1.0,1.0,1.0,0,14.0,5.2,37.5,14.7,898.5,309.53,0
238a2fe15762b8b994369f9136fe591e01afc566,1,0,0,1,1,5.5,4.9,1.0,1.0,14.0,5.2,26,14.0,5.2,40.0,22.61,909.0,363.86,27
da0265c6714f03a1ba41c5393af75ea2e3dde068,1,0,0,1,4,2.5,2.0,1.0,1.0,1.5,1.41,1,1.0,1.0,13.5,13.27,269.0,258.62,2
c9cc456375ba8498fcf0ba3471e6e616946f0612,0,0,0,0,0,1.5,1.41,1.5,1.41,7.5,3.74,13,1.0,1.0,2.0,1.73,8.0,5.29,14
af4043c2aa022b74b3488dce409cd3411b852e28,0,0,0,0,0,2.0,2.0,1.0,1.0,1.0,1.0,0,1.0,1.0,4.5,3.74,41.5,33.5,0
7fde7a879c6df04dcb0eb37d68275cf7bc31963b,0,0,0,0,0,2.5,2.45,1.0,1.0,1.0,1.0,0,1.0,1.0,12.0,4.8,443.5,83.86,0
119f8545c0e93f0db39a173fda4e517c5e12d39d,0,0,0,0,0,1.5,1.41,1.0,1.0,1.0,1.0,0,1.0,1.0,2.0,1.73,3.5,2.45,0
8369410189e78642330109d28c797fd966830e4c,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0,1.0,1.5,1.41,4.5,4.24,0
2a257be4a551120fa1a463d75f7e60b0b2dd647f,0,0,0,0,0,1.0,1.0,1.0,1.0,9.5,4.24,17,1.0,1.0,2.0,1.73,64.5,27.17,18
