mergeCommitID, isConflicting, existsCommonSlice, totalCommonSlices, conflictingFilesNumber, conflictsNumber, numberOfCommitsArithAverage, numberOfCommitsGeoAverage, numberOfAuthorsArithAverage, numberOfAuthorsGeoAverage, delayIntegrationArithAverage, delayIntegrationGeoAverage, deltaIntegration, minimumLifeTimeArithAverage, minimumLifeTimeGeoAverage, numberOfChangedFilesArithAverage, numberOfChangedFilesGeoAverage, numberOfChangedLinesArithAverage, numberOfChangedLinesGeoAverage, contributionConclusionDelay
703206f9d7fcbaca868b7d6acd85bff7edfd1187,0,1,1,0,0,17.0,13.75,4.0,3.87,1.5,1.41,1,1.0,1.0,15.5,9.17,514.0,152.04,2
fb982f5d7cd32b311e7767bf6b78fde053ae03e0,0,0,0,0,0,3.0,2.24,1.5,1.41,1.0,1.0,0,1.0,1.0,1.5,1.41,11.5,11.49,1
00094d68bada4593af811da80deacdfee8caa392,1,1,2,2,2,4.5,4.24,1.5,1.41,9.5,4.24,17,9.0,4.12,9.5,9.38,311.0,303.92,18
ade202f8af8ce397e1eef49bdecd3556e3ad0eb7,0,1,2,0,0,6.0,4.47,1.5,1.41,1.0,1.0,0,2.5,2.0,3.0,2.83,436.5,202.85,0
54e3c569ce92b09700cc023d014d42025adaf81a,0,1,1,0,0,4.5,2.83,1.5,1.41,1.0,1.0,0,2.5,2.0,2.0,1.73,411.5,57.24,0
c1985c418c75cfb7102a4c79e8aea814b694d7cf,0,0,0,0,0,3.5,3.16,1.5,1.41,1.0,1.0,0,2.5,2.0,1.5,1.41,409.5,57.1,0
4f4ca0f8aa3b7ce1d68604dc767542f7762073ca,0,1,4,0,0,4.0,3.46,2.0,1.73,2.5,2.0,3,2.5,2.0,28.5,28.5,809.5,809.49,4
3c102ee1fc0343bafe27f8a93b3c68f9b706a1fd,1,0,0,1,1,4.0,3.46,1.5,1.41,2.5,2.0,3,1.0,1.0,15.0,7.48,421.5,185.47,4
4868372e137a235808f617678250e3057a7ec379,0,1,1,0,0,2.5,2.0,1.0,1.0,1.0,1.0,0,1.5,1.41,11.5,8.72,119.5,47.85,0
05c973de09b8a9fa4402b93a3f25095eee38a519,1,1,4,8,19,129.5,69.14,5.5,5.29,15.0,5.39,28,34.5,34.06,65.0,59.57,4523.5,2212.48,29
fbf2c8a0eae29f50aa37f03bd0eb84821b2a0c51,1,0,0,1,1,12.0,9.75,3.0,3.0,15.0,5.39,28,28.0,27.98,22.0,13.96,306.5,142.23,29
3ddf6a1973ee0ae3a75e9d1f5ee897620be66755,1,1,6,12,21,130.0,78.0,5.5,5.29,1.0,1.0,0,34.0,33.47,82.5,82.46,5462.0,4569.61,0
9d6bed637bf7b36e84f565b6e04da5f62dcb21e8,0,0,0,0,0,2.5,2.0,1.5,1.41,1.0,1.0,0,14.0,5.2,14.5,10.95,67.5,59.16,0
c473a7522102e3043d251064f08b13e691bf69c8,1,0,0,2,2,12.5,8.12,2.5,2.45,11.0,4.58,20,16.5,12.73,37.0,18.57,1192.0,286.73,20
e550165b3cfb95d2ee1378ff23149efedbce5811,0,0,0,0,0,2.5,2.0,2.0,1.73,3.0,2.24,4,1.0,1.0,2.0,2.0,16.5,15.87,5
58f92007d777c2b7d40006736cbe9eab7183afc3,0,0,0,0,0,2.0,1.73,1.5,1.41,1.0,1.0,0,1.0,1.0,1.0,1.0,6.0,5.66,0
83a4fd28ce90597f82bd6bf275b7ade56fd754ff,0,0,0,0,0,8.5,4.0,3.0,2.24,1.0,1.0,0,1.5,1.41,7.0,3.61,50.0,27.13,1
9920bcd7bba2832f6ec79a125f38ca31cd70f16f,1,0,0,1,1,116.5,44.9,5.5,5.29,1.0,1.0,0,7.5,3.74,43.5,23.66,4208.5,659.53,1
d353ec3ed43006e28ee2c9868be562f8a496926a,1,1,2,3,4,185.0,68.12,10.5,8.25,1.0,1.0,0,8.0,6.93,120.5,58.22,7442.5,2518.29,0
e7b67392dffb635c8fc9c9dc9008c4a253a115eb,0,0,0,0,0,3.0,2.24,1.5,1.41,1.0,1.0,0,1.0,1.0,2.5,2.0,19.0,8.49,0
ae0424d658a953f87a2f89869be21b4b6b345b18,1,1,2,1,1,121.0,30.85,5.5,3.16,1.0,1.0,0,6.5,3.46,68.0,30.05,5364.0,730.68,1
14d9c1095e3b782809adb82aa550bddf2a93e7fd,0,0,0,0,0,105.5,24.98,4.5,2.83,1.0,1.0,0,6.5,3.46,54.5,10.39,4233.5,1021.15,0
0990cba63021f20642e00bc641cf1b6e9f1379e6,0,0,0,0,0,96.0,23.81,2.5,2.45,1.0,1.0,0,6.5,3.46,33.5,11.4,3849.5,339.5,0
ee1f1d7182e13805d8215e7ba9a426e16d8cf3b2,0,1,1,0,0,21.0,8.94,5.0,3.0,1.0,1.0,0,3.5,2.45,39.5,12.41,1432.5,206.76,1
5d58aed89ab32a14c45494dfee88bb667f276836,1,1,4,1,2,101.0,51.3,4.5,4.24,1.0,1.0,0,8.5,8.12,55.5,54.68,4161.5,2215.87,1
540fd83330b0fd0a07cb496fa43ddb33da3df7cd,1,0,0,1,2,6.5,6.0,2.5,2.0,1.0,1.0,0,3.0,2.24,24.0,21.82,319.5,247.95,1
babe7efdfef2804fbcfcf6a1cdeb3043d5d35cf7,0,0,0,0,0,4.5,4.47,2.0,2.0,1.0,1.0,0,1.0,1.0,18.5,12.65,260.5,137.11,1
198c0cbfa2de563fa2fcfc4c432352711dbdb642,1,1,2,3,6,97.0,42.9,3.0,3.0,1.0,1.0,0,6.0,3.32,41.5,31.94,4393.0,2990.47,0
482481fdeeeaf13732d533d07b580d5ddee53217,0,0,0,0,0,4.0,2.65,1.5,1.41,1.0,1.0,0,1.0,1.0,7.5,6.63,587.5,127.49,0
bf508840d3087a4286acfefa86fcfe364d0284a4,0,0,0,0,0,10.0,4.36,3.0,2.24,1.0,1.0,0,1.0,1.0,15.5,7.62,525.0,79.15,1
19c47f166b348673a26a2dc1765fa02ad07793d7,0,0,0,0,0,9.0,5.66,2.0,1.73,1.0,1.0,0,1.0,1.0,14.5,7.35,522.0,91.04,0
172ad16ce7bfc0879ba2ef4cf06341b706fbbbdc,1,1,1,2,3,99.0,60.97,3.5,3.46,1.0,1.0,0,6.0,3.32,51.0,48.08,4321.0,4207.47,0
ce5a46427c882d087e04ed6880b37e1dd8ed9a4b,1,1,1,1,1,10.0,6.0,2.5,2.0,1.0,1.0,0,1.0,1.0,21.0,16.49,1668.5,1586.22,0
d30d90072eb2f8a9a9b8b03552249b064123f80b,0,0,0,0,0,63.0,19.21,7.5,3.74,3.5,3.16,3,3.0,2.24,74.5,17.15,1958.5,435.35,3
7c0458e6170cf0b04e5841f2a3b62003f3728738,0,0,0,0,0,5.5,5.29,1.5,1.41,1.0,1.0,0,1.0,1.0,12.5,9.17,494.5,475.29,0
4a2209f9259232d2daa72f191347f497650c7823,1,1,1,1,1,25.0,11.87,5.5,3.16,1.0,1.0,0,2.5,2.0,61.0,40.06,1317.5,897.52,0
fe351f417a3f60ee9cfc68530a5f9148abdb6e69,0,1,2,0,0,91.0,37.31,4.0,3.87,1.0,1.0,0,5.0,3.0,41.0,28.98,2143.5,732.38,0
32e43b5bf0543949e08fd7f42dfe4e9e4e1ce4c5,0,0,0,0,0,3.5,2.45,2.0,1.73,1.0,1.0,0,1.0,1.0,6.0,5.66,64.5,57.36,0
7eb1a649aca84e5c8ac944ff8cca319342f90e02,0,0,0,0,0,2.0,1.73,1.5,1.41,1.0,1.0,0,1.0,1.0,3.0,3.0,11.5,9.49,0
6a7eb4f2f4df89f885629faa9cac81e74c374f3a,0,0,0,0,0,1.5,1.41,1.5,1.41,1.0,1.0,0,1.0,1.0,3.0,3.0,8.5,7.75,0
00a68790e04991ddb6f9c2c2165a57ae25cba5db,1,1,12,15,20,130.0,122.33,7.0,5.74,1.0,1.0,0,7.0,6.71,116.0,113.27,3526.0,3485.48,0
6d442c381076ae45a719f9cd4b0a417e86f7d543,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0,1.0,4.5,2.83,131.5,22.85,0
2b37d4207f31b1c391c964ea7f12812619211f25,0,0,0,0,0,5.5,5.48,2.5,2.45,1.0,1.0,0,1.0,1.0,6.5,6.0,191.0,141.76,0
ac9e7b4d2216b04065771e42c4b6e2f1146132a0,0,0,0,0,0,2.5,2.45,2.0,1.73,1.0,1.0,0,1.0,1.0,3.0,2.24,32.0,23.24,1
5d1b38315e7e095102802635435082f42efd6541,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0,1.0,2.5,2.0,27.0,7.28,0
f3f7058ac8b35b7895dbf082415d0b6012e85a82,0,0,0,0,0,2.5,2.45,1.5,1.41,1.0,1.0,0,1.0,1.0,3.0,3.0,141.0,78.69,0
848d5109284848e5517a0ff3a2cd0b78466cc5eb,0,0,0,0,0,9.0,8.77,3.5,3.46,1.0,1.0,0,1.0,1.0,6.0,4.47,66.0,65.93,0
1f0c9cccf70fa3d1f34e552982f6aaa551143839,0,0,0,0,0,2.0,1.73,1.5,1.41,1.0,1.0,0,1.0,1.0,2.5,2.45,24.0,15.87,0
f6f8beccbc04e6fb31afc4820ca571b6d323ffa5,0,1,1,0,0,36.5,8.49,5.0,3.0,1.0,1.0,0,2.0,1.73,31.5,13.42,800.0,255.8,1
