mergeCommitID, isConflicting, existsCommonSlice, totalCommonSlices, conflictingFilesNumber, conflictsNumber, numberOfCommitsArithAverage, numberOfCommitsGeoAverage, numberOfAuthorsArithAverage, numberOfAuthorsGeoAverage, delayIntegrationArithAverage, delayIntegrationGeoAverage, deltaIntegration, minimumLifeTimeArithAverage, minimumLifeTimeGeoAverage, numberOfChangedFilesArithAverage, numberOfChangedFilesGeoAverage, numberOfChangedLinesArithAverage, numberOfChangedLinesGeoAverage, contributionConclusionDelay
f8936833919f13567ad6e40223a2b1e61a7247c2,0,0,0,0,0,1.0,1.0,1.0,1.0,10.5,6.16,17,1.0,1.0,1.0,1.0,8.0,6.93,17
1275d5ff00bcf0488a69ffe4d3bfe7ea8aa56c15,0,0,0,0,0,4.5,2.83,2.0,1.73,9.5,4.24,17,2.5,2.0,2.0,1.73,43.5,43.36,18
378ea94aab3a0593b12423dc30086d0920b750e0,0,0,0,0,0,10.5,4.47,2.5,2.0,16.0,5.57,30,16.0,5.57,7.0,4.9,83.5,57.55,31
24b34c854db4181562ea2a534a310e7a3fa0ef3b,0,0,0,0,0,6.5,3.46,2.0,1.73,10.5,9.49,9,13.0,5.0,6.0,5.2,54.0,28.28,9
829434c7e2ab272d380d69dd37fa36a9653eec24,0,0,0,0,0,2.5,2.0,1.0,1.0,1.0,1.0,0,9.5,4.24,2.5,2.45,20.0,18.33,0
a72521b362ea6c7627c1ca64fa484cdb55efb083,0,0,0,0,0,4.5,2.83,1.0,1.0,9.5,4.24,17,2.5,2.0,3.0,2.24,24.0,17.89,18
e9ff3a1393bb99ccc591e8f6716b69d9fe8c2e5f,0,0,0,0,0,1.5,1.41,1.5,1.41,1.0,1.0,0,1.0,1.0,15.0,14.97,24.5,0.0,0
92c2b7224c14073356f4f04e1e94a3fffc45fc9d,0,0,0,0,0,5.0,3.0,2.0,1.73,3.0,2.24,4,112.5,14.97,15.0,10.2,224.0,134.67,5
49a3fe9cc2ab84756894f3cb45cd890562cd847f,0,0,0,0,0,1.5,1.41,1.0,1.0,3.5,2.45,5,1.0,1.0,3.0,2.24,12.0,4.8,5
ce59a20491bea56638024fc425bc10cd701b4cf4,0,0,0,0,0,1.5,1.41,1.0,1.0,1.0,1.0,0,1.0,1.0,47.5,16.61,101.0,57.55,1
dd05e75d775fd5a17d28291e8825f225d46e5fa7,0,0,0,0,0,16.0,7.75,1.5,1.41,7.5,3.74,13,10.5,4.47,40.5,8.94,554.5,104.83,14
2afa406c7a99958ab710f50d6cdecc2ce202f4dd,0,0,0,0,0,1.5,1.41,1.0,1.0,10.5,4.47,19,1.0,1.0,15.5,7.62,221.0,82.56,20
4e6e5f481674c6cb7cf13211ae7042316ecf4b12,0,0,0,0,0,12.5,4.9,1.5,1.41,4.5,2.83,7,9.0,4.12,26.0,17.75,328.5,282.59,8
c8e07c0a5c37ebfd7ec604f5299434d177dc8b26,0,0,0,0,0,2.5,2.45,1.5,1.41,3.0,2.83,2,2.5,2.0,11.5,6.48,140.0,68.67,2
3f36ef3b05b87440672da89d74843e7a8d36a340,0,0,0,0,0,5.5,3.16,1.0,1.0,2.5,2.0,3,1.0,1.0,5.0,4.0,39.5,33.14,3
ae5f528bdb18ead7e6de597be4a2bb5dd5851264,0,0,0,0,0,2.0,1.73,1.5,1.41,1.0,1.0,0,1.0,1.0,5.5,3.16,10.0,10.0,1
ca7c9dd2fa94a0227167122a273866adeaa2f012,0,0,0,0,0,6.0,3.32,2.0,1.73,1.5,1.41,1,1.0,1.0,3.0,2.24,45.0,13.27,2
6d2b1d4cc28717c6c43e3bd8cb0c3b10a913f089,0,0,0,0,0,12.0,4.8,3.0,2.24,6.0,3.32,10,15.5,5.48,7.0,3.61,93.0,52.15,10
62592bebe3a260609b2c418b920afdb9c40109df,0,0,0,0,0,6.5,6.32,3.0,2.24,4.0,2.65,6,20.0,17.86,6.0,5.66,49.0,42.72,7
245c6e23656e38d0d23ba4452402b413beb158ea,0,0,0,0,0,25.0,7.0,5.5,3.16,15.5,7.62,27,55.0,10.44,25.5,7.07,463.0,30.41,27
9c6aca82566848c2b06374a08057784b8abd8283,0,0,0,0,0,1.5,1.41,1.5,1.41,2.0,1.73,2,1.0,1.0,1.5,1.41,6.5,4.69,2
dcdfa13328471a4fa96db3d16c925e1cd3afe8d2,0,0,0,0,0,6.0,4.47,2.5,2.0,3.5,2.45,5,256.5,22.63,11.0,7.55,78.5,70.01,6
184a77460b39686753139cfe33d80b059bd70596,0,1,1,0,0,19.5,10.39,3.5,3.16,34.0,8.19,66,271.0,207.76,25.5,20.98,429.0,183.02,67
21b0cf14ed083902c306bb1ba5b47b1110878425,0,0,0,0,0,1.5,1.41,1.0,1.0,18.0,8.25,32,16.0,5.57,3.0,2.24,28.5,10.49,32
cba745c6d34db3cf47a9969fb4e2a7e7a1cf4456,0,0,0,0,0,14.5,7.35,2.0,1.73,1.0,1.0,0,45.0,9.43,18.0,5.92,372.0,71.83,0
bb0b9af475f8c0a974331cff3ae4c2293d985b8f,0,0,0,0,0,13.0,5.0,2.0,1.73,9.5,4.24,17,45.0,9.43,17.5,5.83,368.5,71.48,18
3e2903c30ab05dbed51c70a0a458751600b50fb0,0,0,0,0,0,12.0,7.94,1.5,1.41,3.5,2.45,5,44.5,9.38,17.0,8.0,365.0,100.12,5
9a16bdc4000197cf967926a495ce82df7fb0a81e,0,1,2,0,0,77.0,12.37,7.5,3.74,44.5,9.38,87,182.5,19.08,66.5,19.75,3027.5,190.51,88
e77edc08c11d2eea891bd1e5ac4117b0902aa21f,0,0,0,0,0,36.0,23.81,6.0,3.32,26.0,7.14,50,160.5,134.55,48.0,43.16,1158.5,1048.6,51
ec03f0098a1743166511115b3ec64dcc61151f3a,0,1,1,0,0,40.0,12.49,6.5,3.46,78.5,12.49,155,36.0,8.43,49.5,31.11,963.0,600.3,156
2a6d1256d5301430700a686dea094e3897027695,0,1,1,0,0,37.5,12.08,6.5,3.46,26.0,7.14,50,36.0,8.43,41.0,15.39,850.0,374.61,51
1077a2582558f97cb9831de553664a8189b97e87,0,0,0,0,0,21.0,6.4,5.5,3.16,17.0,5.74,32,27.0,7.28,25.0,11.87,558.0,219.53,33
fea99b607d76f6c867459aef9e56c3cd5bf93588,0,0,0,0,0,4.5,3.74,2.5,2.0,3.0,2.24,4,26.5,7.21,4.5,4.47,125.5,105.16,5
56b39da742613117601adc5c45406d00b8dbbe1c,0,0,0,0,0,33.5,11.4,6.5,3.46,26.5,7.21,51,36.0,8.43,37.0,14.59,687.0,160.45,52
628a34f989026200dd1b0f4fe099fdb23cfeacb9,0,0,0,0,0,5.5,3.16,2.0,1.73,8.0,7.42,6,3.0,2.24,2.0,1.73,45.0,39.8,6
65d19d0555d4f4d219f63bd39ddf6be73d1e1895,0,0,0,0,0,174.0,18.63,17.0,5.74,57.0,23.35,104,169.0,18.36,106.5,14.56,6608.5,429.93,104
873a8d94df4f2c34aaf85092a49f8b961d5e8f3f,0,0,0,0,0,26.0,7.14,5.0,3.0,20.0,6.24,38,28.5,7.48,34.5,19.44,632.5,231.78,38
7a91f8187ef2362ede8c2c85f38be38cccb193c0,0,0,0,0,0,3.5,2.45,2.5,2.0,1.0,1.0,0,10.0,4.36,13.0,5.0,50.5,35.92,0
d80bebc97aa5955ea9ff0cfa38d8745af08d7fde,0,0,0,0,0,7.5,3.74,3.0,2.24,10.0,4.36,18,22.0,6.56,15.5,13.56,348.5,217.25,19
ad024f38af0d828290ce4e6a7b0ab6e7412f059e,0,0,0,0,0,5.5,3.16,2.5,2.0,9.0,4.12,16,9.5,4.24,2.5,2.0,287.0,47.75,17
e57ae3d015694db368602a5aefc9539c0c68dfec,0,0,0,0,0,3.5,2.45,2.0,1.73,12.0,12.0,0,1.5,1.41,2.5,2.0,282.0,84.63,0
dcaadd41f629b3336edb61e8f81d5d38d5f06194,0,0,0,0,0,2.5,2.0,1.5,1.41,1.5,1.41,1,1.0,1.0,2.0,1.73,275.5,57.18,2
a61508f75c35fdf3918cb2894686a05019cf170e,0,0,0,0,0,7.5,3.74,2.0,1.73,13.0,5.0,24,12.0,4.8,11.0,8.49,151.0,109.48,25
