mergeCommitID, isConflicting, existsCommonSlice, totalCommonSlices, conflictingFilesNumber, conflictsNumber, numberOfCommitsArithAverage, numberOfCommitsGeoAverage, numberOfAuthorsArithAverage, numberOfAuthorsGeoAverage, delayIntegrationArithAverage, delayIntegrationGeoAverage, deltaIntegration, minimumLifeTimeArithAverage, minimumLifeTimeGeoAverage, numberOfChangedFilesArithAverage, numberOfChangedFilesGeoAverage, numberOfChangedLinesArithAverage, numberOfChangedLinesGeoAverage, contributionConclusionDelay
462c14a943c8bfca396a4b36c5e42aff6c23119c,0,0,0,0,0,1.5,1.41,1.0,1.0,1.0,1.0,0,1.0,1.0,2.0,2.0,44.0,23.81,0
3401f105ecde69aa2e7a2abb8a957e7c0ff9bffd,0,0,0,0,0,1.5,1.41,1.0,1.0,1.0,1.0,0,1.0,1.0,2.5,2.45,63.0,60.37,0
492c35cc81fb9032392a20300ac78fd7d739572f,0,0,0,0,0,4.5,2.83,1.0,1.0,1.0,1.0,0,1.0,1.0,7.0,4.9,43.0,38.07,1
a76cb90bb1a9678091ff7c98cc3ee41db6d006e7,0,0,0,0,0,2.5,2.0,1.0,1.0,1.0,1.0,0,1.0,1.0,5.5,4.24,30.5,29.8,0
1f7ec225e0fdf9a9372a372c7974fdea2f776d30,0,0,0,0,0,1.5,1.41,1.0,1.0,1.0,1.0,0,1.0,1.0,4.5,2.83,18.5,8.37,1
2cde771ced2e87c157000bf1a11e43b802d60ac8,0,0,0,0,0,1.5,1.41,1.0,1.0,1.5,1.41,1,1.5,1.41,2.0,2.0,16.0,15.97,2
c936ae5d8ddb0fb73eb334ea2b3793b517bdddce,0,0,0,0,0,1.5,1.41,1.0,1.0,2.0,2.0,0,1.0,1.0,1.5,1.41,9.5,5.83,0
bcae59fa2d51fddc181bff7edce4ecc70b61898e,0,0,0,0,0,7.0,6.32,1.0,1.0,1.0,1.0,0,3.5,3.46,25.5,25.46,648.0,542.11,0
e8a558e1953419e639d5698d2364516039dc1483,0,0,0,0,0,3.5,2.45,1.0,1.0,1.0,1.0,0,1.0,1.0,14.0,13.67,158.5,156.6,1
370b1455ed551d678f028ab54b593537f6be84f8,0,0,0,0,0,2.5,2.0,1.0,1.0,1.0,1.0,0,2.0,1.73,5.5,4.24,91.5,32.59,1
501adf0f0cdaf1cd2b3db7b54d7f188163bb38b8,0,0,0,0,0,1.5,1.41,1.0,1.0,1.0,1.0,0,2.0,1.73,4.5,4.24,88.5,76.5,0
4461d0dc7b28590b9f112234c80ddba2f9359667,0,0,0,0,0,1.5,1.41,1.0,1.0,2.0,1.73,2,1.0,1.0,2.5,2.45,28.0,22.98,2
1fcb3447cdd00f66c4fed6580716082f1953c36e,0,0,0,0,0,2.5,2.0,1.0,1.0,1.0,1.0,0,1.0,1.0,1.5,1.41,2.5,2.0,0
