mergeCommitID, isConflicting, existsCommonSlice, totalCommonSlices, conflictingFilesNumber, conflictsNumber, numberOfCommitsArithAverage, numberOfCommitsGeoAverage, numberOfAuthorsArithAverage, numberOfAuthorsGeoAverage, delayIntegrationArithAverage, delayIntegrationGeoAverage, deltaIntegration, minimumLifeTimeArithAverage, minimumLifeTimeGeoAverage, numberOfChangedFilesArithAverage, numberOfChangedFilesGeoAverage, numberOfChangedLinesArithAverage, numberOfChangedLinesGeoAverage, contributionConclusionDelay
50117e2b28afcde34044dc344ccc056bda0a976f,0,0,0,0,0,4.5,2.83,1.0,1.0,9.0,8.94,2,11.5,4.69,7.0,7.0,124.0,0.0,2
486a3766bf853b28bb65b736781a18c06f2e29a8,0,0,0,0,0,2.5,2.0,1.5,1.41,2.0,2.0,0,3.5,2.45,1.5,1.41,6.5,4.69,0
172435893d516cd649509850a4471cadb9be6f7e,0,0,0,0,0,2.5,2.0,1.0,1.0,11.0,4.58,20,6.0,3.32,4.5,2.83,34.0,8.19,20
3aed64e1dee05a2c368f9280e429b476408ff220,0,1,1,0,0,9.5,5.83,3.5,3.16,1.0,1.0,0,565.0,565.0,10.0,4.36,191.0,63.88,0
afbfbd1634e3bca73945ffd394afdf1c85e2d75a,0,0,0,0,0,2.5,2.0,1.5,1.41,284.5,47.54,561,281.0,23.69,1.5,1.41,28.0,22.25,561
fac878547d2aa5397b1187fb07f493fecc536c55,0,0,0,0,0,9.5,8.37,3.5,3.46,1.0,1.0,0,372.5,318.9,10.0,9.54,208.0,174.63,0
4b9795d4a0db5746c7030ad6f2cab6689e56885b,1,0,0,1,1,3.0,2.24,2.0,1.73,63.0,22.09,118,281.0,23.69,4.5,4.24,48.5,48.48,118
57f030bfcd22f431fd39734c95874c0adeb1500f,0,0,0,0,0,2.0,1.73,1.5,1.41,1.0,1.0,0,2.0,1.73,1.0,1.0,6.5,4.69,0
edd6415bf289e4da7c8d5c8c7d4558470a9032b7,0,1,2,0,0,4.0,3.87,1.5,1.41,1.0,1.0,0,6.5,3.46,5.0,4.58,273.0,109.68,0
29bd948d2f593d97bb0ebf26ac962a1004263dd5,0,0,0,0,0,4.0,2.65,1.5,1.41,1.0,1.0,0,3.5,2.45,6.0,5.66,431.0,425.44,0
4e2af54db2ac07091d552576ca09d87e847a6405,0,0,0,0,0,1.0,1.0,1.0,1.0,2.0,1.73,2,1.0,1.0,1.5,1.41,6.0,5.66,3
51b9ec26a51330269a33d994be1c1e448a2f81b1,1,0,0,1,3,24.0,6.86,1.5,1.41,7.0,3.61,12,51.5,10.1,319.5,50.4,16141.0,3998.1,13
4e848cb81291e2a7e52c6cce8bc6584a9f755517,0,0,0,0,0,21.0,6.4,1.5,1.41,3.5,2.45,5,42.0,9.11,318.0,25.2,15742.0,1915.71,6
e08dc42cab190c3f917e1c28f482a687c4a8bf2a,0,1,1,0,0,6.0,4.47,1.5,1.41,2.0,1.73,2,41.5,40.82,114.0,25.98,14921.0,1006.71,3
c1be37271fa72ba5baec5832721a35e55fb8fcc3,1,1,1,4,4,3.5,3.16,1.0,1.0,5.5,4.9,5,40.5,40.12,58.0,42.93,1413.5,718.11,5
41af234df7e30e32f29622dfa58ec147c0439251,0,0,0,0,0,10.0,4.36,2.5,2.0,2.5,2.0,3,9.5,4.24,7.5,3.74,1762.0,177.86,4
