mergeCommitID, isConflicting, existsCommonSlice, totalCommonSlices, conflictingFilesNumber, conflictsNumber, numberOfCommitsArithAverage, numberOfCommitsGeoAverage, numberOfAuthorsArithAverage, numberOfAuthorsGeoAverage, delayIntegrationArithAverage, delayIntegrationGeoAverage, deltaIntegration, minimumLifeTimeArithAverage, minimumLifeTimeGeoAverage, numberOfChangedFilesArithAverage, numberOfChangedFilesGeoAverage, numberOfChangedLinesArithAverage, numberOfChangedLinesGeoAverage, contributionConclusionDelay
b579a5a94244e123632c71b90c5a8b6c9feeafa0,0,0,0,0,0,14.5,5.29,3.5,2.45,4.0,2.65,6,6.5,3.46,40.5,15.3,493.5,128.41,7
0b17369d2f30ce3169da2144d4cc310e20ec3f4a,0,0,0,0,0,13.5,7.07,4.0,3.46,1.0,1.0,0,8.0,7.42,39.5,12.41,485.0,244.26,0
6a0ad75f3b9e7d3bbf86e34faa3ff4a1c28cf3dd,0,0,0,0,0,12.0,4.8,3.5,2.45,3.0,2.24,4,6.0,3.32,39.0,15.0,452.0,159.3,5
eaa928338a7e3516e793fdbcc1995e36f8ea6e8e,0,0,0,0,0,11.0,4.58,3.5,2.45,2.5,2.0,3,6.0,3.32,37.5,12.08,437.5,148.57,4
3a0adc49512d64e757b2ef82d7bb576612469fad,0,0,0,0,0,9.0,7.48,3.0,2.24,4.5,2.83,7,4.5,2.83,35.5,14.28,401.0,69.11,8
1a689540f36eb678f4906273fc7f11a66115d8d9,0,0,0,0,0,6.5,3.46,2.0,1.73,5.5,4.9,5,3.0,2.24,34.0,11.49,398.0,146.64,5
682dfa0733bb64e83cfd7893256c150092bc2109,0,0,0,0,0,2.5,2.45,1.0,1.0,1.0,1.0,0,1.0,1.0,6.0,5.92,85.0,64.81,0
d545166d73510523bf94d152900109018495e433,0,0,0,0,0,7.0,6.71,2.0,1.73,1.0,1.0,0,3.0,2.24,10.0,9.54,123.0,120.43,1
913c249f439a56d8a3245580bcee0a875bf07749,0,0,0,0,0,4.0,2.65,1.5,1.41,1.0,1.0,0,3.0,2.24,6.5,6.0,74.0,51.64,1
d52ad33c1bc9e843ea8096d4a257d190a9d3eb1c,1,0,0,1,1,6.0,5.2,2.5,2.0,1.0,1.0,0,4.5,4.24,17.0,14.42,1414.5,581.38,0
4a5b52d77f0e65712ce9f69bab51378565a89307,0,0,0,0,0,4.0,2.65,2.0,1.73,3.0,3.0,0,2.0,1.73,13.0,5.0,1352.0,73.51,0
4e4e93885996e35512a5ad0e1e0d3c610e88cca0,0,1,1,0,0,13.0,6.93,4.5,3.74,1.5,1.41,1,2.5,2.0,49.5,34.5,2361.5,957.89,2
07e8b9e4a430922c36520785fe93136a5ee55954,0,0,0,0,0,5.5,4.24,2.5,2.0,1.0,1.0,0,1.0,1.0,7.0,3.61,46.5,26.08,1
c2adbd037b2e677ccf7219625bf98e6f347523b1,1,1,1,1,1,3.5,2.45,2.5,2.0,16.0,5.57,30,1.0,1.0,7.0,6.93,42.5,42.0,31
791ed23f1f2bebe8ecdd1c0c93e28cb60328612c,0,0,0,0,0,2.5,2.0,2.5,2.0,16.0,5.57,30,1.0,1.0,4.0,3.87,24.5,19.75,31
434224fc10587f3657847f4e5536703a3de48d57,0,0,0,0,0,1.5,1.41,1.5,1.41,16.0,5.57,30,1.0,1.0,1.5,1.41,5.0,4.9,30
e29556a090c78ee76d28976d1df23e130aee5253,0,1,1,0,0,44.5,9.38,4.0,2.65,1.0,1.0,0,27.5,7.35,127.5,15.94,5719.0,261.9,0
12dafc060933b280ff376d4bdff34a1dbb7735de,0,0,0,0,0,4.0,3.46,1.5,1.41,1.0,1.0,0,27.0,7.28,33.5,21.73,811.5,526.52,0
1d1f90e3627d0ce0b818b3b545fb09d909d8809d,0,1,1,0,0,18.5,6.0,3.5,2.45,3.5,2.45,5,23.5,6.78,57.0,20.98,899.0,261.92,6
4e4944b1bb50101b30969171815637c950463208,0,0,0,0,0,17.5,5.83,3.5,2.45,3.5,2.45,5,23.5,6.78,55.5,31.78,879.5,566.8,6
c0974521eef30f181ba4997b7bf5545e9db30211,0,0,0,0,0,3.5,2.45,2.0,1.73,22.5,6.63,43,23.5,6.78,6.5,3.46,84.5,35.89,44
39b5b1b4918338d7ae9289a50b4b77692e50dbd1,0,0,0,0,0,3.5,2.45,2.0,1.73,1.0,1.0,0,23.5,6.78,8.0,5.29,104.5,28.64,1
a3cdfd51972a2b20eaba6aaae1646a8eabdd8f02,0,1,1,0,0,15.0,5.39,3.5,2.45,22.5,6.63,43,23.5,6.78,50.0,19.6,772.0,242.27,44
415ae72c38b9e151cf6bb961e2c69416adee3b22,0,1,2,0,0,20.0,6.24,3.5,2.45,23.5,6.78,45,10.0,4.36,93.5,35.5,2520.5,762.18,46
6ee4aca85a2484e443a253ef04538c2eb28e7e31,0,1,1,0,0,4.0,2.65,2.5,2.0,1.0,1.0,0,3.5,2.45,32.5,17.32,363.5,180.53,0
c3b709737642c9f5536cfe15c26c2e2c7df28468,0,1,1,0,0,3.0,2.24,2.0,1.73,4.5,4.47,1,1.0,1.0,30.0,7.68,339.5,89.47,1
bdb42eab5864ab7d846f28b4e51046eb0bb5a87d,0,1,1,0,0,10.0,4.36,3.5,2.45,1.0,1.0,0,19.5,6.16,17.0,8.0,360.5,177.98,1
bd0ccfe00327928acd93152297e302772ef15d76,0,0,0,0,0,6.5,3.46,2.5,2.0,2.5,2.0,3,18.0,5.92,11.5,11.49,254.5,254.5,4
b454cf82d665e79af74221820b8145139fb77436,0,0,0,0,0,5.5,3.16,2.0,1.73,2.0,1.73,2,18.0,5.92,5.5,4.24,126.5,93.23,3
03755a3e52498e0576cf716c77abf4279f378bfe,0,0,0,0,0,3.5,2.45,1.5,1.41,18.0,5.92,34,18.0,5.92,3.0,3.0,28.0,21.45,35
c6e63eeba7e3c5b71c64a2d731e3d85f9f85bfef,0,1,1,0,0,9.0,4.12,3.0,2.24,19.0,10.25,32,4.0,2.65,53.0,10.25,1775.0,84.24,32
f9b08952e5f593ea010ea5fd90a7a7af9122522d,0,0,0,0,0,1.5,1.41,1.0,1.0,1.0,1.0,0,1.0,1.0,1.0,1.0,4.0,3.46,0
cfbcc3906ad9d03b5f15286be217bd514f10c1f0,0,1,3,0,0,5.5,3.16,2.0,1.73,20.5,6.32,39,3.5,2.45,53.0,52.05,1768.0,1760.84,39
