mergeCommitID, isConflicting, existsCommonSlice, totalCommonSlices, conflictingFilesNumber, conflictsNumber, numberOfCommitsArithAverage, numberOfCommitsGeoAverage, numberOfAuthorsArithAverage, numberOfAuthorsGeoAverage, delayIntegrationArithAverage, delayIntegrationGeoAverage, deltaIntegration, minimumLifeTimeArithAverage, minimumLifeTimeGeoAverage, numberOfChangedFilesArithAverage, numberOfChangedFilesGeoAverage, numberOfChangedLinesArithAverage, numberOfChangedLinesGeoAverage, contributionConclusionDelay
d57dc8dc27c3c6f01d9eaccfad3a938fb9a249bb,0,0,0,0,0,6.0,4.47,1.0,1.0,1.0,1.0,0,1.5,1.41,17.0,5.74,242.5,43.86,0
5d74a3247f7fa17836b6e9caad24bc93c37b9a21,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0,1.0,3.0,2.24,166.0,66.72,0
b562f85635141b0853725420e95c4cee030c7cc6,0,1,2,0,0,5.0,3.0,2.5,2.0,1.0,1.0,0,4.0,2.65,12.0,10.39,139.5,62.93,0
93d31b26318ad61c398d2ca99a101fea00baae9d,0,0,0,0,0,2.0,1.73,1.5,1.41,1.0,1.0,0,1.0,1.0,5.0,4.58,71.0,34.6,0
90addac6916dd9964899692e1cd16cadf07a3cf1,0,0,0,0,0,2.5,2.45,2.0,1.73,4.0,3.46,4,2.5,2.0,6.0,5.92,97.0,94.7,4
9bd8763e09754fccffd3b467674fb49d7c47941b,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0,1.0,4.5,3.74,68.5,47.35,0
c2b2e280741c431d811ac108cee0b2b530e511c1,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0,1.0,3.0,2.24,20.0,19.9,1
b14a27846346c9dcb80388a5c275cf0ca6c0fe48,0,0,0,0,0,6.0,3.32,3.5,2.45,1.0,1.0,0,2.0,1.73,5.0,3.0,342.5,78.0,1
1feeebd514e68aefc148a247d6c15818ec9fdc92,0,0,0,0,0,2.5,2.45,2.0,2.0,1.0,1.0,0,1.0,1.0,4.5,3.74,31.0,20.78,0
7ef068e14ee25baf1c2b839c06f293d95f2c7aad,0,0,0,0,0,2.5,2.0,1.5,1.41,1.0,1.0,0,1.0,1.0,1.0,1.0,307.5,35.01,0
16e328132975b54f32cd242bb5e2733dc4056478,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0,1.0,7.0,3.61,153.5,17.49,0
dc3ab72959210d51a38b486d7cff24f798bf9422,0,0,0,0,0,3.0,2.24,1.0,1.0,1.0,1.0,0,1.0,1.0,8.0,3.87,141.5,83.14,0
