mergeCommitID, isConflicting, existsCommonSlice, totalCommonSlices, conflictingFilesNumber, conflictsNumber, numberOfCommitsArithAverage, numberOfCommitsGeoAverage, numberOfAuthorsArithAverage, numberOfAuthorsGeoAverage, delayIntegrationArithAverage, delayIntegrationGeoAverage, deltaIntegration, minimumLifeTimeArithAverage, minimumLifeTimeGeoAverage, numberOfChangedFilesArithAverage, numberOfChangedFilesGeoAverage, numberOfChangedLinesArithAverage, numberOfChangedLinesGeoAverage, contributionConclusionDelay
83626c86d21cb16c98a8faa74e50688b7c1de392,0,0,0,0,0,2.0,1.73,1.0,1.0,1.0,1.0,0,21.0,6.4,12.0,4.8,261.0,71.55,0
78910312bc0d6f056778a81366ab2ccfe3b713ec,0,1,1,0,0,32.5,8.0,2.0,1.73,20.5,6.32,39,22.0,6.56,189.0,68.88,57164.5,1971.3,40
8e422ea089b979e8042872b10385ab5751ec4b4a,0,1,1,0,0,50.0,9.95,1.5,1.41,19.5,6.16,37,68.5,11.66,257.0,22.65,117332.5,1606.61,37
2c59dc15ae06c161bf3ce3c3bbaa330aaf4e7c0b,0,0,0,0,0,14.5,10.0,1.5,1.41,7.5,3.74,13,49.0,34.29,174.0,41.41,59455.0,2153.13,13
9515aa83306d353be6a25e28c80f865046b5b0d3,0,0,0,0,0,16.5,5.66,1.5,1.41,1.0,1.0,0,48.0,9.75,311.5,282.38,66500.0,60219.04,0
4749ce986898c04d75bdd603263419c3c17ff4c7,0,0,0,0,0,6.0,5.92,1.5,1.41,1.0,1.0,0,9.0,8.49,8.0,7.42,93.0,88.68,0
1eac872f83f3b3cfeb1201984f8ff662fa298664,0,0,0,0,0,12.5,10.68,2.0,1.73,1.0,1.0,0,20.0,17.86,14.0,10.72,1740.0,471.14,1
8b36c88f5b07a992b150071bba3a646f82be98f7,0,0,0,0,0,19.0,18.57,2.5,2.45,2.0,1.73,2,12.5,11.22,19.0,18.57,1869.0,1081.94,2
2719552a43ef4cf66eb22b6132aa43aff94e2ae2,1,0,0,2,2,3.0,2.83,1.5,1.41,1.0,1.0,0,7.0,6.93,12.0,8.94,91.0,84.0,0
88473a4f7ba472ebc3bf06f7e125985493026ecf,1,0,0,1,2,21.5,12.49,1.5,1.41,1.0,1.0,0,8.0,8.0,18.0,12.45,1971.5,404.77,0
018ec0d9f184215df5ce9af61fc7d9f4b84c33f7,0,0,0,0,0,2.5,2.45,1.5,1.41,1.0,1.0,0,1.0,1.0,5.0,3.0,116.0,26.21,0
807572be48470a169fff158db2a3d79075c1965e,0,0,0,0,0,4.0,3.87,1.0,1.0,1.0,1.0,0,2.5,2.45,3.0,2.24,147.0,106.81,1
02957115a0f24ade3eeeb1ffd1737c98e10d86bd,0,1,1,0,0,14.0,7.21,1.5,1.41,1.0,1.0,0,2.0,2.0,13.5,7.07,709.0,149.77,0
3645b9e7d5def0fe4ceae0ce5e05d0254753e2c6,0,1,2,0,0,27.5,27.46,2.0,2.0,1.0,1.0,0,20.5,20.49,22.0,21.79,651.5,646.87,1
46ae97994ca1dc0aabf30fd764ea9075292440ab,0,0,0,0,0,60.0,48.73,1.5,1.41,1.5,1.41,1,83.5,54.22,39.0,33.48,6774.5,2729.04,1
27813f02e51f197f2d3a5d5ea0a67524b3b548b1,0,0,0,0,0,59.5,47.75,1.0,1.0,1.0,1.0,0,82.5,51.44,39.0,33.48,6774.5,2729.04,1
917843438fc5d4bb04c1fe10c447f7ba19dd8806,0,0,0,0,0,3.0,2.83,1.5,1.41,1.0,1.0,0,2.5,2.45,5.0,4.58,154.0,124.96,0
888928b51514948252d9add30b150fa339aac87b,1,0,0,10,15,115.0,69.0,2.0,1.73,37.0,8.54,72,99.0,90.11,64.0,42.33,11584.5,4220.06,73
99fbda4584f5861a1862eb6bc786c39f8b890ed2,1,0,0,3,14,97.0,19.6,2.0,1.73,27.0,7.28,52,55.5,14.76,58.0,29.39,11128.5,1728.14,52
5e9e2b45b5ca69c80c729c2c20b0eb6d069a880a,0,0,0,0,0,8.0,6.24,1.5,1.41,1.0,1.0,0,7.0,7.0,29.5,10.68,6175.0,368.41,1
0716f40624faf2323bac25d9b1130f811e42bc6e,0,0,0,0,0,2.5,2.0,2.0,1.73,1.0,1.0,0,3.0,2.24,2.5,2.0,22.0,6.56,0
fd8c8d58c600cce1d3a0272d6955f324814e8ae7,0,0,0,0,0,16.0,5.57,1.5,1.41,1.0,1.0,0,37.0,8.54,10.5,4.47,152.5,17.44,1
a7e451af1906e393c71e0f65885ec87b9556cd83,1,1,1,2,2,23.5,23.37,2.0,2.0,1.0,1.0,0,66.5,66.27,17.0,16.97,441.5,398.29,1
cf9174df0e699d81810131f3cb254ad74ed0a796,0,0,0,0,0,1.0,1.0,1.0,1.0,11.0,4.58,20,1.0,1.0,2.5,2.45,23.5,21.02,21
eb0e923cfe5ade8eac516a3b8314d7091e817c2a,1,0,0,1,1,7.5,7.35,1.0,1.0,3.5,2.45,5,2.5,2.45,6.5,6.32,91.5,90.18,6
a8d717612cc9951be9ef6aa7c87e5ddded8cdcde,0,0,0,0,0,3.0,3.0,1.0,1.0,2.0,1.73,2,4.0,2.65,4.0,4.0,41.0,27.95,3
d4f2209ea0296330a126fa124fe338d42a9c5faf,0,0,0,0,0,1.5,1.41,1.5,1.41,61.0,60.7,12,1.0,1.0,1.5,1.41,8.0,6.93,12
3de713eb28ae4514a7ca8d33a68af71910fe649b,0,0,0,0,0,11.5,4.69,1.0,1.0,31.0,19.62,48,26.0,7.14,9.0,5.66,404.0,97.73,48
2902ea5521aac24fbe8fc9b9e70661738757e003,0,0,0,0,0,13.0,8.31,1.0,1.0,3.5,2.45,5,6.0,3.32,9.5,7.75,361.5,199.45,5
f42464f49fdf8d4d41b3a02cb089df8e95dd4580,0,0,0,0,0,5.5,3.16,1.0,1.0,3.0,2.24,4,1.0,1.0,2.5,2.45,102.0,92.02,5
58730be6f87974b90702d4babd4a73ffaed53528,1,0,0,1,1,16.5,15.87,2.0,1.73,1.0,1.0,0,19.5,17.03,10.0,7.14,411.0,326.22,1
ad141c30d54d6c104d68ca1e23655c134cf972d9,0,0,0,0,0,6.5,3.46,1.5,1.41,4.5,2.83,7,8.0,3.87,7.5,3.74,248.5,85.03,8
8b0fffea62495ec2e1f3110caf652657215b6852,0,0,0,0,0,8.5,8.37,2.0,1.73,1.5,1.41,1,4.0,4.0,8.5,8.12,1447.0,923.48,2
263d9f4ca677ddf863587d28a3d59f35b197031b,0,0,0,0,0,3.5,3.16,2.0,2.0,1.0,1.0,0,1.5,1.41,3.0,3.0,166.5,92.41,0
3dd13f1970e028ed0a7caca1fffec545d425d22d,0,1,1,0,0,7.0,6.71,2.0,1.73,1.0,1.0,0,2.5,2.45,31.5,27.96,755.5,734.83,0
d709770374a73a315481a84facde6d3e92352e9c,1,1,2,3,4,6.0,5.2,2.5,2.45,2.0,2.0,0,1.0,1.0,39.5,38.96,582.5,466.75,0
4a24c2c26fdeb1916cc6ed780b9e6b5be50abf21,0,0,0,0,0,4.0,3.46,1.5,1.41,1.0,1.0,0,1.0,1.0,16.5,10.77,117.0,116.48,0
3f4e9aeacc95eaf23829c4cbd1db65e4d633c7f3,0,1,1,0,0,6.0,5.66,1.5,1.41,1.0,1.0,0,3.5,2.45,5.5,5.48,55.0,36.66,1
4d3b7c95b0569b73e6d6a87fbb86bcd4a892d7a7,0,1,1,0,0,12.0,8.94,2.5,2.45,2.5,2.0,3,2.5,2.0,11.5,4.69,315.5,61.24,4
8a43d335be9b6ec2b722f1a09b990674caeded48,0,0,0,0,0,4.5,4.24,3.0,3.0,1.0,1.0,0,1.0,1.0,1.5,1.41,65.5,65.18,0
5f209a6bf36ddb2f9fe29d4edc076a1cf9d95c2d,0,0,0,0,0,3.5,3.16,1.0,1.0,1.0,1.0,0,1.0,1.0,17.5,5.83,240.5,78.0,0
307d8c39fa51e5463b5b03b5d2e3bb8f448c965f,0,0,0,0,0,4.0,3.87,2.5,2.45,1.0,1.0,0,1.0,1.0,1.5,1.41,62.0,61.93,0
79f20ef204326550d19f02200a2173a72a192b4b,0,0,0,0,0,3.0,2.83,1.5,1.41,1.0,1.0,0,1.0,1.0,17.5,5.83,263.5,166.17,0
1dace93cf757c37c97bc481aa778a956352d10a5,0,0,0,0,0,4.0,3.46,2.0,2.0,1.0,1.0,0,1.0,1.0,18.0,5.92,266.5,167.23,1
45b4b12a6751874c71ae701d52eda5a743c2093c,0,0,0,0,0,3.0,2.83,1.5,1.41,1.0,1.0,0,1.0,1.0,17.5,5.83,263.5,166.17,0
5b3b5eccbb9cd83d83a16701d7f17f1b7816a08c,0,0,0,0,0,8.0,3.87,1.0,1.0,1.0,1.0,0,4.0,2.65,9.5,4.24,729.5,287.4,0
f1894223783059b3f3dc5e621f0292704431a929,0,1,1,0,0,9.5,4.24,2.0,1.73,1.5,1.41,1,7.5,3.74,15.0,5.39,1908.0,163.29,2
907f0f3ee8392221fbf3884e875c399868a91f17,0,0,0,0,0,3.0,2.24,1.0,1.0,1.0,1.0,0,1.0,1.0,2.5,2.45,31.5,31.46,0
60ad868f643846789d4c9c46a41f7c66ca8978dd,0,0,0,0,0,4.5,4.24,1.5,1.41,1.0,1.0,0,7.5,3.74,5.5,4.9,113.5,80.01,0
5a9aeddbc7e013006f0f52d1e8c424721a2d2d6f,0,0,0,0,0,26.0,7.14,3.5,2.45,7.0,3.61,12,13.0,5.0,23.0,6.71,3059.0,420.22,12
6cd52acced4447386fd1353ac56c8b9da34b5110,0,0,0,0,0,3.0,2.83,1.5,1.41,1.0,1.0,0,2.0,2.0,7.5,6.0,155.5,72.62,0
c08750f78bc7cb9815f50db95705d9db3745375a,0,0,0,0,0,1.5,1.41,1.0,1.0,2.0,2.0,0,1.0,1.0,1.5,1.41,9.0,7.48,0
e4d4ac0d1b0d3d2f595b3234941ef24dc8b1c234,0,0,0,0,0,6.0,3.32,1.5,1.41,1.0,1.0,0,6.5,3.46,11.5,4.69,1404.5,258.53,0
