mergeCommitID, isConflicting, existsCommonSlice, totalCommonSlices, conflictingFilesNumber, conflictsNumber, numberOfCommitsArithAverage, numberOfCommitsGeoAverage, numberOfAuthorsArithAverage, numberOfAuthorsGeoAverage, delayIntegrationArithAverage, delayIntegrationGeoAverage, deltaIntegration, minimumLifeTimeArithAverage, minimumLifeTimeGeoAverage, numberOfChangedFilesArithAverage, numberOfChangedFilesGeoAverage, numberOfChangedLinesArithAverage, numberOfChangedLinesGeoAverage, contributionConclusionDelay
34f16393a723e1390929f8ee4261ee7af3fc0f88,0,0,0,0,0,14.5,5.29,4.0,2.65,96.5,33.5,181,96.5,13.86,19.5,10.39,519.5,139.21,181
7d3dba036a2ca45c33fb9e48a6935a8c1c2dc15d,0,0,0,0,0,1.5,1.41,1.5,1.41,19.0,8.49,34,14.5,5.29,3.5,3.16,63.5,45.3,34
2266d86fe3f035eff39f075a03d87481892a6efb,0,0,0,0,0,4.0,3.46,1.5,1.41,61.0,51.93,64,39.0,22.29,10.0,9.95,95.0,94.36,64
50e184fa9b7351c38f06684d95a206116e66b09d,0,0,0,0,0,2.0,1.73,1.0,1.0,18.0,9.95,30,4.0,2.65,5.0,3.0,47.0,28.98,30
fb73a60b6cae61d5bcc078b0a1aa117e75eecf8f,0,1,1,0,0,5.0,3.0,2.5,2.0,1.0,1.0,0,54.5,10.39,2.0,1.73,35.5,35.5,1
e7eadefab6c818b4749b8e4264ed769ba20c36dc,0,0,0,0,0,4.5,2.83,2.0,1.73,5.5,3.16,9,54.5,10.39,1.0,1.0,18.5,14.49,10
d74af5e44e48afc2dad14c7471f702c87ad361df,0,0,0,0,0,14.5,11.75,3.5,3.46,3.0,2.24,4,125.0,123.05,17.5,14.0,73.5,57.72,4
031daae2ba0c91edbfe631b3efdc0c5f48872664,0,1,1,0,0,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0,1.0,1.0,1.0,7.0,7.0,0
c9f4ec4c9efdb94197207bdabe3b65ad3194af72,0,0,0,0,0,3.5,3.16,1.0,1.0,43.5,22.05,75,40.0,8.89,5.5,4.24,24.5,23.87,75
452e0f4c23fc4607f5a786da8da5084d9f47b7ac,0,0,0,0,0,4.0,2.65,1.5,1.41,58.5,54.79,41,25.0,7.0,6.0,5.66,21.0,20.62,41
d439ffd6386561ae9e1a4b1947acc547a21d917e,0,0,0,0,0,1.5,1.41,1.0,1.0,1.0,1.0,0,1.0,1.0,1.0,1.0,6.0,5.92,0
