mergeCommitID, isConflicting, existsCommonSlice, totalCommonSlices, conflictingFilesNumber, conflictsNumber, numberOfCommitsArithAverage, numberOfCommitsGeoAverage, numberOfAuthorsArithAverage, numberOfAuthorsGeoAverage, delayIntegrationArithAverage, delayIntegrationGeoAverage, deltaIntegration, minimumLifeTimeArithAverage, minimumLifeTimeGeoAverage, numberOfChangedFilesArithAverage, numberOfChangedFilesGeoAverage, numberOfChangedLinesArithAverage, numberOfChangedLinesGeoAverage, contributionConclusionDelay
0a5cbb5635a830ae1059aedb08960b42045d2d4f,0,0,0,0,0,2.0,2.0,1.5,1.41,21.5,21.21,7,1.5,1.41,1.0,1.0,37.5,16.85,7
d642b50387f2a19d88492e1e056fff24d803c5fe,0,0,0,0,0,3.5,2.45,2.0,1.73,8.0,6.24,10,4.0,2.65,2.0,1.73,18.5,10.1,10
353aa9353cd753eedaf0eef67cf6b0e37a519da1,0,0,0,0,0,3.5,2.45,2.5,2.0,77.5,60.45,97,14.5,5.29,20.5,6.32,3630.5,120.49,97
faf6a5d935d85bd1ca4dcd48f0ada4f3fd3bf39d,0,0,0,0,0,5.0,4.0,2.0,1.73,27.5,7.35,53,21.5,6.48,10.5,8.25,191.0,102.76,54
aa4b5e1cfecdd7e41c0139fd59eb35927f145ed7,0,0,0,0,0,3.5,3.16,1.5,1.41,29.0,25.92,26,10.0,4.36,9.0,4.12,176.0,45.56,26
9bdd55fa1418a9d64300c89fec553eb0fc99bc5c,0,0,0,0,0,2.0,2.0,1.5,1.41,7.0,7.0,0,1.0,1.0,3.0,2.24,8.5,5.48,0
4722841062a890f9bb0f6bc0ea25127fc23d1ab3,0,0,0,0,0,5.0,4.0,2.5,2.0,8.0,8.0,0,8.5,8.12,17.5,11.14,442.0,299.56,0
b842105879876e02f04e8df31d7293c43cea171f,0,0,0,0,0,30.0,16.58,3.5,3.16,1.0,1.0,0,26.5,21.49,60.0,51.96,1102.5,1049.57,1
77bc1372769492e2dc7c2e2eab18ab63a7d302fc,0,0,0,0,0,4.0,2.65,1.5,1.41,22.0,16.09,30,20.5,6.32,12.5,10.68,344.5,161.12,30
036667396e9af5e75698505f704971aa138d04ad,0,0,0,0,0,2.0,2.0,1.5,1.41,1.5,1.41,1,1.0,1.0,3.5,3.46,11.5,11.49,2
faa7e4a3e779641dd1f51f259732ce916c10dad7,0,0,0,0,0,3.0,2.24,2.5,2.0,21.5,6.48,41,3.0,2.24,2.5,2.0,18.0,11.31,42
64ab6e81c296a5d4857be0108a949969da115943,0,0,0,0,0,2.5,2.45,1.5,1.41,1.0,1.0,0,1.0,1.0,1.0,1.0,9.5,4.24,0
6b30be63ab56d38319ce950afaa996ab350c0b37,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0,1.0,1.0,1.0,13.0,6.93,0
4bc39d2af50022f864af025871051845437c7bde,0,0,0,0,0,3.5,3.16,1.0,1.0,16.0,7.75,28,4.0,2.65,1.5,1.41,6.5,3.46,28
7c76505e344d25902c344d7daffe6c1a17277cdb,0,0,0,0,0,1.5,1.41,1.0,1.0,4.0,2.65,6,1.0,1.0,1.0,1.0,8.5,8.12,7
c12f1feacd5270703b520cb64c6e8a044ddbe526,1,0,0,3,3,1.0,1.0,1.0,1.0,9.5,4.24,17,1.0,1.0,10.0,8.0,125.0,83.52,18
b851196b7ed67c9242c75a1648b8c6f7ce501c5a,0,0,0,0,0,3.0,2.24,1.5,1.41,3.0,2.24,4,5.5,3.16,3.5,2.45,108.0,106.32,5
ad9656d43a1746940ea8b51495210c0b60de947c,0,0,0,0,0,2.5,2.0,2.0,1.73,4.5,4.24,3,2.0,1.73,3.5,3.16,30.0,29.58,3
88989423c473d0782969122a9c9519942b693eae,0,0,0,0,0,8.0,7.75,2.5,2.45,6.5,6.32,3,7.5,7.35,9.0,8.49,387.0,267.15,3
7525457924803ce702095dab3d2da63ab21aa64f,0,0,0,0,0,3.5,3.16,2.0,1.73,1.0,1.0,0,4.0,3.46,2.5,2.45,49.5,39.75,0
