mergeCommitID, isConflicting, existsCommonSlice, totalCommonSlices, conflictingFilesNumber, conflictsNumber, numberOfCommitsArithAverage, numberOfCommitsGeoAverage, numberOfAuthorsArithAverage, numberOfAuthorsGeoAverage, delayIntegrationArithAverage, delayIntegrationGeoAverage, deltaIntegration, minimumLifeTimeArithAverage, minimumLifeTimeGeoAverage, numberOfChangedFilesArithAverage, numberOfChangedFilesGeoAverage, numberOfChangedLinesArithAverage, numberOfChangedLinesGeoAverage, contributionConclusionDelay
d7b0ad4b6013e89fe9655e8205d29eb1ab4c36f5,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0,1.0,1.0,1.0,18.5,18.17,0
c479546ed93b49f994e6726874212d19616e6cf4,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0,1.0,4.0,3.46,32.0,21.17,0
8b14b9ba2f334b028f4dcbc3949fdfa41d496ed7,1,0,0,1,1,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0,1.0,1.0,1.0,7.5,6.0,0
3039253095d2f3fba8879226b25495c76c01bb81,0,0,0,0,0,1.5,1.41,1.5,1.41,2.5,2.0,3,1.0,1.0,1.5,1.41,4.5,4.47,4
8772b099863c441f5716285a44fb8648517eb083,0,0,0,0,0,5.5,4.9,2.0,2.0,1.0,1.0,0,8.5,4.0,7.0,3.61,204.5,135.12,0
6458064f4435ab18219d3146ee9dd843cdc8d5b9,0,0,0,0,0,2.5,2.45,2.0,1.73,1.0,1.0,0,1.0,1.0,2.5,2.0,29.5,20.2,0
54a0ee12f4775db684938d9bb4cbbf09a9f844af,0,1,1,0,0,2.0,1.73,1.0,1.0,1.0,1.0,0,1.0,1.0,2.0,2.0,15.0,14.14,1
b4bbb7d53a9fe6a5cbc883868e7f3682df54cb94,0,0,0,0,0,4.0,2.65,1.0,1.0,4.5,2.83,7,1.5,1.41,23.0,21.91,306.5,290.58,8
72b054dd22d904df2f23653bb5e63f3546a857e3,0,0,0,0,0,1.5,1.41,1.0,1.0,1.0,1.0,0,1.5,1.41,13.5,5.1,186.5,162.51,1
7a5ef457cb380a35949d3376013725e0014f05c9,0,0,0,0,0,3.0,2.24,1.5,1.41,2.0,2.0,0,1.0,1.0,9.5,4.24,117.0,114.91,0
057fb4da944b71017555adb67bdc057cb838b9c0,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0,1.0,1.0,1.0,7.0,6.93,1
75a5d90926dc3c23edeccd2e366f8fe9dbfbbb5f,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0,1.0,1.5,1.41,9.5,5.83,0
