mergeCommitID, isConflicting, existsCommonSlice, totalCommonSlices, conflictingFilesNumber, conflictsNumber, numberOfCommitsArithAverage, numberOfCommitsGeoAverage, numberOfAuthorsArithAverage, numberOfAuthorsGeoAverage, delayIntegrationArithAverage, delayIntegrationGeoAverage, deltaIntegration, minimumLifeTimeArithAverage, minimumLifeTimeGeoAverage, numberOfChangedFilesArithAverage, numberOfChangedFilesGeoAverage, numberOfChangedLinesArithAverage, numberOfChangedLinesGeoAverage, contributionConclusionDelay
2069f9c2ce66559ce8fd7d6cd17fa60fda3f52f2,0,0,0,0,0,1.5,1.41,1.0,1.0,5.0,3.0,8,1.0,1.0,1.5,1.41,15.0,7.48,9
60afe116e01bb431886fd0a7c9cd9a0a62fd7879,0,0,0,0,0,2.5,2.45,1.5,1.41,1.0,1.0,0,2.0,1.73,1.5,1.41,93.5,42.07,0
27811f7ed3ec746f91947f423ddf6deb787699e2,0,0,0,0,0,5.5,4.24,2.5,2.0,1.5,1.41,1,1.0,1.0,3.0,2.83,14.5,14.28,1
fcde9696a807ed3b750abf2a800739a4f36cdc4e,0,1,1,0,0,4.0,3.87,1.0,1.0,1.0,1.0,0,2.0,2.0,10.0,9.95,106.0,91.21,0
50232e402c7c55bd3393f38d639a905a96ab69e9,0,0,0,0,0,2.0,1.73,1.0,1.0,1.5,1.41,1,1.0,1.0,4.5,4.24,26.0,20.49,1
c6ddac5560b24aa550ca0d2e28c54e22a8c94ea3,0,0,0,0,0,9.5,8.83,2.5,2.0,6.5,3.46,11,20.5,19.08,32.0,24.98,390.5,325.65,12
b24ed9fe74b1b237058231ccc0564f209963b4b2,0,0,0,0,0,2.5,2.45,1.0,1.0,2.0,2.0,0,5.0,3.0,4.0,3.46,59.5,51.09,0
4efe3af42c787d24e038493a706cfa572cac571d,0,1,2,0,0,8.5,6.48,1.0,1.0,1.0,1.0,0,1.0,1.0,11.0,10.25,183.5,183.48,1
e0a657aa19ce855b88e0bef5fb8ee22438f3a7b2,0,1,2,0,0,6.5,4.69,1.0,1.0,1.0,1.0,0,1.0,1.0,8.5,6.48,90.5,57.97,0
d11177a9e3bb229bf05727112a9be93b03c0f7e8,0,1,1,0,0,5.0,4.9,1.0,1.0,1.0,1.0,0,1.0,1.0,8.0,7.94,80.0,79.09,0
