mergeCommitID, isConflicting, existsCommonSlice, totalCommonSlices, conflictingFilesNumber, conflictsNumber, numberOfCommitsArithAverage, numberOfCommitsGeoAverage, numberOfAuthorsArithAverage, numberOfAuthorsGeoAverage, delayIntegrationArithAverage, delayIntegrationGeoAverage, deltaIntegration, minimumLifeTimeArithAverage, minimumLifeTimeGeoAverage, numberOfChangedFilesArithAverage, numberOfChangedFilesGeoAverage, numberOfChangedLinesArithAverage, numberOfChangedLinesGeoAverage, contributionConclusionDelay
0c18ebecc52c26e3356ab68ebea1791a1444b82c,0,0,0,0,0,2.0,2.0,1.5,1.41,56.0,53.95,30,3.5,2.45,1.5,1.41,7.5,7.07,30
0d99c3df7453443ca18683e40653c62a4586dd03,0,0,0,0,0,1.5,1.41,1.5,1.41,1.0,1.0,0,1.0,1.0,1.5,1.41,12.5,11.22,0
1ba829e9607b2622c2a5dc8177111f66c290d813,1,1,1,2,3,158.5,49.72,8.5,5.48,153.5,112.44,209,288.0,209.14,145.0,47.5,8222.0,2211.5,209
e01872d515af89bb587107155e7e99004e4078ab,0,1,1,0,0,3.5,3.46,1.0,1.0,43.0,9.22,84,5.5,5.48,4.0,3.46,151.5,51.44,84
7a898ecd23e09f3b135556154e4e21e596211d66,0,0,0,0,0,1.5,1.41,1.0,1.0,3.5,2.45,5,1.0,1.0,1.0,1.0,4.5,4.24,6
ddffe8f529f62dc55937937357481a618badc23b,0,0,0,0,0,24.5,6.93,3.0,2.24,22.0,15.1,32,110.0,14.8,39.0,8.77,2517.5,141.86,32
1754198988aa1fda7baa6e3dd480776b053d5275,0,0,0,0,0,1.5,1.41,1.0,1.0,1.0,1.0,0,15.5,5.48,1.5,1.41,2.5,2.45,0
77482533887a0fc792f0e07d084d03dc5717837e,0,0,0,0,0,8.5,8.49,2.5,2.0,15.0,12.69,16,232.0,225.39,25.5,12.0,2301.5,567.25,16
e7036d69134d3997988167cf8cbd1f4c0b52d5d3,0,0,0,0,0,142.0,29.03,8.5,5.48,80.5,17.83,157,300.0,42.32,128.5,27.6,5780.0,703.73,157
ce453e7e1ad2ca6fc1f276bd73a1bf43105ef598,0,0,0,0,0,2.0,2.0,1.5,1.41,2.0,1.73,2,3.5,2.45,1.5,1.41,8.5,8.49,3
3eaa54a19031ec703895fc88b776e3b73dfb38b5,0,0,0,0,0,5.5,3.16,2.0,1.73,5.0,4.9,2,1.5,1.41,8.0,3.87,86.5,36.33,2
018d901b4dc66bf233b3833a89d7cb5d68fda2e3,0,0,0,0,0,3.5,2.45,1.0,1.0,46.5,9.59,91,8.0,3.87,7.0,3.61,81.5,17.94,91
91849c531681da6c8fec96a19f2cb6ecef09e44c,0,0,0,0,0,3.0,2.24,1.5,1.41,8.5,4.0,15,1.0,1.0,3.5,2.45,16.5,12.73,16
ef0a2ded5bd7c9ef17c92e4f05457e2b29c41910,0,0,0,0,0,2.0,2.0,1.5,1.41,1.0,1.0,0,1.0,1.0,3.0,2.24,13.5,9.59,0
fe359cf52e01ab3bdb73f5867afd78746f34e068,0,0,0,0,0,1.5,1.41,1.5,1.41,1.0,1.0,0,2.5,2.0,1.0,1.0,1.5,1.41,0
7300e3bf809eb2e650aed77a190e1210d577e3dc,0,0,0,0,0,4.5,2.83,2.0,1.73,4.5,2.83,7,1.0,1.0,22.0,9.17,251.0,119.0,7
83622af8c714b931d6313411880207225216afac,0,0,0,0,0,1.5,1.41,1.5,1.41,1.0,1.0,0,1.0,1.0,17.0,8.0,97.0,42.9,0
3220177dd311edec2fec199213898751d0d72050,0,0,0,0,0,1.5,1.41,1.5,1.41,1.0,1.0,0,1.0,1.0,5.0,3.0,139.0,130.81,0
d1a9e2746b2a796b005ffd759fbdc7c5962e8bca,0,0,0,0,0,2.5,2.0,1.5,1.41,2.5,2.0,3,1.0,1.0,2.0,1.73,59.0,15.23,3
33475948289f74214fd2bd772f1bdda657db17bb,0,0,0,0,0,1.5,1.41,1.5,1.41,1.0,1.0,0,1.0,1.0,1.5,1.41,58.0,57.78,0
233b7cc7becef3b1ff48531fb913ee51a51a67c6,0,0,0,0,0,5.0,3.0,1.5,1.41,1.0,1.0,0,20.0,6.24,3.5,2.45,39.0,17.2,0
42ab5e3000212bf6d9409999f3e3d3f7e9112474,0,0,0,0,0,10.0,6.0,2.0,1.73,20.0,6.24,38,83.0,12.85,10.0,7.14,243.0,138.02,39
3468d1ec134ed276255b0dc58121cd8530253eb4,1,1,1,1,1,102.5,20.15,6.5,4.69,3.5,2.45,5,273.5,227.04,97.5,24.0,4886.0,512.95,6
c4836672c807a190ba97d0fb2b557bfc954b3275,0,0,0,0,0,1.5,1.41,1.5,1.41,120.0,120.0,2,1.5,1.41,2.0,1.73,14.5,7.35,2
70e81b7782be0b62704d0ff46b02547df390204a,0,0,0,0,0,6.0,3.32,3.0,2.24,5.5,4.24,7,12.0,4.8,8.5,7.75,1516.5,190.4,7
e71d81e1294f2e8c380b7115c33ad99b2502d0e7,0,0,0,0,0,4.0,2.65,2.5,2.0,3.5,3.16,3,11.0,4.58,4.5,4.47,1503.5,204.7,3
dbd2aa71b38777c16640c5c0459a4779b4cbf4d5,0,1,1,0,0,94.5,19.34,6.0,4.47,10.0,4.36,18,166.5,25.73,94.0,13.67,3209.0,113.28,18
9a18705f70eafc6ac442713203e8b25d7285d61d,0,1,1,0,0,9.5,4.24,2.0,1.73,9.5,7.75,11,7.0,3.61,12.5,8.12,156.5,64.7,11
48c1d7c214d91b799e56be24147b9b727c32f157,0,0,0,0,0,42.0,17.89,3.5,2.45,1.0,1.0,0,96.5,48.37,59.5,21.45,795.0,277.49,1
dd6b9f0359e46246a19a4c90ff50fd8ae7721943,0,0,0,0,0,6.0,3.32,1.5,1.41,1.0,1.0,0,1.0,1.0,9.0,4.12,124.5,43.91,1
a92824b34dd6c3d664ad9653281dd232e3bf7ba8,0,0,0,0,0,5.0,4.0,1.5,1.41,1.0,1.0,0,1.0,1.0,8.5,4.0,120.5,26.72,1
8a378aa2c40b5a469467a47fa3c704ae9e091ebf,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0,1.0,7.5,3.74,48.0,43.16,1
5342877caf30525ccf2e458186fc69c66227b1bd,0,0,0,0,0,51.5,10.1,4.5,2.83,43.5,9.27,85,84.0,12.92,52.0,10.15,699.5,144.08,86
486204c1d72398a8708f5713eb0c8f38d3b63667,0,1,1,0,0,47.0,9.64,4.5,2.83,38.5,8.72,75,84.0,12.92,48.0,13.71,672.0,126.43,76
4c24c4cd18c477eca9bbaf1ad3e533396721aa20,0,0,0,0,0,49.5,9.9,4.5,2.83,39.0,8.77,76,84.0,12.92,51.0,10.05,686.0,52.35,77
bca2440ca01cf2b9c65978177a1e9683f516c567,0,1,1,0,0,48.5,13.78,4.5,2.83,43.0,9.22,84,84.0,12.92,51.0,14.14,685.0,156.0,85
50421fc19bbcae915575038970129fc3e04d1c3f,0,1,1,0,0,48.0,31.75,4.5,2.83,45.0,9.43,88,96.5,65.89,54.5,28.43,847.5,355.14,89
3d77e11a87ba2119ca59b570ab9fdaa0a08047bf,0,1,3,0,0,40.5,12.57,4.5,2.83,38.0,8.66,74,89.0,42.86,49.5,28.46,637.0,193.18,75
a9023960fc6f2fe579e33f407d4cfd9006fcafc5,0,0,0,0,0,39.0,15.0,4.5,2.83,45.0,9.43,88,84.0,12.92,45.5,16.25,622.0,177.96,89
f393afb69fffc999f6e7c6e4b20ad6936e9a80b2,1,1,3,5,5,72.5,42.83,6.5,6.0,1.0,1.0,0,238.0,227.16,90.0,66.17,3024.0,1156.78,0
9089e15788f43494137905909464d30cc75c058e,0,1,3,0,0,14.5,8.83,2.5,2.0,37.5,8.6,73,110.0,94.08,19.0,16.16,187.0,127.28,74
dcc13981ccbf1483fc327e7136e1a7bff710174b,0,1,2,0,0,12.5,4.9,2.5,2.0,43.0,9.22,84,84.0,12.92,15.0,14.87,162.0,156.73,85
258528460d9e31722cc15d14e52a9c66309b190b,0,1,1,0,0,11.5,4.69,2.5,2.0,43.0,9.22,84,84.0,12.92,9.0,4.12,101.5,24.49,85
efbf881742729093e264cc42a7242b32d0011572,0,1,1,0,0,10.5,4.47,2.5,2.0,39.0,8.77,76,84.0,12.92,9.5,7.75,100.0,63.8,77
083fe42b5ce2c8f80a08ac35dfcdf13043c5d393,0,0,0,0,0,16.5,9.49,2.5,2.45,107.5,91.45,113,52.0,17.41,15.5,7.62,380.5,155.0,113
d5f6480f58d5344796d67b1c20066742d80efce2,0,1,1,0,0,9.5,9.38,2.5,2.45,3.0,2.24,4,14.0,13.96,25.0,13.56,392.0,205.2,5
1c0a70df7514fe1e761df6f192ac100db452bfb1,0,1,1,0,0,3.0,2.24,1.5,1.41,2.0,1.73,2,1.5,1.41,23.0,22.65,358.0,349.62,3
c7359a3ec2b4c597860fc862bbcc3b5fb26a1bc8,1,0,0,4,5,54.0,10.34,4.5,2.83,1.0,1.0,0,129.5,16.06,62.5,22.0,2522.0,265.37,0
0dae5ccde04750997581429bd3033b42b28d71a5,1,0,0,2,9,54.0,14.56,4.5,2.83,1.0,1.0,0,129.0,16.03,61.5,15.56,2552.0,610.1,1
4c9685bb8b8747c164bd211c3fbbdc29a58e4512,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0,1.0,1.5,1.41,38.0,12.17,0
da8f9828e05f298c729d99ea3594789d58569a05,0,0,0,0,0,53.0,10.25,4.5,2.83,1.0,1.0,0,129.0,16.03,61.0,11.0,2516.0,100.3,0
2c36e22a18bd9fe2d92feac08cb717103927188e,0,1,1,0,0,4.0,4.0,1.5,1.41,1.0,1.0,0,64.5,64.48,3.5,3.16,10.0,9.8,1
b70e92738e413b4e8e89fb5e5714c5ec6b97e765,0,1,1,0,0,50.0,9.95,4.5,2.83,33.5,8.12,65,129.0,16.03,60.0,15.36,2514.0,173.59,66
5bf60bb0e6e98a7078e241ca7d7934e3792152ad,0,0,0,0,0,12.0,4.8,2.0,1.73,34.0,11.49,64,33.0,8.06,12.0,6.63,219.5,50.97,64
8dd4970b0c47460ec6aa70ac1a8dd3b8b2d69d7a,0,1,1,0,0,53.5,32.5,5.0,4.0,1.0,1.0,0,143.0,88.91,61.0,26.38,2532.0,490.68,0
ebec4f089d7212dae14f36fb525f23b6eaf5f61a,0,1,1,0,0,5.0,4.9,1.5,1.41,12.0,4.8,22,35.5,22.45,3.5,3.16,24.0,23.24,23
778128124321ec40ae85bb178ae138da2df5caf4,0,1,1,0,0,4.0,2.65,1.5,1.41,2.5,2.0,3,17.5,5.83,8.5,8.49,191.5,89.12,4
6f03b2256b718207a4c18ed03be45e6a715adeaf,0,0,0,0,0,2.0,1.73,1.5,1.41,1.0,1.0,0,1.0,1.0,1.5,1.41,9.0,5.66,0
660238d2cf0ad56c8b605ee6fd0dead2ad34f815,0,0,0,0,0,24.5,6.93,2.0,1.73,20.5,20.35,5,26.5,7.21,21.0,14.7,1024.5,764.96,5
be18133e08677b581d8e63f19368bb6cc07cd053,0,1,2,0,0,47.5,32.65,5.0,4.58,1.0,1.0,0,112.5,76.49,64.5,40.12,2604.0,1637.13,1
55e28d90a9fb950b39df3d4b75859b936af4ff02,0,1,1,0,0,7.5,5.1,2.0,1.73,1.0,1.0,0,3.5,2.45,9.0,7.48,214.5,96.63,1
23a36ca22d03d849c333e28913329036ac80b8ce,0,0,0,0,0,6.0,3.32,2.0,1.73,1.0,1.0,0,1.0,1.0,7.0,3.61,203.0,28.43,1
22f0a2e58767dc63cea8703518e35f77b8a58678,0,0,0,0,0,5.0,4.0,2.0,1.73,1.0,1.0,0,1.0,1.0,6.5,4.69,202.0,56.28,1
82cabf8aeef641022d9003e34c4e6dc7e16dc363,0,0,0,0,0,3.5,2.45,2.0,1.73,1.0,1.0,0,4.0,2.65,5.5,4.24,198.0,55.71,1
af6fbede45c451b3ecb854c3f883a8112c372d5f,0,0,0,0,0,6.0,3.32,2.0,1.73,2.0,1.73,2,25.0,7.0,13.5,13.49,155.0,0.0,3
5e8ce9f460626ad60a3d2e5d773c8f23e54c2de1,0,1,1,0,0,5.0,4.0,2.0,1.73,4.5,2.83,7,25.0,7.0,7.0,7.0,155.0,125.48,8
17c5edd7ae4f70a5a390089267c95b81184e2463,0,1,1,0,0,3.5,3.16,2.0,1.73,9.5,4.24,17,26.5,14.0,4.5,4.24,32.0,30.4,18
dc6653daea0e7216ff3d52a62c74c3e641334b72,0,0,0,0,0,2.0,2.0,1.5,1.41,9.5,4.24,17,29.5,22.14,3.0,2.83,21.0,16.49,18
2a9469f672d88cfcfe6c47caa2c512ed46cd0e28,0,0,0,0,0,7.0,3.61,2.5,2.0,34.0,30.51,30,42.5,9.17,4.5,3.74,71.0,32.74,30
08443e1fafad25b3184603d4adc33d240edd0863,0,0,0,0,0,2.0,1.73,1.5,1.41,5.0,5.0,0,34.5,8.25,1.5,1.41,13.5,10.49,0
85603a2e79c741abc02a9f0885dddaeed87e4f9b,0,1,1,0,0,22.5,9.27,4.5,3.74,6.0,3.32,10,107.0,99.64,48.5,26.68,1719.0,274.14,11
3d6239638fe67794fcf5d4ea56800227b9ae0158,0,0,0,0,0,1.5,1.41,1.5,1.41,2.5,2.45,1,27.5,7.35,4.0,2.65,16.5,16.49,1
f81efebd8ce18bbca9abd567d345edbc22e80061,0,0,0,0,0,7.0,6.32,2.5,2.45,1.0,1.0,0,49.5,25.38,12.5,10.68,413.0,98.83,1
