mergeCommitID, isConflicting, existsCommonSlice, totalCommonSlices, conflictingFilesNumber, conflictsNumber, numberOfCommitsArithAverage, numberOfCommitsGeoAverage, numberOfAuthorsArithAverage, numberOfAuthorsGeoAverage, delayIntegrationArithAverage, delayIntegrationGeoAverage, deltaIntegration, minimumLifeTimeArithAverage, minimumLifeTimeGeoAverage, numberOfChangedFilesArithAverage, numberOfChangedFilesGeoAverage, numberOfChangedLinesArithAverage, numberOfChangedLinesGeoAverage, contributionConclusionDelay
8440111fb85a0aff883670c8d1e68fc6d3745ef3,0,0,0,0,0,2.0,1.73,1.0,1.0,11.5,4.69,21,1.0,1.0,1.5,1.41,28.5,14.56,22
ea679b5d737e072784a298adbdb6d32c38dba79e,0,0,0,0,0,2.0,2.0,1.0,1.0,5.0,3.0,8,3.0,2.24,3.5,3.16,16.0,13.86,9
e9653388f3501372ddd1a08af5ecfa4d1c17df12,0,0,0,0,0,31.0,19.62,1.0,1.0,1.0,1.0,0,1.0,1.0,24.5,24.37,6385.0,2023.14,0
9277ddf93453ebeac8a203cf7a7612e9a252ef57,1,0,0,1,1,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0,1.0,1.0,1.0,124.5,124.5,0
b468adb954fe53fb3dab446d7a1204b8a11295ac,1,1,2,1,1,43.0,41.29,1.0,1.0,76.0,12.29,150,128.0,111.42,56.0,53.03,1367.5,1261.67,151
f1d466f3a37dd57496ca7360d85c83da1f563689,0,0,0,0,0,92.0,75.2,1.0,1.0,31.5,29.7,21,218.0,212.65,92.0,65.11,2835.0,1799.1,21
4d580e55f5867f27d38cb893313454eb22336a4c,0,0,0,0,0,2.5,2.45,1.0,1.0,31.5,26.83,33,7.0,3.61,4.5,3.74,88.5,85.04,33
560af53f68946b615af1dbb03593595521d9e886,0,1,2,0,0,19.5,18.38,1.0,1.0,3.0,2.24,4,47.5,46.09,32.0,24.98,1177.5,1157.43,5
1a44022043abc638999c4986fff21b738c8feb41,0,0,0,0,0,5.0,3.0,1.0,1.0,16.5,5.66,31,16.0,5.57,7.5,6.0,56.5,40.4,31
f85adafcd5aae41df9167c876bfa91b2163e4dcb,0,0,0,0,0,4.0,2.65,1.0,1.0,16.0,5.57,30,14.0,5.2,6.0,3.32,48.0,46.21,30
07ebc7bd4f2f73ff9a8c442e79f1bbb784560c53,0,0,0,0,0,1.5,1.41,1.0,1.0,11.0,4.58,20,1.5,1.41,3.5,2.45,21.5,9.06,21
c9062f59b1b62ab53f757b4901b9cafb9aa56beb,1,1,1,1,1,12.5,4.9,1.0,1.0,1.0,1.0,0,16.5,5.66,27.5,12.49,697.5,91.29,0
be19983a520af157445a3dd5994edbefc3a38e6d,0,0,0,0,0,11.5,4.69,1.0,1.0,1.0,1.0,0,16.5,5.66,26.5,7.21,692.0,90.93,0
52f7700dd7c6c57dff9747ddb69e2ecbb045ce2e,1,1,4,7,15,285.0,283.42,1.0,1.0,12.0,4.8,22,69.5,54.2,78.0,77.94,9526.0,9484.8,22
b030560e7c9046e37bb96d008e618d70ab1b7930,1,1,3,2,3,11.5,7.75,1.0,1.0,1.0,1.0,0,55.0,10.44,17.0,16.52,472.0,391.94,1
7021aa5fc156935b5c0a584f9e00cd86b99d51de,1,1,2,1,1,148.0,62.83,1.0,1.0,1.0,1.0,0,74.5,67.04,28.0,25.3,4797.0,1806.12,0
ca17c934216df2815d5adf8260093717b6d709f9,0,1,1,0,0,137.5,16.55,1.0,1.0,1.0,1.0,0,21.5,6.48,16.0,10.58,4507.5,676.14,1
d83c0db363edfe5af79c1c88e08e47f257d59bf0,0,0,0,0,0,56.0,53.03,1.0,1.0,2.5,2.0,3,67.5,45.89,72.0,56.2,2056.5,2025.54,4
bd30f295607a9120311c110003078928c6802801,1,0,0,1,1,153.5,130.7,1.0,1.0,12.5,6.78,21,67.0,46.74,72.5,57.24,4837.5,4185.49,21
acf8c9d9f374193c93b656a20ca647ff70ea54c2,1,1,1,2,2,62.0,26.61,1.0,1.0,47.0,9.64,92,81.0,44.01,92.0,45.43,1837.0,943.82,92
d511a181ef51470d9138ad5b1348a23a034ba05e,1,1,1,1,2,139.5,85.15,1.0,1.0,3.5,3.16,3,13.0,10.95,52.0,47.12,4448.0,2362.06,3
d59713928ba9c4491262a87100b4d86724d9ddac,0,0,0,0,0,2.5,2.45,1.0,1.0,1.0,1.0,0,1.0,1.0,4.5,3.74,40.0,19.36,1
16379a1c6f50422356a431f377a4e46e8cb2f28a,0,0,0,0,0,85.0,80.26,1.0,1.0,1.0,1.0,0,48.0,13.71,81.5,60.6,3713.0,3528.13,0
cc6cb00e455b40aa3c1ccd8b78971d70fd513d45,0,0,0,0,0,40.0,38.16,1.0,1.0,1.0,1.0,0,46.5,9.59,75.5,57.86,2036.0,2034.51,0
949b744a2268d535bdb6ec2822df2e1669700342,0,0,0,0,0,24.0,6.86,1.0,1.0,1.0,1.0,0,46.5,9.59,60.5,10.95,956.5,61.82,0
3de957f81c6bd690a24302be59e83684696c859f,1,0,0,1,1,69.0,65.05,1.0,1.0,1.0,1.0,0,54.5,39.55,74.0,57.97,1172.0,909.65,0
8041a1dd924971c50e0d37e2c5242c0cfba8d450,0,0,0,0,0,2.0,1.73,1.0,1.0,1.0,1.0,0,1.0,1.0,1.5,1.41,5.0,4.9,0
cd5ef6bf99ac1d74d591019c65da4405ad81f7cd,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0,1.0,1.5,1.41,4.5,2.83,0
20a6e4ec4383ed892575ae06414f39f49b482209,0,0,0,0,0,21.0,16.49,1.0,1.0,1.0,1.0,0,38.5,8.72,49.0,16.88,866.0,189.55,1
160ac833d11dfc957b25aef252f44719141aa62f,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0,1.0,2.5,2.0,5.0,4.0,0
e2a47dfa6ac1a84ce663a12a73d581eadf115770,0,0,0,0,0,1.5,1.41,1.0,1.0,1.0,1.0,0,1.0,1.0,1.0,1.0,5.5,4.9,0
d53452572263990fa825ade520335983d933ed59,0,1,2,0,0,17.0,10.95,1.0,1.0,1.0,1.0,0,35.5,8.37,51.0,30.33,872.0,405.46,1
33974ba33d87f966a404cabd66eab527338a6e6d,1,1,3,3,3,14.0,12.12,1.0,1.0,3.5,2.45,5,44.5,41.33,66.0,64.5,813.5,799.27,6
50eb98213beda5509b0fc420e3b7015e93a7636c,1,1,3,2,2,12.5,6.78,1.5,1.41,32.5,18.81,53,44.5,9.38,27.0,25.79,308.0,307.9,53
dc1f93c1e49d5b54429d48069084f012b7f35afe,1,0,0,1,1,9.5,4.24,1.0,1.0,1.0,1.0,0,14.5,5.29,25.5,7.07,322.0,35.83,1
830db1eb83eb3e546e43b75e53ddf12e5b0ed8bf,1,1,4,1,1,11.0,10.58,1.0,1.0,1.0,1.0,0,57.5,48.74,32.0,30.4,358.5,326.3,0
1870626d42845f7a7da24dd4b923aa349aed54e1,1,1,2,1,1,6.5,5.48,1.0,1.0,16.0,5.57,30,44.5,9.38,11.5,11.49,105.0,82.46,31
2a07e4ba413b139f40b1d3334da56c8b6c15c435,0,0,0,0,0,1.5,1.41,1.0,1.0,3.5,2.45,5,1.0,1.0,1.5,1.41,4.0,4.0,6
daea45cd143431f2c51119a30747bf5f101e8073,0,1,1,0,0,33.0,8.06,1.5,1.41,33.0,8.06,64,35.0,8.31,60.0,23.98,1205.5,176.56,65
5e9b027d51bdb1af628aeb1aa9bdc4bde482bde6,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0,1.0,4.5,2.83,11.5,4.69,1
5e398855e9b3f83d45ec14b1e3d2037dd7077d5a,0,0,0,0,0,2.5,2.0,1.0,1.0,5.5,5.29,3,1.0,1.0,5.5,4.9,75.5,29.5,3
66c0e6e07927eac3b620e3846f0ed1d92ebddbf8,0,0,0,0,0,2.0,1.73,1.0,1.0,1.0,1.0,0,6.5,3.46,7.5,5.1,424.5,203.58,0
b11adec9c302f47296b65bf0b75b8c7e804e87b1,1,1,1,1,1,6.5,3.46,1.0,1.0,8.5,7.75,7,1.5,1.41,13.5,13.49,287.5,230.75,7
e7e1dbefd94ee22605f1641c78de0ca0950c4869,0,0,0,0,0,4.5,2.83,1.0,1.0,1.0,1.0,0,3.5,2.45,30.5,7.75,426.5,41.26,0
3c6aa014292f7e77d15f44ba6c86087d227aeb3a,0,1,2,0,0,10.5,6.16,1.0,1.0,4.0,3.46,4,2.0,1.73,27.5,27.39,208.5,204.33,4
b0990c01baac1b8280245cdfa798120bbde583df,1,1,1,1,1,2.5,2.45,1.0,1.0,1.0,1.0,0,1.0,1.0,9.5,5.83,44.0,26.66,1
67ec2171d49cd43b59f73ad28e42b15c2c657d2c,0,0,0,0,0,4.0,2.65,1.0,1.0,1.0,1.0,0,1.0,1.0,1.5,1.41,17.0,12.96,1
70e34800368942fd21d28fcd8b7cf7c6696126db,0,0,0,0,0,5.0,4.0,1.0,1.0,1.0,1.0,0,1.0,1.0,2.0,1.73,28.5,26.87,0
8eb7ed25c09ae584530fce0df35d9dd55e76e22e,0,1,3,0,0,3.5,3.46,1.0,1.0,1.0,1.0,0,1.0,1.0,24.0,19.49,499.0,213.54,0
f6c56e79cf19eaaf05974f00979edaa4ace09567,0,0,0,0,0,2.0,1.73,1.0,1.0,8.0,7.94,2,1.0,1.0,5.0,3.0,24.0,13.27,2
cf013c395351803f20f7ecff6b4a46a43b2eef48,0,0,0,0,0,30.0,13.08,1.0,1.0,1.0,1.0,0,52.5,10.2,90.0,13.38,11750.0,508.31,0
015214760879d3359021ccf3d86a149b5f9ed911,1,1,2,3,3,29.5,14.83,1.0,1.0,4.5,2.83,7,50.0,21.79,95.5,44.5,11831.0,2067.21,8
c3131dfdb2d39773ca39583870d87aa0a94df19e,0,0,0,0,0,1.5,1.41,1.0,1.0,1.0,1.0,0,1.0,1.0,1.5,1.41,83.0,25.46,0
e9d2dfe6fe2eb3e4a91c0bf470c1b94cc3164bcf,0,1,1,0,0,4.5,2.83,1.0,1.0,1.0,1.0,0,1.0,1.0,14.0,5.2,667.5,435.92,0
cbe3e780d8d8c9d0bf3912ee498d9be57c3cc004,0,1,1,0,0,11.0,6.32,1.0,1.0,14.5,5.29,27,38.0,36.66,36.0,32.25,2428.5,2424.02,28
2c8866edfa7687d3020b391f851641cf5c8bfcdd,1,0,0,1,1,4.0,3.87,1.0,1.0,3.0,2.24,4,24.5,24.45,13.0,12.85,328.0,236.76,4
61cf06f6484300efc382071fede9c8aa1ee15ee6,0,0,0,0,0,6.0,3.32,1.0,1.0,24.5,6.93,47,19.5,6.16,26.0,25.3,1305.5,867.6,47
2cde4d028d63d589c2da24d0102fb73b19a11aec,0,0,0,0,0,1.5,1.41,1.0,1.0,6.5,3.46,11,1.0,1.0,5.0,3.0,71.0,23.49,12
