mergeCommitID, isConflicting, existsCommonSlice, totalCommonSlices, conflictingFilesNumber, conflictsNumber, numberOfCommitsArithAverage, numberOfCommitsGeoAverage, numberOfAuthorsArithAverage, numberOfAuthorsGeoAverage, delayIntegrationArithAverage, delayIntegrationGeoAverage, deltaIntegration, minimumLifeTimeArithAverage, minimumLifeTimeGeoAverage, numberOfChangedFilesArithAverage, numberOfChangedFilesGeoAverage, numberOfChangedLinesArithAverage, numberOfChangedLinesGeoAverage, contributionConclusionDelay
122c7167b14389d8a21bd587a7540cde426a2a3d,0,0,0,0,0,1.5,1.41,1.0,1.0,1.0,1.0,0,1.0,1.0,1.5,1.41,5.0,4.0,0
f627df1447d9a3648550a18cbb21093ac80391ba,0,0,0,0,0,2.5,2.0,1.5,1.41,1.0,1.0,0,1.0,1.0,2.5,2.45,223.5,149.1,1
2203d9bd0579aa338d358bda7b5373565c024b5d,0,0,0,0,0,1.5,1.41,1.0,1.0,1.0,1.0,0,1.0,1.0,1.5,1.41,28.5,25.1,1
b04e0c1b6426fc3c3e22968b41be8a45afacf59d,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0,1.0,11.5,6.48,135.0,97.86,1
3f633f252ad16ec337e6352f4ebfd92799a0b32d,0,0,0,0,0,2.0,1.73,1.0,1.0,2.0,2.0,0,1.0,1.0,4.0,3.46,108.5,29.19,0
5f088cf8f2552c21fa4de6714ca4c84debc87cf0,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0,1.0,3.5,2.45,11.0,6.32,1
b1eb729d2d1697f40fa816347268c283ae8258b6,0,0,0,0,0,38.5,18.97,5.5,3.16,9.5,4.24,17,12.5,9.17,183.5,59.75,4120.5,1558.24,18
b43dff2be466b61d82000df023cb3bbce90e0f1f,0,0,0,0,0,33.5,11.4,5.0,3.0,1.5,1.41,1,18.0,17.97,175.0,26.38,3796.5,174.23,2
bb057277ff6e1b03005de3ac592eacf60e166416,0,0,0,0,0,19.5,8.6,4.5,3.74,3.5,2.45,5,15.5,13.56,21.0,6.4,1382.5,117.47,5
698ea1737f1a4dc15d9b2de4ca63e5a0092555ce,0,1,1,0,0,15.0,7.48,4.5,3.74,1.0,1.0,0,13.0,12.37,160.5,25.26,2768.5,468.91,0
4c7309303f9ab426dac0717a2ab854060daa1771,1,1,2,1,3,2.5,2.45,1.5,1.41,1.0,1.0,0,1.0,1.0,147.0,44.82,2081.5,453.49,0
f91536ff39fef89d0e4a3149bd017723d380b0e7,0,0,0,0,0,2.5,2.0,1.0,1.0,1.0,1.0,0,1.0,1.0,2.5,2.45,41.0,29.95,0
17f48b53357910e862a3fbef3ae94eecfd57ad9e,0,0,0,0,0,9.5,5.83,1.0,1.0,1.0,1.0,0,2.0,1.73,37.5,14.7,2086.5,524.5,0
