"mergeID","isConflicting","existsCommonSlices","totalCommonSlices"
"2ab36d4d1e07e99a6237c1436d011ae7687197a5","0","0","0"
"72a037a0bad86c5a703763df433a22b94c95f360","0","0","0"
"66632521a6432e538e1fb8c5b8d1476e0bd97b0e","0","0","0"
"c17cdbe382d5a02c7db8f1904e6d79242cbc3f2f","0","0","0"
"41f7450e03f151f9268ccf50e240452c95c31911","0","0","0"
"e4ef94c6f135db46f47a2741a467d9e5f31e1392","0","0","0"
"2156dc0bb2e2a96ae794b7200c364f29a5ce2969","0","0","0"
"45e06fa9856dd313b734c8f41bb6e08794ad9d32","0","0","0"
"466b94851c3be0351c99cad96246b1ab90b60375","0","0","0"
"7681685144376493542523e6fb8fbf976e7d228e","0","0","0"
"01a37ca6e457d81305bcd0d312b9de37f94d11c2","0","0","0"
"010785574b22738229b2f2c57e5e01849bae15d6","0","0","0"
"3313b81edd6ed24818f68c4acc2a10c63d187fc0","0","0","0"
"d084c7181d9b3eb4f42b93c1ac25ce2ba2b49178","0","0","0"
"ab62d9d5d986fdd8eba5ccd2ffc8cef9f58dca4d","0","0","0"
"299449a9826d5e81749697499ad22d14505b0cd3","0","0","0"
"3bed875c2d15e53774436434aa39b5a47e30075b","0","0","0"
"5c71e7b1671e5c22d34eda49084bcbd77f789fe5","0","0","0"
"9a5fb7fd17b044ee2eff97d3be27f2f4302b796b","0","0","0"
"b6b46e64e210c257c9d32160e62b2d4d0c89cf02","0","0","0"
"77aa0ab8615471ab68c5d44c58c6cc33140c04e9","0","0","0"
"a85da86cd565b257eee01a4ca1d7cd1372fdbeb0","0","0","0"
"5f84df0eafe5b45ac79cae2b7e4f11b1d4b16d67","0","0","0"
"a138d75af6b90e0f76776a7d40133317da38626a","0","0","0"
"2412b6487578eb093ced45e648ba23d0f71fa890","0","0","0"
"39ed7df10ebf37aa9641e888b01e19b5c490f30a","0","0","0"
"e5822834451f6d4b62a14de6d775b17a6e73d50d","0","0","0"
"d7db88ea29b72f6dbb4cee9b6f15919de6c7f985","0","0","0"
"6bea1883d3f0b335b333d9093a16934666d5ac43","0","0","0"
"9dac0fd6d8aa3ba19e60fd5e9c1768849834a78a","0","0","0"
"7ce8b710b33c7518e8f8dac1d2375ad4bba00795","0","1","1"
"0d3d32887a820c039e9f434ba7164012b9ab19dd","0","0","0"
"9af38b389495976678d1108b90cee450b472fa31","0","0","0"
"c81045acb2980320612cacd284a7bdc0a7cb30dc","0","0","0"
"558c7be1bd3c07173a53b6399df34a08d56a4d63","0","0","0"
"ca62b5bda8a2fb620a94903525cbd230279b09b1","0","0","0"
"e76eb7fec85e7f3cb747d50c2a6f24bd5566dbe7","0","0","0"
"8b301e0d23e3cf849be4ae2018b8679350d50779","0","0","0"
"5aa866fae0324df80d826bef9e6a80cd39c3c69a","0","1","1"
"d2ce09b5efdc9428d20867c22ce59e05ea6350e0","0","1","1"
"11b0b8d6fa4f2f9a658d5f2255851a8d57d807cb","0","1","1"
"e74f6466524823b5aaeb8f34215374a10f99bd62","0","1","1"
"17a4698df0bb255faecdd079d33d9228bcf9735f","0","1","1"
"b85382cb42e2796df29b10c23a75876f0f626613","0","1","1"
"eb7e38ee2774eb6651a2bb961cd86bb004e0dfac","0","0","0"
"6a55d5cf46027723a55d300fed815800cc76cc77","1","1","1"
"3700df87796c2798419fcfc99e10e3c24090129e","0","0","0"
"2d9849d782f0f2383e571374aa9e098dbb6ffd11","0","0","0"
"8b85c230079529d2b6e883f785f4c88345a6babc","0","0","0"
"4170c56cc0f3b59e1bfe54afbb231f482762d3fb","0","0","0"
"1e61448ec5440f3d08ec7f944d1c6010285cb98d","0","0","0"
"8b64173a000789ba677ceb35abe4e4772b40bed9","0","0","0"
"bf65e508831652d676309046c866c28c320a7ef3","0","0","0"
"7b059afa406ce59bc51eb7e191adc40e2be45a64","0","0","0"
"6f79baba84d28cf1fd2c7aa79d290aeeaae0224b","0","1","1"
"bee7aec4a2b54135d7cde8c36677cb9ae052ebbf","0","1","1"
"4d1a9ad5041c916325850499a7c7699c1e96463b","0","0","0"
"b5f0f143cc80d62ccbacc3e011f18c164b31b731","0","0","0"
"3b6d4247865ffa6b16e231b9cccd02ed2d84b4b1","0","0","0"
"87efe174d42f4022713ab3f8efdcf847ee75638b","0","1","1"
"2239640e418c0843adb1e6434866abe1437bc0ed","0","0","0"
"4d150af2b7821a9da15e1e993b5d081f1b28bba1","0","0","0"
"5df3ac397ca88a0349524a3f2ecadced04f5cd5f","0","1","1"
"4fdbc3415602a53cb6c7e6eecb8c1cb020844670","0","0","0"
"28a1d88d51f29c062d4140791c75d455e41eb30a","0","0","0"
"0cf8ae37c2e422333acd8888e89fa3393b48dcc5","0","0","0"
"f147c98c3bd5858e6f643a963f4efab325bd1ecb","0","0","0"
"44bb6bd5f22f23771ff8f43c03ffba7564128e4f","0","1","1"
"43fbe888a862463fff6dc738c4abb00c81d242dc","0","1","1"
"a6bab7c5e7f40804c805310759b8e86a2a370ec1","0","1","1"
"19bc56188081c82975fb2cd09369b1518729ead2","1","1","1"
"5c055b9ec8fc3809d76dd97b750e04bc4adff423","0","1","1"
"64e6374787f1e3ba977ca5f2d54171ecf02d8a5e","1","1","1"
"bffaf7518835ef835cf995ac7625722202c635d1","1","1","1"
"c75b0ab67a6449e6156afd7a0a1c6ed53139f6db","0","0","0"
"335d8b671146e3e75c1748105938656cf9e0eb50","0","0","0"
"1ade8e8fa0acdb7a184f377c81d740682be562db","0","0","0"
