"mergeID","isConflicting","existsCommonSlices","totalCommonSlices"
"5780f6e0d726d87b68e62f4dbde933ea802ca4fc","1","1","1"
"212f4b8162441e376bdbca488bb34e04ddd567a6","1","0","0"
"8d80aeb9b1d7636dda5669984e5aa4ada2e32a75","0","0","0"
"18a3a037e40310d6451ea14b96c949eed3a578af","0","0","0"
"2cf627d92b4faa57a9de4c34fc6de1ac4a35be2c","0","0","0"
"eec9397b3149d43c8cf961e036c917fd7f175939","0","0","0"
"c6a0ae187bb742348cdd572192b234e899d26d6b","0","0","0"
"e930067625748fb082dff3ad5d5110c825479ad0","0","0","0"
"7a9a3941215369fb6c37280479974498c6991b70","0","1","1"
"1dd74b90b9b506613263afb99fb691bbec93f3a1","0","0","0"
"df6bed354141f5c3c3eaa4c07d455e8daabadcdc","0","1","1"
"3ac8693358f1d6c603b641d0f092a5e3c80d9a05","1","0","0"
"95cbc4a52fd2c251af6beb5734b3a405d29e12f3","1","0","0"
"72526f3e1d600254103307cf0421088c61f71bd7","0","0","0"
"6b8a80c823789248829dde928700b4b1805ea430","0","0","0"
"c4b5b16e6fa7a914b3b3d7d9e254f20b8b8dc807","1","1","2"
"dd6eeb36eef82991331e86d374fe6f20fa0bd2bc","0","0","0"
"1b2897573ef39d7d3e8612924423506176dd6ef0","0","0","0"
"61b3890a3dcf5e161979487feef18417afc1341a","1","1","1"
"c4f40322ed04f8f582f9475b7451d1475389be44","1","1","1"
"3371a238b7afc7864a4f6838756bd314a2e598f4","0","0","0"
"1fbfcb2c10fab74a927fbf431689c1fe1baf2f27","0","0","0"
