"mergeID","isConflicting","existsCommonSlices","totalCommonSlices"
"911a2fa1f1829278584c96e67d89b37326d724bb","0","0","0"
"096a1956755fb25d5a253bf76bd8018fe6423147","0","0","0"
"92f3c3863b9170b260ad0ad820d9909f784a00fc","0","1","1"
"37c584314f19beb67923dffba54635ac34f2d1a7","0","0","0"
"0d19be6cccfa9a91490afcded26518367484e83e","0","0","0"
"95861a5434442f70b85531a5e561ea0cef854d4d","0","0","0"
"8120a33d6135c566983598c7888d340e4fcf7e2f","1","1","1"
"dff5b48ff35953d63515ee048437c8c147bcbe82","1","1","1"
"51095526b060ad761e746fb14dd12191dd6c70b1","1","1","1"
"c42b0d3d755ccecb7cf764534c2b36afb94f63ab","1","1","2"
"650f1d3c18da4a347a440311bea047cbd0415cb5","1","1","1"
"213861096b9adf1bdb0875cb6ca9106e098b46eb","1","1","1"
"10537acf88d5ed8abb059aaf0d63707ee994442e","0","0","0"
"75e0043500dd9c68ebc81d8477a6bb3ebe719521","0","0","0"
"ba6fa946ab78dd4706780418c56b84cdf36739ae","0","0","0"
"b10eb64eda940603414bf85c92046f07c916e781","0","0","0"
"e0d150024eb4ff92b35a06bfa9c702fbe3f80262","0","1","1"
"a7649c286fbfbe6fd0bf889953423661bf530448","0","0","0"
"1f5d5d841009676e7b6aa1aa3ac8ab9e99638473","0","0","0"
"6a20a180a6c91eb06ddf96a9417b6864ee4538cb","0","0","0"
"8148f89f2a3a3a5f865c97017b52317e7702b8dd","0","0","0"
"6913b536922478b817b70c8c4984e3324f04b769","0","0","0"
"b4c1f297256ec5441d663d81a4527573ab87bde2","0","1","1"
"79916ffd8f70d7fca662119666c459c763436ce7","0","1","1"
"09913a5777c35f74131940f07daf1fe716514a33","0","1","1"
"fb3189a24317ee7323ec5a655f82dc84c09dc1d2","0","1","1"
"bec01a130f08c30f477dbeb1605e568943fa94f3","0","1","2"
"d7385e6f710a70f21d3641463c5ff65bca29ece1","0","1","1"
"c5263a118948b98e574ef4e704d0548ce855b4c5","0","0","0"
"49ae8d1c0e45274fe062145d82111c02f9e56c68","0","0","0"
"b002e435975ff7511803151299476c51efa1113b","0","0","0"
"c43196d28927e22f7b4840cab520804db2ebd1fa","0","1","1"
"d72f976f58f41c7634ef79eb89ec0653832597f8","0","0","0"
"dc0bb786e9cc34b11777dfab58fe01f03ebcfeb2","0","0","0"
"6ddcee83394723c193f7ead139edade6cf2946dd","0","0","0"
"0187b012d1ebb7c1fc925176460028cff8c9e20a","0","0","0"
"2ce3ab99c86af6106b68f4b4f219cdb06209d9a2","0","0","0"
"c66d7236c6210f5104300c83d62dfe5389651782","0","0","0"
"134fb5bc2fb24e2988eee28dd08ec7d57701975e","0","0","0"
"4b6418487b582587574333fdd59f52ffc2bd5134","1","0","0"
"f41d0a8b7e3b4bb8469dd79d09f442c137bf6c6d","0","0","0"
"bc133e960ea28c55623e2a6ddc1a55a202e8f401","0","1","1"
"66e828fac9ff99cef2d56acf2357167aa314f6dc","1","1","1"
"5dc4a97b58297f9aa70d61cd450ad15b4355da41","0","0","0"
"ac0fa5bc0f66f0a859d98bf8b51690f8be899d90","0","1","1"
"fef78f5448a9ca939aefcb3eb397066f6df9bf58","1","0","0"
"f9912b7a2144e4f6b357c7afdb75d14f633085b6","0","0","0"
"9cb661abf57f059d4fe4a8816337e88fff18a286","0","0","0"
"788f9a113a9025e709f719a3c6422002a7abca9c","0","0","0"
"6a0da23cdb30096cdd7b40644f9949f821b25396","0","1","1"
"9308a1041d686c2125f4fbef61f6a4225ca0d1ac","0","0","0"
"6f0e62993ad4a64be04af950c4eef898ea663abd","1","1","1"
"f099b47ca7258595d87c71f8ec18401604dcef46","0","1","1"
"c0713ee4823d8995b6ad44314c6716200810c653","1","1","1"
"a44c0c1b4dcec35317bb69849b345e87657b753b","0","0","0"
"ac8ec2ac47aad8318726457a15bde4b7acbf98fc","0","0","0"
"1d250fd888f932034f11967bf70a6ae3a857a063","1","1","1"
"07ce7b382bcfb19447a76b3b637fd3626eb2d0ff","0","0","0"
"beb1cc6e3e55fa6d0ea9788e561c93ecb816e8bd","1","1","1"
"d807ec27b3ed869d414f727c330ea7140c137303","0","1","1"
"4b292650ead1d650c1b5ccdb1c4d996dd303a65a","0","1","1"
"c6e989fd7bc720210827927e3e444beadcf1f3ed","0","1","1"
"f49395f121cbcef4cc9eb6f60059472374ad278c","0","0","0"
"f65880a12ce24838183025de352053ef62cc266a","0","0","0"
"a655271c7e429b9d5af6a2dab875fbbf1679241b","1","1","1"
"cb1b439cfbeba30410aa82c1a46e41bac389cd29","0","0","0"
"8290a373434d89e0d3bf2a0975c3b6dc5d265ac4","0","0","0"
"6cd4e65f82f2a5e06bbc769fbf9fdf095f751b8f","0","0","0"
"f68dafaa51cbbb1d0708fce416d982a332461bc1","0","0","0"
"78293bb3914e109cef402ba3500e680613b94c35","0","0","0"
"207fb71ef150d0eb3660a9ad4042568a5de4933a","0","1","1"
"69bd208ddf823a55c7febdfe3ba1b9c3413c453e","0","0","0"
"4c02a2fe7459f3359e9b1087e214a608d9014a76","0","0","0"
"e7f33ef30e4ca489b760ce412dfa086b69a756a1","0","0","0"
"2ba0151ebfecd78955554a9cee156ff6da6b261a","0","0","0"
"1c1910800b29089d8ea5689953f1c20c4e4d1680","1","0","0"
"beb45cfa66fbba7cf67b9a7b295a5bc5a1d709fd","1","1","1"
"85a8062b6b2053bbbb0f2842f17595ae792b545d","0","0","0"
"e2e77996422e2862ffc5d2914cd300524478159c","0","0","0"
