"mergeID","isConflicting","existsCommonSlices","totalCommonSlices"
"5352f835ec0fc31e177edaa6324a4e62a7117b06","0","0","0"
"6e7530a7987176c4b96c44a5f6b26a7b5d997a0a","0","0","0"
"712e96dcf09f16d7b8198140c0dca444d8a651a9","1","1","4"
"b5de09f3caeb7ddc441c225d1e98e82fae081149","1","1","1"
"ecda87c59524cbe38288a43428fd7668c6efb8d0","0","0","0"
"7d0f9879d3de56251ecaf1924d2ca1c5edf7d58b","0","0","0"
"bb54fd9167b3572e86e75a860b394ca3b3def43f","1","1","2"
"e1dd59283cfc2cc8d8ffe3ccd556a5437f76ae71","0","0","0"
"686ee55822edc2aa6312b3de7191cc5cd6ae1477","0","1","2"
"f34335a0a18584a2b58f8a10211149da7c8b7055","0","0","0"
"7fe19e0a51bd2f0fb3d7f7322a312e1c647e010b","0","0","0"
"915eb28935cc7aa5e94ecf9cbd80ce5769f812a6","1","0","0"
"56847996be77371707773896371c5daae70bc51d","0","0","0"
"92416441c0e04a570e6297645c2cd0949942ffca","0","1","2"
"1259f40ec1077edfedf38a31708d485ecb7fb328","0","0","0"
"66ebb7a4569739e5355a552fcb2e1abe113cf2eb","0","0","0"
"fa515a9746d7497e7fc8d8ccad7bdeb7ed35a366","0","0","0"
"b58077c87e8c6ddce05333c3dffcd71d4cf4d4ba","0","0","0"
"4f3bba2638ca40769a2fe9941064de9c0f2266d2","0","0","0"
"9e93c0123fd5b091d568335d3e48304b55a9a823","0","0","0"
"d08b558c27f26953932c13f2c3ee53e4a6a12eed","0","0","0"
"e62164a2ac9c0c69d605985cfa87cc10340f3abc","0","0","0"
"f76e146c4e7b14efa5ced63ce1b17c605d02d779","0","0","0"
"525d949649a42d6088778e710ef784ba5d6ba1e8","0","0","0"
"fc3c5f1695582f085dddcf996a9d1c29a7afe2cd","0","0","0"
"4ebf82b756f740c8c532945e0bb7f517240b031a","0","1","3"
"e2c974b9ab64bb9e7ce456172eba12bd3c85092c","1","1","3"
"3557b7f49f8628664ec47ec9dd229859cce25ba9","1","1","3"
"6d3aa740f265b487d10290d2114c70c9f8497aaf","1","1","2"
"abd3e55dd1eaca054e5285ca474c5cba916f2118","0","0","0"
"7016ab9d1c217cdcec7effbfa718adbe8b0b5d11","1","0","0"
"bf09a060feeca61db355246b05558a02ec91daed","0","1","3"
"8d0cc0c7f858183347ce6e0143b9fb0a84df01e8","0","0","0"
"1c477966d7104d9d77bc452ee4d4f4203abb32bd","1","0","0"
"a537c8c884dd67271ee7105cb0580c813e95b246","0","0","0"
"8a4dc0fc246b6171743ba1d99cdbfc332d752a5d","0","1","1"
"5d05614717810b5c7fbc7e85383b8e66c2abfa79","1","0","0"
"313cc35c672b91c3aeed58b6d6f3de285e56a73a","0","0","0"
"fdf0ee6e23334b8a55c5aae31d92b810145647ef","1","0","0"
"0604a01b0b74fcbc9b873505f0afdb763e95f96e","0","0","0"
"678aa3ca3026a31154a6ec2a82109e1350581305","0","1","1"
"ddfe9ee3839eb49c7c7bd78aaccd2a022becc5db","0","0","0"
"7c057c9732d1a97763f35c908fa064d416a0472d","1","1","6"
"2dc11f183c0c7497be4749ba3c40227994219c15","0","0","0"
"fd42dfe0f92093a0d16e4c957742748cc741a3f4","0","0","0"
"e765a5e9644177a0a7775feaae7b5efac4c48925","0","0","0"
"e2b56044ce2983dbc0c01b8d938a45018f99ce3a","0","0","0"
"01bc881b60e50dde2a4599636519c0b55c388c31","0","0","0"
"9458de5a8c58986fd38f34d57762f51cc367a034","0","0","0"
"cd0a68d9ac2e59c004286ecff6c0185f9ad71e3e","0","1","2"
"60fa1bf7a612a690ffc748e2d73a1583ba704d7e","0","1","1"
"9e06a04f8cae42102d2d3dce29d7084bc1d18a56","1","1","2"
"a2e3e46ec93117f21f6c5738be340f07908649f8","0","1","1"
"6a63a071c60c2b59d9b7623f0e1954994e155f57","1","1","1"
"405e9e7b14b39edb38e0e0e811f637ff0773fec2","1","1","2"
"13382fdd5a304a612a9e9824d6ae0dc38d1f35a1","1","1","2"
"de04013c212f2cc166355b4b936ee8b035df715e","0","1","2"
