"mergeID","isConflicting","existsCommonSlices","totalCommonSlices"
"1029e50b4923c7991fd116673e18d6b464f4929e","0","0","0"
"2854ddd2089d1fefb56dc85d568182ced04d5fd0","0","0","0"
"e426536751b727c10f7c1de3b9fa5fc2eb9b746f","0","0","0"
"df17637e5bec0dded983d02d358878e12b9a28c2","1","0","0"
"720097d648ac0646e4dbb0e7707f1ae0c08559db","0","1","1"
"f6216cfe230d76e6b8e9bb21918d9bb2a1caf617","0","0","0"
"3553dd2331b6ce1b15ec78503a7a42c64c38ca3e","1","1","1"
"569d7cfff428c2b85010dad0511f26e74645fe65","1","0","0"
"359b4349465e259b6eb5f470460e4e8933322176","0","0","0"
"7acf81218976205873f07fe42f6660b3683fcab9","0","1","1"
"16276bb5bb722d7878ca601ecfd2210717c2d4a3","0","0","0"
"b34b47e4bebbd04ec6b292001d5a34b3253c738d","0","0","0"
"1339a8d1267bc097409be436fbf3039598221b1a","0","0","0"
"dfe9f0437cf915b8de1dfd20f0547cea91f37871","0","1","1"
"9970a1ec3aa047ac117e317b97396b340db7d265","0","1","4"
"8130888512cd74f4437d146614234471a700fc26","0","0","0"
"cb5dbd41da0314e1882c1df8bd1dfb1ae8aff154","0","1","1"
"09d9c39c924c7e243a77863cb19c428734860c61","0","0","0"
"ec51d5843a56071dc39c2be5309bb905a8809cf0","0","1","3"
"4f79f99d80a4d6fc6c4936f3310b6aed89af997c","1","1","6"
"91418b6e696d822c155ba2179fee969a38fa69d7","1","1","7"
"e34d0de6a6aacfc39f980b026cd3f70e1c680c01","1","1","8"
"bb9900d086c3f35ce855d72b30efd56921452196","0","0","0"
"f996c0fc73d24dcb8242b5266ffc2b834cf9cb08","0","0","0"
"b5b0954991705442e98a4073ffe50cd43dd92ddf","1","1","1"
"60e9740fa84fadbeb62901697b51a7fd48f082d8","0","0","0"
"2c2cfd47df399a9aee19bcbbab9968003e4a838f","0","0","0"
"9ac10c5cfa63e54898ee42e8ad55a4187b257736","1","1","1"
"c7a5d536f361d56c75cb079c3d6dda8b929b83e7","0","0","0"
"747ae3c564b64dbe4e2a6e547008d8818dd38499","0","0","0"
"8979e1010e85c5e52aa5bd4b34825af27d6f6a9f","0","1","1"
"59dd308777f0f9f82ca5284aa8f5d73a4455125b","0","0","0"
