"mergeID","isConflicting","existsCommonSlices","totalCommonSlices"
"08ef141ffd732a24a8ee2537592af11eb454d05d","0","0","0"
"4dba88ea9374b811f1c482db5ffefb581212256e","1","0","0"
"93956cfd4278add3f756ef36f7528580364d6a11","1","0","0"
"384d1c706f5e14a5aa1d3b5c9470fcd0ced0014d","0","0","0"
"dfea6beacaa2d26eeba56b4f6dbba96e12fd695b","0","1","1"
"3f0e6d52fab4bef78a9872c576057e20f0223041","0","0","0"
"cba19de4bb17449c64eef9a34661356e3065e100","0","1","1"
"0ca6ef17965c0fa2e4ef90a2629e92f05735c780","1","1","1"
"0afd970c4c8478167e381a84b93a8c41be89ec09","1","0","0"
"18481957b3eccccc08331bf814e234cd294003d8","0","0","0"
"0bf7d458f772eb77c5a029f953eb970a1fd0cd0c","0","0","0"
"0b007f2359a3b1527108b58f89ef1e262beccdb3","0","0","0"
"b496751ab370622443879631033b89bde9c80c8f","0","0","0"
"112e55fc7a49a0b5878765f178e838f96d78929c","0","1","1"
"afe6ff844c9ef869feb03ab05570fe2f4b8efad8","0","0","0"
"170ab1e4db3fb107a92064474e00c667e9bba18e","0","0","0"
"a99ce1ea70b2da1b0a9eefaf1e882c7c60cfa144","0","1","1"
"66dafc8c377d74ab60740125e2f534f4884a5fb2","0","1","1"
"96518180456d190c3617d9449d401c695c2ee933","1","0","0"
"1636f684f43907670ab621a0ac9c0c3bace62558","0","1","1"
"b7265b29c63a0d5af6cf9b1693aee9cad39f2fdc","0","1","1"
"de435f3d834d3d8d220b63e1a87ef0bfe2fe195b","0","1","1"
"f502424ba57d940590f946c6c594c40cbecbf48b","0","1","1"
"e90601908d92967083a73e83eebf2978649f8dce","0","0","0"
"4a4f789994ef1ab8688ea9796dc5c9441245cf06","0","1","1"
"8e9d5171afec805f005c68bf83ae984e1b8e8a1d","1","0","0"
"174330822d1efb189947ff7679eca56414b6d4de","0","0","0"
"3becd5b00a94b8f22470bdf54385a487dbb9ab81","1","0","0"
"26ebed6041283758b5935c8fac3c852bf3ce32cc","0","0","0"
"fe484baad0a21139068850923910afe0805b401a","0","0","0"
"98e36533a18d52c4d63e6832a11ba70f62d93dbe","0","1","1"
"0b3aa2d56c155eb2e212c543033e802ef6ea1a8f","0","1","1"
