"mergeID","isConflicting","existsCommonSlices","totalCommonSlices"
"f3caf744b4cb5cbaa510421259ac0d7b3a415950","0","0","0"
"3f1500c241fbb62ee53972e4c615286c6530c75b","0","0","0"
"c7e372badbe6bac1ffd7f8283c14712f63fb6925","0","1","1"
"7a9367fd4bab0062442d66f9d5044a9fe7ea9655","0","1","1"
"ba624d44c116947065d7deed48e8274bfd3c2725","0","0","0"
"8d03b13f692b91e20ec0332d47b79db4977b76b3","0","0","0"
"ec532bfc39540216ffbfef9fbb249150a4f3cac0","0","0","0"
"246404028595dfcb216b7792a45c4e83a74d525c","0","1","1"
"ee744f1abfa295b524690620eab1863ae48d389c","0","0","0"
"e0c45e9c7e06734711be8bafb81df4a6262c936b","0","1","1"
"8be67d9d12e8f80b2439256901aa40deae7ada37","0","0","0"
"5406afc3ab39e3c5425aa492a0b4bb0e3c4d5962","0","1","2"
"39279fa3fcbb4f63db513bcbb394a0a44371bc25","0","0","0"
"c8f4503f779671ee681965a30e6d620fddd27fa2","1","0","0"
"28e5555d7e4e29f089afe2dbe336caae32a35aee","1","0","0"
"dbe9c0450fe3e7423b971bd3123891731b4509ef","0","0","0"
"b106007b91e57ad99f751c6f0542bc2f61f1e48b","0","0","0"
"460de59784c9c0db06757200bcabc32654e923bb","0","0","0"
"612ac2041d86585bc6faf08711bd2c9fd224d41f","0","0","0"
"bae71e1febf45526dff4dbb3681d2be1ce57aeeb","0","0","0"
"9c3e338df01e8969bd888b0815f425d15d2a2c09","0","0","0"
"580a1aebbe3f42ca9f463709544d333e80210c13","0","1","2"
"c485656ebd7cee0ec765425e5c673c2025064ec8","0","0","0"
"c85fa1c49eb9b69732ad587a75e5250554d94ee0","0","0","0"
"b7e097a09484fe08fed91db96b595ccbeab8ce9b","0","1","1"
"ddba9218f07c917e376d4bb9aaa2de673a28b47d","0","0","0"
"1ae6109baef8e022ab973498f359c382c1ad5e48","0","0","0"
"26c8376849f63294e779a96386695561aafc011c","0","0","0"
"3d50540ef56f994ca56564c31bae9bdb3e3e1546","0","0","0"
"17871bf9282ad2d751503fb02171265f22e2c3c9","0","0","0"
"c3e9d626dec755b606289a3a4b7ba409f7b70aaa","0","0","0"
"4d595e5b1f4e7112bdcec221fce4b06f57cf776d","0","0","0"
"045d3423dd445d26fc398d4ce75f3d5ce0297009","0","0","0"
"435acea0fcbc436a69a53eaf7fcb2ef9204529d7","0","0","0"
"fee519d2a0b30eec68f8e01ad1e83e7c51a3b094","1","0","0"
"f01447d6abc73ed0a0ca2150e97888b48d915e84","1","1","2"
"cac0f32b9c67b1259eb4eb08a411b0fb45af23bd","0","0","0"
"3d5c4c8dc18b78f0e4e32484945afc1bd715413e","0","0","0"
"e2e8ae01abe78ec0ef31f651a84cd7f502e38188","0","0","0"
"cc3a6dc33c9d4f452716fac1799ac940fe0e6811","0","0","0"
"8cf847f60897e7868211511792b1951c282dc326","0","0","0"
"db8a5ea177360b2072bf56954de65f39ed470c60","0","1","1"
"b435c4dc0470232ce5a9281a47b828a2df834b24","0","1","1"
"f4572d90e1edce54540d247e26db7e60d57752e1","0","1","1"
"4212c66672476ed06557745d24b81e9333520240","0","0","0"
"e893a97f8be78c626309dd6f58beef1d7ce58cae","0","0","0"
"19ea02dc298547359ed73eab0a708dd6bdbd7c81","0","0","0"
"81577aee46b57ccbfc73fc0029c98ee65a278bcb","0","0","0"
"20e0e40b80bb52c9deabfffe445837602d406124","0","0","0"
"98c675ce8889483db653cc7cc12c855d3fc45132","0","0","0"
"70dfcad931bac37d056e9a27633ac57a33bed768","0","0","0"
"a5e1e77c6d241dc5ddecc136a02185fac3821468","1","1","1"
"a9d2fe9273fd68cabdf693973dbbb3270dcac61a","0","0","0"
"879f223ef306b5d3890925f970f1a138922e0aaf","0","0","0"
"d0f1a817a8b881d08de6766168514dec44bf2cd8","0","0","0"
"8d1ff66c6c0e003006166f6098cc39f09e3ff5fa","0","0","0"
"b797973f4d13f9c9a279466765a0cd62f0872a76","0","0","0"
"7544b81c53195963972cdff44d577cd423920b1b","1","1","2"
"56088afb5121c3835cea94fd5c9362645c376725","0","1","1"
"417ee8871d49b5062e53ddca8fcf14b66b3ff517","0","0","0"
"5079bb1f4f166053d89dfe251dae4ca3b0b9e509","1","1","2"
"253e22824939e7a8840636dfdbc5682d054561f4","1","0","0"
"89ba948dacd21dc0c1ae84127477f60681e8f186","1","1","1"
"df7813d45d11b3592885db13199768e9f569100f","0","1","4"
"b91e3f1a2a19fdbccf95b0689496004a9b060d53","0","0","0"
"2bc635207d996c4667f05a9d883105f507c5f2d1","0","0","0"
"4089ef9fed688e6bed8344177040c9a84e71b1d3","0","0","0"
"27f29c767c2b7687cc84b71667a4e2e2b415ba6a","0","0","0"
"4c5bdbda2f699fe0380f0491f852ba1fa1313713","0","0","0"
"50bcce6fa3a6df6938777d10338b5d0a0f85d086","0","0","0"
"0ff1130a149b3c8f6860c2f35bda6e0d4defe41c","0","1","1"
"4b94718f9fcd6347057910e9df1bf74becf8cf27","0","0","0"
"c7a31ee2463823edd8184c22eb8e7739e49fe238","0","0","0"
"71852db6ef217e617a1fd617d72aab1f87b64158","0","0","0"
"c392937acdd381d47314d0efcba186a86d2899cc","0","0","0"
"82a629f2fa626a14ce3f4c04c3651471907e55d4","0","0","0"
"fc1b157d214e087b876de0c9fbe0b744a334fff7","0","0","0"
"a4cabc8837ba7bb0d41eecd35a2f711042d9f7d7","0","0","0"
"65aa4cda99bbfd8181fd151d78a8e07dadf6387a","0","1","1"
"795ef78f9d09b877203daea9acbbd8a84b41aa5a","0","1","1"
"3b65152270f707a6cc5456c7f0f3b5031de28967","1","1","1"
"8752718ff00b392bf3589d3841c311b22b95bc96","0","0","0"
"bcb470c84d0fee2d9139d8cad82d580e0a8704ff","0","1","1"
"e792289b8b1ffc23e8128de8e5af2ff44103b4f9","0","1","1"
"b5ce6bb638eacfbffbc474f68b63c1db234d0e96","0","0","0"
"2b826501bbdbffadfad8a4b5c82bb7b9facc0122","0","0","0"
"8c48e3e449436f13c39633f35e1cb8f110d4ff0b","0","1","1"
"48733b29171743117ebd87fb81130503d53628cd","0","0","0"
