"mergeID","isConflicting","existsCommonSlices","totalCommonSlices"
"4d6dc895d6d11a319013c3203373ed8933d27926","0","1","1"
"051c17953d1b9b8ec87c6cbfbe1a3fe80a10a807","0","0","0"
"a72f367ad7c1fb6e95b4d7e342d066781b0455f6","0","0","0"
"f11992bd910c8da4732d284973cd864f4a95215a","0","1","1"
"e21f7c14dbdf1b50f0bd40a9bb2513362f3fc57d","0","0","0"
"058783755df7b03415841f87b0e9a46ac2f8d021","0","0","0"
"7d8df00195272f8622396a1032a3851e565ee8e4","0","0","0"
"18c8892a74a3e5f13c125e3f3e3fc05a90db76bf","0","1","1"
"f34d09a4650a76c53aeaa587bebb44f664d709d4","0","0","0"
"e79af4c301eeaf49ee2401783faee169f99b829e","0","0","0"
"40bd313ac4730dc495e37eed381f2c9e2072b1f1","0","0","0"
"0674a03fb60dc349c99206caa4add90f489927a8","0","1","1"
"ddcb6153654a2c056beaa150715c310596ee8240","0","0","0"
"0079e107fa933449a080c57a912a8bfd1d78111e","0","0","0"
"1cfe887631bf924ce694e2a9a678b810fe37b7c6","0","0","0"
"ff42b7b4a2c642ced4bd6dc3663b69188994c0bb","0","0","0"
"8e285a0e29ed06be62218a2e30878c62c5f465d7","0","0","0"
"63afefdf888afc29b342ee1dcdab2dbd6c142da6","0","1","1"
"0bb2dae5f6c067f88f5ffe4ff7976708bbb9caa6","0","0","0"
"507aa7c641fc3f0d60a3e5db0b35445301ac7fdd","0","0","0"
"2bd6fed904eb62c66d8620df4aa939d7d5f2561a","0","0","0"
"25972825bf11d36842e69413e98aab4300a36ad0","0","0","0"
"ee38d82ba002648cb74e3b730664df9cf9654548","0","0","0"
"87b0dc3ae3eb01cf324dfe3b7e35953eacf187a0","0","0","0"
"7c2118204525d7eed4a559c6537d0c1f12ca4e19","0","0","0"
"521927ae3583c16d77d207c08b93fb040c6a8e61","0","0","0"
"28dc153d879b8c9cde5f9b3660a9b36d03329466","0","0","0"
"f63f5975443688f2d9233973e1b54e07c897f5fa","0","0","0"
"e4bc01533b5a3ca948df5249b802501265c7c811","0","0","0"
"fe6ae4b3d16091096b6f01d3c73e96dd94ac29c9","0","0","0"
"9d4697d5ccb76a36be6ab711b8d27e02bdfdd7c5","0","1","1"
"05a25a6baf3c1f558cb02a902aa26d348e95db2c","0","1","1"
"b4cba9c8d9a84995ada4178ad63f765ba1338480","0","1","1"
"36a17d79f9d08c9e7ad07b33536f51f554e00703","0","0","0"
"19c6e97ce75bdd46a5cd93ab47c0046fec90c0ef","0","0","0"
"9b982b33796f9bf45b67fa3ec0f23dff02b0c33e","0","1","1"
"5673efe131a9d2c8f30953f6e49bea5af7fd6618","0","0","0"
"2e09d5f1e7b60befbf897f4d6a1b166e090118a0","0","1","1"
"638f7522dd4f0783e8691a0d40f819fc755cab8c","0","0","0"
"ca7e84173513d195a4122ec979780df5951f4a95","0","0","0"
"d61d4320057ccd83455e6b7b138cbc487d3ba04d","0","0","0"
"a860bec0a78a46688f9eb6c701bad2eb2241d6c8","0","1","1"
"1cc9abc2dbdd6c72b699ae033276e117d7d9d12d","0","1","3"
"80fdafad45bfc5bf840320cf5b882ca311a15f60","0","0","0"
"5d40f5ad664a5b386a0e7e41c3d482946597a552","0","0","0"
