"mergeID","isConflicting","existsCommonSlices","totalCommonSlices"
"a75db86ff52243f5abbfa7bcd4adddf2fa30d2a8","0","0","0"
"7a6bfe311db02c7ee7bb4963941a2ad89fd2a18a","1","1","1"
"34fa5f43808b3a0dfa9514d1e05498e4605c8863","0","1","1"
"7a7960f5c75314b9fd821ce6a5e69e274328fa4c","0","1","1"
"195360c8a08fd8e2714ec30901e70612fd7c79aa","1","1","1"
"e1d3504d90609ffd0a0805489cfb9620420e7bb0","0","0","0"
"a86a4943ea4b43a16a365944b2c751d1751b39f7","0","1","1"
"8314413fdfc9171948a91c608f1fce8a2bbf270e","0","0","0"
"641c6471dc781aa6acb8d4f8c63be228dd36bb81","0","0","0"
"079e08feb7221694ade3f4175d77feffdb850888","0","1","1"
"2ac751b0988cba76aeddda9e9d14ea5a764a51cc","1","1","4"
"54e3cb2aca26da5c5a795d343f5e36919af5cd22","0","1","1"
"d6dd19a0931fb127af655ba082409d06542b0268","0","0","0"
"0c7cbb64649559dd36e1a169e2b9c5ae4aed2940","1","1","1"
"91d6b8893f22102b7671bfff17508336e6859cdc","1","1","4"
"207b23462270db054d6c227b0b1abcdb4471a25f","1","1","4"
"afdec085546ce129467cce5b7f31554f8464faf3","0","1","1"
"b8e88f8150e84926a068bb9b4cf13e8acda464e5","1","1","2"
"8ccfb5870117f197cb6b35acc2e796f74c43dbeb","1","1","1"
"f0a85fc85d7c08560032d75917587763a892c3d9","1","1","1"
"a909895c76a2f5e927542dffdcf8a0b86241d144","0","0","0"
"e8371d63ecc9dddc9d1dc6eb4fe6292cad6dd23c","0","0","0"
"e9a71a095ee7a1994adc31018bd4c5230ccc856e","0","0","0"
"0991e907031cd9cc0850045536399b303a92a364","0","1","4"
"9492142ac48e007566771ee6230e2e08fc70ee52","0","0","0"
"c0f71dee71a43b93e67797f96f5cf311ae8a4820","1","1","1"
"f883aa56c8f235d0cef283b49e8d2dfc98666e9d","0","0","0"
"bb05ddd80080efeec33a82409a81d1d144dad1f0","0","0","0"
"53a306a1f29cda9dbc1aded8da7ba9e3ad1e1e04","0","0","0"
"434adfc9bd7fa4c040fc73d7f9f447f149a00e12","1","0","0"
"799b2734a5684cd1ab2d171d6f49ea562fe159f9","1","1","1"
"dbdea684a98214e723f7baf5a4d22f2c191c01ed","0","0","0"
"56fe0015177e2783e324399febcd4ef48eeafa08","0","0","0"
"ef540e2875388244034f9208fd465363f556a97a","0","0","0"
"1c5668b384dc0eebf72e48ed34c25b3e248e4954","0","0","0"
"a3f0374cd61069b48dbe7078352835dd7b69f5de","1","1","1"
"c15a59a7dce17a9353eea1091ba5c2e7509b1ce0","0","1","1"
"2b7255e9e19be5bae9b9710a9dd3678dbb7f1f64","1","0","0"
"50996b36cb7e9394692b57ce9b4872d06792c6b5","1","1","1"
"7a00d6faec3e51343b73c9d1101c3ddba7ca280c","0","0","0"
"0078cb6fea416a29c13701e4e21d91b05c1b5e63","0","0","0"
"079d2a3f46a20ef4d87de4c478d50f9d5da96ed9","0","1","1"
"23b089c67438c739995dd9974908962a37a43270","0","0","0"
"50f0d227e5c93f67818ce7d00144cc6696fc645b","0","1","1"
"579e4eae9bb432df5c50b22705b390ec4f831e5b","0","0","0"
"fe0173631347f19c9d63d5c6fc88aeec12acd439","0","0","0"
"75c6db01b84d34d2b3c586490f892109183948b9","1","0","0"
"11f958b3267c5a0d2140d5b9ec4e21184ac26a2e","0","1","1"
"ba028899558a92c825bae848186827f1405d258c","1","1","1"
"c16d762e45945beec3b63e7c9a1f21082c35d569","0","0","0"
"7436e0cb546e015888a072988f9b72577503e396","0","0","0"
"eee840b470573383ed7e645afdfc3cb497ececf1","0","0","0"
"547726b9a28056e5b8e1d0bb4d1f1c7c630adb9e","1","0","0"
"44bf38b06de94d2a536551dd2b8f6f52e9098a03","0","0","0"
"fd2c015015819d8ea58e730b52d8e36e520c1c93","0","1","1"
"3ae0ed2669bdbc4d9c03de897a01f5a7441bfc64","1","0","0"
"98362f577d0d5ac30d1422c54a1f85d32a662847","1","0","0"
"5331e2858f2f5e73a3cfe1a571978dec4fb0395b","0","0","0"
"2d1d80460137422c8d7db071683b061b18a0ec07","0","0","0"
"fcf266fdb099692ed292be163e7ac49ed96c066a","0","1","1"
"a680d18fa9681062079495971069fbc665bfdcd5","0","0","0"
"acbe9e189785223d46a84fdf18966ff9b5b6cd3a","0","1","1"
"14e4e75165032344685ed829b6de0259c63dfeb8","0","1","1"
"e16f14f23d1a9a84e23ca5ec18c6f1bc53ba7c1d","0","0","0"
"d9ce4047fcb460ab4e3462cc150e0d24967747ed","0","1","1"
"78a8b37c7c1e1d5c9c4e9f3f1a8bdc6701cf1698","0","1","1"
"d1c4714877070d1fb61f8188118844a09a17a19f","0","0","0"
"6439ef864420388edab5876a8ff96e65aeb1eb4b","0","0","0"
"316a41e168abd275f9513fd980e6f457477380b2","0","0","0"
"b4075709bc2383ff0d52e12fc221a2d31cb44ad4","0","0","0"
"aca7994c8103b57baef18ba9b798c0e62ebfc652","0","0","0"
"320a0f909b2256f837d826c69d6e2d60312e5260","0","0","0"
"ad3dbdb0533bcbc90dbec62cd3fd4caa8ad6a605","1","0","0"
"18f9e466d0aab2127ebc2a975e96637c98dd8e8f","1","1","2"
"b755c556e2e23ad6ab22963962e2eca8f1860f86","0","0","0"
"438ed8494148b8474f2b872e9c0f5755b8feb94a","0","0","0"
"51ce4df9f39b492a9959cd49f38d51c7db1dc4d8","0","0","0"
"4d909a61d91eda27782c6942d619d339f63685f6","1","0","0"
"ba7c78bc96bd4e0c1b6466c7e1fdc3cb1980b213","0","0","0"
"6561893b0dc97cba2aa4236a15b37400c8becde9","0","0","0"
"6bdb1285c68dbcc02c3273c132ce43779fa65b4f","1","1","2"
"c646f8ba94e542120f835844e915c527cb2e067f","1","1","1"
"220d555bec94faf3b0cdc47705ef64ae5819f6fa","0","0","0"
"329c1472b2e3e7ddb55d92e17246b0a782aa016d","0","0","0"
"228ade96379a41efaaf699c869477c68d067e459","0","1","1"
"402c2f09c6d31a185cf74bd1079aefdc5aa2f815","0","1","6"
"21918101f6dd47d92a8833b5231eb3085d6335ff","0","0","0"
"1c3dd6dced4cd6add6ae62762bc7f634fc4a3869","0","1","1"
"b530eb19c826770e49f79d5223db3ae063569879","1","1","6"
"2d327a445a41374ee99f85a53cd0a111866a62fc","0","0","0"
"fff7f98bfd8916ad35a2de835acfc85d201d3bee","0","0","0"
"ac4972f85f11f1b4a214d8332d7bb5a6c94074f4","0","0","0"
"164b248ee079adf0c48ee227c6079e91f37a430a","0","0","0"
"fef7bbf90c7ac39617c24079620d31f8bd667b63","0","0","0"
"1f0ca3e8447d1a21e2fd18d8b115dfff8a19252c","0","1","1"
"eefc2209ac3f121d069515412bb0390f4730357c","0","0","0"
"9c3d9afd2608fbd7462c186600d15f276005db8e","0","0","0"
"48935547082de46101624d4553124ec5af6b80f7","1","1","1"
"cddfe977fc38da44ad95a93a0544f8ec5daabf93","0","0","0"
"1c6d1cd495517159449fbd239fd8a95e96d913eb","1","1","2"
