"mergeID","isConflicting","existsCommonSlices","totalCommonSlices"
"5272232873c0f53944dadec6329998f122fc5242","0","0","0"
"4d4aec06f1ef9df2b68938a14e26115d38a596af","1","1","1"
"9d6e2b61c3088363f0f33f89c8e0ef016738ac52","1","1","2"
"ab7dbeb85649b7bd9d8cf1cc99a51a6dde200f70","1","1","1"
"25b644b225e911468b6438a4d6607d7e007e1ecd","0","1","2"
"2a8ea60a7fe07fdeaab7bb754e86e36270cb88b2","1","1","1"
"b68dea9d45c226b1f7be0323e30e954f82898bf8","0","0","0"
"3c7e5401058f60fccb6d38e4357e1e5e06f3a3e2","0","0","0"
"bba885f7c40104cfcb0af4310044284b63055957","0","0","0"
"fdc47a7527261e88ea892026baece59f868f8a94","0","1","1"
"40c722a4710a4d8b61535cc4dfc1c4c8e0d15966","0","0","0"
"6dd3cda78381fd2e9b3a2ef995cb962b2f7b205b","1","0","0"
"7c80a370eaa732c5c1646d06d7a516395a166486","0","0","0"
"b831c781416c6eb3c0a8907d39fa3ee6635ae13c","0","0","0"
"c8aba9b3b88f0b448d9dfacb7653fda81e3bbbed","0","0","0"
"f337501328838c444e75ecc456f3cd1c9f62a8be","1","0","0"
"8260999860f39460e39739c2a65c06299c8c4f1a","0","0","0"
"6798a1e2c823b9bb3dacd04ded832b3b202e592a","0","0","0"
"513b78b9dc914ace2baa97bf7ae102dadc6bd9ae","0","0","0"
"155d5ab54e2112d75ab10da2c8804574559cc842","1","0","0"
"1b001c1d79a0568f99982003c797fb37c976e7b6","0","0","0"
"6153506bd87b962128637232fffdd9c5bdcb6dea","1","1","1"
"e397b47625847a176f98e407f604d97d8fbf1abe","1","1","1"
"7e939a323789ea46ae99af0ec09e14344559bdee","1","1","1"
"4547952546deac15ba6baf9043f913465a2cb2a7","0","0","0"
"5f1c4fa2c391e380d34df76bffaea1dea468e514","0","0","0"
"cb31879d0de507707ec9dfa8d96e131da95868a0","0","0","0"
"76cba160990b78e7e03cbf12e0773772b01565a1","0","1","2"
"f2ed1a9dc5e20ac2772954ff662da9f4a61309ff","0","0","0"
"0714d9b2cd7fcbaaf3a4c60e4b215a288d646792","0","0","0"
"0491620def71f2919de0e4e0b4aaf56d4c65ee85","0","0","0"
