"mergeID","isConflicting","existsCommonSlices","totalCommonSlices"
"8bf2cb69e2351848ee61e177c2b42276ba0e5a97","0","0","0"
"0b7ae06b6b2d32fac895b81506bbfb2cf64ccb38","0","0","0"
"eb4b2ac437d3d481485083b715e9a11683737ff1","0","0","0"
"a771c6276211a16de83c2bf02dd64ca351b9cfbe","0","0","0"
"104009d44e9db58d1a4ff86873643fbce61d1a3a","0","0","0"
"f7ac6a3bed92a988b1eba9481c2ffc0ae78a5b70","0","0","0"
"f893c88c5d5fcea96a5b8a89466f2e8a1861c2fb","0","0","0"
"d653e78d5e5349f04f4b121aece007a0f4cc8723","0","0","0"
"c78705d5d9cdb6ffe5b35715b5072f7c82583e3d","0","0","0"
"3a03a053d2300be8aae5f8590bef728bc167ebaa","0","1","1"
"d3c1273a41a2add933c7a2b9e961f8d783aa430a","1","1","2"
"0df205f52e386a3b302555e1e854201fe8a976f3","0","0","0"
"806d70ee918d1159feaedb2201189ea072af4874","0","0","0"
"e81d22930286597f9101b74790d26a584a1600a7","0","0","0"
"014c8171a305b2b55a700535d599de8b43e09dd4","0","0","0"
"2585e8f68071051d6b41f1b42e71dc6b0a1c1c9f","0","0","0"
"4306ac26a5f5a7b983d6bed2a0d5845eb9f7ecfb","0","0","0"
"71ea46be3afd2fa197a6c621b4afc68a44a3cdd8","0","0","0"
"13b463f1d387c54388b879618bb1e4b3f0dc391f","0","0","0"
"0106528687fbac9381de7eac78937bb55ca3b022","0","0","0"
"507717f8f6940826fee5a541b3ff8e1a5d178ddc","0","0","0"
"323c4d2260a259c95ac80312aea1cd522cef3463","0","0","0"
"ae480ef52a8d8e7accc0ab69847d0b5caa0653f5","0","0","0"
"bf6b6b837fca62c6bc2ba08a376aaf2cf6ebe2b8","1","1","4"
"cdddb5f54f09aac9bc6f7651e5daf44c0958a6c7","0","0","0"
"8d74a61cfbce02171ddf08b5bbe4862fc80c3a7d","0","0","0"
"82bb27916dd43c463cb984e73e4106c147687949","0","1","2"
"ddf83e12dabe16742d541819a7892a3e0f6ab53f","0","1","1"
"8ccd27539efcd1be647fde5536a5a90729d537a7","1","1","2"
"793a6926220538c0132810b4e81cd01ca470ba93","1","1","4"
"24a8365814d4108049973ec5dc3f5f9d75e9d8bc","0","1","1"
"aac508fe9a2a17e3d9ebd027f9d6bb742028fe36","0","1","1"
"dad856a660324da4d5128d1c9c97aa823e5db9fa","0","0","0"
"d13288752e03e6e56eeedb9c4c223207f59b363a","0","0","0"
"5aef56475b27508a4e2c4bf8fe54ae22c137b5e8","0","0","0"
"976d01f5fd33657b3eb641e3a4c7ae5ebe1f8b03","0","0","0"
"cdbde7d6c68b767c2297aa7955e9639eff036147","1","0","0"
"3c8ad95667fc08ee79fd3544c9404aa05e1974c5","1","0","0"
"77b53fe5e3bed342369419c5ccdf385f85f7d409","1","0","0"
"7a62bd12414ee907950c35dc16bdc46c3ea71006","0","0","0"
"bf4a7b6c9facd8f3b9b6da398ab5886afc32c72f","0","1","1"
"91fdbb0711b23effc41a21e6baca46ac987cc69e","0","0","0"
"358e93eb372fc2979a34c06a14a03c2c2f6f1d9c","0","1","1"
"fe85014e5bf80571a6b326ee41489fd0d1ad806c","0","0","0"
"d4fc8235f1514c0a8feb5ab17e7bfbb6b1d997c9","0","1","1"
"9af4aae8f0b560d23bd0b033f64c2a90f971bc79","0","0","0"
"e3bd7ce152e45644e5c0d1d1a47fbf95431a8597","0","0","0"
"7001ebb4833e6128fb8e63126aa945250f9d6964","0","1","1"
"b08af50b8cf6454489255ce8e017b34b8bd7f367","0","1","1"
"1f56676e9e588867af4ba408b8c2168d08823614","0","0","0"
"1893136503dd8efa625d4c9abe14b9841d66fd7a","1","0","0"
"5c8c7b334dc477f5454c6b1bb77a23030c5a9a9d","0","0","0"
"d3e1ab109d3c66e01f86940f15b08fb32fc38601","0","0","0"
"60f2433bb74f5a2ecd2a1ea10a5f03d469979111","1","1","1"
"d5fa153536522d4644f7fcbd2f07d63f6c8e079a","0","0","0"
"febdd690983a24a866789d9ec7ef1aa223f3782e","0","0","0"
"da348831dd9cfa585e50bfcc94c9972facfc4f1f","0","0","0"
"672be6a468c8311d7fcfd0615543287cee55567f","1","1","1"
"642de62c3aec76454a1c3ae496d36339f6064078","1","0","0"
"f2a461159c3d0b44221f28de4f117389a8ca661e","0","1","1"
"94e12fc968446f6f87acba3bdd2dbff6875ed31d","0","0","0"
"c03860713d2c82f6f4e206ea5ed750c96889fa20","0","0","0"
"251ff21c2a085e1f957b98b9b5c7b5f627f0e2ee","0","0","0"
"57ffbef4bc20452ff11b2ac933790c6a16c724cc","0","1","3"
"eda66bf9bd42e3405af8bbbee193bb814f41d69b","0","0","0"
"c79f1990f316a64c04df10f74d48c40f64bb17ae","0","0","0"
"f94566029fb7b85b73047d7565e7cb778da293c4","0","0","0"
"f61e22c0d20196de24ca2142ad04727d6e36489e","0","1","1"
"13287837ea4f1bad1ec4d9be5200ea7bc5f940ba","0","0","0"
"da7de7115a828a27caa3b775164cf6a8c2d37705","0","0","0"
"e9c87a76f7ad74041a52d6a48bf81e4732c7897a","1","1","1"
"c107a0e17a98d00aa639f84b590765814dcb5514","0","1","1"
"13592c0d8b73fb440208b713524a40ff1e429bfd","0","0","0"
"0d05ba3701e36760d7097386195b8560605dfe9e","0","1","1"
"66000c43b4f8b59399102fa032d0668895748b23","0","1","1"
"69b691134047b740204bc41c331dcdd1daa5c08a","0","0","0"
"b32621a52139510af2e4e10182bd09424573be7f","0","0","0"
"b83d2934a444a3a893309017c1710274db33f907","0","0","0"
"83d9984277387e8278be8f327238faa744b7112f","0","1","1"
"a26e666984581046de7943959f58ce9c4f49816b","0","0","0"
"e3a41c8dd44d74d0478b2d739be900bcdf444c4f","0","0","0"
"eaacab938593d916c3330cd1a8ccfc28646cf051","0","0","0"
"5eb81bd2007867693afcdf2542bd1d0dae12dfbf","0","1","1"
"c2bb6549a6072925517d76e081aa18eaa3e4dd2b","0","1","1"
"13779be6489e7f7fbdf8c2ef923b5b0c613d3a3a","0","1","1"
"693532d0afbf66cca6f7dbad0f5ff17d01d6cee6","0","1","1"
"075680fda9504c3e7bbe5a9766455fe0a759a7b1","0","0","0"
"d61ccc8c3d8e2e1d64b89559a136e957fd2e9fec","0","0","0"
"a5206361a190a539a7b313c6fac75b93c9887801","0","0","0"
"a84de6484614ae60c3106acb241fe7c9b620b4f9","0","0","0"
"6589a0953089254c864dd7b95bfc64d702edc27f","0","0","0"
"f5f3d52d462e57efd6c6f2bed13cbb07afdea5bf","0","0","0"
"a67506d95b1fc9ecd9608ac7e29dd5837e9f9ada","1","1","2"
"90504b04b795ef64785b2bc1573c2a3efe7e08a7","0","0","0"
"601484a837001aab73ff927155b8f41e842c3615","0","0","0"
"7b26643af4267ff80438dc324a109ae14b1c7e34","0","0","0"
"2a7ebe83bb8d505c77c4e374e4fa8118848ac09d","1","1","1"
"d33c5c773cf4be48d6b0b75d8f0aa3f9c3cd8ab2","1","1","1"
"5b2ae2e18c73ed50d75e2301766e89ebfee54a2e","1","1","1"
"e40523f543b4004438fca807c572e0ae32af6897","0","0","0"
"8fa798a08d38d5a0757f285316cc249ac56ea6f9","0","1","1"
"7291c0dc2d166f228fbba4bdecb21499e7062982","0","0","0"
"bc6fdae907e0c4f937fbf109ba02d4dfd1bcea62","0","0","0"
"43fa3e89b8005704d6c3f9b3f9f4f58f3beddeeb","0","1","1"
"7dada5e6790b2df403f6948f3d08994d2fba5b60","0","0","0"
"b6e48a4437e45798309c62da1381e943bd3c5c8d","1","1","1"
"e0762233aae280444fbced06b2b23d16f2eddee2","0","0","0"
"bdd2d10b783c78135bf330353bbedfa89c81441c","1","1","1"
"19e62cab9c5420b2c698faa4ab86eef05dfd3a52","0","0","0"
"483b354e9cb9711810ba3568b0a6a2687c91be5a","0","0","0"
"cb3e6158d1ab6ac6ce596ff882592c912c8f7894","0","1","1"
"a93163deca57842ff7b59fde2277b7d558efcd71","0","1","1"
"f8830fb72f9b015263f357557a219e633561ae7f","1","0","0"
"67c17207d27df6f3c2e3bb073ea7c04cebd16de7","0","0","0"
"566ba05e59e647ac480d91531c940a01c5f544b4","0","0","0"
"54d7312635a9a3ab1202f97a4b9a5a7d014324fe","0","0","0"
