"mergeID","isConflicting","existsCommonSlices","totalCommonSlices"
"f50eafa56058cc694eb9324c950dd02e097f25e5","0","0","0"
"09c044291447ed64e624787240398cf6926d435e","0","0","0"
"d77a42cd54fec3499e398ac03f6acf8687b79b52","1","1","3"
"12e7d819f0bbda7cea0fa63bd6f030ba6d9e3ae1","0","1","4"
"b9744c36f0a2afd3474f4ee13681f3a927cdab55","1","0","0"
"d5c8d974bf329b58f1b1467fee0a00aebed9bd91","0","1","1"
"b13cf1705ed4e52c9ad727d7ed7e10bece211c30","0","1","1"
"08b67f3c8635850d2a9782d354bfea67f4044123","1","1","1"
"c58b62c78ecab2d10b3a0bc9d2feddf399bd70df","0","0","0"
"40927b01b85a55afc716fb9196de4053ba7355f0","0","0","0"
"81523627c136c50803ca4d0cca6c184522af1664","0","0","0"
"58d5fc5c1d4722cceb6c46a4d82a385de1a3e30f","0","0","0"
"a03c07382bbee00a6d058c3511a50720a42bf32b","0","0","0"
"6eefd635892a11bb53315db248c756ca59873568","0","0","0"
"152e3845ba1426c09dc7e20abfa107a6144e396c","0","0","0"
"a0b46792916ca315b29653192f3b2484e5c88d52","1","1","2"
"6a64936f1c8f9c7bbcbd8660f77e2722b274c582","1","1","1"
"ca16548096f9dd6a8391db090211631612c6a4cd","0","1","1"
"abbb9a56786496abb49da4c97fcafc559e6a6666","0","0","0"
"91cc70adfc16ed3a2abecefb3164c829ea9f4622","1","1","1"
"77977600da9ca5afd11cab9f4d5267420ca3a3e6","0","0","0"
"c08a21063ba692c274bc90225c1a71000cb529d1","0","0","0"
"996a088710b92290002e0aa169ecd7ba90802b45","0","0","0"
"4e057642892d5bb5a909fed1ad3b2fd1c6a20f04","0","1","1"
"3db41a11716871d52bae737d5973a965b46d6389","0","1","1"
"eb174fe4797f4a323bc989918b9e7db8b6c59bb3","0","0","0"
"e78801231dc25092267a401e35f9dfaa02676158","0","1","1"
"a113c2cff05ffd1a27c6031d85f3e3f76e3cbfc0","0","0","0"
"6e1783fd4a81d55d61e89dc80a2ec304d20ed0bc","0","1","1"
"d40a22aac9bdbeee763c047813864b86b939955e","0","0","0"
"8c88fa79c978950a823128a40d795926cf86c99a","0","1","2"
"1d9efd837ce87d76dd797b58c16d987056b9a693","0","1","2"
"35a930cc123eba7d9d2421894c8210329f36edff","0","1","1"
"95597e0ac72069d5e05d849b5065ac4e730ddc55","0","0","0"
"8123a6d76b03c327c8b5feb2e30da631a74d0b5a","1","1","4"
"b9a481317107371fbf788af1ade8c029368ae589","0","1","2"
"80d3cdc1a60057e14edcb8b2b4d698e146e5148a","1","1","4"
"d96a723f2a7354e8b7f2f0b23f4524da167bacef","1","1","2"
"4af2020440f3b1b51a832e9f321d416a29b1e3f4","1","1","1"
"5cb8e9d0d74b82cf521453c03bebe55982897be8","1","1","2"
"31e4090050336babc0e0a4c9ca1f484e64112a7f","0","1","3"
"aa9a4aaaaa01d496ed95ec3aa16fe21f2e44f8a1","1","0","0"
"22e220b56076001bd55555b46c490f5222af9719","1","0","0"
"a2d5ef71f8416bff500bd70c7a6e4df5abbfcd65","0","1","1"
"501a2b405e14a5fce001017f06f31a0ec138a691","1","1","5"
"5f039456ef6a9ef30d4ebac6cdf14615e06ebf6d","1","1","4"
"52a7b3f81ce024d1cf0695ba8a3c54b96dcf1894","0","1","2"
"312c150c70c2575e37d5a242c4f3a304c6a9122a","1","0","0"
"dbb20ff18afe81b8831a3e6fe5343972d053a541","0","0","0"
"df124e1debe3e5accf8807607856143331a719e2","0","0","0"
"9ac3e638535413fc46662fac1b0eb05073087a17","1","0","0"
"5656c310e54ea7ec7b8edc8cd6645f9afa44bfb2","0","0","0"
"ffd60ea859764d40c46eb19133ec21d74edfb7fc","0","0","0"
"3ddae9a11f332247554484a9b65752d39ff5bcab","0","0","0"
"1305027315e974ac4fb807ce31a76dedef00b2c4","0","0","0"
"9880bad92a6ed93a9352fa758567d1e55e3083bb","0","0","0"
"5c13f3bc540f1a5ca0b536bcf7e3f75cbb9a8d7f","0","0","0"
"8aae86d2736877eb8e51909b0c3d540ba2ee0d96","0","0","0"
"1a8096852be1e484f7ffae6d4e89676fa86999ea","0","0","0"
"edc8060bfe95a883c1d4d0fb912d85141529373d","0","1","1"
"8b7edebae514214cc8522147c30b56c61a063a2d","0","0","0"
"360c0be0f2452b97330a9c3d042509c14651d1cc","0","0","0"
"5f64ccdcdaa9d416ea662789f8fd82b4910a8b3d","0","0","0"
"586a5eec065b33f419c3e6ae9fde9cdc37c2f155","0","0","0"
"3850a854ed0cd9c3e361facdf677a29994e62371","0","0","0"
"04753e9ec28a78d9624f2805ae85570b428e971c","1","1","1"
"7dafec846a28bf11c78713051e2e741034cf54bc","0","0","0"
"d5829a4c2e9e651b8180eaef951334cff9f7cbd3","1","0","0"
"02484c9a9dea5983e2fc71d25a2004a78e8a1366","1","1","2"
"b77be9b88c8832f9d4ff5551e9998d0e8ed43645","1","1","2"
"513bc2794b9f62e04fd81b1b76b79a1ab6657319","0","1","1"
"4b3df870802ba91586aaa0a9a54ef44768807162","1","0","0"
"1097184a2ec6398fbad54bd08133e1158901e53d","0","1","2"
"4779d5e08fbbda973cfc6673f4702694e19e3ac9","0","0","0"
"edc01d0b3853f4bc647da18dbe889d4f20a3e7d4","0","0","0"
"953e3eeaffe222a03aa307e2d2c754d32c577ca3","0","0","0"
"fb631465a274e96ab0782341223c56c3eb349fec","0","0","0"
"750ed6cdc5f6f8cffe77f8955f449d373a8161aa","0","0","0"
"b58f25432a96eac7e3d8a2f7ca3eeb5d36e661b9","1","0","0"
"712e416b6a5c4a32ae17693d57540743044867c4","0","0","0"
"0e47231b560bc56f60a3cab784c57a5cf970cce3","0","0","0"
"8741e435db5623bee8abfd843966d69a6a3e615d","0","0","0"
"819940ccd24d0bab2d54af1bfaecf1256909a613","0","0","0"
"ed8b03462df1195d3b8411b1320c3f07abc038f9","0","1","1"
"1a8c7ef9b02501d5cca299f271a78426827879bc","0","1","1"
"4b055d2a383f2fd43e08b6e61dd785b476e65eaa","0","0","0"
