"mergeID","isConflicting","existsCommonSlices","totalCommonSlices"
"15372c45281f9147418395421e467db1b2954d75","0","0","0"
"7ee79816ffc0f2433df412e87024061e794736e3","0","1","1"
"284f1acd28abab4005f6388d095e9cd1cc2f52a0","1","1","1"
"20c73690f9c960ed40ca5269f5153e4fc4ac118a","0","0","0"
"098bb13f543c47e652442e65c1402eb563ba99b8","0","0","0"
"e4c6e00b782270f1153955898e2485d5d3871baa","0","0","0"
"f3033ac8efb0f22b7e1d2c9425b9b0c27c5b9edb","0","0","0"
"e262afeeb2eeb479a8c76850644db3572220cccc","0","0","0"
"623e90144ef032ca9026293b8581d759a6749b92","0","0","0"
"2afd3354cb37f4a2021827ce43e5a4f696713a04","0","0","0"
"fd03aed89740b4afe0d2ae67f37b706d0de921c5","0","0","0"
"478896185b0feb41ac328742f3527531c35f2cad","0","1","1"
"aa50252c19b28969e3bc217e70bed6a2f16d3a78","0","0","0"
"41a870e17ae5e574d65c512affa441c70ad411f2","0","1","1"
"e36ec5e981e24cf84bbad049d5ac6ecdf0e2c92b","0","1","1"
"690efcf9364da291d62e9b83e192907c4e815fa4","0","0","0"
"2c876c3f03bcad10afd19f7a361ea18aadb773c2","0","0","0"
"2772ec18227b04b3cb618748a2900a7b93b84d94","0","1","1"
"8287d5f07b353de28b36faaacd93c904939aeae2","0","0","0"
"0c6a707f1fe7e48db2d77aeea82fdfbace2abcf7","0","1","1"
"db61693a5f04b6a1ac7b55aa4df5ac733ef38be3","0","0","0"
"88b5ceddad8a57de03e429efae67b6e20eac6508","0","0","0"
