"mergeID","isConflicting","existsCommonSlices","totalCommonSlices"
"ef0e5fcd3ae8766360eb4af783dd74f4c3c9cb8a","0","0","0"
"6b05e400d7c92c06466e8b7cf5d1e8c148601b93","0","0","0"
"641125977f8ea3ba6b3732901b1fc8a0abf6c7d3","0","1","1"
"c45a47461ff5c2e5488641984b7a479a9bcdb05b","0","0","0"
"f8ee93695e65053d7e7a3d5e28260759ba35a335","0","0","0"
"6959d039d8fb57be49161674efc7c2dde7974911","0","0","0"
"e22c187c0644260526a983b6b4c4ea4382447107","0","0","0"
"bd044b97dec622d9d32a17463087f1a252ca23e8","0","0","0"
"780af7349b9d6db892c811b6a3c39b7febae0c3a","0","0","0"
"8d61c160489e1c17e956153ad06b1966c46e41d5","0","0","0"
"34721a6efb9539eaac94f7b29491b94f5aab43cc","0","0","0"
"454b8e2675e452f2b251af4bde16edc6a4cec5ee","0","1","1"
"eedef4d671c12a1be2822178cbe6893303c99858","0","0","0"
"581445878e1fddba8c23a28b1e219e16f7c2d885","0","0","0"
"17da77e1bca55bf994d7521885122117abf224e6","0","1","1"
"0abf8a2ac0951ac81dd934a1da9ce9f75ebb5b90","0","0","0"
"0613c19c80c27835cae5cede5769fd482df82385","0","0","0"
"a2a0095013aa88991c4c9e0b8d1f114df8817c27","0","0","0"
"ae1e35bafa6f1f0ab892a09dfc1f7ffcc06fb073","0","0","0"
"a7ab35ea70c66114ba882d94c8140cf63931352c","0","0","0"
"88be0dee8f32b47904fcba712a3447fc8df21400","0","1","1"
"81ccd7ce76a4415ecf5ad08f3b13499cf5aadb03","0","0","0"
"6aa87f63c7bb6374a87134c4219a13ea1bbf4e75","0","0","0"
"35cf48ef3b327566815f73af306f84f485fbdbd3","0","1","1"
"a827e967a63ec937648b1f83085bd381b25b4982","0","0","0"
"a8f7c8c783190290718fa1e512434d2d62d64e1b","0","0","0"
"5d2c167ac2af61776aabcfb0c08664fefa22ef73","1","1","2"
"6422be7b0e511b776f213ee616adf9eea10280aa","0","0","0"
"c634a5b2a114bce15bbfa7c26cd261661364d6c4","0","0","0"
"4e28ae16959ac625f80176d07dc9497e90c029ff","0","1","1"
"1c3c88d9235b6dbc623143606a37cb3d1436cd7b","0","0","0"
"19b2773edbd8bb5fba77a99960bd5c08d022c2d2","0","0","0"
"c0325b4c1e51f80228619d6b7e9cc6b5872dbe77","0","0","0"
"7baf79b4aa68c6b874f29c8566f16fb79816ec13","0","0","0"
"1f05c97bd13925ce02cdde7db16111eefd6a0eaa","0","1","2"
"14a9e7c30d68c49a0791070f809228d5427384c1","0","0","0"
"2b758ba361069bdfc83a158dd7a0ebbaddef0607","0","0","0"
"de298c7499a114ef56fce64d2469b1c51581cb9e","0","0","0"
"8b981231b416dc4a812f5f3c8c17e9dcdb6955c2","0","0","0"
"4b7d8eec39ae307b973f96d96216ac45c6a66fdd","0","0","0"
"b2e568b17f1842bf033671e54433697b9783b117","0","0","0"
"07493f6b8f21facd57a53eec9a415b2d560ab7f3","0","0","0"
"0a9d6dc1417a8cd80ad76eca5db5923f6d58dbd2","0","1","2"
"802df5e6d0d799219d5c4b68781a75a1646a25cd","0","0","0"
"dbd155d9f03e930ae52cc04f579ac61e807b5862","0","0","0"
"6f752d21c721dc6f45811d6300d2499b472a5059","0","0","0"
"bee67ccddd02847f18fa87d916b20531cd5f2377","0","0","0"
"bc5303f718fa8269c1196009b68cf474aa59e318","0","0","0"
"114bd116e8ea22c9d518be2b2e42dc9430d952db","0","0","0"
"a70a37c5766b53487c3b1e464f9889df97a89826","0","0","0"
"4ddd953fa1f15ef42bd02dd0b23fcd54ecea2e69","0","0","0"
"201f19449271165ef4d2f370e420724aaede29ac","0","0","0"
"3e9b056e84902b357e21ef99f5ecd488dfbb763c","0","0","0"
"578a28998b905a057f3d8c1e9f7d15d12a702f82","1","1","1"
"bb05f6a9484c8fe723ba482fc833b294228c4ed8","0","1","1"
"73558d1c38b99041d2ff24b472e166f0e18cd769","0","0","0"
"5e3939ddeb290e22cebbcdaa24ae3ab0916a6379","0","0","0"
"df2ef48932f7b850b3464b07833a2e87f8545aba","0","0","0"
"eade72f6122f2f641022cae947a3bf653887bee4","0","0","0"
"c501d9ef29baef09258a36e9dd0b60b5fb06aef5","0","0","0"
