"mergeID","isConflicting","existsCommonSlices","totalCommonSlices"
"728d49b2be24c2b5c31f02045560786668bb0079","0","0","0"
"fa6bb48d8673bccfb4f07f2ebb99d293b6deefd8","0","0","0"
"00b9b79b0b3658d0de04d2240511357d9e1a7438","0","1","1"
"df275adb00edf4bba63381584e876664da65d6e5","0","0","0"
"2a58d74c6ed0f7614cb675edfc1aaa611ac0f75d","0","0","0"
"0ecced626547bf8cef2e7948f57035b5198582c5","1","1","1"
"4176ec6525fe1707d8c2ea4a803a379747007454","0","0","0"
"c4919716ccf59eb7200e00fc016f87dc5adf9941","0","1","1"
"513b173bbe7eb407ba08f9cb271aab5bb12d6625","1","0","0"
"3f6a7e420aa47c48f61a957959458639fde203c1","1","0","0"
"573bd7f366dea3187ed1ede27ba704c4358eb24d","0","1","1"
"bbca4f3f73a51bf0560e3a69614b2f731f18db96","1","1","1"
"7548bb509398c0955b3b65a83be2cb7f718d2d86","0","0","0"
"d87e8bd08f2a9a97ce5bde6a6da4e5c9f37386d7","0","0","0"
"d48c966c422c7c41afa24cfed3a6beda75d25963","0","0","0"
"3c45d0e1735d1c5d35d752b0ac821b8e7a63c553","1","1","1"
"d77ae75215fe8e4900ba1861eceb7f52bb88d9a8","1","0","0"
"3dfa4a71dc757216b879abd08420e3b5be819226","1","1","1"
"4b51d94aa86b9ac5903b0e2cbd05a8499eba8ee7","0","0","0"
"816134cfe0bbbf60bc06f7c4fdc09347773f8307","0","0","0"
"8676008fd6e7fc372b94cc83bc4f94395a6bc89c","0","0","0"
"e161c2eb8870c5bc061d1f725f154c7c51aa54c6","0","0","0"
"ef19ee1a23092d9d1d2473d3bd2f182155fdb94c","0","0","0"
"12aa22f71533da430e552e32e3a038a4ff6baa6c","0","0","0"
"eab3a9031e34d5ccf8a7609b3c4544584823ef83","0","0","0"
"b5f531f0ba9968bf8b95aad661b6f376eb9eb170","1","0","0"
"4e957b44079f6014f862d7612d5b729eba0645f4","0","0","0"
"6a03b789ea060d661cf74bd1109370e4444f84c6","0","1","1"
"d65873e7f7af67722e13369f8beafeb1e3ae71b1","0","0","0"
"bf0920b05fdb6a29b4e37e46ef059c6c60e5e1b2","0","1","1"
"dc67e970b787e5562b38a395f630b44b9c19b212","1","1","2"
"ab930d5a648bdb0ef591795998a1446d8ff2ac9d","1","1","4"
"24bdbf10f0046a9aa8a0641a24f73aa80229e73b","0","0","0"
"68910bc4be3584856dee2bde7c4f565e374baf0c","0","0","0"
"f1ca11d69984c4f9a56077bf19445fd938fb893b","0","1","1"
"65e124a16f8a46610e5c390d5395119a5bd5543e","0","0","0"
"6042a44886150613442fca7c58b041b284e3cf3f","0","0","0"
"88b41b1c769beaaaaae996227eedaf9177d9e77c","0","0","0"
"4328bd05e2d7ac6c57aa880f63d479dfd083d60e","1","0","0"
"4131a812fd8cb7c4e3a1e7d6835613b3908c293b","1","1","5"
"6884fdc711f985c84fbb0ad7df000155924edf18","0","0","0"
"9dad7f2bfd0c4ce38d96c1c9615a5aa0a060183f","1","1","1"
"d5151c23122d9b2ab090d71a002296b7fec2176a","1","1","1"
"da907bb8e8549b30b6055fe60510a893a7eef5d8","1","1","2"
"b954a2ccd8430e08563a9355074f413405803051","1","0","0"
"d24fc5d57060878da7bcde5840e4ba326354d59c","1","1","1"
"f18f18109eded4d3df3045d30ad1cfee4f0f3ce8","0","1","1"
"f1fb686f69eee847f7b8c0721a4e621456d4d812","0","0","0"
"cba5277c2b04cbe534f9baa29e0e0be61d97e2c0","0","0","0"
"aaabf554d9743ae34b769a07d1799c51387a814c","0","0","0"
"f226817be0d0c6585bc4a9a233e1a17d45094805","0","0","0"
"29471bafa2564fb84f92238ea88203204ffc0f98","0","1","1"
"0f25535ea7183766dbcbf63a459fa6372890bd5f","1","0","0"
"9ddb8dc48ef571c405f1c1271665e696a690d048","1","0","0"
"8dfc95f075304f3cf8e37fdeaaad612e6cc8025a","0","0","0"
"0c9fff35476585a60930d419e8f2b4c80d21e620","0","1","3"
"0ad96f532a991ead1dc1c46d3a9a1320a0db0811","1","0","0"
"ea48e12e87fb3bf0323957cb590fb85cc03b1829","1","0","0"
"d229d6527b712674b89ea07dc6b9ebf3cb0fdb3e","0","0","0"
"dd97aec027fb9e28c8161fc884429c6019a5ef43","1","1","1"
"39e333a607a04b0c209c5af860c2895949791003","1","0","0"
"1ebb449dcdf76b3fa7db9442d7d3d801f488c34f","1","0","0"
"6331c8754b613eaca3ddb4437b289292c0315bd7","1","1","5"
"97589bbb086c5590ce8865342479d3dae3ae3a6e","1","1","1"
"79ef1804f373245ec2c8f31a69d114370b3f77f4","0","1","1"
"8130bd99fac6eb248c7351c2ee60459296dc40eb","0","1","1"
"11b158b4774f9ed5d87881bcd303cf7730720caf","1","1","12"
"68117f418d15421ea718b4287f4ce46d7194858e","1","1","7"
"331b4e5914ef8f7ac70a1566a4382be98cf3df6b","0","0","0"
"1a7938d14ae91780d24adfa0f63858864dfe3c34","0","0","0"
"01a081ff9130b677a88a8516b81dd544954e78db","0","0","0"
"2955a0309c2ae909fcdf1603ea5cdff93e29b11d","0","0","0"
"f7dd303b2a9cc67322612fadb43771eb6c87d8dd","0","0","0"
