"mergeID","isConflicting","existsCommonSlices","totalCommonSlices"
"a0688c1ab41496f96f90fa31cdd83c292901634c","0","0","0"
"a612d63342b4d9525ad5677c5b7943c29630edd4","0","0","0"
"d7f40a6a004c0ca416ccedb2f5d3f14d6a7bdf13","0","0","0"
"27604f9247490650467f7fba70e67a622814155b","1","0","0"
"72d3bd25ff2de006c61c90ba7f0da0739f5e4689","0","0","0"
"1fccba8678134472970a84482028fb1b91c85e4f","0","0","0"
"21dd7b8f629d627b81aa5b2c5430942bfd82a3d1","0","0","0"
"6dac3c714f605811ed6ccc1092e2323fac34e67c","0","0","0"
"bd54cb173f223adc5e94d9ab6c43c27ab10d0dce","0","0","0"
"a1b5a162b9d64591ee6d5450be13f665658242fa","0","0","0"
"2bac27bf13655451afcf6b0c9a97f530e9ff40a3","0","0","0"
"8043eef19d7cd3711dde854c6fce54de50a3df0c","0","1","1"
"4a137fe17e6e7ce184c6a7b9931f058d9e6067db","1","1","1"
"cc5da2bf475371f38a93374ffe142c749ed9a24b","0","0","0"
"96aed888014f38138adce12d7feeb7714d56b63d","0","0","0"
"2311191b964e15fdfcabfe7fa51cd599226a88cd","0","1","1"
"9eb9aedeedd8e2f50bf65a341b3d632444b7f94f","0","0","0"
"91e5fc2d329cbddc79bdb5cbeabd43ad31d21759","0","0","0"
"080ea37c46bf0490a3c34a670a46946127121631","0","0","0"
"60fcb4a0e98502c9f721660efce3446fcc5123bf","0","0","0"
"14b7f4686378f806b29acaecf688924f230b2bd2","0","0","0"
"e88f7eb6d2a8335a13097c63d84a62a16d60dae8","0","0","0"
"1a866422f02953021471c7421c094c4c2eaf374a","0","0","0"
"a4ce7cc05ea9861cab1d20408eb35964cde81555","0","1","2"
"aa6b3f825136ad367aa8db79b590798ded427dd1","0","0","0"
"0866630528e8f28c4f539c957d92cfede1e6b16e","0","0","0"
"800b4b8dc7ed12d7a556148eb2cc1fb18cc0480c","0","0","0"
"d3d8fd666f6978527212fa94a480315133f79357","0","1","1"
"feca6497e4706d19ade9a7a3ba4e2ed0f347d94a","1","0","0"
"9812dc5c103764100bc27d90563ca39760483c47","0","0","0"
"27cdbe4ebe247dfb040742aa3f00d33fa46540d2","0","1","1"
"2ce1fc543ae88e1fdf082658c8f15fe7126bcd29","0","0","0"
"82f9c62413a3870ea2cefe342c1f7733d69bfcaf","1","1","4"
"f571f42c349def90997141bd019312cb12746c5a","0","0","0"
"520283f3741d66d2acb748da49b0e5da5bc6cb5c","1","1","1"
"baf6a91b3de56e25ac64a38ae6c4095f13dec849","0","0","0"
"bb5dbb0ec0a3936ed1896a82d41d6ae5317864a6","0","0","0"
"dce0e92f00be54b97b97b80ea0787eb8adbf22a4","1","1","3"
"aac4f42e0f6f007fc946d41d1bd5d3926f17a4ab","0","0","0"
"7f5ddca6511a58350f6e61f95bf49d7b7e1e0596","0","0","0"
"4504575ceeb77d42ba03aefd2d5dae2d12579983","0","0","0"
"7ee23d80ebb7b1b680a15d1804fb2f64ea54d9a2","0","0","0"
"aa728a27907b4c85c76f3df4eb50559f12b87c5a","0","0","0"
"8689f80f682691ffc502c692a6eb51dcc8fd97b6","1","0","0"
"9b2c5ddfdda3f3fae76327c0bdf317b4bc0e12c0","0","0","0"
"b4c6ec7b43b6b952c945fae1e8fb4a105c8715e6","0","1","2"
"5c73f7ce8ecb1e09b946c09b89087168d4ea44b5","0","0","0"
"b295a89abf17a8b4fd87a6ce24ad4cdfe7abea46","1","1","2"
"727ee834294cc400e3cdeab4992f5cf6d37bc3a6","0","0","0"
"615b26faa84347bc59200f04c5fa4478027f259e","1","0","0"
"53e32fdc1937c44e64834d08dbd8a395fec8ee36","1","0","0"
"fbff5d72d4bf71db3a77f6bbd22e410d6acbfced","0","0","0"
"016fd30455b405f48fbe63dc199e8acdce249806","1","1","1"
"f7c7903cae6ed89117fa095ae797250fdb2354ce","1","1","4"
"21773eaa8acd211a85ae0fa21bea07739a684b48","0","0","0"
"637038ab599ca10d0f494d39dfb7fc8dc8fdf569","0","1","1"
"48a5df3871d2ff05d92fae4ebfc3ff67d2993bf7","0","0","0"
"ca10403bacdb721ab5839c014cca703ba738023f","0","1","4"
"f02314a9c30df27828a1f51378deabc1890ccb11","0","0","0"
"8ebbd13b4c273632a4f56a53ec12e338b15f0f0f","0","0","0"
"d8337a97c9bf3f7a2966f395edbe8b919291b844","0","0","0"
"8be07b676a40d57f9def8d1cd8d29c58758e8f41","1","1","3"
"664747485b635eb16b0a0203cd466a8bc847a139","0","0","0"
"c74dcc28ee1390536f1ca1b04d787774883e1729","0","0","0"
"faa558aad41680966fbc36a265dea5a0cc51b28a","0","0","0"
"1c759c9f79eefdb862a81c75450b244282a4076a","0","0","0"
"9a7ea98679cc563008ed2582c1c86bddfbbc6007","0","0","0"
"db3eb15a24f43ac0661d29c2735c755002c05871","0","0","0"
"01c9e0ac49093b74916c51c28b707dbabe358c3c","0","0","0"
"a1c9355842543ffdd4b8ad074caca7a9ba5ac548","1","0","0"
"bd598d978014088fa5c6056981859f95d03fb514","0","0","0"
"6eeb6bbbeb0e2bfd63f3675680153e40c00a5cf1","0","0","0"
"5b9b5446097a935cb9379eaecd92bf18cf4eb08f","1","0","0"
"e8d5ce2d0834670e61ac78ba0b250463fd91bb98","1","0","0"
