"mergeID","isConflicting","existsCommonSlices","totalCommonSlices"
"0c47a459c98116f2656978292b471a206c3f7e94","1","0","0"
"f003752ec078efb7785b5b985ff2158b73f22223","1","0","0"
"c76ee3df287a7c0e89cdd879bac46a971ee07ea3","1","1","2"
"3407473ba652a126e50698ca6e27fe6b4c7a3556","1","0","0"
"03f51a6153c91c528af7a0b25fca7a40a31b4b52","0","0","0"
"0e5e9d0b3b0b6a5f014b831b7940baeded8244e2","0","1","1"
"108f48771dd087ec142f3e5b4c3e1e0df5e3893e","0","0","0"
"46ae9f3b5eb86dc02843d74d9906d075ffe5ba70","0","1","1"
"502dfc39df7e164929d5fdbb00a4017b3775a5eb","0","1","1"
"b577816bb5a5bf36b05b2287115effcae2df8677","0","0","0"
"31e26c95838d567f9bbae7787660d55b73ce8b01","0","0","0"
"4820980dd77cc12d31e0adb502aa098058f3450b","0","0","0"
"f80d1ecfd49f2f5fa42a29fa8f8f954beab7f3e1","0","0","0"
"7b03bb4c8a77d51e694c1993fdbdd1c67f8d71d8","1","0","0"
"48ffb42951ee6a5eac3ce65fb6f8adebc236fc8d","0","0","0"
"4244acb20a7fdf1adda04ef003f8696383960b82","1","0","0"
"62b29c7840849efd474312c0f7187f8fc8076cda","1","1","1"
"2f9e80cb488a2cf6397c960803bb61488e5338de","0","0","0"
"16c7e628dfdc7fdcacab7f4c74c8068e643c9e94","1","1","1"
"eff1ea33ed0161f1e507c912300afc70b05fceda","0","0","0"
"7bbb6f995f664e9eb3c2576e72e7c74a4f47fde4","0","0","0"
"c89a2bd4e796df99f8f7b9e2b7e211d2f1963227","0","0","0"
"3c1b5301979f85d9bfbeeca34b13f840dbe8e627","1","1","1"
"6c15cb08361453f564b2cd80e00208e0a073777c","0","0","0"
"ea92d1a3e0199ce2e8ef978091e4b17e77ead5ae","0","0","0"
"3d1a9ac07c52658770f7a5c4ba77ed22bb69cc61","0","0","0"
"d46eb5886e785ae966d5d86a3a889f8ae5b72b69","0","0","0"
"a6451ed76eb5fb8c5e50243ef563199cba94f7b2","0","0","0"
"c67a26093af2cc975ca77a0f692e0edb061f8725","0","0","0"
"fadb3fa8102930c174ac1550c93406ec99935b7f","0","0","0"
"968e49e19b7ddde881fb044adc9cf5b206ec8ecf","0","0","0"
"0c6e6484e472fe9219a64642e2471e93ccd9255e","0","0","0"
"b6893088217bed1339845b451b5c10cb3e431b80","0","0","0"
"5688c08b744b7596c9ecb6037731cab841842f96","0","0","0"
"b4f87645742d0278954585d417c7d3fea76ca814","1","0","0"
"4022aaff073969b86fed28c04238a85dd21203e1","0","0","0"
"4fd4087936368e8f201305c5e4983fd85163bb01","1","0","0"
"c1cd7c629658a0f7af4b916155f34f8bb7a4df5a","0","0","0"
"c9ee76adffc9dee1798e77de73a773a87bd34852","0","0","0"
"6e4e193bc14f382d157c48dae4b781716b5f82d3","0","0","0"
"0bf74013e0fa0d4e743e48826c613d5eabc20265","0","1","1"
"5cbe3da7e0ee81f48fc9fd483a64dde382a71b88","0","1","1"
"71324e7de767ea61634d919e9e5bdad220038063","0","1","1"
"d9c710bef898e7f528e08da01c0d19f254b8698c","0","0","0"
"c32bc14acfeb9d700496e8a9ee29e82b790431f4","0","0","0"
"6ba2ec93a5eee1ec25d081a5d15d3eb10163c4dd","0","0","0"
"bcf8ca335bb80105dee38a005f069f2e2b7e6c16","0","1","1"
"8b43a3eb6345919591ab5c35b1f8c7cf0b308635","0","0","0"
"07052f2ce37a97a36194904f7345a7d8481d2fa9","0","1","1"
"eb0c51b53c84c37d6307bdfb37e7b9024154fcff","0","0","0"
"8b38272fae84d29f7b2d5c892964cecebbe855f0","0","1","1"
"d4ad1d0c58ecb232491579d140d90b0f7c8b8468","0","0","0"
"1d568db421d56b9a2911bea33af5d01125dcc401","0","0","0"
"974de11b3010853ff576bd6c15608dd8dfcaf52d","0","0","0"
"dd1d726f29064f44435a0b6d8091a7cbfdb58eab","0","0","0"
"597a3d1b72c4c2e1209f73d394e011bffbf93def","0","0","0"
"a170d0b4160b668f75a16ccd1984fa7f9c7f88ae","0","1","1"
"d77a700bc8e78e483dd04616e8c55aeea294b41f","1","1","1"
"5e1a45f67340c5da7c4355264e06ef9e603c78b4","0","0","0"
"20bb5424b93aaa2817a7fbb1a131a55a9cdc8237","0","0","0"
"a8ecacdbc5fd77f85c1bed852869e188e185134c","0","1","1"
"7a1e0bbaa5afc0a042d64916309f0a98aac1da4c","0","0","0"
"f86ff62e8215b8e01e6140b5adc2581af5ab21ce","1","1","1"
"1fa58d53be78d7d05b96d6fdbee2921dde8e32b7","0","1","1"
"9257f9c328efaaa8791613f58959535077ecea04","0","0","0"
"1897d61e893d4e71fbdcf82363b14e2224dcced8","0","0","0"
"5f04c862594cfabb061ac73338fd469cddd591e6","0","1","1"
"4a167edf326d87efee567fb0e64dee170fb2cb51","0","0","0"
