"mergeID","isConflicting","existsCommonSlices","totalCommonSlices"
"02ddbed52199ef61f0fe78fd3f17577c1d29b094","0","0","0"
"000d0571d7dbc14402be8eccda88513d86d19dc7","0","0","0"
"899779fd7252fe21ad02c2eba421570e45ef9627","0","0","0"
"d2d9c219c3a14002826d66c42af05c2137a7ef38","0","0","0"
"4e213ebfb05a130bdd95baf5fad08790a51bbedf","0","0","0"
"1eddc7f0a7b8e9ac7997e7dea61cf6588a2437df","0","0","0"
"203fdc0d694b6705c332ca1798417aa9479d3213","0","0","0"
"5972b8d510a677470c7a4aa06faf649060148d62","0","0","0"
"17f1975b081e8b02ebe96ad5c0957ad93e06b44a","0","0","0"
"f5839dbfb1d3e9652537b8373ad39a9c7b96a5e6","0","0","0"
"0b1614f785c031857e40b6b2c1f432dfcef20571","1","0","0"
"d5f9cd3e908b7cc952ae7a0b07dfc967fe05ced2","1","0","0"
"8dfcf906ecfb2edba3bd500767bece602e9d7aad","1","0","0"
"1987f9e29b1eb4b72721344e31d1659e47115c60","0","0","0"
"34ed1a5b7bb08210a68eada2fa80dcf173819b49","0","0","0"
"48da5528a31fca0774501d5aac505c6137a85f4b","0","0","0"
"5212ab9cba6f10b9631e970f54c0b2ad57dac5ab","0","0","0"
"d62171dab2d218804b8cc8d03ae611c92d920d36","0","0","0"
"59ae60a266b1800ba452cd548f8f4ce80b5b7834","1","1","2"
"1d8fcd0b218d7fd5d07563e3714d9c8c3ad0a20c","1","0","0"
"3dfdf661fb9051cff08189cc539d44e69ab2119a","0","0","0"
"ec74cc84db62a6c8359232d8954d85927b13d2f0","0","0","0"
"b5c5818ac72104c4add90e860c5d8cad815953ed","0","1","1"
"e93f5b8d80d4d9c2c8a48f6e2c83cfac9ef4c6f6","0","0","0"
"0656deb7d7a4a458601edb7dd042eb53678558b8","0","0","0"
"e78d1fcb68c094ea7b573364477fc0a9963e4d0c","0","0","0"
"ff1698af34242e5e38995400ea595012f94bdf20","0","0","0"
"47505bbf49c7c45a8888cd61c9f73788aec5eae1","0","0","0"
"ef31a8c2a8e29dcdfa17ad516e7bf5edc3f7d4c9","0","0","0"
"9549e81fe85571ca04c4a8d1fa9c4c43a9f57cce","0","0","0"
"5e8944432e0855e447e57679b99e7d50e79f2aae","0","0","0"
"a3c940a06a5ed27689c2ddea5f24d0929bb3fe4f","0","0","0"
"498e2b372d343a5fab30fcbbe86671cfddcc4e1a","0","0","0"
"21ccf960e45c0250750a2e9d29d9705671c219b3","0","0","0"
"9cf8ce5fe7b6d3a2b5e8770d999cbaa3e9834859","0","0","0"
"b5b49a560bbbf8f86e171f2b9a6f00f9977e6f2c","1","1","2"
"90831048998c877f43c9a8ec2efcbfde11e49ba4","1","1","4"
"af6ed22024a1ed48bf3fb3fce39a3eaacdb88e99","0","0","0"
"81d0fc69aa8c450bd9877269955952bfe22b6eb3","0","0","0"
"7cdb7f4766516d85e05028538f330318332e9496","0","0","0"
"a4884c80d99a35bb2f8770b718942b1b595779aa","0","0","0"
"0c9a431f29fb1cc1e310fefdd4993a628dc03aa1","0","0","0"
"ac565621eb96b803b7d0084c3e9201e1532f7a7e","0","0","0"
"ab2ace4d8a84d18c76f014be8d4dbba271fb9aea","0","0","0"
"2c70c2ff15c9eaf28d9bed037ea73d318e3c74ea","0","0","0"
"797ad1222e760438316853ccd8558640239d319b","0","0","0"
"a8adae59697281b000378ea1bd17a03e63454de7","1","1","5"
"b1e7889c0d3188d44bb687c373c5efff05425bd0","0","1","1"
"fcb21c9a91996ffed8e3e3986aaab0d408c7e7b6","0","0","0"
"69bbdcba4b5f97e2b58402414883e7c4a0f0c011","1","1","1"
"71192379280f1d83f3dd6678860791e1680a201d","0","0","0"
"c139f128d8cefe11e9abe6fb22d0319e034f80f4","1","0","0"
"b9fee6136d57d844f5141ab6af61e99000a0b87e","0","0","0"
"149afbb984cb46257d2b3e1c4cf4c8ee84fd316e","1","1","2"
"1793761ce3d8ebc87852e580fd3510c94cc628e0","0","0","0"
"03d7aa5a948409ceecd301d5108eb443fb596893","0","1","1"
"96aaeceea0828300dff2f08d3fd6ed3da3f3015a","0","0","0"
"60384e9cccd138c5d5c0bdbcc3ee124278bf3771","0","0","0"
"dc94725572f584b1cc9649f0675d6bada2a02fb3","0","0","0"
"a397cd7ea2d92d04d9e0b6e13e5ce428229fd629","0","0","0"
"60267d191bd3e184179571cf2af253d01fa6764d","0","1","4"
"8be14faf32460231740692f867924bb302d8cfe2","0","0","0"
"570b87abe656fc4cff62d676fbc10870a7dad806","0","0","0"
"e746bcc7fc6ff1a9653c4d02c041e56792d4989c","0","0","0"
"3e8e7a2ac421fe23103263cc1d0872ce28b1fe90","0","1","1"
"41d8e80edd19614c86f31db13c82f41600e90a4f","1","1","1"
"1a3ca813f13acf75de2ddeeeb0ee40e2727d17a5","1","0","0"
"e60041740d686c58e799ca7e90eccefb1a1e09e2","0","0","0"
"b5fca4830d7b6014a13da0559116b225da73cea7","0","0","0"
"e410f6779e1a439a86c077a661c790ab3ea0e2f8","0","1","1"
"a96713cc97ea0bdd23e045dc403725454ce654c3","0","0","0"
"96e8820bf28c4d8d9d2a996db4d4326f3b6df9e8","0","0","0"
"4070f6b6f38ac9b405a96bcb3f5ce7471c42965f","0","0","0"
"4836be70d5dc38430c9faad1d3469070562f1d84","0","0","0"
"b9ce497d5ad4fadef539d9ca3a19bbbd6fc9a98e","0","0","0"
"27b790fdb82e0b89f4ba2a07b0ed19edbf018979","0","0","0"
"43ab98467fabd3422dd7d5313157ae779d686756","0","0","0"
"b38a5e7e6ca3179815aa310d1e89a41088c67605","1","0","0"
"6fbaf46bbe95f72fad0919f8242706d8db5726ec","1","0","0"
"b63818a35a976b6a929ae48ee582c947983f76e5","0","0","0"
"88caf40e5db3472a6fd9b244dc09eae46717c31e","0","0","0"
"e9e6091824ba8b90a8551415fa8519f0b51ac47c","0","0","0"
"145b0233bf9c801b3aa7bbc26a5cd1989d36d7b8","0","0","0"
"9f33a8f30ce6a13a852e1013ad4dafbe21503646","0","0","0"
"9e23f5107e6de4b7ce42851dd9ebf48abe799377","0","0","0"
"af9b615cd8d8e766270e0bdf9b58f2387f305995","0","0","0"
"355184454a8e59b52de77c6b4e7028fa79794a0d","0","0","0"
"6628e843e389d09da2e0c76f3daf20833a9aa509","0","0","0"
"57e482d38ef0f2a6ce19f19e1e5dafb522359306","0","0","0"
"42584c0194e383478b5bfc0fd6d28d8c78fe2b35","0","0","0"
"eff9a9922315c385f3f1cc1ac72e6e611dcce3c8","0","0","0"
"6edbe9fce745de9823442b9730dedfb4392eaa83","0","1","1"
"d0b35c829c0351990b171c90da926f131d94b831","0","0","0"
"e6dde2a84c2bf98fba55ee498ed500a946a9091f","0","0","0"
"996b1608fe5903e291717e8240e63f3af66d8a78","0","0","0"
"f2687d8ce7bb205d27a993228c2f351a91fa889b","0","0","0"
"066fa901bc9013955ba475b011211d1eca73569e","0","0","0"
"84f2c25475e09c418a724677b02beb905f571edf","0","0","0"
"f0bfe4c75bedd9211e120c1014d9447b3d091cc3","0","1","1"
"01e5cdccc0691e8f8252fc736aeb92d414f0f36c","0","0","0"
"5a666938462144c900e65d0eac36b29fa0df6e9f","0","1","1"
"664b5a92387dc4a6ca09780c0f65698b21afb4e1","0","0","0"
"62630bcaacae9f2ad2edc21f2ca726623471a5c4","0","0","0"
"e8cbb5b2a6b6b672b49e85fa85876c7f2e342425","0","1","1"
"8e1b6516892821dfc7428d9fbbcd01d1f8f41594","0","0","0"
