"mergeID","isConflicting","existsCommonSlices","totalCommonSlices"
"ce586e3b8fc77b21dbadde406954accfa01803dc","0","1","1"
"9c92d9c2626231a001130645fcaeddfbfc5a3bfd","0","0","0"
"f5642f0de05640cf603e881668cdb45948c859aa","0","0","0"
"f66ecfdad8d0458d6456f31dbfc728251086ab0d","0","0","0"
"b414dbc8301bea91712e90a80e44bb0777225e8e","1","0","0"
"b8b012df10223a381b4d2e18ee17c0b3b37412ad","0","1","1"
"1359ef0ee0ea5b8d9049aa99eb9c966171392780","0","0","0"
"c21d7df70595983de40cb141e8e9c5ec5e15d632","0","0","0"
"47097fab75af5753c3bd9b6b0035776529402cbe","0","1","1"
"f927223d7bf8303923fa7a7a9d6e54f84f87d2f8","0","0","0"
"a5e5ad2aaf4e1302cba86295f55d240ee61ece74","0","1","1"
"60ac92ec544185cac366314808759ef155ec112c","0","0","0"
"ab7a8bdd8398f2878b4d0e20303cf0a9976cd9fd","0","0","0"
"17e01ffcd608caee74699e1a6114d038f9ac9514","0","0","0"
"80ed663a7e07f75e3ce470e7219f18a0271abb78","0","0","0"
"7b4b98106ebc3df01cf43f359c7e1158e787b211","0","0","0"
"667c4dcc5772c7ce469fb5be66917c10ae20e80a","0","0","0"
"b521594d2eaad5e6ab3a018cbeb720109729adb2","1","1","4"
"dd27da802477c5bb8f85988be44b002da849905e","0","0","0"
"97a6d85bcc92b18836377d80cb376882e791b580","0","0","0"
"6af7a79f47380a6550dcbc9fc319d176bdbadbef","0","0","0"
"ad24ede668f403aec663288676ac0c7659464dd0","0","0","0"
"84b60ba550b2cb8fb083acaa9e250c85aca730e2","0","0","0"
"2a08667464d9913da2e212c70d33ba076bcfa915","0","0","0"
"8f843d28ed454c14c3edec9a10f045d0316840bf","0","0","0"
"a5fc68bcaa3bfc4ce5a644f44b92dd6919def83e","0","0","0"
"7a03e2aaf6540119a5e6799850bc39096b5fd47e","0","0","0"
"0a5a0ab3602163a92dd29fd0d64b8a7e626a5d58","0","0","0"
"9127c036b9c7c9554cd876416fc9ef9c910b7cb2","0","0","0"
"ec31319bb362356c0947edd742485ec64422ed92","0","0","0"
"2443fa3061d61ace2091a4f897f66cfdeaee86cc","0","0","0"
"8359c3515b63a3236b2197d763fdbe00f5dba294","0","0","0"
"90cdac5d50df27022e3b5e9183f281c23ab1a9ff","0","0","0"
"04e84f96cd520a0b7d560d787de0fc7a7f74c7c7","0","0","0"
"afc2e306d10f5ead6f5e8f739d318d7ebd8285f2","0","0","0"
"4bdb080e2c49afd4972ca3f9781792e5c2e1d59c","1","1","3"
"65003679ffda44ba8215f1eeaf05f9ecd0d893d4","0","0","0"
"3313e877e6000d9955367cd587e12521525e9750","0","0","0"
"f89ff4330eac8448ddaae9fc279a18360f37ec81","0","0","0"
"1f407a2c739dbdaf1e02304e6b0138d27e860dcc","0","0","0"
"3db4869c51a84dd3eb2a5f59f6e76b74816e9029","0","0","0"
"853cc686771e4aa66e0db9744968d403c4d91a1a","0","0","0"
"2633b659d218a6fdf7b88d90dbf0ade1ce202f73","0","0","0"
"378c193da5ff1630559ce761846f480b4ad1e7d0","0","0","0"
"2b61576d0d6314863ef9b660d50d39b6f6f8a428","0","0","0"
"ac607f6025bc8cfdb11ddf89956e08d9a095149c","0","0","0"
"ffe3b1ba627b76be66b51581589fcfb6a09ce34b","0","0","0"
"f72b4fb3848f9ad298d9a2ec61e1dbd9eba31f10","0","0","0"
"d36bd72c2f207a78cb3a6d6a183b38c7a673696e","0","0","0"
"b1ad3588b30ca1218cc8add228ae601c6a753bb4","0","0","0"
"b52a733aa2c71f6b974e4ba1dbf968dba26a68e4","0","0","0"
"ed7a32dca94095659b5957a1d50a505ea502cf3b","0","0","0"
"6028cd81826f307c1c2a1d4ddbc57e97563f295c","0","0","0"
"eba9a16614854f6aa888dbdef01927003d83041a","0","0","0"
"65da7fbf221cd88ed2793e393e2f9ce391d30258","1","1","1"
"4187febd342ed746c9c1275308645731f96b6590","0","0","0"
"1bd43c1ca7540e3b607c91590e97411bcaf385ee","0","0","0"
"396ad126831e3a3e53a005fae7d7e555c38bb1be","0","1","1"
"5623b37edfc036c930178d93f84e045529060f1e","0","0","0"
"d63597a87ab14db473e66182e12cca68334c3074","0","0","0"
"96aa54799f4c1d8208512eba201a88bcada338f5","0","0","0"
"4e2cba4037e437ce9ec94b93c1bd9086d1fccac5","0","1","1"
"d125eef99873fcfc004318b0d62e06a87551a4ef","0","0","0"
"28ed44cd72320a6fc674ba8eb894446fb2b58128","0","0","0"
"a8c4395077bd67a304a84f3e059eb3121359bcc5","0","0","0"
"476cf4dfbf4789ff5d44c92e73fe214045d0ab51","1","0","0"
"650c82cb41c69c2d1b850bcb63d08965d5c9e931","0","0","0"
"760a4897127e39b5903b32d38370ec33473f6cef","0","0","0"
"973ae86113be35d33d497c9a032f7560894a7aaa","0","0","0"
"672837a102de18bb7b338dba24a2f4abcae31be5","0","1","1"
"d17b11ce8dde11d05832292d72eae5d4c2dba123","0","0","0"
"bea51d361cc5c92f61eeddf42d53361627ca8e0f","0","0","0"
"1627f60873e234e6afcc2b5a813acd9764e88c3a","1","1","1"
"9019ff0b83eafeee37c18d938387cacbda6e6244","1","1","1"
"0e4d9d209d0211bc8e5d5d286af57eea7d4c393b","0","0","0"
"8aa2bb7e8850579e71c9a0f51d7562d615bacf0c","0","0","0"
"4b087c7904fab9e4492999b66c48c84c2ac7ae63","0","0","0"
"b0ff22522c7f5c1baa9537cba0a97712da567b9c","0","0","0"
"94bc7fc92a985cfcaddeacda414e5fbd801f1a55","1","1","3"
"fd19260ac83606a58510fcde34a2b13978269608","1","0","0"
"f3374caff091b4dc17f1b48a70721f17f00669a1","0","0","0"
"d38829565e6a31de5220a706c1876fc8350978c9","0","0","0"
"3587c1307d88eeddf059a4c09a6ba6964c6af92f","0","0","0"
"4f5d8f37d8932658e5e1aa7840c65b3580eef48f","1","1","2"
"01e0f05a5c10d4a5b3395d23016c9a0b7859c27c","1","0","0"
"9716d91c0c0124dcced46b8048cfca47808f0573","0","0","0"
"0def82a71f4db3d2135c2833faa2d96d523d3876","1","0","0"
"525c12de4d839b91afe5a069c453851f85e7b6bd","0","0","0"
"70440cd017c0755dcf3fa816d950144b38df9cff","0","0","0"
"738b743f8d8f0e9697806df702c6c7ffdbdd21ec","1","0","0"
"8d691c5053d905711db0e1dbd456148644fc42c3","1","1","2"
"d49cdd9be3820919018eec15f99941c1bf677d7c","1","1","1"
"ff944b1e5f12c1c405fdbab49c3de04738162332","0","0","0"
"b8e67526723f5bfcd8ed5cbed1c483678133c328","1","1","9"
"3bade1152d6cafe1b1a1d8802c74275b1563f65a","1","1","9"
"01b27c30ea23ee238da25f481fe5567b12540205","1","0","0"
"d5e3f8356f61bef39e192d8f93906dc07ba99bfb","1","0","0"
"08a725a652bc1c524a37abb033478ea8d0d0e19d","1","0","0"
"897f3241d425502e147f2387dde5c51e2b11e4e4","1","1","9"
"04a7bb5825591d1af1d5942c43a979fc7a952957","1","0","0"
"375a098e48c4f0d6e53b328c78d2146e7898947d","0","0","0"
"001dfcfd3881ca256aebe8568676d57c3be3e262","1","1","1"
"01e30718e43cbc0a05df87b01f86d15243aaa935","1","1","1"
"6b0d9d4adeb172e96b10fbd52f60e699e59052da","1","1","1"
"1550ade371b891b501b8132cd6eb2e1d7c288369","0","1","2"
"576a20b82f3eba94f0d9b3b74f3e1353a3ff7261","1","1","2"
"de34824452bc61db7e95cfb0bf2027ab705df2cb","1","1","5"
"5d511d291af20170f8332760b7b31375cb636edb","0","0","0"
"144f31dec58c93e69c33d41e0543956411cd097d","0","0","0"
"54d05259583d73b5c1ec166d510d7061ac7719a9","0","0","0"
"997fa3698935f83defa2657a6572a13c6a6e0206","0","0","0"
"cfc3addb6f7b201bd20f60eb3811cecd05b3429b","0","0","0"
"ec6130f214a7c8983f26f827f38778f50241014d","0","0","0"
"66c73ddac153ec260b3bab40e435a02566b86587","1","0","0"
"5cf77ee2421e00847eaf9153a8a1b2b3b1a35f5d","0","0","0"
"e63f766cf3cb578325df725db194959de3a5f7de","1","1","1"
"00dbcd1f955d59e1c4b0e957f7f738837b214919","0","0","0"
"eae21b3bb6c03d6bcd75f4828fc23145f4615ecf","0","0","0"
"d48189f1beffd98741e54889ae3541b5656a08a9","0","0","0"
"7f54ee507298655f00a791b37363dfd6df9bad95","0","0","0"
"cf491289d76ef2b701e68888f91dcc1c2e4b2979","0","0","0"
"0fbc3001b632e6d93edd9db3540ba7e4f0ffa488","1","1","1"
"08e7276f182d5b7aa11c7de2b7ab8bcef18423a6","1","1","1"
"30ab28a24462a80a78805cce268db6fe05129aa2","1","1","1"
"3e24fd107b848ee3888f6da4dd4b6988c7f60aa8","0","0","0"
