"mergeID","isConflicting","existsCommonSlices","totalCommonSlices"
"add6462b500d9d98c20ca8df257d6e9b844d1527","0","0","0"
"16d6a20150ae226efb97d1601c00ea9f06c6949c","0","0","0"
"6830267ab5e3ca607243c18565b657fa41f376e9","0","1","1"
"99c13ae13d2536da83d5e37077cdbce278384306","0","0","0"
"aed8111bd5b692350ab8f2c24b53d0d8464128c9","0","0","0"
"e0f06338f8560c342259a474935b7ded3717e385","0","0","0"
"0927a1160b515c3db42030400f1c2cb50923c998","0","1","1"
"497e69c7f4fd255c70022b8d530b31236ab6499f","1","0","0"
"2cf9f273a03d5ad38a32897be6c95fd6299cca5e","0","0","0"
"457db3f2153014a45d95d312d91df290f6d06793","0","0","0"
"13ef7f618bf74d9e8da74523ee5b0bcad499d2c5","0","0","0"
"fe242ac6d1698844fda27be997d963b5948d36d2","0","0","0"
"f24b21f8bfa0cbd3af9b764481bc94a15183f2b1","0","0","0"
"756f7ee7eb99197ad1f250c41df740b5600a70ed","0","0","0"
"d5f6ad20a9507f3c2cde8ce0ec7db40e2a75af0a","0","0","0"
"e466cd28b44c69c46557a744041f7a838aeb0de5","0","0","0"
"2b6f57446830a3bcaff44c7c66e5e6f8a07508f2","0","1","1"
"5969f34edfbdc88b152aa170a6122ecd4ef22c68","0","0","0"
"cfb146b705d5bcc2067af0562bd76e00158e5364","0","1","1"
"6e6b427432a445824fe81c64714d7920294c6262","0","0","0"
"647d912e4c41b228c1d3f4d2dd0ff1bda0411db8","0","0","0"
"232856cab94ee0e4c24117954d9513f7d81e037f","0","1","1"
"110f5ea5d70573a58688e1a15bcb28aad3299f07","0","1","1"
"9f75c30084749917afa0d78be87271608cecbfe1","0","0","0"
"e2bdc967f07911153ecf2fbd2bfc8e0847fba580","1","1","1"
"ca350f820d8e7d79ecc22f74f011671ae77e7f5b","1","0","0"
"2e0be80b1984663e35caedf2f56c349a5c06cf4c","1","0","0"
"6b4ece47c7bb286469be965c035b045dfdc92d6b","0","0","0"
"f8860f55b9685e37a605e58052248c72fba5b223","0","0","0"
"a2e51ce094e23607155e2aaa8f5e541221946aaf","0","0","0"
"6b35af841f41d432986c88b9497b532ed42e1e08","0","0","0"
"4de12f1fd6ba1b308efc2fc28c4c774e277c7d7e","0","0","0"
"ed8127e2cb020d8d0d9ef4bc4fec3e446b76fdc5","0","0","0"
"59d573d7a0c79ce05572b9cd52f38249e09242a2","0","0","0"
"70aef2dd3ab5ba0b35f0d6cb51cd0fd778fc7366","0","0","0"
"2b74664c0f7ec10a7c2427053a9c581df000e312","0","0","0"
"b9b3a05e8b4817934be51549e53cb797def13e8e","0","0","0"
